town_id	assess_townID	town_name	fiscal year	name of zip	url
M001	1	ABINGTON	2013	L3_SHP_M001_ABINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M001_ABINGTON.zip
M002	2	ACTON	2012	L3_SHP_M002_ACTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M002_ACTON.zip
M003	3	ACUSHNET	2013	L3_SHP_M003_ACUSHNET.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M003_ACUSHNET.zip
M004	4	ADAMS	2011	L3_SHP_M004_ADAMS.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M004_ADAMS.zip
M005	5	AGAWAM	2012	L3_SHP_M005_AGAWAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M005_AGAWAM.zip
M006	6	ALFORD	2012	L3_SHP_M006_ALFORD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M006_ALFORD.zip
M007	7	AMESBURY	2014	L3_SHP_M007_AMESBURY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M007_AMESBURY.zip
M008	8	AMHERST	2011	L3_SHP_M008_AMHERST.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M008_AMHERST.zip
M009	9	ANDOVER	2012	L3_SHP_M009_ANDOVER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M009_ANDOVER.zip
M104	104	AQUINNAH	2012	L3_SHP_M104_AQUINNAH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M104_AQUINNAH.zip
M010	10	ARLINGTON	2013	L3_SHP_M010_ARLINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M010_ARLINGTON.zip
M011	11	ASHBURNHAM	2012	L3_SHP_M011_ASHBURNHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M011_ASHBURNHAM.zip
M012	12	ASHBY	2012	L3_SHP_M012_ASHBY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M012_ASHBY.zip
M013	13	ASHFIELD	2012	L3_SHP_M013_ASHFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M013_ASHFIELD.zip
M014	14	ASHLAND	2013	L3_SHP_M014_ASHLAND.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M014_ASHLAND.zip
M015	15	ATHOL	2013	L3_SHP_M015_ATHOL.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M015_ATHOL.zip
M016	16	ATTLEBORO	2012	L3_SHP_M016_ATTLEBORO.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M016_ATTLEBORO.zip
M017	17	AUBURN	2012	L3_SHP_M017_AUBURN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M017_AUBURN.zip
M018	18	AVON	2011	L3_SHP_M018_AVON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M018_AVON.zip
M019	19	AYER	2013	L3_SHP_M019_AYER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M019_AYER.zip
M020	20	BARNSTABLE	2011	L3_SHP_M020_BARNSTABLE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M020_BARNSTABLE.zip
M021	21	BARRE	2012	L3_SHP_M021_BARRE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M021_BARRE.zip
M022	22	BECKET	2011	L3_SHP_M022_BECKET.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M022_BECKET.zip
M023	23	BEDFORD	2011	L3_SHP_M023_BEDFORD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M023_BEDFORD.zip
M024	24	BELCHERTOWN	2011	L3_SHP_M024_BELCHERTOWN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M024_BELCHERTOWN.zip
M025	25	BELLINGHAM	2013	L3_SHP_M025_BELLINGHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M025_BELLINGHAM.zip
M026	26	BELMONT	2014	L3_SHP_M026_BELMONT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M026_BELMONT.zip
M027	27	BERKLEY	2011	L3_SHP_M027_BERKLEY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M027_BERKLEY.zip
M028	28	BERLIN	2011	L3_SHP_M028_BERLIN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M028_BERLIN.zip
M029	29	BERNARDSTON	2011	L3_SHP_M029_BERNARDSTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M029_BERNARDSTON.zip
