town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M049	49	cambridge	2013	228004	904010	F_748043_2965906	"GROVE ST"	267	0
M049	49	cambridge	2013	228012	904036	F_748068_2965991	"GROVE ST"	269	0
M049	49	cambridge	2013	228021	903985	F_748099_2965823	"GROVE ST"	265	0
M049	49	cambridge	2013	228034	903962	F_748141_2965748	"GROVE ST"	255	0
M049	49	cambridge	2013	228044	904043	F_748173_2966015	"BLANCHARD RD"	0	0
M049	49	cambridge	2013	228045	903938	F_748179_2965671	"GROVE ST"	245	0
M049	49	cambridge	2013	228057	903915	F_748217_2965593	"GROVE ST"	241	0
M049	49	cambridge	2013	228068	903891	F_748253_2965516	"GROVE ST"	231	0
M049	49	cambridge	2013	228074	904048	F_748274_2966032	"BLANCHARD RD"	1C	0
M049	49	cambridge	2013	228079	903868	F_748290_2965440	"GROVE ST"	225	0
M049	49	cambridge	2013	228091	903845	F_748327_2965365	"GROVE ST"	219	0
M049	49	cambridge	2013	228101	903822	F_748362_2965290	"GROVE ST"	213	0
M049	49	cambridge	2013	228102	904052	F_748366_2966043	"BLANCHARD RD"	1	0
M049	49	cambridge	2013	228113	903798	F_748401_2965212	"GROVE ST"	207	0
M049	49	cambridge	2013	228129	904058	F_748454_2966063	"BLANCHARD RD"	2	0
M049	49	cambridge	2013	228130	903763	F_748456_2965097	"GROVE ST"	201	0
M049	49	cambridge	2013	228146	903730	F_748510_2964988	"GROVE ST"	181	0
M049	49	cambridge	2013	228152	904964	F_748528_2969035	"BLANCHARD RD"	255	0
M049	49	cambridge	2013	228157	904071	F_748546_2966105	"BLANCHARD RD"	3	0
M049	49	cambridge	2013	228158	903708	F_748547_2964915	"GROVE ST"	177	0
M049	49	cambridge	2013	228160	904979	F_748555_2969085	"BLANCHARD RD"	256	0
M049	49	cambridge	2013	228169	903686	F_748585_2964843	"GROVE ST"	169	0
M049	49	cambridge	2013	228175	904825	F_748603_2968580	"BLANCHARD RD"	75	0
M049	49	cambridge	2013	228177	904847	F_748611_2968653	"NORMANDY AVE"	1	0
M049	49	cambridge	2013	228179	904093	F_748616_2966178	"BLANCHARD RD"	4	0
M049	49	cambridge	2013	228181	904808	F_748623_2968524	"BLANCHARD RD"	73	0
M049	49	cambridge	2013	228181	903663	F_748624_2964768	"GROVE ST"	161	0
M049	49	cambridge	2013	228182	904985	F_748627_2969104	"BLANCHARD RD"	254	0
M049	49	cambridge	2013	228185	904779	F_748638_2968429	"BLANCHARD RD"	69	0
M049	49	cambridge	2013	228191	903640	F_748658_2964692	"GROVE ST"	155	0
M049	49	cambridge	2013	228193	904117	F_748664_2966258	"BLANCHARD RD"	5	0
M049	49	cambridge	2013	228194	904762	F_748665_2968373	"BLANCHARD RD"	65	0
M049	49	cambridge	2013	228197	904747	F_748675_2968323	"BLANCHARD RD"	59	0
M049	49	cambridge	2013	228198	904851	F_748678_2968664	"NORMANDY AVE"	13	0
M049	49	cambridge	2013	228198	903616	F_748679_2964613	"GROVE ST"	149	0
M049	49	cambridge	2013	228199	904824	F_748683_2968576	"SOUTH NORMANDY AVE"	10	0
M049	49	cambridge	2013	228199	904734	F_748684_2968283	"BLANCHARD RD"	55	0
M049	49	cambridge	2013	228202	904721	F_748694_2968239	"BLANCHARD RD"	49-51	0
M049	49	cambridge	2013	228205	904788	F_748701_2968459	"SOUTH NORMANDY AVE"	7	0
M049	49	cambridge	2013	228205	904143	F_748702_2966341	"BLANCHARD RD"	6	0
M049	49	cambridge	2013	228206	903590	F_748706_2964527	"HURON AVE"	777	0
M049	49	cambridge	2013	228206	904706	F_748706_2968190	"BLANCHARD RD"	47	0
