town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M061	61	chicopee	2012	106951	880747	F_350890_2889583	"JONES FERRY RD"	59	0
M061	61	chicopee	2012	106973	880724	F_350960_2889509	"JONES FERRY RD"	58	0
M061	61	chicopee	2012	107001	880994	F_351052_2890394	"RAYMOND AVE"	82	0
M061	61	chicopee	2012	107001	879188	F_351054_2884470	"BLANCHWOOD AVE"	132	0
M061	61	chicopee	2012	107005	879050	F_351066_2884016	"POLASKI AVE"	134	0
M061	61	chicopee	2012	107005	881030	F_351066_2890513	"MAPLEWOOD AVE"	89	0
M061	61	chicopee	2012	107006	880720	F_351068_2889494	"JONES FERRY RD"	50	0
M061	61	chicopee	2012	107006	879821	F_351069_2886545	"LIBERTY ST"	64	0
M061	61	chicopee	2012	107006	879266	F_351070_2884726	"FREEDOM ST"	115	0
M061	61	chicopee	2012	107007	879347	F_351073_2884992	"BEAUMONT AVE"	109	0
M061	61	chicopee	2012	107008	879145	F_351074_2884328	"BLANCHWOOD AVE"	127	0
M061	61	chicopee	2012	107008	879235	F_351074_2884623	"PEACE ST"	126	0
M061	61	chicopee	2012	107008	879118	F_351076_2884238	"ARNOLD AVE"	134	0
M061	61	chicopee	2012	107009	879011	F_351078_2883887	"POLASKI AVE"	135	0
M061	61	chicopee	2012	107009	879313	F_351078_2884881	"FREEDOM ST"	116	0
M061	61	chicopee	2012	107010	878936	F_351082_2883641	"AMHERST ST"	179	0
M061	61	chicopee	2012	107012	881082	F_351087_2890682	"MAPLEWOOD AVE"	90	0
M061	61	chicopee	2012	107013	879396	F_351091_2885151	"BEAUMONT AVE"	100	0
M061	61	chicopee	2012	107013	880943	F_351093_2890228	"GEORGE ST"	60	0
M061	61	chicopee	2012	107014	879667	F_351095_2886040	"DAYTON ST"	214	0
M061	61	chicopee	2012	107014	879492	F_351096_2885467	"LAPA FARM RD"	96	0
M061	61	chicopee	2012	107014	879582	F_351096_2885761	"POPLAR ST"	232	0
M061	61	chicopee	2012	107014	879780	F_351096_2886411	"LIBERTY ST"	63	0
M061	61	chicopee	2012	107015	879853	F_351097_2886650	"KURTZ ST"	55	0
M061	61	chicopee	2012	107015	879909	F_351097_2886835	"KURTZ ST"	54	0
M061	61	chicopee	2012	107015	879752	F_351100_2886320	"JOY ST"	168	0
M061	61	chicopee	2012	107015	881118	F_351100_2890802	"RIVERPARK AVE"	93	0
M061	61	chicopee	2012	107016	879434	F_351101_2885278	"LAPA FARM RD"	97	0
M061	61	chicopee	2012	107016	879530	F_351101_2885592	"POPLAR ST"	231	0
M061	61	chicopee	2012	107016	879616	F_351101_2885873	"DAYTON ST"	213	0
M061	61	chicopee	2012	107016	879704	F_351101_2886163	"JOY ST"	169	0
M061	61	chicopee	2012	107017	879078	F_351104_2884109	"ARNOLD AVE"	129	0
M061	61	chicopee	2012	107019	879189	F_351111_2884474	"BLANCHWOOD AVE"	126	0
M061	61	chicopee	2012	107020	878860	F_351115_2883392	"PADEREWSKI ST"	141	0
M061	61	chicopee	2012	107022	878905	F_351121_2883542	"PADEREWSKI ST"	142	0
M061	61	chicopee	2012	107026	881168	F_351134_2890965	"OGDEN ST"	5	0
M061	61	chicopee	2012	107028	879051	F_351140_2884021	"POLASKI AVE"	128	0
M061	61	chicopee	2012	107029	878937	F_351145_2883645	"AMHERST ST"	173	0
M061	61	chicopee	2012	107030	879781	F_351146_2886414	"LIBERTY ST"	57	0
M061	61	chicopee	2012	107030	881210	F_351147_2891104	"OGDEN ST"	2	0
M061	61	chicopee	2012	107031	879753	F_351150_2886323	"JOY ST"	164	0
M061	61	chicopee	2012	107031	879146	F_351151_2884333	"BLANCHWOOD AVE"	121	0
M061	61	chicopee	2012	107032	879822	F_351154_2886549	"LIBERTY ST"	56	0
M061	61	chicopee	2012	107033	879119	F_351156_2884243	"ARNOLD AVE"	124	0
M061	61	chicopee	2012	107033	880981	F_351157_2890351	"GEORGE ST"	50	0
M061	61	chicopee	2012	107033	879350	F_351159_2885000	"BEAUMONT AVE"	99	0
