town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M074	74	deerfield	2012	103823	923204	M_103823_923204	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	104275	923225	M_104275_923225	"BARDWELLS FERRY RD"	0	0
M074	74	deerfield	2012	104365	923028	M_104365_923028	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	104662	922297	M_104662_922297	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	104697	923206	M_104697_923206	"HAWKS RD"	0	0
M074	74	deerfield	2012	104757	922178	M_104757_922178	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	104759	914834	M_104759_914834	"WHATELY GLEN RD"	0	0
M074	74	deerfield	2012	104787	922115	M_104787_922115	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	104809	914237	M_104809_914237	"WHATELY GLEN RD"	0	0
M074	74	deerfield	2012	104888	922664	M_104888_922664	"HAWKS RD"	255	0
M074	74	deerfield	2012	104915	915606	M_104915_915606	"WHATELY GLEN RD"	0	0
M074	74	deerfield	2012	104948	921957	M_104948_921957	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	105031	922106	M_105031_922106	"HAWKS RD"	OFF	0
M074	74	deerfield	2012	105077	916449	M_105077_916449	"CONWAY RD"	OFF	0
M074	74	deerfield	2012	105094	916951	M_105094_916951	"WHATELY GLEN RD"	OFF	0
M074	74	deerfield	2012	105181	917916	M_105181_917916	"CONWAY RD"	0	0
M074	74	deerfield	2012	105181	923061	M_105181_923061	"HAWKS RD"	0	0
M074	74	deerfield	2012	105202	922446	M_105202_922446	"HAWKS RD"	0	0
M074	74	deerfield	2012	105209	918276	M_105209_918276	"MATHEWS RD"	0	0
M074	74	deerfield	2012	105228	917501	M_105228_917501	"CONWAY RD"	0	0
M074	74	deerfield	2012	105267	918171	M_105267_918171	"MATHEWS RD"	71	0
M074	74	deerfield	2012	105272	922560	M_105272_922560	"HAWKS RD"	0	0
M074	74	deerfield	2012	105274	918570	M_105274_918570	"MATHEWS RD"	0	0
M074	74	deerfield	2012	105280	918462	M_105280_918462	"MATHEWS RD"	76	0
M074	74	deerfield	2012	105322	914164	M_105322_914164	"WHATELY GLEN RD"	0	0
M074	74	deerfield	2012	105322	921793	M_105322_921793	"HAWKS RD"	0	0
M074	74	deerfield	2012	105326	918479	M_105326_918479	"MATHEWS RD"	0	0
M074	74	deerfield	2012	105333	915510	M_105333_915510	"WHATELY GLEN RD"	0	0
M074	74	deerfield	2012	105350	924161	M_105350_924161	"OLD WORLD RD"	OFF	0
M074	74	deerfield	2012	105353	923798	M_105353_923798	"OLD WORLD RD"	0	0
M074	74	deerfield	2012	105360	918621	M_105360_918621	"MATHEWS RD"	0	0
