town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M191	191	monson	2012	126570	878085	F_415256_2880852	"SILVER ST"	381	0
M191	191	monson	2012	126624	877901	F_415432_2880247	"SILVER ST"	371	0
M191	191	monson	2012	126664	877679	F_415562_2879517	"SILVER ST"	359	0
M191	191	monson	2012	126700	877340	F_415682_2878406	"SILVER ST"	336	0
M191	191	monson	2012	126717	877273	F_415738_2878188	"SILVER ST"	328	0
M191	191	monson	2012	126752	877957	F_415851_2880429	"SILVER ST"	377	0
M191	191	monson	2012	126756	877785	F_415866_2879865	"SILVER ST"	369	0
M191	191	monson	2012	126759	877082	F_415874_2877561	"SILVER ST"	324	0
M191	191	monson	2012	126824	877502	F_416087_2878937	"SILVER ST"	337	0
M191	191	monson	2012	126831	877052	F_416110_2877461	"SILVER ST"	318	0
M191	191	monson	2012	126849	877011	F_416169_2877327	"SILVER ST"	316	0
M191	191	monson	2012	126863	876410	F_416215_2875356	"LAKESHORE DR"	96	0
M191	191	monson	2012	126865	877269	F_416224_2878174	"SILVER ST"	327	0
M191	191	monson	2012	126883	878327	F_416281_2881644	"BOSTON RD-WEST"	492	0
M191	191	monson	2012	126892	876302	F_416313_2875001	"LAKESHORE DR"	92	0
M191	191	monson	2012	126925	876216	F_416420_2874720	"LAKESHORE DR"	88	0
M191	191	monson	2012	126964	877063	F_416549_2877499	"SILVER ST"	313	0
M191	191	monson	2012	126977	876499	F_416590_2875647	"LAKESHORE DR"	91	0
M191	191	monson	2012	126978	878326	F_416594_2881641	"BOSTON RD-WEST"	490	0
M191	191	monson	2012	126990	875531	F_416633_2872470	"BROOKSIDE RD"	5	0
M191	191	monson	2012	126992	876438	F_416639_2875448	"LAKESHORE DR"	87	0
M191	191	monson	2012	127007	876513	F_416689_2875692	"LAKESHORE DR"	93	0
M191	191	monson	2012	127023	875582	F_416742_2872640	"BROOKSIDE RD"	1	0
M191	191	monson	2012	127038	876262	F_416789_2874870	"LAKESHORE DR"	82	0
M191	191	monson	2012	127041	876521	F_416799_2875719	"LAKESHORE DR"	95	0
M191	191	monson	2012	127042	876356	F_416804_2875179	"LAKESHORE DR"	81	0
M191	191	monson	2012	127054	875143	F_416844_2871199	"THAYER RD"	116	0
M191	191	monson	2012	127066	876603	F_416883_2875989	"LAKESHORE DR"	110	0
M191	191	monson	2012	127093	876320	F_416972_2875061	"LAKESHORE DR"	77	0
M191	191	monson	2012	127098	876248	F_416986_2874824	"LAKESHORE DR"	78	0
M191	191	monson	2012	127107	874550	F_417016_2869252	"LEMON RD"	6	0
M191	191	monson	2012	127107	876148	F_417018_2874495	"LAKESHORE DR"	64	0
M191	191	monson	2012	127109	878311	F_417023_2881591	"BOSTON RD-WEST"	480	0
M191	191	monson	2012	127112	877350	F_417032_2878440	"SILVER ST"	305	0
M191	191	monson	2012	127119	876184	F_417057_2874614	"LAKESHORE DR"	72	0
M191	191	monson	2012	127126	875357	F_417078_2871899	"THAYER RD"	128	0
M191	191	monson	2012	127136	874431	F_417113_2868864	"THAYER RD"	64	0
M191	191	monson	2012	127145	876242	F_417143_2874803	"LAKESHORE DR"	76	0
M191	191	monson	2012	127147	874278	F_417147_2868359	"THAYER RD"	58	0
M191	191	monson	2012	127148	876572	F_417152_2875885	"LAKESHORE DR"	103	0
M191	191	monson	2012	127148	875428	F_417153_2872135	"THAYER RD"	126	0
M191	191	monson	2012	127154	875911	F_417172_2873718	"PULPIT ROCK RD"	32	0
M191	191	monson	2012	127155	874639	F_417176_2869546	"THAYER RD"	78	0
M191	191	monson	2012	127166	875106	F_417210_2871076	"THAYER RD"	114	0
M191	191	monson	2012	127168	878362	F_417216_2881758	"BOSTON RD-WEST"	473	0
M191	191	monson	2012	127169	874946	F_417221_2870553	"THAYER RD"	98	0
M191	191	monson	2012	127169	875664	F_417221_2872906	"PULPIT ROCK CIRCLE"	6	0
M191	191	monson	2012	127170	875053	F_417222_2870904	"THAYER RD"	110	0
M191	191	monson	2012	127173	876075	F_417233_2874255	"LAKESHORE DR"	49	0
M191	191	monson	2012	127173	874159	F_417234_2867970	"THAYER RD"	50	0
M191	191	monson	2012	127183	877991	F_417265_2880542	"SILVER ST"	379	0
M191	191	monson	2012	127183	875942	F_417266_2873821	"LAKESHORE DR"	48	0
M191	191	monson	2012	127184	874713	F_417269_2869789	"THAYER RD"	88	0
M191	191	monson	2012	127184	874768	F_417269_2869969	"THAYER RD"	92	0
M191	191	monson	2012	127185	874832	F_417272_2870177	"THAYER RD"	94	0
M191	191	monson	2012	127186	876167	F_417276_2874558	"LAKESHORE DR"	68	0
M191	191	monson	2012	127187	874097	F_417280_2867766	"THAYER RD"	44	0
M191	191	monson	2012	127194	875582	F_417301_2872637	"PULPIT ROCK RD"	4	0
M191	191	monson	2012	127207	874019	F_417346_2867511	"THAYER RD"	42	0
M191	191	monson	2012	127214	874228	F_417367_2868198	"THAYER RD"	54	0
M191	191	monson	2012	127221	875640	F_417391_2872828	"PULPIT ROCK CIRCLE"	3	0
M191	191	monson	2012	127223	876693	F_417399_2876284	"LAKESHORE DR"	124	0
M191	191	monson	2012	127225	876099	F_417405_2874335	"LAKESHORE DR"	53	0
