LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_64098_929434	"WEST RD"	0	0	64098	929434
M_64190_930571	"W  MOUNTAIN RD"	281	0	64190	930571
M_64361_931130	"W  MOUNTAIN RD"	0	0	64361	931130
M_64401_933619	"SUMMIT RD"	1	0	64401	933619
M_64517_931950	"GOULD RD"	215	0	64517	931950
M_64705_930710	"W  MOUNTAIN RD"	0	0	64705	930710
M_64809_929061	"WEST RD"	0	0	64809	929061
M_64956_929402	"WEST RD"	407	0	64956	929402
M_65009_929483	"WEST RD"	397	0	65009	929483
M_65031_932060	"GOULD RD"	0	0	65031	932060
M_65036_929612	"WEST RD"	391	0	65036	929612
M_65042_928922	"WEST RD"	461	0	65042	928922
M_65048_928978	"WEST RD"	459	0	65048	928978
M_65065_929775	"WEST RD"	361	0	65065	929775
M_65068_929066	"WEST RD"	449	0	65068	929066
M_65096_929184	"WEST RD"	431	0	65096	929184
M_65099_929133	"WEST RD"	439	0	65099	929133
M_65104_929267	"WEST RD"	423	0	65104	929267
M_65130_929340	"WEST RD"	411	0	65130	929340
M_65130_929854	"WEST RD"	347	0	65130	929854
M_65132_928878	"WEST RD"	470	0	65132	928878
M_65138_932586	"THIEL RD"	0	0	65138	932586
M_65167_929912	"WEST RD"	335	0	65167	929912
M_65194_929971	"WEST RD"	331	0	65194	929971
M_65212_930033	"WEST RD"	321	0	65212	930033
M_65222_935247	"NOTCH RD"	0	0	65222	935247
M_65223_929230	"WEST RD"	0	0	65223	929230
M_65252_929320	"WEST RD"	0	0	65252	929320
M_65271_930687	"WEST RD"	219	0	65271	930687
M_65283_929401	"WEST RD"	400	0	65283	929401
M_65313_930237	"WEST RD"	281	0	65313	930237
M_65329_929533	"WEST RD"	380	0	65329	929533
M_65362_931420	"W  MOUNTAIN RD"	70	0	65362	931420
M_65387_931419	"W  MOUNTAIN RD"	0	0	65387	931419
M_65388_929570	"WEST RD"	0	0	65388	929570
M_65399_931310	"W  MOUNTAIN RD"	0	0	65399	931310
M_65422_931401	"W  MOUNTAIN RD"	60	0	65422	931401
M_65427_928691	"GROVE ST"	218	0	65427	928691
M_65431_928854	"GROVE ST"	171	0	65431	928854
M_65434_928935	"GROVE ST"	169	0	65434	928935
M_65438_930212	"WEST RD"	287	0	65438	930212
M_65450_928967	"GROVE ST"	167	0	65450	928967
M_65452_928744	"GROVE ST"	214	0	65452	928744
M_65452_929847	"WEST RD"	332	0	65452	929847
M_65460_930998	"WEST RD"	185	0	65460	930998
M_65467_928996	"GROVE ST"	167	0	65467	928996
M_65483_929027	"GROVE ST"	165	0	65483	929027
M_65502_929059	"GROVE ST"	0	0	65502	929059
M_65506_931401	"W  MOUNTAIN RD"	52	0	65506	931401
M_65527_931225	"WEST RD"	0	0	65527	931225
M_65530_930050	"WEST RD"	310	0	65530	930050
M_65557_929028	"GROVE ST"	0	0	65557	929028
M_65584_929632	"GROVE ST"	0	0	65584	929632
M_65596_928953	"GROVE ST"	0	0	65596	928953
M_65601_931413	"W  MOUNTAIN RD"	36	0	65601	931413
M_65644_931589	"GOULD RD"	0	0	65644	931589
M_65657_930536	"WEST RD"	242	0	65657	930536
M_65663_931048	"WEST RD"	169	0	65663	931048
M_65664_930595	"WEST RD"	0	0	65664	930595
M_65677_929391	"GROVE ST"	117	0	65677	929391
M_65677_930875	"WEST RD"	195	0	65677	930875
M_65680_930650	"WEST RD"	0	0	65680	930650
M_65696_931141	"WEST RD"	161	0	65696	931141
M_65698_930702	"WEST RD"	216	0	65698	930702
M_65699_929412	"GROVE ST"	115	0	65699	929412
M_65707_931305	"WEST RD"	139	0	65707	931305
M_65719_929434	"GROVE ST"	111	0	65719	929434
M_65720_930772	"WEST RD"	210	0	65720	930772
M_65755_931873	"GOULD RD"	0	0	65755	931873
M_65766_931383	"W  MOUNTAIN RD"	16	0	65766	931383
M_65773_931438	"W  MOUNTAIN RD"	13	0	65773	931438
M_65794_929541	"GROVE ST"	99	0	65794	929541
M_65795_931699	"GOULD RD"	0	0	65795	931699
M_65804_928995	"SOMMER  HILL ROAD"	3	0	65804	928995
M_65808_931529	"WEST RD"	113	0	65808	931529
M_65817_931170	"WEST RD"	152	0	65817	931170
M_65819_929563	"GROVE ST"	0	0	65819	929563
M_65821_931000	"WEST RD"	194	0	65821	931000
M_65826_931356	"WEST RD"	129	0	65826	931356
M_65836_929585	"GROVE ST"	91	0	65836	929585
M_65845_931246	"FISK RD"	106	0	65845	931246
M_65846_931405	"WEST RD"	121	0	65846	931405
M_65854_928764	"ALGER ST"	0	0	65854	928764
M_65859_929613	"GROVE ST"	87	0	65859	929613
M_65878_929645	"GROVE ST"	0	0	65878	929645
M_65884_929735	"PHILLIPS HILL"	10	0	65884	929735
M_65889_929776	"PHILLIPS HILL"	12	0	65889	929776
M_65896_929632	"GROVE ST"	83	0	65896	929632
M_65904_929794	"PHILLIPS HILL"	14	0	65904	929794
M_65904_930661	"TOWN VIEW LN"	21	0	65904	930661
M_65905_929593	"GROVE ST"	88	0	65905	929593
