LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_100051_868666	"SOUTHWICK ST"	0	0	100051	868666
M_100081_867263	"SOUTH WEST ST"	0	0	100081	867263
M_100084_868676	"SOUTHWICK ST"	662	0	100084	868676
M_100090_866086	"BARRY ST"	791	0	100090	866086
M_100094_868348	"SOUTHWICK ST"	0	0	100094	868348
M_100119_868189	"SOUTHWICK ST"	REAR	0	100119	868189
M_100122_866105	"BARRY ST"	781	0	100122	866105
M_100125_868778	"SOUTHWICK ST"	610	0	100125	868778
M_100128_868552	"SOUTHWICK ST"	675	0	100128	868552
M_100129_868701	"SOUTHWICK ST"	650	0	100129	868701
M_100144_868862	"SOUTHWICK ST"	592	0	100144	868862
M_100147_866189	"BARRY ST"	770	0	100147	866189
M_100149_869157	"SOUTHWICK ST"	0	0	100149	869157
M_100167_868919	"SOUTHWICK ST"	576	0	100167	868919
M_100170_866132	"BARRY ST"	767	0	100170	866132
M_100170_866208	"BARRY ST"	760	0	100170	866208
M_100175_866261	"BARBARA LN"	15	0	100175	866261
M_100178_868951	"SOUTHWICK ST"	566	0	100178	868951
M_100184_868984	"SOUTHWICK ST"	558	0	100184	868984
M_100186_868753	"SOUTHWICK ST"	632	0	100186	868753
M_100187_866319	"BARBARA LN"	25	0	100187	866319
M_100199_866221	"BARRY ST"	750	0	100199	866221
M_100203_866150	"BARRY ST"	757	0	100203	866150
M_100203_866786	"SOUTH WEST ST"	REAR	0	100203	866786
M_100216_869024	"SOUTHWICK ST"	550	0	100216	869024
M_100219_866356	"BARBARA LN"	35	0	100219	866356
M_100235_866168	"BARRY ST"	747	0	100235	866168
M_100236_866289	"BARBARA LN"	20	0	100236	866289
M_100241_866247	"BARRY ST"	738	0	100241	866247
M_100251_866538	"JOANNE CR"	0	0	100251	866538
M_100254_865984	"BARRY ST"	0	0	100254	865984
M_100263_866311	"BARBARA LN"	34	0	100263	866311
M_100263_866376	"BARBARA LN"	47	0	100263	866376
M_100268_866187	"BARRY ST"	737	0	100268	866187
M_100271_866262	"BARRY ST"	728	0	100271	866262
M_100275_869387	"SOUTHWICK ST"	REAR	0	100275	869387
M_100275_869710	"NORTH WEST ST"	REAR	0	100275	869710
M_100279_868803	"SOUTHWICK ST"	605	0	100279	868803
M_100280_866439	"JOANNE CR"	93	0	100280	866439
M_100296_866327	"BARBARA LN"	44	0	100296	866327
M_100300_866278	"BARRY ST"	720	0	100300	866278
M_100300_866392	"BARBARA LN"	57	0	100300	866392
M_100301_866205	"BARRY ST"	727	0	100301	866205
M_100309_868842	"SOUTHWICK ST"	593	0	100309	868842
M_100314_866621	"GINA DR"	31	0	100314	866621
M_100316_866666	"GINA DR"	41	0	100316	866666
M_100317_866508	"JOANNE CR"	82	0	100317	866508
M_100320_866443	"JOANNE CR"	85	0	100320	866443
M_100324_866582	"GINA DR"	21	0	100324	866582
M_100328_869111	"SOUTHWICK ST"	540	0	100328	869111
M_100330_866295	"BARRY ST"	712	0	100330	866295
M_100331_866344	"BARBARA LN"	54	0	100331	866344
M_100332_866224	"BARRY ST"	719	0	100332	866224
M_100334_868878	"SOUTHWICK ST"	583	0	100334	868878
M_100336_866173	"SHARON LN"	20	0	100336	866173
M_100338_866409	"BARBARA LN"	67	0	100338	866409
M_100339_866550	"GINA DR"	13	0	100339	866550
M_100343_869229	"SOUTHWICK ST"	532	0	100343	869229
M_100350_866138	"SHARON LN"	28	0	100350	866138
M_100353_866461	"JOANNE CR"	75	0	100353	866461
M_100353_866520	"JOANNE CR"	72	0	100353	866520
M_100360_866311	"BARRY ST"	702	0	100360	866311
M_100363_868921	"SOUTHWICK ST"	"LOT D"	0	100363	868921
M_100368_866360	"BARBARA LN"	66	0	100368	866360
M_100371_866608	"KATHY TR"	73	0	100371	866608
M_100372_867594	"SOUTH WEST ST"	0	0	100372	867594
M_100373_866665	"KATHY TR"	74	0	100373	866665
M_100375_866101	"SHARON LN"	36	0	100375	866101
M_100376_866426	"BARBARA LN"	79	0	100376	866426
M_100380_866259	"BARRY ST"	703	0	100380	866259
M_100380_868416	"SOUTH WEST ST"	180	0	100380	868416
M_100384_866475	"JOANNE CR"	67	0	100384	866475
M_100387_869568	"NORTH WEST ST"	113	0	100387	869568
M_100389_868001	"SOUTH WEST ST"	0	0	100389	868001
M_100390_868851	"TOBACCO FARM RD"	191	0	100390	868851
M_100392_866325	"BARRY ST"	694	0	100392	866325
M_100393_866573	"GINA DR"	14	0	100393	866573
M_100397_866224	"SHARON LN"	15	0	100397	866224
M_100402_870587	"NORTH WEST ST"	REAR	0	100402	870587
M_100405_866376	"BARBARA LN"	76	0	100405	866376
M_100405_866544	"JOANNE CR"	56	0	100405	866544
M_100405_866608	"KATHY TR"	65	0	100405	866608
M_100407_866664	"KATHY TR"	66	0	100407	866664
M_100413_866443	"BARBARA LN"	89	0	100413	866443
M_100414_866489	"JOANNE CR"	57	0	100414	866489
M_100415_866186	"SHARON LN"	25	0	100415	866186
M_100421_866279	"BARRY ST"	689	0	100421	866279
M_100423_866339	"BARRY ST"	684	0	100423	866339
M_100425_868953	"SOUTHWICK ST"	0	0	100425	868953
M_100435_869078	"SOUTHWICK ST"	0	0	100435	869078
M_100438_866607	"KATHY TR"	57	0	100438	866607
M_100439_867275	"SOUTH WEST ST"	REAR	0	100439	867275
M_100439_868904	"TOBACCO FARM RD"	194	0	100439	868904
M_100441_866668	"KATHY TR"	58	0	100441	866668
M_100442_866141	"SHARON LN"	35	0	100442	866141
M_100442_866393	"BARBARA LN"	86	0	100442	866393
M_100444_868994	"SOUTHWICK ST"	0	0	100444	868994
M_100445_866561	"JOANNE CR"	48	0	100445	866561
M_100450_866244	"DENISE LN"	40	0	100450	866244
M_100450_866460	"BARBARA LN"	103	0	100450	866460
M_100452_866501	"JOANNE CR"	45	0	100452	866501
M_100454_866353	"BARRY ST"	676	0	100454	866353
M_100455_868811	"TOBACCO FARM RD"	181	0	100455	868811
M_100457_866288	"BARRY ST"	679	0	100457	866288
M_100464_866198	"DENISE LN"	41	0	100464	866198
M_100471_866608	"KATHY TR"	47	0	100471	866608
M_100476_866668	"KATHY TR"	48	0	100476	866668
M_100480_866409	"BARBARA LN"	98	0	100480	866409
M_100485_866367	"BARRY ST"	668	0	100485	866367
M_100485_866552	"JOANNE CR"	40	0	100485	866552
