LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_256512_787571	"MOSHUP TR"	14	1	256512	787571
M_256616_787681	"OLD HARVEST WY"	3	1	256616	787681
M_256461_787739	"MOSHUP TR"	59	1	256461	787739
M_256518_787782	"OLD SOUTH RD"	2	1	256518	787782
M_256394_787815	"MOSHUP TR"	61	1	256394	787815
M_256579_787971	"OLD FIELD RD"	4	1	256579	787971
M_256268_787989	"MOSHUP TR"	63	1	256268	787989
M_256195_788023	"MOSHUP TR"	65	1	256195	788023
M_256082_788133	"MOSHUP TR"	71	1	256082	788133
M_256136_788228	"WINDY HILL DR"	10	1	256136	788228
M_256256_788155	"WINDY HILL DR"	5	1	256256	788155
M_256341_788174	"WINDY HILL DR"	3	1	256341	788174
M_256442_788135	"OLD FIELD RD"	9	1	256442	788135
M_256318_788098	"OLD FIELD RD"	8	1	256318	788098
M_256223_788216	"WINDY HILL DR"	4	1	256223	788216
M_256364_787986	"OLD FIELD RD"	6	1	256364	787986
M_256432_788241	"DUCK POND LN"	10	1	256432	788241
M_256519_788261	"DUCK POND LN"	6	1	256519	788261
M_256575_788226	"DUCK POND LN"	4	1	256575	788226
M_259219_786470	"RED GATE FARM RD"	3	1	259219	786470
M_258616_786721	"NOMANS WATCH RD"	5	1	258616	786721
M_258557_786669	"NOMANS WATCH RD"	1	1	258557	786669
M_258756_786711	"MOSHUP TR"	9	1	258756	786711
M_258541_786776	"NOMANS WATCH RD"	3	1	258541	786776
M_258915_786831	"MOSHUP TR"	7	1	258915	786831
M_259012_786910	"MOSHUP TR"	5	1	259012	786910
M_259135_787034	"MOSHUP TR"	1	1	259135	787034
M_259174_787085	"STATE RD"	2	1	259174	787085
M_259498_787060	"STATE ROAD"	9	1	259498	787060
M_259642_787026	"STATE ROAD"	7	1	259642	787026
M_259999_786935	"STATE RD"	1	1	259999	786935
M_257021_786953	"MOSHUP TR"	43	1	257021	786953
M_257376_786742	"MOSHUP TR"	37	1	257376	786742
M_257069_786780	"MOSHUP TR"	10	1	257069	786780
M_257168_786870	"SEA MIST LN"	1	1	257168	786870
M_257182_786780	"MOSHUP TR"	41	1	257182	786780
M_257195_787026	"SEA MIST LN"	5	1	257195	787026
M_257253_786963	"SEA MIST LN"	3	1	257253	786963
M_257493_786852	"MOSHUP TR"	39	1	257493	786852
M_258424_786610	"NOMANS WATCH RD"	4	1	258424	786610
M_258391_786660	"NOMANS WATCH RD"	2	1	258391	786660
M_258184_786596	"TOWHEE LN"	1	1	258184	786596
M_258291_786503	"MOSHUP TR"	15	1	258291	786503
M_258098_786429	"TOWHEE LN"	4	1	258098	786429
M_258225_786413	"MOSHUP TR"	2	1	258225	786413
M_257929_786158	"MOSHUP TR"	4	1	257929	786158
M_256925_786865	"MOSHUP TR"	12	1	256925	786865
M_257795_789688	"OXCART RD"	27	1	257795	789688
M_257878_789707	"OXCART RD"	25	1	257878	789707
M_258022_789642	"OXCART RD"	23	1	258022	789642
M_258098_789627	"OXCART RD"	21	1	258098	789627
M_258135_789600	"OXCART RD"	19	1	258135	789600
M_258175_789585	"OXCART RD"	17	1	258175	789585
M_258215_789569	"OXCART RD"	15	1	258215	789569
M_258254_789600	"OXCART RD"	13	1	258254	789600
