LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_224540_907261	"GOLDEN AVE"	42	0	224540	907261
M_224570_907270	"GOLDEN AVE"	38	0	224570	907270
M_224570_907308	"GOLDEN AVE"	37	0	224570	907308
M_224590_907315	"GOLDEN AVE"	33	0	224590	907315
M_224592_907269	"GOLDEN AVE"	34	0	224592	907269
M_224598_907344	"APPLETON ST"	564	0	224598	907344
M_224609_907318	"COREY LN"	9	0	224609	907318
M_224613_907271	"GOLDEN AVE"	30	0	224613	907271
M_224639_907355	"COREY LN"	4	0	224639	907355
M_224643_907327	"COREY LN"	8	0	224643	907327
M_224647_907285	"GOLDEN AVE"	26	0	224647	907285
M_224660_907364	"APPLETON ST"	552	0	224660	907364
M_224664_907334	"GOLDEN AVE"	19	0	224664	907334
M_224669_907293	"GOLDEN AVE"	22	0	224669	907293
M_224683_907341	"GOLDEN AVE"	15	0	224683	907341
M_224689_907300	"GOLDEN AVE"	18	0	224689	907300
M_224700_907211	"KENT LN"	0	0	224700	907211
M_224702_907348	"GOLDEN AVE"	11	0	224702	907348
M_224704_907485	"CONCORD TPKE"	0	0	224704	907485
M_224708_907306	"GOLDEN AVE"	14	0	224708	907306
M_224721_907352	"GOLDEN AVE"	7	0	224721	907352
M_224724_907520	"SYLVIA ST"	0	0	224724	907520
M_224728_907313	"GOLDEN AVE"	10	0	224728	907313
M_224736_907539	"SYLVIA ST"	0	0	224736	907539
M_224737_907468	"SYLVIA ST"	0	0	224737	907468
M_224746_907552	"SYLVIA ST"	271	0	224746	907552
M_224748_907319	"GOLDEN AVE"	6	0	224748	907319
M_224755_907500	"SYLVIA ST"	272	0	224755	907500
M_224755_907565	"LUBLIN ST"	14	0	224755	907565
M_224768_907324	"GOLDEN AVE"	2	0	224768	907324
M_224769_907517	"SYLVIA ST"	268	0	224769	907517
M_224772_907484	"APPLETON ST"	507	0	224772	907484
M_224776_907594	"SYLVIA ST"	259	0	224776	907594
M_224781_907440	"WADSWORTH RD"	2	0	224781	907440
M_224781_907536	"LUBLIN ST"	8	0	224781	907536
M_224788_907612	"SYLVIA ST"	255	0	224788	907612
M_224789_907501	"APPLETON ST"	503	0	224789	907501
M_224797_907625	"SYLVIA ST"	251	0	224797	907625
M_224799_907456	"APPLETON ST"	512	0	224799	907456
M_224800_907521	"APPLETON ST"	499	0	224800	907521
M_224804_907565	"LUBLIN ST"	9	0	224804	907565
M_224806_907637	"SYLVIA ST"	247	0	224806	907637
M_224808_907436	"WADSWORTH RD"	6	0	224808	907436
M_224808_907505	"APPLETON ST"	0	0	224808	907505
M_224812_907577	"SYLVIA ST"	0	0	224812	907577
M_224815_907518	"APPLETON ST"	0	0	224815	907518
M_224815_907649	"SYLVIA ST"	243	0	224815	907649
M_224820_907589	"SYLVIA ST"	264	0	224820	907589
M_224824_907466	"APPLETON ST"	508	0	224824	907466
M_224824_907662	"SYLVIA ST"	239	0	224824	907662
M_224825_907548	"APPLETON ST"	489	0	224825	907548
M_224829_907432	"WADSWORTH RD"	10	0	224829	907432
M_224829_907601	"SYLVIA ST"	0	0	224829	907601
M_224832_907536	"APPLETON ST"	0	0	224832	907536
M_224834_907561	"APPLETON ST"	485	0	224834	907561
M_224834_907676	"SYLVIA ST"	235	0	224834	907676
M_224836_907481	"APPLETON ST"	504	0	224836	907481
M_224838_907613	"SYLVIA ST"	258	0	224838	907613
M_224839_907284	"BREWSTER RD"	1	0	224839	907284
M_224842_907257	"BREWSTER RD"	5	0	224842	907257
M_224842_907573	"APPLETON ST"	481	0	224842	907573
M_224845_907230	"BREWSTER RD"	11	0	224845	907230
M_224845_907689	"SYLVIA ST"	231	0	224845	907689
M_224847_907626	"SYLVIA ST"	254	0	224847	907626
M_224848_907202	"BREWSTER RD"	15	0	224848	907202
M_224850_907586	"APPLETON ST"	477	0	224850	907586
M_224851_907176	"BREWSTER RD"	19	0	224851	907176
M_224854_907149	"BREWSTER RD"	23	0	224854	907149
M_224854_907418	"WADSWORTH RD"	16	0	224854	907418
M_224856_907492	"APPLETON ST"	498	0	224856	907492
M_224856_907701	"SYLVIA ST"	227	0	224856	907701
M_224857_907639	"SYLVIA ST"	250	0	224857	907639
M_224858_907598	"APPLETON ST"	473	0	224858	907598
M_224859_907111	"INDIAN HILL RD"	0	0	224859	907111
M_224866_907612	"APPLETON ST"	469	0	224866	907612
M_224867_907443	"BROWNING RD"	4	0	224867	907443
M_224867_907712	"SYLVIA ST"	223	0	224867	907712
M_224868_907509	"APPLETON ST"	0	0	224868	907509
M_224871_907657	"SYLVIA ST"	224	0	224871	907657
M_224875_907285	"MAYFLOWER RD"	2	0	224875	907285
M_224876_907625	"APPLETON ST"	465	0	224876	907625
M_224878_907723	"SYLVIA ST"	219	0	224878	907723
M_224880_907242	"BREWSTER RD"	8	0	224880	907242
