LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_624879_3026512	"WEST MAIN STREET"	0	0	190464	922483
F_626846_3036029	"FITCHBURG ROAD"	100	0	191063	925383
F_626993_3035800	"FITCHBURG ROAD"	0	0	191108	925314
F_627032_3036429	"FITCHBURG ROAD"	99	0	191120	925505
F_627262_3036096	"FITCHBURG ROAD"	0	0	191190	925404
F_627265_3027225	"WEST MAIN STREET"	0	0	191191	922700
F_627418_3036093	"FITCHBURG ROAD"	0	0	191237	925403
F_627496_3035627	"FITCHBURG ROAD"	0	0	191261	925261
F_627566_3027462	"WEST MAIN STREET"	0	0	191282	922772
F_627592_3036089	"FITCHBURG ROAD"	0	0	191290	925402
F_627621_3027111	"WEST MAIN STREET"	215	0	191299	922665
F_627652_3035850	"FITCHBURG ROAD"	95	0	191309	925329
F_627750_3027590	"WEST MAIN STREET"	203	0	191339	922811
F_627753_3027243	"WEST MAIN STREET"	211	0	191339	922706
F_627791_3027042	"WEST MAIN STREET"	210	0	191351	922644
F_627893_3027712	"WEST MAIN STREET"	201	0	191382	922848
F_628023_3027241	"WEST MAIN STREET"	200	0	191422	922705
F_628072_3027745	"WEST MAIN STREET"	193	0	191437	922859
F_628152_3035468	"FITCHBURG ROAD"	95	0	191461	925212
F_628176_3027367	"WEST MAIN STREET"	196	0	191468	922743
F_628231_3027480	"WEST MAIN STREET"	194	0	191485	922778
F_628239_3027931	"WEST MAIN STREET"	0	0	191488	922915
F_628249_3027689	"WEST MAIN STREET"	189	0	191491	922841
F_628249_3029975	"MACPHERSON ROAD"	0	0	191491	923538
F_628287_3027771	"WEST MAIN STREET"	187	0	191502	922866
F_628302_3027401	"WEST MAIN STREET"	0	0	191507	922754
F_628312_3035842	"GROTON SHIRLEY ROAD"	80	0	191510	925326
F_628350_3036619	"GROTON SHIRLEY ROAD"	0	0	191521	925563
F_628409_3027899	"WEST MAIN STREET"	183	0	191539	922905
F_628430_3027623	"WEST MAIN STREET"	188	0	191546	922821
F_628438_3027484	"WEST MAIN STREET"	190	0	191548	922779
F_628482_3028010	"WEST MAIN STREET"	179	0	191562	922939
F_628580_3027626	"WEST MAIN STREET #A1"	184	0	191592	922822
F_628580_3027626	"WEST MAIN STREET #A2"	184	0	191592	922822
F_628580_3027626	"WEST MAIN STREET #A3"	184	0	191592	922822
F_628580_3027626	"WEST MAIN STREET #B1"	184	0	191592	922822
F_628580_3027626	"WEST MAIN STREET #B2"	184	0	191592	922822
F_628580_3027626	"WEST MAIN STREET #B3"	184	0	191592	922822
F_628582_3027769	"WEST MAIN STREET"	176	0	191592	922866
F_628591_3028375	"WEST MAIN STREET"	0	0	191595	923051
F_628597_3028078	"WEST MAIN STREET"	175	0	191597	922960
F_628711_3027687	"WEST MAIN STREET"	178	0	191631	922841
F_628712_3027908	"WEST MAIN STREET"	174	0	191632	922908
F_628714_3028132	"WEST MAIN STREET"	173	0	191632	922976
F_628720_3035604	"FITCHBURG ROAD"	91	0	191634	925254
F_628787_3028196	"WEST MAIN STREET"	167	0	191655	922996
F_628816_3028411	"WEST MAIN STREET"	161	0	191664	923062
F_628845_3028250	"WEST MAIN STREET"	163	0	191672	923012
F_628863_3027798	"WEST MAIN STREET"	172	0	191678	922875
