LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_62971_890129	"DIMMOCK ROAD"	1110	0	62971	890129
M_63122_894837	"JACOBS LADDER ROAD"	4099	0	63122	894837
M_63262_890470	"TYRINGHAM ROAD"	859	0	63262	890470
M_63339_894683	"JACOBS LADDER ROAD"	3971	0	63339	894683
M_63355_891284	"TYRINGHAM ROAD"	700	0	63355	891284
M_63446_898737	"COUNTY ROAD"	1811	0	63446	898737
M_63472_894586	"JACOBS LADDER ROAD"	3949	0	63472	894586
M_63488_892763	"LOOSE TOOTH ROAD"	680	0	63488	892763
M_63585_894542	"JACOBS LADDER ROAD"	3887	0	63585	894542
M_63619_894590	"JACOBS LADDER ROAD"	3902	0	63619	894590
M_63731_894603	"JACOBS LADDER ROAD"	3904	0	63731	894603
M_63746_894448	"JACOBS LADDER ROAD"	3836	0	63746	894448
M_63748_892977	"LOOSE TOOTH ROAD"	550	0	63748	892977
M_63761_894370	"JACOBS LADDER ROAD"	3805	0	63761	894370
M_63764_894431	"JACOBS LADDER ROAD"	3828	0	63764	894431
M_63781_894521	"JACOBS LADDER ROAD"	3860	0	63781	894521
M_63888_894279	"JACOBS LADDER ROAD"	3759	0	63888	894279
M_63912_894263	"JACOBS LADDER ROAD"	3755	0	63912	894263
M_63936_894261	"JACOBS LADDER ROAD"	3749	0	63936	894261
M_63940_892699	"LOOSE TOOTH ROAD"	377	0	63940	892699
M_63964_898398	"COUNTY ROAD"	1505	0	63964	898398
M_64000_894247	"JACOBS LADDER ROAD"	3729	0	64000	894247
M_64069_891962	"LOOSE TOOTH ROAD"	747	0	64069	891962
M_64083_893657	"GREENWATER DRIVE"	190	0	64083	893657
M_64103_893690	"GREENWATER DRIVE"	186	0	64103	893690
M_64107_893651	"GREENWATER DRIVE"	188	0	64107	893651
M_64127_893713	"GREENWATER DRIVE"	174	0	64127	893713
M_64174_893731	"GREENWATER DRIVE"	168	0	64174	893731
M_64199_894203	"JACOBS LADDER ROAD"	3664	0	64199	894203
M_64216_893738	"GREENWATER DRIVE"	158	0	64216	893738
M_64227_894166	"JACOBS LADDER ROAD"	3650	0	64227	894166
M_64246_893728	"GREENWATER DRIVE"	152	0	64246	893728
M_64249_891268	"TYRINGHAM ROAD"	358	0	64249	891268
M_64260_893693	"GREENWATER DRIVE"	138	0	64260	893693
M_64267_893649	"GREENWATER DRIVE"	108	0	64267	893649
M_64319_893614	"GREENWATER DRIVE"	94	0	64319	893614
M_64351_893586	"GREENWATER DRIVE"	74	0	64351	893586
M_64352_893984	"JACOBS LADDER ROAD"	3582	0	64352	893984
M_64357_890764	"TYRINGHAM ROAD"	263	0	64357	890764
M_64373_893562	"GREENWATER DRIVE"	66	0	64373	893562
M_64376_893838	"JACOBS LADDER ROAD"	3529	0	64376	893838
M_64376_893921	"JACOBS LADDER ROAD"	3552	0	64376	893921
M_64382_894226	"JACOBS LADDER ROAD"	3626	0	64382	894226
M_64396_893790	"JACOBS LADDER ROAD"	3521	0	64396	893790
M_64401_893555	"GREENWATER DRIVE"	56	0	64401	893555
M_64403_893502	"GREENWATER DRIVE"	45	0	64403	893502
M_64411_893763	"JACOBS LADDER ROAD"	3509	0	64411	893763
M_64420_893734	"JACOBS LADDER ROAD"	3497	0	64420	893734
M_64427_893710	"JACOBS LADDER ROAD"	3495	0	64427	893710
M_64442_893685	"JACOBS LADDER ROAD"	3493	0	64442	893685
