LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_735094_2973243	"CONCORD AVE"	1100R	0	224057	906246
F_735667_2973678	"CONCORD AVE"	1100	0	224232	906379
F_736226_2974622	"WINTER ST"	181	0	224402	906667
F_736795_2973490	"ROBIN WOOD RD"	49	0	224576	906322
F_736837_2973313	"ROBIN WOOD RD"	56	0	224588	906268
F_736893_2973558	"ROBIN WOOD RD"	39	0	224605	906342
F_736926_2973683	"ROBIN WOOD RD"	31	0	224615	906380
F_736934_2973245	"CONCORD AVE"	1105	0	224618	906247
F_736957_2973377	"ROBIN WOOD RD"	46	0	224625	906287
F_736995_2973745	"ROBIN WOOD RD"	25	0	224637	906399
F_737026_2973205	"CONCORD AVE"	1097	0	224646	906235
F_737036_2973435	"ROBIN WOOD RD"	40	0	224649	906305
F_737082_2973779	"ROBIN WOOD RD"	19	0	224663	906410
F_737100_2973138	"CONCORD AVE"	1085	0	224669	906214
F_737119_2973498	"HOUGH RD"	30	0	224674	906324
F_737153_2973362	"HOUGH RD"	22	0	224685	906283
F_737174_2973067	"MARSH ST"	415	0	224691	906193
F_737175_2973932	"WINTER ST"	148	0	224691	906456
F_737208_2973278	"HOUGH RD"	14	0	224701	906257
F_737218_2973839	"WINTER ST"	136	0	224704	906428
F_737257_2973589	"ROBIN WOOD RD"	12	0	224716	906352
F_737265_2973190	"MARSH ST"	399	0	224719	906230
F_737270_2973758	"ROBIN WOOD RD"	5	0	224720	906403
F_737285_2974095	"WINTER ST"	155	0	224725	906506
F_737312_2972997	"MARSH ST"	440	0	224733	906171
F_737316_2973489	"HOUGH RD"	21	0	224734	906321
F_737326_2970524	"BROOKSIDE AVE"	157	0	224737	905418
F_737326_2970524	"BROOKSIDE AVE"	157R	0	224737	905418
F_737331_2971830	"CONCORD AVE"	1034	0	224739	905816
F_737344_2973986	"WINTER ST"	145	0	224743	906473
F_737358_2970304	"BROOKSIDE AVE"	139	0	224747	905350
F_737358_2970304	"BROOKSIDE AVE"	139R	0	224747	905350
F_737362_2970397	"BROOKSIDE AVE"	145	0	224748	905379
F_737362_2970397	"BROOKSIDE AVE"	145A	0	224748	905379
F_737362_2970397	"BROOKSIDE AVE"	145B	0	224748	905379
F_737363_2973640	"WINTER ST"	120	0	224749	906367
F_737373_2970233	"BROOKSIDE AVE"	133	0	224752	905329
F_737373_2970233	"BROOKSIDE AVE"	133R	0	224752	905329
F_737373_2973387	"HOUGH RD"	11	0	224752	906290
F_737385_2974162	"COUNTRY CLUB LN"	33	0	224755	906526
F_737389_2970166	"BROOKSIDE AVE"	127	0	224757	905308
F_737389_2970166	"BROOKSIDE AVE"	127R	0	224757	905308
F_737392_2972942	"CONCORD AVE"	1061	0	224758	906155
F_737405_2970101	"BROOKSIDE AVE"	121	0	224761	905289
F_737405_2970101	"BROOKSIDE AVE"	121R	0	224761	905289
F_737411_2973559	"WINTER ST"	112	0	224763	906343
F_737412_2973103	"MARSH ST"	426	0	224764	906204
F_737420_2973849	"WINTER ST"	135	0	224766	906431
F_737424_2970034	"BROOKSIDE AVE"	115	0	224767	905268
F_737424_2970034	"BROOKSIDE AVE"	115R	0	224767	905268
F_737427_2969875	"BROOKSIDE AVE"	103R	0	224768	905220
F_737435_2973287	"MARSH ST"	383	0	224771	906260
F_737437_2974089	"COUNTRY CLUB LN"	41	0	224771	906504
F_737444_2970454	"BROOKSIDE AVE"	126	0	224773	905396
F_737457_2972904	"CONCORD AVE"	1053	0	224777	906143
F_737458_2969967	"BROOKSIDE AVE"	109	0	224778	905248
F_737458_2969967	"BROOKSIDE AVE"	109R	0	224778	905248
F_737459_2973475	"WINTER ST"	104	0	224778	906317
F_737482_2973731	"WINTER ST"	123	0	224785	906395
F_737493_2969902	"BROOKSIDE AVE"	103	0	224788	905228
F_737498_2973976	"COUNTRY CLUB LN"	49	0	224790	906470
F_737506_2973391	"WINTER ST"	96	0	224792	906291
F_737510_2970412	"LORIMER RD"	106	0	224793	905383
F_737517_2970258	"BROOKSIDE AVE"	112	0	224796	905336
F_737518_2972850	"CONCORD AVE"	1047	0	224796	906126
F_737521_2969824	"BROOKSIDE AVE"	97	0	224797	905204
F_737521_2975273	"WINTER ST"	171-181	0	224797	906865
F_737523_2973133	"MARSH ST"	414	0	224797	906213
F_737536_2973636	"WINTER ST"	109	0	224801	906366
F_737558_2973305	"WINTER ST"	88	0	224808	906265
F_737558_2973852	"COUNTRY CLUB LN"	63	0	224808	906432
F_737568_2970201	"LORIMER RD"	87	0	224811	905319
F_737569_2969764	"BROOKSIDE AVE"	91	0	224811	905186
F_737571_2970387	"LORIMER RD"	100	0	224812	905376
F_737576_2972791	"CONCORD AVE"	1041	0	224814	906109
F_737585_2970112	"BROOKSIDE AVE"	100	0	224816	905292
F_737592_2973537	"WINTER ST"	101	0	224818	906336
F_737606_2970046	"BROOKSIDE AVE"	92	0	224823	905272
F_737609_2973747	"COUNTRY CLUB LN"	71	0	224824	906400
F_737611_2969715	"BROOKSIDE AVE"	85	0	224824	905171
F_737611_2974139	"COUNTRY CLUB LN"	46	0	224824	906519
F_737621_2973044	"WINTER ST"	70	0	224827	906186
F_737622_2969961	"VERNON RD"	3	0	224828	905246
F_737633_2970364	"LORIMER RD"	94	0	224831	905369
F_737635_2973158	"WINTER ST"	76	0	224832	906220
F_737638_2972732	"CONCORD AVE"	1035	0	224833	906091
F_737647_2970196	"LORIMER RD"	81	0	224835	905318
F_737647_2973440	"WINTER ST"	97	0	224835	906306
F_737662_2974042	"COUNTRY CLUB LN"	54	0	224840	906490
F_737665_2973618	"COUNTRY CLUB LN"	79	0	224841	906361
F_737671_2972972	"WINTER ST"	60	0	224843	906164
F_737676_2969674	"BROOKSIDE AVE"	79	0	224844	905158
F_737682_2969995	"VERNON RD"	11	0	224846	905256
F_737694_2970342	"LORIMER RD"	88	0	224850	905362
F_737697_2972675	"CONCORD AVE"	1029	0	224850	906073
F_737699_2970158	"LORIMER RD"	75	0	224851	905306
F_737700_2973932	"COUNTRY CLUB LN"	62	0	224851	906456
F_737713_2973352	"MARSH ST"	365	0	224855	906280
F_737715_2972900	"WINTER ST"	52	0	224856	906142
F_737718_2969851	"VERNON RD"	4	0	224857	905212
F_737725_2969605	"BROOKSIDE AVE"	73	0	224859	905137
F_737725_2969605	"BROOKSIDE AVE"	73R	0	224859	905137
F_737730_2970039	"VERNON RD"	15	0	224861	905270
F_737737_2974182	"GREYBIRCH PARK"	40	0	224863	906532
F_737750_2973814	"COUNTRY CLUB LN"	70	0	224867	906420
F_737756_2970318	"LORIMER RD"	82	0	224868	905355
F_737756_2972619	"CONCORD AVE"	1021	0	224868	906056
F_737757_2972829	"WINTER ST"	44	0	224869	906120
F_737764_2973501	"COUNTRY CLUB LN"	87	0	224871	906325
