LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_813203_3040939	"L P HENDERSON RD"	0	0	247865	926880
F_814038_3038832	"LP HENDERSON RD"	0	0	248119	926238
F_814102_3039511	"LP HENDERSON RD"	0	0	248139	926445
F_814116_3037083	"CHERRY HILL DR"	66	0	248143	925705
F_814535_3037110	"CHERRY HILL DR"	72	0	248271	925713
F_814630_3036352	"CHERRY HILL DR"	55	0	248300	925482
F_814654_3040184	"LP HENDERSON RD"	0	0	248307	926650
F_814767_3025921	"REMICK AVE"	0	0	248341	922303
F_814793_3025272	"FOSTERS PT"	22	0	248349	922105
F_814809_3025990	"MELVIN AVE"	0	0	248354	922324
F_814844_3025387	"FOSTERS PT"	28	0	248365	922140
F_814853_3026120	"SHORTELL AVE"	1	0	248368	922363
F_814861_3025186	"FOSTERS PT"	20	0	248370	922079
F_814868_3026216	"REMICK AVE"	4	0	248372	922392
F_814883_3025889	"MELVIN AVE"	1	0	248377	922293
F_814886_3039530	"LP HENDERSON RD"	0	0	248378	926451
F_814923_3025439	"FOSTERS PT"	30	0	248389	922156
F_814926_3025831	"MELVIN AVE"	3	0	248390	922275
F_814935_3025149	"FOSTERS PT"	18	0	248393	922067
F_814955_3025786	"MELVIN AVE"	5	0	248399	922261
F_814962_3026183	"SHORTELL AVE"	2	0	248401	922382
F_814981_3025490	"FOSTERS PT"	34	0	248407	922171
F_814985_3025130	"FOSTERS PT"	16	0	248408	922061
F_815002_3026180	"SHORTELL AVE"	4	0	248413	922382
F_815004_3026666	"HAYES AVE"	46	0	248414	922530
F_815010_3026373	"GARFIELD AVE"	45	0	248416	922440
F_815013_3026465	"TAFT AVE"	44	0	248416	922468
F_815017_3025992	"MELVIN AVE"	2	0	248418	922324
F_815018_3025627	"MELVIN AVE"	0R	0	248418	922213
F_815024_3025124	"FOSTERS PT"	14	0	248420	922060
F_815044_3026893	"HAYES AVE"	45	0	248426	922599
F_815045_3025745	"MELVIN AVE"	7	0	248426	922249
F_815051_3026179	"SHORTELL AVE"	6	0	248428	922381
F_815062_3025333	"FOSTERS PT"	13	0	248431	922123
F_815077_3025478	"FOSTERS PT"	36	0	248436	922168
F_815077_3026613	"TAFT AVE"	43	0	248436	922513
F_815083_3025107	"FOSTERS PT"	12	0	248438	922054
F_815090_3025905	"MELVIN AVE"	8	0	248440	922298
F_815101_3025997	"SHORTELL AVE"	0	0	248443	922326
F_815105_3026177	"SHORTELL AVE"	8	0	248445	922381
F_815109_3036554	"CHERRY HILL DR"	78	0	248446	925544
F_815120_3025666	"MELVIN AVE"	9	0	248449	922225
F_815122_3026366	"GARFIELD AVE"	43	0	248450	922438
F_815125_3026461	"TAFT AVE"	42	0	248451	922467
F_815131_3040642	"CAILIN RD"	3	0	248452	926790
F_815138_3026873	"HAYES AVE"	43	0	248455	922593
F_815141_3025301	"FOSTERS PT"	0	0	248455	922114
F_815152_3026714	"HAYES AVE"	44	0	248459	922544
F_815153_3027208	"VIRGINIA AVE"	32	0	248459	922695
F_815154_3025380	"FOSTERS PT"	39	0	248459	922138
F_815155_3025118	"FOSTERS PT"	10	0	248460	922058
F_815157_3025604	"MELVIN AVE"	11	0	248460	922206
F_815160_3025477	"FOSTERS PT"	40	0	248461	922167
F_815162_3035568	"CHERRY HILL DR"	71	0	248462	925243
F_815163_3026133	"SHORTELL AVE"	10	0	248462	922367
F_815178_3026222	"GARFIELD AVE"	0	0	248467	922394
F_815186_3026610	"TAFT AVE"	41	0	248469	922513
F_815187_3025321	"FOSTERS PT"	7	0	248469	922120
F_815191_3025862	"MELVIN AVE"	10	0	248471	922285
F_815193_3025960	"SHORTELL AVE"	9	0	248471	922314
F_815207_3025145	"FOSTERS PT"	8	0	248476	922066
F_815207_3025815	"MELVIN AVE"	12	0	248476	922270
F_815219_3039133	"LP HENDERSON RD"	30	0	248479	926330
F_815226_3026366	"GARFIELD AVE"	41	0	248481	922438
F_815227_3026119	"SHORTELL AVE"	12	0	248482	922363
F_815231_3027186	"VIRGINIA AVE"	30	0	248483	922688
F_815232_3026861	"HAYES AVE"	41	0	248483	922589
F_815235_3026459	"TAFT AVE"	40	0	248484	922467
F_815238_3025562	"MELVIN AVE"	19	0	248485	922193
F_815242_3025451	"FOSTERS PT"	42	0	248486	922159
F_815250_3025152	"FOSTERS PT"	6	0	248489	922068
F_815262_3026704	"HAYES AVE"	42	0	248492	922541
F_815266_3027692	"BRIDGE ST"	0	0	248494	922842
F_815282_3026102	"SHORTELL AVE"	14	0	248498	922358
F_815283_3025360	"FOSTERS PT"	1	0	248499	922132
F_815287_3025789	"MELVIN AVE"	14	0	248500	922262
F_815288_3025169	"FOSTERS PT"	4	0	248500	922073
F_815289_3026603	"TAFT AVE"	39	0	248501	922510
F_815292_3026953	"KENNEDY DR"	13	0	248501	922617
F_815310_3027054	"KENNEDY DR"	11	0	248507	922648
F_815320_3026196	"GARFIELD AVE"	0	0	248510	922386
F_815327_3026347	"GARFIELD AVE"	39	0	248512	922432
F_815330_3026847	"KENNEDY DR"	15	0	248513	922585
F_815331_3026086	"SHORTELL AVE"	16	0	248513	922353
F_815339_3025184	"FOSTERS PT"	2	0	248516	922078
F_815341_3026443	"TAFT AVE"	38	0	248516	922462
