LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_701849_3029237	"NASHUA RD"	0	0	213924	923313
F_702436_3029793	"NASHUA RD"	9	0	214103	923483
F_702998_3031765	"NASHUA RD"	2	0	214274	924084
F_703050_3029300	"WESTMEADOW LN"	10	0	214290	923332
F_703057_3028201	"RANGEWAY RD"	283	0	214292	922998
F_703109_3031314	"NASHUA RD"	12	0	214308	923946
F_703112_3029883	"WESTMEADOW LN"	9	0	214309	923510
F_703118_3030282	"NASHUA RD"	31	0	214311	923632
F_703305_3032404	"SULLIVAN RD"	56	0	214368	924279
F_703329_3030257	"NASHUA RD"	33	0	214375	923624
F_703344_3029447	"WESTMEADOW LN"	8	0	214380	923377
F_703362_3032054	"SULLIVAN RD"	48	0	214385	924172
F_703431_3029773	"WESTMEADOW LN"	7	0	214406	923477
F_703432_3031612	"SULLIVAN RD"	38	0	214407	924037
F_703496_3029384	"WESTMEADOW LN"	6	0	214426	923358
F_703532_3029105	"RANGEWAY RD"	279	0	214437	923273
F_703556_3030145	"NASHUA RD"	35	0	214444	923590
F_703588_3028774	"RANGEWAY RD"	281	0	214454	923172
F_703631_3029644	"WESTMEADOW LN"	5	0	214467	923437
F_703661_3030812	"NASHUA RD"	0	0	214476	923793
F_703674_3027693	"RANGEWAY RD"	294	0	214480	922843
F_703683_3029261	"WESTMEADOW LN"	4	0	214483	923321
F_703732_3031216	"SULLIVAN RD"	34	0	214498	923916
F_703800_3031494	"SULLIVAN RD"	36	0	214519	924001
F_703822_3029495	"WESTMEADOW LN"	3	0	214525	923392
F_703893_3029134	"WESTMEADOW LN"	2	0	214547	923282
F_703910_3028570	"RANGEWAY RD"	284	0	214552	923110
F_703936_3031816	"SULLIVAN RD"	0	0	214560	924099
F_703960_3028322	"RANGEWAY RD"	286	0	214567	923034
F_703980_3028724	"RANGEWAY RD"	282	0	214574	923157
F_704012_3029372	"WESTMEADOW LN"	1	0	214583	923354
F_704023_3028820	"RANGEWAY RD"	280	0	214587	923186
F_704064_3028912	"RANGEWAY RD"	278	0	214599	923214
F_704069_3028497	"COACH RD"	3	0	214601	923088
F_704078_3030556	"NASHUA RD"	0	0	214603	923715
F_704105_3029003	"RANGEWAY RD"	276	0	214612	923242
F_704134_3033344	"RANGEWAY RD"	0	0	214620	924565
F_704146_3029094	"RANGEWAY RD"	274	0	214624	923270
F_704188_3028877	"COACH RD"	4	0	214637	923204
F_704190_3029183	"RANGEWAY RD"	272	0	214638	923297
F_704199_3030116	"NASHUA RD"	44	0	214640	923581
F_704205_3028503	"COACH RD"	5	0	214642	923090
F_704231_3029278	"RANGEWAY RD"	268	0	214650	923326
F_704259_3029391	"RANGEWAY RD"	268	0	214659	923360
F_704272_3027876	"RANGEWAY RD"	292	0	214663	922898
F_704293_3028177	"RANGEWAY RD"	288	0	214669	922990
F_704307_3028483	"COACH RD"	7	0	214673	923083
F_704350_3029269	"NASHUA RD"	65	0	214686	923323
F_704357_3031407	"SULLIVAN RD"	0	0	214688	923975
F_704359_3028968	"COACH RD"	6	0	214689	923231
F_704373_3029151	"NASHUA RD"	71	0	214693	923287
F_704381_3030925	"SULLIVAN RD"	27	0	214696	923828
F_704395_3028407	"COACH RD"	11	0	214700	923060
F_704412_3028788	"COACH RD"	8	0	214705	923176
F_704459_3031880	"SULLIVAN RD"	136	0	214720	924119
F_704486_3028330	"COACH RD"	13	0	214728	923037
F_704486_3029075	"NASHUA RD"	75	0	214728	923264
F_704512_3027941	"COACH RD"	19	0	214736	922918
F_704520_3028671	"STAGE RD"	5	0	214738	923141
F_704551_3029025	"NASHUA RD"	81	0	214748	923249
F_704572_3027835	"COACH RD"	21	0	214754	922886
F_704584_3028243	"COACH RD"	15	0	214758	923010
F_704592_3028109	"COACH RD"	17	0	214760	922969
F_704613_3030810	"SULLIVAN RD"	25	0	214766	923793
F_704614_3030550	"SULLIVAN RD"	23	0	214767	923713
F_704617_3028774	"STAGE RD"	3	0	214768	923172
F_704625_3028966	"NASHUA RD"	83	0	214770	923231
F_704629_3029795	"SULLIVAN RD"	14	0	214771	923483
F_704629_3031173	"SULLIVAN RD"	0	0	214771	923903
F_704652_3030256	"RANGEWAY RD"	247	0	214778	923624
F_704665_3027288	"RICCA FARM RD"	0	0	214782	922719
F_704667_3029376	"NASHUA RD"	62	0	214783	923356
F_704693_3028892	"NASHUA RD"	85	0	214791	923208
F_704722_3028492	"STAGE RD"	6	0	214800	923086
F_704744_3030404	"RANGEWAY RD"	247	0	214806	923669
F_704759_3030592	"RANGEWAY RD"	243	0	214811	923726
F_704760_3028818	"NASHUA RD"	87	0	214811	923186
F_704778_3033736	"RANGEWAY RD"	0	0	214817	924685
