LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_638957_2837429	"MILK ST"	139	0	194754	864850
F_638963_2836705	"ORCHARD ST"	58	0	194756	864629
F_638964_2836848	"ORCHARD ST"	57	0	194757	864673
F_638998_2843842	"UNION ST"	52	0	194767	866805
F_639016_2837613	"MILK ST"	137	0	194772	864906
F_639038_2843631	"UNION ST"	50	0	194779	866740
F_639043_2834485	"LINCOLN ST"	315	0	194781	863953
F_639051_2836890	"MILK ST"	138	0	194783	864686
F_639068_2837180	"MILK ST"	140	0	194788	864774
F_639095_2830457	"HARKNESS RD"	74	0	194797	862725
F_639112_2844611	"UNION ST"	55	0	194802	867039
F_639119_2838036	"MILK ST"	135	0	194804	865035
F_639124_2843119	"UNION ST"	46	0	194805	866584
F_639139_2832025	"MAIN ST"	357	0	194810	863203
F_639163_2843512	"UNION ST"	48	0	194817	866704
F_639173_2833969	"LINCOLN ST"	313	0	194820	863795
F_639230_2834619	"LINCOLN ST"	310	0	194838	863994
F_639272_2830465	"HARKNESS RD"	76	0	194850	862727
F_639280_2836866	"ORCHARD ST"	49	0	194853	864678
F_639330_2843988	"UNION ST"	47	0	194868	866849
F_639362_2834576	"LINCOLN ST"	308	0	194878	863980
F_639408_2836513	"ORCHARD ST"	50	0	194892	864571
F_639416_2833884	"LINCOLN ST"	307	0	194894	863770
F_639416_2836082	"ORCHARD ST"	56	0	194894	864440
F_639417_2834336	"LINCOLN ST"	305	0	194895	863907
F_639444_2837705	"MILK ST"	134	0	194903	864934
F_639458_2836990	"ORCHARD ST"	47	0	194907	864716
F_639458_2843028	"UNION ST"	44	0	194907	866557
F_639495_2830483	"HARKNESS RD"	78	0	194918	862733
F_639496_2834268	"LINCOLN ST"	303	0	194919	863887
F_639525_2834485	"LINCOLN ST"	306	0	194928	863953
F_639556_2843928	"UNION ST"	45	0	194937	866831
F_639557_2832499	"MAIN ST"	356	0	194937	863347
F_639557_2836564	"ORCHARD ST"	48	0	194937	864586
F_639563_2833738	"LINCOLN ST"	295	0	194939	863725
F_639574_2834225	"LINCOLN ST"	301	0	194943	863874
F_639592_2838655	"MILK ST"	125	0	194948	865224
F_639632_2843630	"UNION ST"	43	0	194960	866740
F_639636_2834436	"LINCOLN ST"	304	0	194961	863938
F_639658_2844385	"UNION ST"	51	0	194968	866970
F_639659_2834191	"LINCOLN ST"	299	0	194968	863863
F_639718_2842919	"UNION ST"	42	0	194986	866523
F_639730_2834390	"LINCOLN ST"	302	0	194990	863924
F_639735_2836557	"ORCHARD ST"	42	0	194992	864584
F_639754_2834178	"LINCOLN ST"	297	0	194997	863859
F_639770_2841343	"CHESTNUT ST"	14	0	195002	866043
F_639774_2835870	"ORCHARD ST"	38	0	195004	864375
F_639793_2832022	"MAIN ST"	348	0	195009	863202
F_639827_2834349	"LINCOLN ST"	298	0	195020	863911
F_639829_2843410	"UNION ST"	41	0	195020	866673
F_639862_2836886	"ORCHARD ST"	43	0	195030	864685
F_639932_2834323	"LINCOLN ST"	296	0	195052	863903
F_639980_2843029	"UNION ST"	40	0	195066	866557
F_640003_2836512	"ORCHARD ST"	40	0	195073	864571
F_640005_2836866	"ORCHARD ST"	41	0	195074	864678
F_640020_2842034	"CHESTNUT ST"	22	0	195078	866254
F_640029_2842780	"CHESTNUT ST"	26	0	195081	866481
F_640034_2834311	"LINCOLN ST"	294	0	195083	863900
F_640081_2843468	"UNION ST"	39	0	195097	866691
F_640134_2834303	"LINCOLN ST"	292	0	195113	863897
F_640167_2836892	"ORCHARD ST"	39	0	195123	864686
F_640214_2833908	"LINCOLN ST"	291	0	195138	863777
F_640234_2834300	"LINCOLN ST"	290	0	195144	863896
F_640264_2835886	"ORCHARD ST"	36	0	195153	864380
F_640279_2843095	"CHESTNUT ST"	29	0	195157	866577
F_640323_2831979	"MAIN ST REAR"	338	0	195171	863189
F_640323_2841610	"CHESTNUT ST"	16	0	195171	866124
F_640325_2836816	"ORCHARD ST"	37	0	195171	864663
F_640327_2843667	"UNION ST"	35	0	195172	866751
F_640327_2843667	"UNION ST"	37	0	195172	866751
F_640348_2834270	"LINCOLN ST"	288	0	195178	863887
F_640382_2836359	"ORCHARD ST"	34	0	195189	864524
F_640386_2831788	"MAIN ST"	336	0	195190	863131
F_640426_2841203	"CHESTNUT ST"	12	0	195202	866000
F_640435_2842811	"CHESTNUT ST"	27	0	195205	866491
F_640455_2836761	"ORCHARD ST"	35	0	195211	864646
F_640470_2841055	"CHESTNUT ST"	10	0	195216	865955
F_640487_2833985	"LINCOLN ST"	285	0	195221	863800
F_640507_2843561	"UNION ST"	33	0	195227	866719
F_640510_2836383	"ORCHARD ST"	32	0	195228	864531
F_640515_2843058	"UNION ST"	28	0	195229	866566
F_640517_2834299	"LINCOLN ST"	284	0	195230	863896
F_640524_2831783	"MAIN ST"	334	0	195232	863129
F_640538_2831647	"MAIN ST"	327	0	195236	863088
F_640566_2836050	"ORCHARD ST"	30	0	195245	864430
F_640579_2831782	"MAIN ST"	332	0	195249	863129
F_640579_2832724	"LINCOLN ST"	289	0	195249	863416
F_640610_2833200	"LINCOLN ST"	287	0	195258	863561
F_640616_2842293	"CHESTNUT ST"	23	0	195260	866333
F_640621_2836686	"ORCHARD ST"	33	0	195262	864624
F_640625_2836341	"ORCHARD ST"	30	0	195263	864518
F_640639_2831614	"MAIN ST"	325	0	195267	863078
F_640670_2844020	"UNION ST"	25	0	195277	866859
F_640674_2837451	"ORCHARD ST"	45	0	195278	864857
F_640675_2843528	"UNION ST"	31	0	195278	866709
F_640694_2840290	"CHESTNUT ST"	4	0	195284	865722
F_640695_2831778	"MAIN ST"	330	0	195284	863128
F_640705_2842041	"CHESTNUT ST"	21	0	195287	866256
F_640713_2843850	"UNION ST"	27	0	195290	866807
F_640734_2833286	"LINCOLN ST"	283	0	195296	863587
F_640737_2836187	"ORCHARD ST"	28	0	195297	864472
F_640739_2834330	"LINCOLN ST"	278	0	195298	863906
F_640766_2831777	"MAIN ST"	328	0	195306	863127
F_640786_2841519	"CHESTNUT ST"	13	0	195312	866097
F_640789_2843100	"UNION ST"	26	0	195313	866579
F_640803_2833323	"LINCOLN ST"	281	0	195317	863599
F_640823_2834387	"LINCOLN ST"	274	0	195323	863923
F_640838_2831774	"MAIN ST"	326	0	195328	863126
F_640845_2836591	"ORCHARD ST"	31	0	195330	864595
F_640853_2845321	"UNION ST"	7	0	195332	867256
F_640869_2835971	"ORCHARD ST"	26	0	195337	864406
F_640882_2843520	"UNION ST"	29	0	195341	866707
F_640897_2831559	"MAIN ST"	319	0	195346	863061
F_640902_2831772	"MAIN ST"	324	0	195347	863126
F_640912_2831957	"MAIN ST REAR"	340	0	195350	863182
F_640916_2841327	"CHESTNUT ST"	11	0	195352	866038
F_640932_2841133	"CHESTNUT ST"	9	0	195356	865979
F_640956_2834423	"LINCOLN ST"	272	0	195364	863934
F_640960_2831770	"MAIN ST"	322	0	195365	863125
F_640976_2840978	"CHESTNUT ST"	7	0	195370	865932
F_640980_2834102	"LINCOLN ST"	273	0	195371	863836
F_640984_2833867	"LINCOLN ST"	277	0	195372	863764
F_641008_2835872	"ORCHARD ST"	24	0	195380	864376
F_641011_2839929	"MILK ST"	96	0	195381	865612
F_641020_2831767	"MAIN ST"	322	0	195383	863124
F_641029_2840832	"CHESTNUT ST"	5	0	195386	865887
F_641035_2833240	"LINCOLN ST"	279	0	195388	863573
F_641043_2834162	"LINCOLN ST"	271	0	195390	863854
F_641044_2834530	"LINCOLN ST"	270	0	195391	863966
F_641054_2835699	"ORCHARD ST"	22	0	195394	864323
F_641086_2846168	"MENDON ST"	289	0	195403	867514
F_641094_2840696	"CHESTNUT ST"	3	0	195406	865846
F_641103_2831765	"MAIN ST"	318	0	195409	863124
F_641103_2843226	"UNION ST"	24	0	195409	866617
F_641111_2845051	"UNION ST"	17	0	195411	867173
F_641113_2831509	"MAIN ST"	313	0	195412	863046
F_641121_2835547	"ORCHARD ST"	20	0	195414	864276
F_641149_2844301	"UNION ST"	14	0	195423	866945
F_641151_2835051	"LINCOLN ST"	262	0	195423	864125
F_641168_2840107	"MILK ST"	92	0	195428	865666
F_641187_2831763	"MAIN ST"	316	0	195434	863123
F_641215_2843870	"UNION ST"	18	0	195443	866813
F_641244_2836307	"ORCHARD ST"	19	0	195452	864508
F_641250_2843669	"UNION ST"	20	0	195453	866752
F_641257_2831755	"MAIN ST"	314	0	195456	863121
F_641269_2840584	"MILK ST"	97	0	195459	865812
F_641283_2834144	"LINCOLN ST"	257	0	195463	863849
F_641346_2835511	"ORCHARD ST"	18	0	195483	864265
F_641353_2840332	"MILK ST"	88	0	195485	865735
F_641384_2831752	"MAIN ST"	312	0	195494	863120
