LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_770164_2859916	"SUMNER ST"	198	0	234746	871704
F_770170_2859822	"SUMNER ST"	190	0	234748	871675
F_770170_2860090	"SUMNER ST"	204	0	234748	871757
F_770178_2859743	"SUMNER ST"	184	0	234751	871651
F_770191_2859662	"SUMNER ST"	178	0	234755	871627
F_770206_2859582	"SUMNER ST"	172	0	234759	871602
F_770222_2859504	"SUMNER ST"	168	0	234764	871579
F_770224_2859202	"SUMNER ST"	148	0	234765	871487
F_770224_2859407	"SUMNER ST"	156	0	234765	871549
F_770305_2858994	"SUMNER ST"	0	0	234789	871423
F_770310_2859409	"SUMNER ST"	0	0	234791	871550
F_770339_2859244	"SUMNER ST"	140	0	234800	871499
F_770360_2859754	"SUMNER ST"	183	0	234806	871655
F_770362_2858472	"SUMNER ST"	0	0	234807	871264
F_770369_2859680	"SUMNER ST"	177	0	234809	871632
F_770377_2860127	"SUMNER ST"	215	0	234811	871768
F_770380_2859845	"SUMNER ST"	191	0	234812	871682
F_770383_2859154	"SUMNER ST"	132	0	234813	871472
F_770390_2859614	"SUMNER ST"	171	0	234815	871612
F_770390_2859945	"SUMNER ST"	197	0	234815	871713
F_770390_2860032	"SUMNER ST"	205	0	234815	871739
F_770414_2860278	"RAY AV"	6	0	234823	871814
F_770427_2859064	"SUMNER ST"	124	0	234827	871444
F_770431_2858838	"SUMNER ST"	110	0	234828	871376
F_770441_2859450	"SUMNER ST"	155	0	234831	871562
F_770476_2858979	"SUMNER ST"	118	0	234842	871419
F_770480_2860143	"RAY AV"	9	0	234843	871773
F_770482_2858116	"SUMNER ST"	44	0	234843	871155
F_770510_2860328	"RAY AV"	18	0	234852	871830
F_770519_2859661	"SUMNER ST"	165	0	234855	871626
F_770531_2859356	"SUMNER ST"	147	0	234858	871533
F_770534_2860074	"BROWN ST"	84	0	234859	871752
F_770548_2858571	"SUMNER ST"	86	0	234864	871294
F_770550_2859979	"BROWN ST"	74	0	234864	871723
F_770565_2859881	"BROWN ST"	66	0	234869	871693
F_770570_2858718	"SUMNER ST"	100	0	234870	871339
F_770575_2857658	"PLEASANT ST"	0	0	234872	871016
F_770580_2859253	"SUMNER ST"	135	0	234873	871502
F_770582_2858434	"SUMNER ST"	76	0	234874	871252
F_770587_2857418	"PLEASANT ST"	1396	0	234875	870943
F_770598_2858311	"SUMNER ST"	62	0	234879	871215
F_770607_2859471	"SUMNER ST"	0	0	234881	871569
F_770608_2860380	"RAY AV"	28	0	234882	871846
F_770622_2857965	"SUMNER ST"	34	0	234886	871109
F_770637_2857845	"SUMNER ST"	26	0	234891	871073
F_770640_2860226	"RAY AV"	23	0	234892	871799
F_770657_2859094	"SUMNER ST"	121	0	234897	871454
F_770660_2857161	"PLEASANT ST"	0	0	234898	870864
F_770663_2859813	"BROWN ST"	58	0	234899	871673
F_770687_2858989	"SUMNER ST"	113	0	234906	871422
F_770689_2858216	"SUMNER ST"	54	0	234906	871186
F_770694_2859712	"BROWN ST"	50	0	234908	871642
F_770705_2860146	"BROWN ST"	81	0	234911	871774
F_770707_2860434	"RAY AV"	36	0	234912	871862
F_770719_2859604	"BROWN ST"	42	0	234916	871609
F_770724_2859289	"LEAH DR"	22	0	234917	871513
F_770725_2857623	"PLEASANT ST"	1381	0	234917	871005
F_770726_2860273	"RAY AV"	31	0	234918	871813
F_770734_2860047	"BROWN ST"	71	0	234920	871744
F_770759_2857451	"PLEASANT ST"	1382	0	234928	870953
F_770762_2857765	"SUMNER ST"	18	0	234929	871049
F_770765_2859476	"BROWN ST"	36	0	234930	871570
F_770767_2859945	"BROWN ST"	63	0	234930	871713
F_770785_2858738	"SUMNER ST"	91	0	234936	871345
F_770804_2858859	"SUMNER ST"	101	0	234942	871382
F_770809_2860307	"RAY AV"	39	0	234943	871823
F_770812_2859826	"BROWN ST"	55	0	234944	871677
F_770812_2860488	"RAY AV"	44	0	234944	871878
F_770813_2857688	"SUMNER ST"	14	0	234944	871025
F_770814_2859053	"LEAH DR"	25	0	234945	871441
F_770818_2860189	"GLOBE RD"	52	0	234946	871787
F_770825_2859298	"LEAH DR"	26	0	234948	871516
F_770834_2860089	"GLOBE RD"	44	0	234951	871757
F_770835_2857611	"PLEASANT ST"	1371	0	234951	871002
F_770851_2859988	"GLOBE RD"	36	0	234956	871726
F_770864_2859712	"BROWN ST"	45	0	234960	871642
F_770875_2858676	"SUMNER ST"	87	0	234963	871326
F_770879_2857472	"PLEASANT ST"	1372	0	234964	870959
F_770881_2859883	"GLOBE RD"	28	0	234965	871694
F_770884_2859438	"BROWN ST"	30	0	234966	871558
F_770884_2859617	"BROWN ST"	35	0	234966	871613
F_770893_2856633	"PLEASANT ST"	0	0	234969	870703
F_770893_2858568	"SUMNER ST"	83	0	234969	871293
F_770914_2859064	"LEAH DR"	31	0	234975	871444
F_770915_2860513	"RAY AV"	52	0	234975	871886
F_770926_2859306	"LEAH DR"	34	0	234979	871518
F_770937_2858485	"SUMNER ST"	75	0	234982	871268
F_770939_2859780	"GLOBE RD"	22	0	234983	871663
F_770943_2858399	"SUMNER ST"	63	0	234984	871242
F_770944_2857977	"SUMNER ST"	27	0	234984	871113
F_770945_2860354	"RAY AV"	51	0	234985	871838
F_770952_2858251	"SUMNER ST"	51	0	234987	871197
F_770954_2858326	"SUMNER ST"	57	0	234987	871220
F_770957_2858175	"SUMNER ST"	45	0	234988	871173
F_770960_2860255	"GLOBE RD"	55	0	234989	871807
F_770963_2857888	"SUMNER ST"	21	0	234990	871086
F_770968_2858082	"SUMNER ST"	35	0	234992	871145
F_770970_2859613	"BROWN ST"	23	0	234992	871612
F_770977_2860157	"GLOBE RD"	47	0	234994	871778
F_770980_2857795	"SUMNER ST"	17	0	234995	871058
F_770991_2860606	"IRMA RD"	112	0	234999	871914
F_770992_2860059	"GLOBE RD"	41	0	234999	871748
F_770998_2857335	"PLEASANT ST"	1366	0	235001	870917
F_771000_2859703	"GLOBE RD"	0	0	235001	871639
F_771003_2857672	"PLEASANT ST"	1365	0	235002	871020
F_771007_2859779	"GLOBE RD"	0	0	235003	871662
F_771009_2859447	"BROWN ST"	22	0	235004	871561
F_771013_2859073	"LEAH DR"	39	0	235005	871447
F_771014_2859964	"GLOBE RD"	31	0	235006	871719
F_771018_2860521	"RAY AV"	60	0	235007	871889
F_771025_2859316	"LEAH DR"	42	0	235009	871521
F_771025_2859599	"BROWN ST"	0	0	235009	871608
F_771041_2858867	"MESSINA DR"	10	0	235014	871384
F_771042_2860370	"RAY AV"	59	0	235014	871843
F_771050_2854989	"GOLDFINCH DR"	110	0	235017	870202
F_771052_2859875	"GLOBE RD"	21	0	235017	871692
F_771056_2859486	"BROWN ST"	0	0	235018	871573
F_771057_2855581	"W ELM ST EXT"	0	0	235019	870383
F_771059_2860271	"IRMA RD"	84	0	235019	871812
F_771060_2858627	"MESSINA DR"	5	0	235020	871311
F_771063_2859714	"GLOBE RD"	14	0	235020	871643
F_771075_2859608	"BROWN ST"	15	0	235024	871610
F_771075_2860172	"IRMA RD"	76	0	235024	871782
F_771087_2854774	"GOLDFINCH DR"	100	0	235028	870137
F_771091_2860073	"IRMA RD"	68	0	235029	871752
F_771110_2859458	"BROWN ST"	12	0	235035	871565
F_771111_2858070	"PLEASANT ST"	1357	0	235035	871141
F_771113_2859082	"LEAH DR"	47	0	235036	871450
F_771121_2854587	"GOLDFINCH DR"	90	0	235038	870080
F_771121_2859968	"IRMA RD"	60	0	235038	871720
F_771124_2859325	"LEAH DR"	50	0	235039	871524
F_771150_2860674	"IRMA RD"	111	0	235047	871935
F_771158_2854381	"GOLDFINCH DR"	80	0	235049	870017
F_771161_2859867	"GLOBE RD"	7	0	235050	871689
F_771164_2860568	"IRMA RD"	105	0	235051	871903
F_771170_2859618	"BROWN ST"	7	0	235053	871613
F_771175_2859732	"GLOBE RD"	6	0	235055	871648
F_771181_2860463	"IRMA RD"	95	0	235056	871871
