LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_481756_2888846	"LONG HILL DISTRICT"	0	0	146840	880522
F_482236_2897114	"LONG HILL RD"	136	0	146986	883042
F_482342_2887189	"WEBBER RD"	109	0	147018	880017
F_482421_2885230	"WEBBER RD"	98	0	147042	879420
F_482717_2894366	"LONG HILL RD"	134	0	147132	882205
F_482790_2885966	"WEBBER RD"	96	0	147155	879644
F_482867_2896420	"LONG HILL RD"	130	0	147178	882831
F_482926_2885965	"WEBBER RD"	94	0	147196	879644
F_483075_2896483	"LONG HILL RD"	128	0	147242	882850
F_483108_2885953	"WEBBER RD"	92	0	147252	879640
F_483208_2886926	"WEBBER RD"	105	0	147282	879937
F_483237_2896893	"LONG HILL RD"	126	0	147291	882975
F_483347_2885937	"WEBBER RD"	88	0	147324	879635
F_483463_2896869	"LONG HILL RD"	124	0	147360	882967
F_483483_2886219	"WEBBER RD"	103	0	147366	879721
F_483492_2885205	"WEBBER RD"	84	0	147369	879412
F_483521_2889092	"TOWN FARM RD"	143	0	147377	880597
F_483532_2885931	"WEBBER RD"	86	0	147381	879634
F_483603_2886144	"WEBBER RD"	99	0	147402	879698
F_483617_2889460	"TOWN FARM RD"	141	0	147407	880709
F_483680_2889651	"TOWN FARM RD"	137	0	147426	880767
F_483723_2889910	"TOWN FARM RD"	135	0	147439	880846
F_483724_2894178	"TOWN FARM RD"	87	0	147439	882147
F_483757_2890165	"TOWN FARM RD"	133	0	147449	880924
F_483769_2887725	"WEBBER RD"	75	0	147453	880180
F_483769_2890355	"TOWN FARM RD"	131	0	147453	880982
F_483773_2890546	"TOWN FARM RD"	129	0	147454	881040
F_483792_2890747	"TOWN FARM RD"	127	0	147460	881101
F_483800_2892788	"TOWN FARM RD"	97	0	147463	881724
F_483808_2890942	"TOWN FARM RD"	125	0	147465	881161
F_483811_2893436	"COUNTRY WOOD CIRCLE"	6	0	147466	881921
F_483824_2891154	"TOWN FARM RD"	123	0	147470	881226
F_483830_2891365	"TOWN FARM RD"	121	0	147472	881290
F_483835_2891562	"TOWN FARM RD"	119	0	147473	881350
F_483840_2891764	"TOWN FARM RD"	117	0	147475	881411
F_483842_2894723	"TOWN FARM RD"	85	0	147475	882313
F_483850_2886272	"WEBBER RD"	97	0	147478	879737
F_483854_2891938	"TOWN FARM RD"	115	0	147479	881464
F_483858_2896849	"LONG HILL RD"	122	0	147480	882961
F_483872_2893709	"COUNTRY WOOD CIRCLE"	3	0	147484	882004
F_483937_2895219	"TOWN FARM RD"	83	0	147504	882465
F_483945_2886414	"WEBBER RD"	93	0	147507	879781
F_483960_2888434	"WEBBER RD"	63	0	147511	880396
F_484001_2886506	"WEBBER RD"	91	0	147524	879809
F_484031_2893485	"COUNTRY WOOD CIRCLE"	4	0	147533	881936
F_484046_2886605	"WEBBER RD"	89	0	147538	879839
F_484087_2886706	"WEBBER RD"	85	0	147550	879870
F_484114_2886809	"WEBBER RD"	81	0	147558	879901
F_484140_2888862	"TOWN FARM RD"	159	0	147566	880527
F_484142_2886914	"WEBBER RD"	79	0	147567	879933
F_484145_2885303	"WEBBER RD"	80	0	147568	879442
F_484163_2886988	"WEBBER RD"	77	0	147573	879956
F_484178_2893822	"COUNTRY WOOD CIRCLE"	1	0	147578	882039
F_484204_2887098	"WEBBER RD"	75	0	147586	879989
F_484240_2887166	"WEBBER RD"	73	0	147597	880010
F_484248_2892547	"TOWN FARM RD"	99	0	147599	881650
F_484275_2895790	"TOWN FARM RD"	81	0	147607	882639
F_484281_2887222	"WEBBER RD"	71	0	147609	880027
F_484320_2887293	"WEBBER RD"	69	0	147621	880049
F_484377_2892385	"TOWN FARM RD"	103	0	147638	881601
F_484385_2893696	"COUNTRY WOOD CIRCLE"	2	0	147641	882000
F_484397_2887473	"WEBBER RD"	67	0	147645	880104
F_484407_2892006	"TOWN FARM RD"	113	0	147648	881485
F_484486_2892131	"TOWN FARM RD"	111	0	147672	881523
F_484564_2892299	"TOWN FARM RD"	109	0	147695	881574
F_484590_2888505	"WEBBER RD"	57	0	147703	880418
F_484601_2886972	"WEBBER RD"	70	0	147707	879951
F_484613_2894343	"TOWN FARM RD"	88	0	147710	882198
F_484642_2901163	"LONG HILL RD"	121	0	147719	884276
F_484719_2889387	"TOWN FARM RD"	139	0	147743	880687
F_484722_2894006	"TOWN FARM RD"	92	0	147744	882095
F_484732_2892481	"TOWN FARM RD"	107	0	147747	881630
F_484734_2892906	"TOWN FARM RD"	101	0	147747	881760
F_484742_2898213	"LONG HILL RD"	104	0	147750	883377
F_484836_2885287	"WEBBER RD"	74	0	147778	879437
F_484845_2886499	"SCHOOLHOUSE X RD"	11	0	147781	879807
F_484846_2895623	"TOWN FARM RD"	77	0	147781	882588
F_484856_2887507	"WEBBER RD"	64	0	147784	880114
F_484865_2887686	"WEBBER RD"	62	0	147787	880168
F_484865_2888755	"WEBBER RD"	55	0	147787	880494
F_484870_2896931	"LONG HILL RD"	120	0	147789	882986
F_484879_2887818	"WEBBER RD"	60	0	147791	880209
F_484886_2889028	"TOWN FARM RD"	144	0	147794	880577
F_484891_2893889	"TOWN FARM RD"	96	0	147795	882059
F_484949_2889282	"TOWN FARM RD"	142	0	147813	880655
F_484955_2895853	"TOWN FARM RD"	75	0	147815	882658
F_484955_2897670	"LONG HILL RD"	106	0	147815	883212
F_484983_2893750	"TOWN FARM RD"	98	0	147823	882017
F_485006_2889447	"TOWN FARM RD"	140	0	147830	880705
F_485009_2898669	"LONG HILL RD"	98	0	147831	883516
F_485033_2890506	"TOWN FARM RD"	130	0	147838	881028
F_485038_2895092	"TOWN FARM RD"	79	0	147840	882426
F_485057_2890694	"TOWN FARM RD"	128	0	147846	881085
F_485077_2889110	"WEBBER RD"	51	0	147852	880602
F_485084_2898495	"LONG HILL RD"	100	0	147854	883463
F_485085_2889636	"TOWN FARM RD"	138	0	147854	880763
F_485088_2889958	"TOWN FARM RD"	136	0	147855	880861
F_485107_2890085	"TOWN FARM RD"	134	0	147861	880900
F_485108_2898818	"LONG HILL RD"	96	0	147861	883561
F_485118_2893621	"TOWN FARM RD"	100	0	147864	881977
F_485122_2890187	"TOWN FARM RD"	132	0	147865	880931
F_485132_2894725	"TOWN FARM RD"	82	0	147869	882314
F_485166_2887409	"SCHOOLHOUSE X RD"	16	0	147879	880084
F_485182_2891287	"TOWN FARM RD"	122	0	147884	881266
F_485190_2889794	"HARWOOD CROSS RD"	8	0	147886	880811
F_485192_2890238	"HARWOOD CROSS RD"	3	0	147887	880946
F_485207_2891026	"TOWN FARM RD"	124	0	147891	881186
F_485219_2898954	"LONG HILL RD"	94	0	147895	883603
F_485223_2890609	"TOWN FARM RD"	126	0	147896	881059
F_485227_2895838	"TOWN FARM RD"	71	0	147897	882653
F_485230_2889311	"WEBBER RD"	49	0	147898	880664
F_485235_2895304	"TOWN FARM RD"	73	0	147900	882490
F_485243_2890311	"HARWOOD CROSS RD"	1	0	147902	880969
