LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_743690_2884290	"FOWL MEADOW"	0	0	226677	879133
F_743969_2884196	"FOWL MEADOW"	0	0	226762	879105
F_743993_2885035	"FOWL MEADOW"	0	0	226770	879360
F_744160_2884944	"NEPONSET ST"	0	0	226820	879333
F_744432_2881319	"PALMER DR"	37	0	226903	878228
F_744475_2881469	"PALMER DR"	35	0	226916	878274
F_744557_2881201	"PALMER DR"	34	0	226941	878192
F_744562_2881608	"PALMER DR"	33	0	226943	878316
F_744579_2883180	"EVERENDON RD"	100	0	226948	878795
F_744671_2881719	"PALMER DR"	31	0	226976	878350
F_744680_2881051	"LONGMEADOW DR"	27	0	226979	878146
F_744684_2881312	"PALMER DR"	32	0	226980	878226
F_744712_2885200	"FOWL MEADOW"	0	0	226989	879411
F_744748_2881474	"PALMER DR"	30	0	227000	878275
F_744787_2881812	"PALMER DR"	29	0	227012	878378
F_744788_2881155	"LONGMEADOW DR"	25	0	227012	878178
F_744795_2880871	"LONGMEADOW DR"	29	0	227014	878091
F_744796_2884840	"FOWL MEADOW"	0	0	227014	879301
F_744859_2881278	"LONGMEADOW DR"	23	0	227033	878215
F_744866_2881571	"PALMER DR"	28	0	227036	878305
F_744946_2880794	"LONGMEADOW DR"	24	0	227060	878068
F_744954_2881395	"LONGMEADOW DR"	21	0	227062	878251
F_744981_2881667	"PALMER DR"	26	0	227071	878334
F_744990_2885054	"NEPONSET ST"	0	0	227073	879366
F_745019_2880978	"LONGMEADOW DR"	22	0	227082	878124
F_745030_2881104	"LONGMEADOW DR"	20	0	227086	878162
F_745032_2880562	"WALPOLE ST"	443	0	227086	877997
F_745069_2881493	"LONGMEADOW DR"	19	0	227097	878281
F_745085_2880630	"WALPOLE ST"	441	0	227102	878018
F_745115_2881223	"LONGMEADOW DR"	18	0	227112	878199
F_745125_2880683	"WALPOLE ST"	0	0	227115	878034
F_745134_2881768	"EVERENDON RD"	9	0	227117	878365
F_745135_2880805	"WALPOLE ST"	435	0	227118	878071
F_745220_2880906	"WALPOLE ST"	433	0	227144	878102
F_745229_2881869	"PALMER DR"	22	0	227146	878395
F_745232_2881284	"EVERENDON RD"	6	0	227147	878217
F_745235_2881601	"LONGMEADOW DR"	17	0	227148	878314
F_745249_2885608	"FOWL MEADOW"	0	0	227152	879535
F_745257_2884433	"FOWL MEADOW"	0	0	227155	879177
F_745285_2881028	"WALPOLE ST"	427	0	227163	878139
F_745287_2885115	"FOWL MEADOW"	0	0	227164	879385
F_745321_2883916	"FOWL MEADOW"	0	0	227174	879019
F_745347_2881963	"PALMER DR"	20	0	227182	878424
F_745351_2881713	"LONGMEADOW DR"	15	0	227183	878348
F_745368_2881468	"LONGMEADOW DR"	14	0	227189	878273
F_745380_2881099	"EVERENDON RD"	4	0	227192	878161
F_745441_2881387	"EVERENDON RD"	5	0	227211	878249
F_745459_2885826	"NEPONSET ST"	0	0	227216	879602
F_745464_2882058	"PALMER DR"	18	0	227218	878453
F_745469_2881807	"LONGMEADOW DR"	11	0	227219	878377
F_745495_2881217	"WALPOLE ST"	421	0	227227	878197
F_745535_2885242	"FOWL MEADOW"	0	0	227240	879424
F_745547_2881551	"LONGMEADOW DR"	12	0	227243	878299
F_745582_2882151	"PALMER DR"	16	0	227254	878481
F_745586_2881900	"LONGMEADOW DR"	9	0	227255	878405
F_745588_2881297	"WALPOLE ST"	417	0	227256	878221
F_745592_2882536	"FOREST AV"	2	0	227257	878599
F_745603_2884624	"FOWL MEADOW"	0	0	227260	879235
F_745660_2881643	"LONGMEADOW DR"	10	0	227278	878327
F_745701_2882245	"PALMER DR"	14	0	227290	878510
F_745703_2881993	"LONGMEADOW DR"	7	0	227291	878433
F_745722_2882610	"FOREST AV"	1	0	227297	878621
F_745724_2881415	"WALPOLE ST"	415	0	227297	878257
F_745735_2883263	"FOREST AV"	5	0	227300	878820
F_745772_2881741	"LONGMEADOW DR"	8	0	227312	878356
F_745818_2882340	"PALMER DR"	10	0	227326	878539
F_745822_2882088	"LONGMEADOW DR"	5	0	227327	878462
F_745846_2884277	"FOWL MEADOW"	0	0	227334	879129
F_745855_2882662	"PALMER DR"	9	0	227337	878637
F_745858_2881547	"WALPOLE ST"	409	0	227338	878297
F_745888_2881844	"LONGMEADOW DR"	6	0	227347	878388
F_745896_2885151	"FOWL MEADOW"	0	0	227350	879396
F_745939_2882181	"LONGMEADOW DR"	3	0	227363	878491
F_745946_2882426	"PALMER DR"	8	0	227365	878565
F_745950_2881634	"WALPOLE ST"	407	0	227366	878324
F_746004_2881929	"LONGMEADOW DR"	4	0	227382	878414
F_746004_2882703	"PALMER DR"	7	0	227382	878650
F_746065_2881698	"WALPOLE ST"	369	0	227401	878343
F_746086_2882455	"FAIRWAY DR"	10	0	227407	878574
F_746089_2882254	"LONGMEADOW DR"	1	0	227408	878513
F_746110_2884650	"FOWL MEADOW"	0	0	227415	879243
F_746142_2882048	"LONGMEADOW DR"	2	0	227425	878450
