LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_76151_891039	"BLANDFORD RD"	79	0	76151	891039
M_76160_891167	"BLANDFORD RD"	0	0	76160	891167
M_76164_891726	"BLANDFORD RD"	35	0	76164	891726
M_76166_891592	"BLANDFORD RD"	0	0	76166	891592
M_76207_892298	"ROUTE 20"	0	0	76207	892298
M_76212_892844	"OFF ROUTE 20"	0	0	76212	892844
M_76223_892350	"ROUTE 20"	0	0	76223	892350
M_76231_892543	"ROUTE 20"	0	0	76231	892543
M_76266_890820	"BLANDFORD RD"	93	0	76266	890820
M_76287_890347	"BLANDFORD RD"	0	0	76287	890347
M_76287_890347	"BLANDFORD RD"	121	0	76287	890347
M_76371_892589	"BLANDFORD RD"	0	0	76371	892589
M_76417_893115	"ROUTE 20"	112	0	76417	893115
M_76459_892344	"ROUTE 20"	27	0	76459	892344
M_76490_896262	"OFF MIDDLEFIELD RD"	0	0	76490	896262
M_76553_892709	"ROUTE 20"	0	0	76553	892709
M_76587_891439	"BLANDFORD RD"	74	0	76587	891439
M_76598_892470	"ROUTE 20"	47	0	76598	892470
M_76664_893995	"ROUTE 20"	0	0	76664	893995
M_76685_897117	"OFF MIDDLEFIELD RD"	0	0	76685	897117
M_76686_892569	"ROUTE 20"	54	0	76686	892569
M_76687_890932	"BLANDFORD RD"	0	0	76687	890932
M_76780_895996	"ED LEBLEAU RD"	25	0	76780	895996
M_76806_892851	"ROUTE 20"	80	0	76806	892851
M_76818_892901	"ROUTE 20"	84	0	76818	892901
M_76820_892811	"ROUTE 20"	76	0	76820	892811
M_76826_892616	"ROUTE 20"	27	0	76826	892616
M_76845_892386	"ROUTE 20"	0	0	76845	892386
M_76862_891980	"BLANDFORD RD"	32	0	76862	891980
M_76868_895185	"MIDDLEFIELD RD"	0	0	76868	895185
M_76893_892780	"ROUTE 20"	0	0	76893	892780
M_76957_897157	"MIDDLEFIELD RD"	0	0	76957	897157
M_76980_889916	"BLANDFORD RD"	0	0	76980	889916
M_77018_896193	"OFF MIDDLEFIELD RD"	0	0	77018	896193
M_77028_893192	"ROUTE 20"	110	0	77028	893192
M_77119_894317	"MIDDLEFIELD RD"	0	0	77119	894317
M_77130_893151	"ROUTE 20"	114	0	77130	893151
M_77142_893187	"ROUTE 20"	116	0	77142	893187
M_77145_889832	"BLANDFORD RD"	172	0	77145	889832
M_77172_893208	"ROUTE 20"	0	0	77172	893208
M_77182_894710	"MIDDLEFIELD RD"	202	0	77182	894710
M_77200_893653	"WILLIAM ST"	32	0	77200	893653
M_77208_890699	"BLANDFORD RD"	0	0	77208	890699
M_77225_894021	"MIDDLEFIELD RD"	174	0	77225	894021
M_77242_889900	"PARK KNOX RD"	3	0	77242	889900
M_77251_891586	"ROUND HILL RD"	0	0	77251	891586
M_77255_894544	"MIDDLEFIELD RD"	198	0	77255	894544
M_77256_895563	"ED LEBLEAU RD"	2	0	77256	895563
M_77269_895730	"ED LEBEAU RD"	22	0	77269	895730
M_77291_892142	"ROUTE 20"	0	0	77291	892142
M_77317_893476	"WILLIAM ST"	10	0	77317	893476
M_77320_893158	"HAMPDEN ST"	92	0	77320	893158
M_77331_897047	"MIDDLEFIELD RD"	457	0	77331	897047
M_77333_893312	"ROUTE 20"	146	0	77333	893312
M_77345_895649	"ED LEBLEAU DR"	18	0	77345	895649
M_77351_895299	"MIDDLEFIELD RD"	0	0	77351	895299
M_77352_896331	"MIDDLEFIELD RD"	375	0	77352	896331
M_77359_893126	"HAMPDEN ST"	84	0	77359	893126
M_77382_893308	"ROUTE 20"	158	0	77382	893308
M_77382_893807	"MIDDLEFIELD RD"	104	0	77382	893807
M_77396_895415	"MIDDLEFIELD RD"	302	0	77396	895415
M_77412_893096	"HAMPDEN ST"	76	0	77412	893096
M_77422_893591	"WILLIAM ST"	26	0	77422	893591
M_77426_895253	"MIDDLEFIELD RD"	0	0	77426	895253
M_77437_895365	"MIDDLEFIELD RD"	300	0	77437	895365
