LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_277851_2978905	"MAIN RD"	0	0	84689.2	907972
F_278029_2979008	"MAIN RD"	818	0	84743.4	908003
F_278047_2978223	"BUCK RD"	13	0	84748.9	907764
F_278514_2983948	"CUMMINGTON RD"	0	0	84891.2	909509
F_278638_2976614	"BUCK RD"	52	0	84929	907274
F_278917_2980366	"MAIN RD"	0	0	85014.1	908417
F_279102_2970425	"IRELAND ST"	0	0	85070.5	905387
F_279517_2976215	"BUCK RD"	22	0	85197	907152
F_279752_2968299	"PARTRIDGE RD"	40	0	85268.6	904739
F_279827_2966645	"PARTRIDGE RD"	33	0	85291.4	904235
F_280056_2965808	"IRELAND ST"	0	0	85361.2	903980
F_280056_2970765	"IRELAND ST"	0	0	85361.2	905491
F_280276_2984891	"CUMMINGTON RD"	0	0	85428.3	909797
F_280412_2982447	"CUMMINGTON RD"	0	0	85469.7	909052
F_280464_2962731	"IRELAND ST"	0	0	85485.6	903042
F_280561_2967944	"PARTRIDGE RD"	0	0	85515.2	904631
F_280606_2964832	"IRELAND ST"	0	0	85528.9	903683
F_280872_2976689	"MAIN RD"	727	0	85610	907297
F_280878_2963764	"IRELAND ST"	0	0	85611.8	903357
F_280995_2965812	"RING RD"	8	0	85647.4	903981
F_280997_2969827	"IRELAND ST"	141	0	85648.1	905205
F_281015_2971601	"IRELAND ST"	0	0	85653.5	905746
F_281021_2984998	"CUMMINGTON RD"	0	0	85655.4	909829
F_281055_2966369	"IRELAND ST"	213	0	85665.7	904151
F_281075_2967131	"IRELAND ST"	195	0	85671.8	904383
F_281134_2968219	"IRELAND ST"	166	0	85689.8	904715
F_281185_2961997	"IRELAND ST"	0	0	85705.4	902818
F_281225_2973424	"WINDY LN"	26	0	85717.6	906301
F_281304_2954616	"IRELAND ST"	0	0	85741.6	900569
F_281322_2960393	"IRELAND ST"	0	0	85747.1	902330
F_281334_2959413	"IRELAND ST"	345	0	85750.8	902031
F_281336_2978489	"CUMMINGTON RD"	0	0	85751.4	907845
F_281416_2953804	"IRELAND ST EXT"	0	0	85775.8	900321
F_281430_2953353	"IRELAND ST"	0	0	85780	900184
F_281447_2975086	"MAIN RD"	709	0	85785.2	906808
F_281464_2985097	"CUMMINGTON RD"	0	0	85790.4	909859
F_281525_2958976	"IRELAND ST"	0	0	85809	901898
F_281545_2975456	"MAIN RD"	707	0	85815.1	906921
F_281554_2967066	"IRELAND ST"	0	0	85817.8	904364
F_281554_2967461	"IRELAND ST"	0	0	85817.8	904484
F_281564_2958792	"IRELAND ST"	0	0	85820.9	901842
F_281592_2966843	"IRELAND ST"	204	0	85829.4	904296
F_281601_2969159	"IRELAND ST"	161	0	85832.2	905001
F_281607_2975627	"MAIN RD"	0	0	85834	906973
F_281615_2969622	"IRELAND ST"	0	0	85836.4	905143
