LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_266510_794671	"NORTH RD"	1	1	266510	794671
M_266464_794640	"SHALERS WAY"	9	1	266464	794640
M_266402_794612	"SHALERS WAY"	2	1	266402	794612
M_266342_794581	"NORTH RD"	15	1	266342	794581
M_266361_794519	"NORTH RD"	17	1	266361	794519
M_266317_794504	"NORTH RD"	19	1	266317	794504
M_266262_794506	"NORTH RD"	21	1	266262	794506
M_265901_794512	"CHILMARK RD"	0	1	265901	794512
M_265817_794725	"HARLOCK POND RD"	88	1	265817	794725
M_265943_794861	"HARLOCK POND RD"	86	1	265943	794861
M_265832_795325	"HARLOCK POND RD"	45	1	265832	795325
M_265892_795501	"HARLOCK POND RD"	35	1	265892	795501
M_266158_795091	"CHILMARK RD"	56	1	266158	795091
M_266279_794951	"CHILMARK RD"	0	1	266279	794951
M_266613_794508	"NORTH RD"	2	1	266613	794508
M_265618_794916	"HARLOCK POND RD"	89	1	265618	794916
M_265423_795037	"BEACH RD"	50	1	265423	795037
M_265491_795218	"BEACH RD"	45	1	265491	795218
M_265601_795129	"HARLOCK POND RD"	73	1	265601	795129
M_265671_795270	"HARLOCK POND RD"	67	1	265671	795270
M_265709_793282	"TEA LANE"	139	1	265709	793282
M_266044_793604	"NORTH RD"	74	1	266044	793604
M_265778_793616	"NORTH RD"	86	1	265778	793616
M_266104_793961	"NORTH RD"	0	1	266104	793961
M_265867_794199	"NORTH RD"	61	1	265867	794199
M_266127_794408	"NORTH RD"	33R	1	266127	794408
M_266144_794383	"NORTH RD"	0	1	266144	794383
M_266177_794336	"NORTH RD"	33	1	266177	794336
M_266174_794271	"NORTH RD"	35	1	266174	794271
M_266216_794339	"NORTH RD"	31	1	266216	794339
M_266188_794398	"NORTH RD"	27	1	266188	794398
M_266201_794457	"NORTH RD"	23	1	266201	794457
M_266237_794412	"NORTH RD"	25	1	266237	794412
M_266345_794117	"OLD FARM RD"	149	1	266345	794117
M_266481_794253	"NORTH RD"	0	1	266481	794253
M_266632_794318	"NORTH RD"	10	1	266632	794318
M_266914_793878	"OLD FARM RD"	0	1	266914	793878
M_267077_793364	"OLD FARM RD"	0	1	267077	793364
M_266818_793625	"OLD FARM RD"	105	1	266818	793625
M_266860_793546	"OLD FARM RD"	101	1	266860	793546
M_266837_793443	"OLD FARM RD"	95	1	266837	793443
M_266789_793381	"OLD FARM RD"	89	1	266789	793381
M_266636_793353	"TENNIS LN"	16	1	266636	793353
M_266713_793461	"OLD FARM RD"	90	1	266713	793461
M_266509_793379	"TENNIS LN"	20	1	266509	793379
M_266598_793471	"TENNIS LN"	19	1	266598	793471
M_266677_793579	"TENNIS LN"	3	1	266677	793579
M_266556_793558	"OLD FARM RD"	116	1	266556	793558
M_266271_793724	"OLD FARM RD"	122	1	266271	793724
M_266452_793591	"OLD FARM RD"	124	1	266452	793591
M_266346_793729	"OLD FARM RD"	128	1	266346	793729
M_266437_793337	"BIJAHS WAY"	55	1	266437	793337
M_266358_793410	"BIJAHS WAY"	61	1	266358	793410
M_266297_793350	"BIJAHS WAY"	63	1	266297	793350
M_266232_793324	"BIJAHS WAY"	67	1	266232	793324
M_266393_793832	"OLD FARM RD"	139	1	266393	793832
M_266545_793757	"OLD FARM RD"	129	1	266545	793757
M_266475_793887	"VALLEY LN"	10	1	266475	793887
M_266544_793960	"VALLEY LN"	12	1	266544	793960
M_266681_794031	"VALLEY LN"	16	1	266681	794031
M_266731_793955	"VALLEY LN"	15	1	266731	793955
M_266656_793884	"VALLEY LN"	7	1	266656	793884
M_266755_793773	"MILL BROOK RD"	11	1	266755	793773
M_266690_793699	"MILL BROOK RD"	7	1	266690	793699
M_266936_793506	"OLD FARM RD"	0	1	266936	793506
M_266912_793449	"OLD FARM RD"	0	1	266912	793449
M_266070_794248	"NORTH RD"	49	1	266070	794248
M_264442_793364	"REBECCA LN"	14	1	264442	793364
M_264365_793504	"TILTON RD"	17	1	264365	793504
M_264312_793413	"HARVEST HILL"	10	1	264312	793413
M_264250_793351	"HARVEST HILL"	9	1	264250	793351
M_264166_793300	"PUTNAM RD"	69	1	264166	793300
M_264059_793299	"HAMMETT RD"	113	1	264059	793299
M_263892_793270	"HAMMETT RD"	108	1	263892	793270
M_263955_793360	"HAMMETT RD"	114	1	263955	793360
M_264082_793415	"TILTON RD"	4	1	264082	793415
M_264154_793477	"TILTON RD"	8	1	264154	793477
M_264301_793584	"TILTON RD"	21	1	264301	793584
M_264153_793559	"TILTON RD"	16	1	264153	793559
M_263889_793506	"PUTNAM RD"	93	1	263889	793506
M_264001_793509	"TILTON RD"	55	1	264001	793509
M_263966_793618	"TILTON RD"	49	1	263966	793618
M_264003_793673	"TILTON RD"	45	1	264003	793673
M_264050_793729	"TILTON RD"	41	1	264050	793729
M_264254_793658	"TILTON RD"	27	1	264254	793658
M_264222_793767	"JETHRO LN"	5	1	264222	793767
M_264081_793825	"JETHRO LN"	6	1	264081	793825
M_264145_793924	"JETHRO LN"	8	1	264145	793924
M_264617_793398	"NORTH RD & D"	157C	1	264617	793398
M_264257_794041	"NORTH RD A,B"	157	1	264257	794041
M_264690_794246	"CAPE HIGGON WAY"	0	1	264690	794246
M_264552_794224	"CAPE HIGGON WAY"	69	1	264552	794224
M_264772_793881	"CAPE HIGGON WAY"	64	1	264772	793881
M_265026_793463	"CAPE HIGGON WAY"	0	1	265026	793463
M_265142_793784	"NORTH RD"	0	1	265142	793784
M_265123_794293	"NORTH RD"	95	1	265123	794293
M_265421_794439	"NORTH RD"	0	1	265421	794439
M_265622_793496	"NORTH RD"	94	1	265622	793496
M_265364_793348	"NORTH RD"	116	1	265364	793348
M_265168_793336	"NORTH RD"	131	1	265168	793336
M_263857_793404	"BEACH LOT"	0	1	263857	793404
M_267674_792231	"MIDDLE RD"	12	1	267674	792231
M_267723_792440	"MIDDLE RD"	4	1	267723	792440
M_267801_792287	"MIDDLE RD"	0	1	267801	792287
M_267885_792136	"MURPHY RD"	88	1	267885	792136
M_267951_792025	"MURPHY RD"	88A	1	267951	792025
M_267938_792127	"MURPHY RD"	71	1	267938	792127
M_268745_792125	"SOUTH RD"	12	1	268745	792125
M_268782_792155	"SOUTH RD"	10	1	268782	792155
M_265852_792396	"RHYTHM RD"	5	1	265852	792396
M_265792_792342	"RHYTHM RD"	9	1	265792	792342
M_265742_792298	"RHYTHM RD"	0	1	265742	792298
