LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_65437_944717	"OFF WEST ROAD"	0	0	65437	944717
M_65854_942400	"OFF WEST ROAD"	0	0	65854	942400
M_66214_944247	"NEAR STAMFORD LINE"	0	0	66214	944247
M_66510_943664	"OFF WEST ROAD"	0	0	66510	943664
M_66676_944220	"WEST ROAD"	0	0	66676	944220
M_66794_944787	"WEST ROAD"	0	0	66794	944787
M_66857_943828	"WEST ROAD"	0	0	66857	943828
M_67077_943654	"WEST ROAD"	0	0	67077	943654
M_67223_941273	"NORTH VEAZIE STREET"	0	0	67223	941273
M_67227_944490	"WEST ROAD"	0	0	67227	944490
M_67298_943852	"OFF WEST ROAD"	0	0	67298	943852
M_67394_941263	"WHEELER AVENUE"	0	0	67394	941263
M_67496_941760	"GATES AVENUE"	73	0	67496	941760
M_67512_943677	"WEST ROAD"	675	0	67512	943677
M_67566_942341	"WELCH ROAD"	120	0	67566	942341
M_67575_942110	"WELCH ROAD"	127	0	67575	942110
M_67583_941915	"GATES AVENUE"	120	0	67583	941915
M_67603_944015	"WEST ROAD"	0	0	67603	944015
M_67604_941494	"WHEELER AVENUE"	0	0	67604	941494
M_67683_944746	"WEST ROAD"	0	0	67683	944746
M_67702_943095	"WEST ROAD"	385	0	67702	943095
M_67724_944277	"WEST ROAD"	777	0	67724	944277
M_67752_943314	"WEST ROAD"	427	0	67752	943314
M_67771_941380	"WHEELER AVENUE"	0	0	67771	941380
M_67797_943596	"WEST ROAD"	541	0	67797	943596
M_67824_941328	"WHEELER AVENUE"	59	0	67824	941328
M_67826_941363	"WHEELER AVENUE"	71	0	67826	941363
M_67832_941230	"WHEELER AVENUE"	31	0	67832	941230
M_67834_941260	"WHEELER AVENUE"	37	0	67834	941260
M_67836_941287	"WHEELER AVENUE"	47	0	67836	941287
M_67853_943417	"WEST ROAD"	475	0	67853	943417
M_67855_944275	"WEST ROAD"	754	0	67855	944275
M_67868_941243	"WHEELER AVE."	0	0	67868	941243
M_67868_941243	"WHEELER AVENUE"	32	0	67868	941243
M_67868_941282	"WHEELER AVENUE"	44	0	67868	941282
M_67868_941444	"WHEELER AVENUE"	91	0	67868	941444
M_67874_942896	"WEST ROAD"	337	0	67874	942896
M_67876_941220	"WHEELER AVENUE"	24	0	67876	941220
M_67876_941259	"WHEELER AVENUE"	38	0	67876	941259
M_67877_942241	"WELCH ROAD"	115	0	67877	942241
M_67880_941299	"WHEELER AVENUE"	50	0	67880	941299
M_67880_941327	"WHEELER AVENUE"	58	0	67880	941327
M_67882_941275	"WHEELER AVENUE"	42	0	67882	941275
