LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_253400_887874	"TURKEY HILL RD"	1	0	253400	887874
M_253743_888747	"FISHER RD"	25	0	253743	888747
M_253744_889258	"HULL ST"	85	0	253744	889258
M_253760_889217	"HULL ST"	81	0	253760	889217
M_253768_889324	"HULL ST"	101	0	253768	889324
M_253776_889196	"HULL ST"	75	0	253776	889196
M_253778_888769	"HULL ST"	11	0	253778	888769
M_253783_888727	"FISHER RD"	23	0	253783	888727
M_253785_889357	"HULL ST"	107	0	253785	889357
M_253792_888803	"HULL ST"	15	0	253792	888803
M_253806_889329	"LAMBERTS LN"	12	0	253806	889329
M_253813_889001	"HULL ST"	43	0	253813	889001
M_253815_889108	"HULL ST"	61	0	253815	889108
M_253816_889394	"HULL ST"	117	0	253816	889394
M_253817_888882	"CEDAR ST"	283	0	253817	888882
M_253819_888774	"HULL ST"	17	0	253819	888774
M_253825_889079	"HULL ST"	57	0	253825	889079
M_253826_889193	"HULL ST"	71	0	253826	889193
M_253827_888801	"HULL ST"	23	0	253827	888801
M_253828_889340	"LAMBERTS LN"	14	0	253828	889340
M_253830_889271	"LAMBERTS LN"	15	0	253830	889271
M_253832_889051	"HULL ST"	49	0	253832	889051
M_253834_888718	"FISHER RD"	21	0	253834	888718
M_253842_889429	"HULL ST"	121	0	253842	889429
M_253846_888897	"CEDAR ST"	275	0	253846	888897
M_253847_889146	"HULL ST"	65	0	253847	889146
M_253850_889352	"LAMBERTS LN"	20-22	0	253850	889352
M_253853_889278	"LAMBERTS LN"	17	0	253853	889278
M_253856_888950	"CEDAR ST"	271	0	253856	888950
M_253869_888810	"CEDAR ST"	282	0	253869	888810
M_253875_889121	"HULL ST"	61A	0	253875	889121
M_253879_889090	"HULL ST"	59	0	253879	889090
M_253884_889040	"HULL ST"	47	0	253884	889040
M_253887_889457	"HULL ST"	129	0	253887	889457
M_253888_889377	"LAMBERTS LN"	26	0	253888	889377
M_253889_889501	"HULL ST"	137	0	253889	889501
M_253897_889617	"HULL ST"	155	0	253897	889617
M_253898_888844	"CEDAR ST"	276	0	253898	888844
M_253905_889582	"HULL ST"	149-151	0	253905	889582
M_253909_888874	"CEDAR ST"	268	0	253909	888874
M_253914_889239	"LAMBERTS LN"	29	0	253914	889239
M_253914_889648	"HULL ST"	161-163	0	253914	889648
M_253928_887832	"C J CUSHING HWY"	1	0	253928	887832
M_253943_889714	"HULL ST"	171	0	253943	889714
M_253948_889684	"HULL ST"	165-167	0	253948	889684
