LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_314674_2992947	"GOSHEN TOWN LINE"	0	0	95912.8	912252
F_315104_2995388	"GOSHEN TOWN LINE"	0	0	96043.9	912996
F_315106_2995977	"GOSHEN TOWN LINE"	0	0	96044.5	913176
F_315158_2996402	"GOSHEN TOWN LINE"	0	0	96060.4	913305
F_315880_2996320	"S ASHFIELD RD"	0	0	96280.4	913280
F_315960_2995761	"S ASHFIELD RD"	0	0	96304.8	913110
F_316086_2997944	"OFF S  ASHFIELD RD"	0	0	96343.2	913775
F_316113_2997620	"S ASHFIELD RD"	0	0	96351.4	913676
F_316116_2997146	"S ASHFIELD RD"	0	0	96352.3	913532
F_316271_2993494	"WILLIAMSBURG RD"	0	0	96399.6	912419
F_316444_2997765	"S ASHFIELD RD"	230	0	96452.3	913721
F_316562_2997570	"S ASHFIELD RD"	206	0	96488.3	913661
F_316623_2997377	"S ASHFIELD RD"	180	0	96506.9	913602
F_316666_2997156	"S ASHFIELD RD"	150	0	96520	913535
F_316671_2997811	"S ASHFIELD RD"	0	0	96521.5	913735
F_316710_2996946	"S ASHFIELD RD"	128	0	96533.4	913471
F_316758_2996756	"S ASHFIELD RD"	114	0	96548	913413
F_316794_2996487	"S ASHFIELD RD"	94	0	96559	913331
F_316898_2996022	"MAIN POLAND RD"	2580	0	96590.7	913189
F_316977_2999496	"MAIN POLAND RD"	2394	0	96614.8	914248
F_316990_2996426	"OFF MAIN POLAND RD"	0	0	96618.7	913312
F_317012_2996143	"MAIN POLAND RD"	0	0	96625.5	913226
F_317102_2996505	"MAIN POLAND RD"	2528	0	96652.9	913337
F_317116_3002370	"OFF MAIN POLAND RD"	0	0	96657.2	915124
F_317134_2996771	"MAIN POLAND RD"	2490	0	96662.6	913418
F_317207_2997197	"MAIN POLAND RD"	0	0	96684.9	913547
F_317231_2995847	"WILLIAMSBURG RD"	37	0	96692.2	913136
F_317476_2994434	"WILLIAMSBURG RD"	0	0	96766.9	912705
F_317517_2998483	"MAIN POLAND RD"	2332	0	96779.4	913939
F_317568_2995639	"WILLIAMSBURG RD"	97	0	96794.9	913073
F_317570_2991817	"WILLIAMSBURG RD"	468	0	96795.5	911908
F_317666_3004552	"MAIN POLAND RD"	0	0	96824.8	915789
