LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_77253_912036	"BASHAN HILL RD"	0	0	77253	912036
M_77425_912592	"BASHAN HILL RD"	8	0	77425	912592
M_77596_912532	"BASHAN HILL RD"	0	0	77596	912532
M_77599_913171	"COLE ST"	64	0	77599	913171
M_77661_913777	"COLE ST"	0	0	77661	913777
M_77668_913486	"COLE ST"	0	0	77668	913486
M_77670_912363	"BASHAN HILL RD"	2	0	77670	912363
M_77676_912134	"BASHAN HILL RD"	0	0	77676	912134
M_77816_912010	"BASHAN HILL RD"	0	0	77816	912010
M_77856_913461	"COLE ST"	0	0	77856	913461
M_77992_912230	"COLE ST"	126	0	77992	912230
M_78020_914415	"POWELL RD"	0	0	78020	914415
M_78023_915325	"BERKSHIRE TRAIL OFF"	0	0	78023	915325
M_78033_915163	"OLD ROUTE 9"	0	0	78033	915163
M_78043_912086	"COLE ST"	0	0	78043	912086
M_78045_913218	"COLE ST"	0	0	78045	913218
M_78056_912004	"COLE ST"	138	0	78056	912004
M_78058_914600	"POWELL RD"	0	0	78058	914600
M_78070_911904	"COLE ST"	0	0	78070	911904
M_78073_915165	"RIVER RD"	3	0	78073	915165
M_78076_913106	"COLE ST"	0	0	78076	913106
M_78079_913992	"POWELL RD"	0	0	78079	913992
M_78081_913045	"COLE ST"	0	0	78081	913045
M_78086_912990	"COLE ST"	69	0	78086	912990
M_78092_912935	"COLE ST"	0	0	78092	912935
M_78098_912877	"COLE ST"	0	0	78098	912877
M_78125_912264	"COLE ST"	0	0	78125	912264
M_78127_915519	"OLD ROUTE 9"	0	0	78127	915519
M_78198_915967	"BERKSHIRE TRAIL"	0	0	78198	915967
M_78220_916257	"TIRRELL RD"	0	0	78220	916257
M_78226_912407	"COLE ST"	0	0	78226	912407
M_78258_914864	"OLD ROUTE 9"	0	0	78258	914864
M_78266_916570	"TIRRELL RD"	34	0	78266	916570
M_78278_915513	"OLD ROUTE 9"	0	0	78278	915513
M_78310_911846	"COLE ST"	0	0	78310	911846
M_78315_914345	"POWELL RD"	0	0	78315	914345
M_78319_916384	"BERKSHIRE TRAIL"	0	0	78319	916384
M_78372_912155	"COLE ST"	137	0	78372	912155
M_78383_916818	"WEST MAIN ST"	0	0	78383	916818
M_78392_915954	"BERKSHIRE TRAIL"	0	0	78392	915954
M_78404_912594	"TROUBLE ST"	0	0	78404	912594
M_78408_916958	"SAVOY RD"	0	0	78408	916958
M_78432_916553	"BERKSHIRE TRAIL"	934	0	78432	916553
M_78449_916641	"TIRRELL RD"	3	0	78449	916641
M_78475_913888	"POWELL RD"	0	0	78475	913888
M_78492_916226	"RIVER RD"	14	0	78492	916226
M_78515_911935	"COLE ST"	0	0	78515	911935
M_78519_917187	"TOWN LINES OF CUMM"	0	0	78519	917187
M_78523_911839	"COLE ST"	153	0	78523	911839
M_78544_916721	"WEST MAIN ST"	86	0	78544	916721
M_78547_914481	"POWELL RD"	0	0	78547	914481
M_78556_912014	"TROUBLE ST"	238	0	78556	912014
M_78566_912126	"TROUBLE ST"	0	0	78566	912126
M_78583_916629	"BERKSHIRE TRAIL"	0	0	78583	916629
M_78592_912254	"TROUBLE ST"	0	0	78592	912254
M_78596_916841	"WEST MAIN ST"	80	0	78596	916841
M_78607_913242	"COLE ST"	0	0	78607	913242
M_78644_914460	"POWELL RD"	0	0	78644	914460
M_78671_913829	"POWELL RD"	0	0	78671	913829
M_78686_911891	"TROUBLE ST"	0	0	78686	911891
M_78715_912467	"TROUBLE ST"	208	0	78715	912467
M_78719_912015	"TROUBLE ST"	229	0	78719	912015
M_78724_916673	"WEST MAIN ST"	79	0	78724	916673
M_78735_914437	"POWELL RD"	0	0	78735	914437
M_78739_912129	"TROUBLE ST"	224	0	78739	912129
M_78754_916769	"WEST MAIN ST"	74	0	78754	916769
M_78756_912215	"TROUBLE ST"	215	0	78756	912215
M_78783_915459	"BERKSHIRE TRAIL OFF"	0	0	78783	915459
M_78803_911748	"COLE ST"	0	0	78803	911748
M_78803_916110	"BERKSHIRE TRAIL"	0	0	78803	916110
M_78805_916814	"WEST MAIN ST"	68	0	78805	916814
M_78816_916711	"MAIN ST"	73	0	78816	916711
M_78824_914408	"POWELL RD"	0	0	78824	914408
M_78835_917065	"WEST MAIN ST"	62	0	78835	917065
