LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_60148_909102	"YVONNE DR"	0	0	60148	909102
M_60163_909145	"YVONNE DR"	0	0	60163	909145
M_60163_909200	"YVONNE DR"	0	0	60163	909200
M_60176_909399	"YVONNE DR"	219	0	60176	909399
M_60189_909338	"YVONNE DR"	199	0	60189	909338
M_60190_909254	"YVONNE DR"	0	0	60190	909254
M_60206_909513	"YVONNE DR"	232	0	60206	909513
M_60237_909310	"YVONNE DR"	183	0	60237	909310
M_60246_909176	"YVONNE DR"	OFF	0	60246	909176
M_60249_909495	"YVONNE DR"	220	0	60249	909495
M_60270_909748	"WASHINGTON MT RD"	156	0	60270	909748
M_60273_909249	"YVONNE DR"	167	0	60273	909249
M_60283_909467	"YVONNE DR"	196	0	60283	909467
M_60292_909848	"WASHINGTON MT RD"	156	0	60292	909848
M_60300_909885	"WASHINGTON MT RD"	156	0	60300	909885
M_60309_909923	"WASHINGTON MT RD"	0	0	60309	909923
M_60312_909229	"YVONNE DR"	153	0	60312	909229
M_60315_909442	"YVONNE DR"	180	0	60315	909442
M_60323_909991	"WASHINGTON MT RD"	0	0	60323	909991
M_60334_910112	"WASHINGTON MT RD"	2	0	60334	910112
M_60351_909438	"YVONNE DR"	162	0	60351	909438
M_60372_910096	"WASHINGTON MT RD"	16	0	60372	910096
M_60374_908925	"WASHINGTON MT RD"	408	0	60374	908925
M_60379_909222	"YVONNE DR"	121	0	60379	909222
M_60379_909417	"YVONNE DR"	146	0	60379	909417
M_60400_910232	"DALTON DIVISION RD"	813	0	60400	910232
M_60404_909634	"WASHINGTON MT RD"	210	0	60404	909634
M_60427_910060	"WASHINGTON MT RD"	42	0	60427	910060
M_60432_909428	"YVONNE DR"	132	0	60432	909428
M_60447_909217	"YVONNE DR"	107	0	60447	909217
M_60449_909815	"WASHINGTON MT RD"	156	0	60449	909815
M_60463_909361	"YVONNE DR"	116	0	60463	909361
M_60467_909970	"WASHINGTON MT RD"	104	0	60467	909970
M_60472_910304	"DALTON DIVISION RD"	777	0	60472	910304
M_60482_910387	"DALTON DIVISION RD"	757	0	60482	910387
M_60484_910197	"WASHINGTON MT RD"	39	0	60484	910197
M_60489_909209	"YVONNE DR"	91	0	60489	909209
M_60496_910034	"WASHINGTON MT RD"	72	0	60496	910034
M_60502_909322	"YVONNE DR"	100	0	60502	909322
M_60521_909433	"YVONNE DR"	0	0	60521	909433
M_60530_909197	"YVONNE DR"	77	0	60530	909197
M_60547_909307	"YVONNE DR"	86	0	60547	909307
M_60551_910170	"WASHINGTON MT RD"	45	0	60551	910170
M_60568_909180	"YVONNE DR"	61	0	60568	909180
