LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_737434_2778969	"CHESTNUT ST"	0	0	224770	847031
F_737478_2779779	"CHESTNUT ST"	0	0	224784	847278
F_737496_2777665	"WINTHROP ST"	0	0	224789	846634
F_737498_2778186	"WINTHROP ST"	0	0	224790	846793
F_737616_2781669	"MAYNARD LANE"	0	0	224826	847854
F_737625_2780613	"CHESTNUT ST"	2450	0	224829	847533
F_737663_2779246	"CHESTNUT ST"	2535	0	224840	847116
F_737700_2778879	"CHESTNUT ST"	0	0	224851	847004
F_737746_2777986	"WINTHROP ST"	2500	0	224865	846732
F_737791_2780039	"CHESTNUT ST"	2454	0	224879	847358
F_737832_2778453	"WINTHROP ST"	2480	0	224892	846874
F_737843_2779700	"CHESTNUT ST"	2488	0	224895	847254
F_737848_2779276	"CHESTNUT ST"	2509	0	224897	847125
F_737873_2777090	"MAPLE SWAMP RD"	0	0	224904	846459
F_737888_2776027	"MAPLE SWAMP RD"	2745	0	224909	846135
F_737992_2777695	"WINTHROP ST"	2459-2465	0	224940	846643
F_737999_2778802	"CHESTNUT ST"	2511	0	224943	846981
F_738002_2779321	"CHESTNUT ST"	2499	0	224943	847139
F_738026_2781121	"NORTH ST"	0	0	224951	847687
F_738057_2773040	"OAK ST"	0	0	224960	845224
F_738061_2779057	"CHESTNUT ST"	2503	0	224961	847058
F_738153_2779769	"CHESTNUT ST"	2471	0	224989	847275
F_738163_2779892	"CHESTNUT ST"	2447	0	224993	847313
F_738235_2778076	"WINTHROP ST"	2444	0	225014	846759
F_738251_2778448	"WINTHROP ST"	2460	0	225019	846873
F_738274_2774111	"MAPLE SWAMP RD"	0	0	225026	845551
F_738284_2780457	"CHESTNUT ST"	2440	0	225029	847485
F_738302_2775740	"MAPLE SWAMP RD"	0	0	225035	846047
F_738340_2781421	"MAYNARD LANE"	0	0	225046	847779
F_738340_2781750	"MAYNARD LANE"	0	0	225046	847879
F_738347_2779195	"CHESTNUT ST"	2487	0	225049	847100
F_738361_2778057	"WINTHROP ST"	2430	0	225053	846753
F_738366_2779845	"CHESTNUT ST"	2423	0	225054	847298
F_738371_2775997	"MAPLE SWAMP RD"	2685	0	225056	846126
F_738387_2773579	"MAPLE SWAMP RD"	0	0	225061	845389
F_738435_2776987	"MAPLE SWAMP RD"	2666	0	225075	846427
F_738440_2772997	"OAK ST"	0	0	225077	845211
F_738459_2777744	"WINTHROP ST"	2431	0	225083	846658
F_738491_2776265	"MAPLE SWAMP RD"	2667	0	225093	846207
F_738496_2780091	"CHESTNUT ST"	2404	0	225094	847373
F_738518_2778354	"WINTHROP ST"	2424	0	225101	846844
F_738541_2775116	"MAPLE SWAMP RD"	2461	0	225108	845857
F_738560_2779870	"CHESTNUT ST"	2405	0	225114	847306
F_738572_2780095	"CHESTNUT ST"	2398	0	225117	847375
F_738583_2780466	"CHESTNUT ST"	2414	0	225121	847488
F_738595_2768361	"WELLINGTON ST"	2770	0	225124	843798
F_738599_2781685	"MAYNARD LANE"	2410	0	225125	847859
F_738623_2781410	"MAYNARD LANE"	2407	0	225133	847775
F_738636_2781005	"NORTH ST"	88	0	225137	847652
F_738678_2781294	"MAYNARD LANE"	0	0	225150	847740
F_738688_2776939	"MAPLE SWAMP RD"	0	0	225153	846413
F_738716_2779820	"CHESTNUT ST"	2379	0	225161	847291
F_738796_2768322	"WELLINGTON ST"	2750	0	225185	843786
F_738801_2781214	"MAYNARD LANE"	2405	0	225187	847716
F_738804_2778451	"WINTHROP ST"	2386	0	225188	846874
F_738809_2780175	"NORTH ST"	160	0	225189	847399
F_738832_2777748	"WINTHROP ST"	2389	0	225196	846659
F_738839_2774557	"MAPLE SWAMP RD"	0	0	225199	845687
F_738848_2767186	"WELLINGTON ST"	0	0	225201	843440
F_738848_2767430	"WELLINGTON ST"	2765	0	225201	843514
F_738856_2780617	"NORTH ST"	108-90	0	225204	847534
F_738874_2770394	"HORTON ST"	0	0	225209	844418
F_738882_2768623	"HORTON ST"	2730	0	225212	843878
F_738884_2769177	"HORTON ST"	0	0	225212	844047
F_738886_2781391	"MAYNARD LANE"	2408	0	225213	847770
F_738892_2769622	"HORTON ST"	0	0	225215	844182
F_738892_2773447	"OAK ST"	0	0	225215	845348
F_738892_2775658	"MAPLE SWAMP RD"	2477	0	225215	846022
F_738892_2779788	"CHESTNUT ST"	0	0	225215	847281
F_738893_2770100	"HORTON ST"	2588	0	225215	844328
F_738897_2767858	"WELLINGTON ST"	2717	0	225216	843645
F_738897_2769844	"HORTON ST"	2600	0	225216	844250
F_738901_2778004	"WINTHROP ST"	2387	0	225217	846737
F_738921_2776178	"MAPLE SWAMP RD"	2625	0	225224	846181
F_738930_2776873	"MAPLE SWAMP RD"	2620	0	225226	846393
F_738936_2773982	"MAPLE SWAMP RD"	0	0	225228	845511
F_738957_2771602	"REGIONAL RD"	2700	0	225235	844786
F_738966_2781604	"NORTH ST"	22	0	225237	847835
F_738973_2781349	"NORTH ST"	38	0	225239	847757
F_739053_2768200	"HORTON ST"	2766	0	225264	843749
F_739080_2779767	"CHESTNUT ST"	2343	0	225272	847275
F_739099_2778483	"WINTHROP ST"	0	0	225278	846883
F_739100_2768308	"HORTON ST"	2760	0	225278	843782
F_739114_2780118	"CHESTNUT ST"	2360	0	225282	847382
F_739121_2780417	"NORTH ST"	115	0	225285	847473
F_739130_2775891	"MAPLE SWAMP RD"	2545	0	225287	846093
F_739155_2768431	"HORTON ST"	2744	0	225295	843819
F_739182_2770690	"HORTON ST"	0	0	225303	844508
F_739198_2776813	"MAPLE SWAMP RD"	2580	0	225308	846374
F_739202_2768672	"HORTON ST"	2718	0	225309	843893
F_739209_2768994	"HORTON ST"	2680	0	225311	843991
F_739211_2768842	"HORTON ST"	2688	0	225312	843945
F_739214_2769151	"HORTON ST"	2666	0	225313	844039
F_739216_2767387	"WELLINGTON ST"	2709	0	225313	843501
F_739224_2776128	"MAPLE SWAMP RD"	2585	0	225316	846166
F_739231_2769305	"HORTON ST"	2660	0	225318	844086
F_739235_2771266	"WINFIELD LN"	962	0	225319	844684
F_739242_2770336	"HORTON ST"	2550	0	225321	844400
F_739269_2779738	"CHESTNUT ST"	2325	0	225330	847266
F_739277_2780639	"NORTH ST"	95	0	225332	847540
F_739279_2777829	"WINTHROP ST"	2357	0	225333	846684
F_739289_2771059	"WINFIELD LN"	976	0	225336	844620
F_739295_2771415	"WINFIELD LN"	949	0	225338	844729
F_739335_2778197	"WINTHROP ST"	0	0	225350	846796
F_739338_2781028	"NORTH ST"	55	0	225351	847659
F_739339_2779124	"CHESTNUT ST"	2271	0	225351	847079
F_739360_2770137	"HORTON ST"	2566	0	225357	844339
F_739368_2779989	"CHESTNUT ST"	2320	0	225360	847342
F_739416_2767880	"WELLINGTON ST"	2695	0	225374	843652
F_739441_2779710	"CHESTNUT ST"	2313	0	225382	847257
F_739454_2768328	"HORTON ST"	2745-2757	0	225386	843788
F_739456_2765927	"WELLINGTON ST"	0	0	225387	843056
F_739468_2776787	"MAPLE SWAMP RD"	2576	0	225390	846366
F_739473_2767371	"WELLINGTON ST"	2671	0	225392	843496
F_739476_2769227	"HORTON ST"	2661	0	225393	844062
F_739476_2775629	"MAPLE SWAMP RD"	2510	0	225393	846013
F_739491_2761020	"CEDAR ST"	2415	0	225397	841561
F_739494_2768115	"WELLINGTON ST"	0	0	225398	843723
F_739500_2769363	"HORTON ST"	2655	0	225400	844104
F_739512_2780454	"NORTH ST"	0	0	225404	847484
F_739514_2768537	"HORTON ST"	2725	0	225404	843852
F_739524_2770703	"WINFIELD LN"	2715	0	225407	844512
F_739533_2770503	"HORTON ST"	0	0	225410	844451
F_739544_2771013	"WINFIELD LN"	959	0	225413	844606
F_739564_2774871	"MAPLE SWAMP RD"	2440	0	225420	845782
F_739577_2768816	"HORTON ST"	2703	0	225424	843937
F_739578_2761025	"CEDAR ST"	2403	0	225424	841562
F_739580_2771303	"WINFIELD LN"	961	0	225424	844695
F_739580_2775081	"MAPLE SWAMP RD"	2490	0	225424	845846
F_739600_2775341	"MAPLE SWAMP RD"	2500	0	225431	845926
F_739600_2779669	"CHESTNUT ST"	2293	0	225431	847245
F_739607_2760161	"PURCHASE ST"	2213	0	225433	841299
F_739608_2760803	"PURCHASE ST"	2151	0	225433	841494
F_739612_2773100	"OAK STREET"	0	0	225434	845243
F_739612_2779946	"CHESTNUT ST"	2292	0	225434	847329
F_739625_2778516	"WINTHROP ST"	2274	0	225438	846893
F_739641_2770044	"HORTON ST"	2577	0	225443	844311
F_739641_2776071	"MAPLE SWAMP RD"	2556	0	225443	846148
F_739644_2775766	"MAPLE SWAMP RD"	2530	0	225444	846055
F_739655_2778006	"WINTHROP ST"	2351	0	225447	846738
F_739672_2761807	"CEDAR ST"	2410	0	225452	841800
F_739685_2778274	"WINTHROP ST"	2285	0	225456	846820
F_739696_2768225	"WELLINGTON ST"	0	0	225460	843757
F_739712_2769467	"HORTON ST"	2611	0	225465	844135
F_739717_2767426	"WELLINGTON ST"	0	0	225466	843513
F_739746_2769599	"HORTON ST"	2599	0	225475	844175
F_739757_2760606	"PURCHASE ST"	2179	0	225478	841434
F_739767_2760991	"CEDAR ST"	2385	0	225481	841552
F_739769_2768938	"HORTON ST"	2685	0	225482	843974
F_739776_2769206	"HORTON ST"	0	0	225484	844056
F_739779_2760378	"PURCHASE ST"	2199	0	225485	841365
F_739801_2777100	"MAPLE SWAMP RD"	0	0	225492	846462
F_739812_2767252	"WELLINGTON ST"	0	0	225495	843460
F_739874_2768202	"WELLINGTON ST"	0	0	225514	843750
F_739877_2773798	"MAPLE ST"	0	0	225515	845455
F_739879_2761284	"CEDAR ST"	2408	0	225516	841641
F_739916_2769915	"HORTON ST"	2515	0	225527	844272
F_739957_2765341	"OLD WELLINGTON ST"	2355	0	225539	842878
F_739959_2772198	"OAK ST"	0	0	225540	844968
F_739961_2760907	"CEDAR ST"	2363	0	225541	841526
F_739961_2778892	"WINTHROP ST"	2242	0	225541	847008
F_739966_2765602	"OLD WELLINGTON ST"	2369	0	225542	842957
F_739971_2765004	"OLD WELLINGTON ST"	0	0	225544	842775
F_739972_2771075	"HORTON ST"	2544	0	225544	844625
F_740008_2778276	"WINTHROP ST"	2257	0	225555	846820
F_740017_2781275	"NORTH ST"	25	0	225558	847734
F_740035_2771793	"OAK ST"	0	0	225563	844844
F_740045_2766553	"WELLINGTON ST"	2437	0	225566	843247
F_740050_2774313	"MAPLE ST"	2335	0	225568	845612
F_740052_2771419	"OAK ST"	0	0	225568	844730
F_740056_2763892	"WELLINGTON ST"	0	0	225570	842436
F_740115_2776350	"MAPLE SWAMP RD"	2560	0	225588	846233
F_740131_2760936	"CEDAR ST"	2353	0	225592	841535
F_740132_2762131	"CEDAR ST"	0	0	225593	841899
F_740134_2766099	"WELLINGTON ST"	2371	0	225593	843109
F_740163_2775383	"MAPLE SWAMP RD"	0	0	225602	845938
F_740173_2779453	"CHESTNUT ST"	2229	0	225605	847179
F_740181_2761533	"CEDAR ST"	2350	0	225608	841717
F_740183_2767779	"WELLINGTON ST"	2619	0	225608	843621
F_740186_2768890	"HORTON ST"	0	0	225609	843959
F_740240_2759133	"PURCHASE ST"	2321	0	225626	840985
F_740241_2768341	"WELLINGTON ST"	2624	0	225626	843792
F_740248_2770488	"OAK ST"	1030	0	225628	844446
F_740255_2778859	"WINTHROP ST"	2230	0	225630	846998
F_740282_2778277	"WINTHROP ST"	2249	0	225638	846821
F_740288_2776906	"MAPLE ST"	0	0	225640	846403
F_740297_2759741	"PURCHASE ST"	0	0	225643	841171
F_740339_2767226	"WELLINGTON ST"	0	0	225656	843452
F_740345_2760625	"CEDAR ST"	2343	0	225658	841440
F_740357_2769561	"HORTON ST"	0	0	225661	844164
F_740366_2760884	"CEDAR ST"	2333	0	225664	841519
F_740383_2771560	"OAK ST"	954	0	225669	844773
F_740400_2765219	"OLD WELLINGTON ST"	0	0	225674	842840
F_740412_2767834	"WELLINGTON ST"	0	0	225678	843637
F_740415_2758617	"PURCHASE ST"	0	0	225679	840828
F_740419_2768135	"OLD WELLINGTON ST"	0	0	225680	843729
F_740436_2758454	"PURCHASE ST"	0	0	225685	840778
F_740439_2778859	"WINTHROP ST"	2210	0	225686	846998
F_740442_2758348	"PURCHASE ST"	0	0	225687	840746
F_740442_2760423	"CEDAR ST"	2281	0	225687	841379
F_740469_2779562	"CHESTNUT ST"	2201	0	225695	847212
F_740509_2760845	"CEDAR ST"	2323	0	225708	841507
F_740528_2780095	"CHESTNUT ST"	0	0	225713	847375
F_740531_2771342	"OAK ST"	970	0	225714	844707
F_740572_2778277	"WINTHROP ST"	2211	0	225727	846821
F_740582_2766303	"WELLINGTON ST"	2411	0	225730	843171
F_740608_2759962	"PURCHASE ST"	0	0	225738	841238
F_740634_2771942	"OAK ST"	900	0	225746	844890
F_740684_2780703	"CHESTNUT ST"	0	0	225761	847560
F_740685_2772293	"OAK ST"	0	0	225761	844997
F_740692_2761852	"CEDAR ST"	2340	0	225763	841814
F_740717_2779344	"CHESTNUT ST"	0	0	225771	847146
F_740764_2765424	"OLD WELLINGTON ST"	2361	0	225785	842903
F_740767_2761298	"CEDAR ST"	2300	0	225786	841645
F_740775_2778860	"WINTHROP ST"	0	0	225789	846998
F_740778_2776217	"MAPLE ST"	0	0	225790	846193
F_740794_2767738	"WELLINGTON ST"	2570	0	225794	843608
F_740805_2771770	"OAK ST"	932	0	225798	844837
F_740811_2769823	"HORTON ST"	0	0	225800	844244
F_740857_2778278	"WINTHROP ST"	0	0	225814	846821
F_740874_2768216	"WELLINGTON ST"	2574	0	225819	843754
F_740883_2760516	"CEDAR ST"	0	0	225822	841407
F_740897_2769088	"CEDARWOOD CIR"	1188	0	225826	844020
F_740925_2762491	"SMITH ST"	0	0	225834	842009
F_740937_2761089	"CEDAR ST"	2276	0	225838	841582
F_740943_2769334	"CEDARWOOD CIR"	0	0	225840	844095
F_740951_2770989	"OAK ST"	981	0	225842	844599
F_740973_2771219	"OAK ST"	979	0	225849	844669
F_740977_2769489	"CEDARWOOD CIR"	1200	0	225850	844142
F_740981_2761271	"TOMMYS WAY"	0	0	225851	841637
F_741011_2770201	"HORTON ST"	2410	0	225861	844359
F_741017_2761468	"TOMMYS WAY"	2112	0	225862	841697
F_741022_2772953	"OAK ST"	890	0	225864	845198
F_741032_2779463	"CHESTNUT ST"	0	0	225867	847182
F_741034_2765252	"OLD WELLINGTON ST"	0	0	225868	842850
F_741038_2770473	"OAK ST"	1033	0	225869	844442
F_741043_2759158	"LEWIS ST"	0	0	225870	840993
F_741052_2761660	"TOMMYS WAY"	2118	0	225873	841756
F_741072_2770744	"OAK ST"	0	0	225879	844524
F_741085_2779015	"WINTHROP ST"	2150	0	225883	847045
F_741090_2761858	"TOMMYS WAY"	0	0	225885	841816
F_741101_2772107	"OAK ST"	881	0	225888	844940
F_741101_2772415	"OAK ST"	878	0	225888	845034
F_741105_2769772	"CEDARWOOD CIR"	1220	0	225889	844228
F_741109_2763298	"SMITH ST"	0	0	225890	842255
F_741134_2762047	"TOMMYS WAY"	0	0	225898	841874
F_741160_2779444	"CHESTNUT ST"	2155	0	225906	847176
F_741163_2761038	"CEDAR ST"	2250	0	225907	841566
F_741172_2768761	"CEDARWOOD CIR"	0	0	225910	843920
F_741197_2761217	"TOMMYS WAY"	0	0	225917	841621
F_741203_2776141	"MAPLE ST"	0	0	225919	846169
F_741219_2771185	"OAK ST"	0	0	225924	844659
F_741223_2765136	"OLD WELLINGTON ST"	2350	0	225925	842815
F_741226_2761401	"BILLYS LANE"	2050	0	225926	841677
F_741233_2779143	"WINTHROP ST"	2136	0	225928	847084
F_741238_2781050	"CHESTNUT ST"	0	0	225930	847666
F_741242_2765512	"WELLINGTON ST"	2336	0	225931	842930
F_741243_2771576	"OAK ST"	955	0	225931	844778
F_741244_2766348	"WELLINGTON ST"	2440	0	225932	843185
F_741263_2779879	"CHESTNUT ST"	2120	0	225937	847309
F_741274_2771819	"OAK ST"	925	0	225941	844852
F_741300_2764483	"OLD WELLINGTON ST"	2287	0	225949	842616
F_741301_2761609	"BILLYS LANE"	0	0	225949	841740
F_741312_2761739	"TOMMYS WAY"	2123	0	225952	841780
F_741312_2778879	"WINTHROP ST"	0	0	225952	847004
F_741318_2775165	"MAPLE ST"	0	0	225954	845872
F_741321_2772356	"OAK ST"	850	0	225955	845016
F_741334_2760408	"CEDAR ST"	0	0	225959	841374
F_741344_2761865	"TOMMYS WAY"	2131	0	225962	841818
F_741345_2765725	"FIELDSTONE DR"	2321	0	225962	842995
F_741351_2773617	"OAK ST"	0	0	225964	845400
F_741353_2761006	"CEDAR ST"	2230	0	225965	841556
F_741354_2769855	"HORTON ST"	2371	0	225965	844253
F_741357_2764971	"OLD WELLINGTON ST"	2330	0	225966	842765
F_741385_2761185	"BILLYS LANE"	0	0	225975	841611
F_741401_2766051	"FIELDSTONE DR"	2300	0	225979	843094
F_741405_2761362	"BILLYS LANE"	0	0	225981	841665
F_741420_2761991	"TOMMYS WAY"	0	0	225985	841857
F_741422_2769623	"CEDARWOOD CIR"	1100	0	225986	844183
F_741424_2772042	"OAK ST"	833	0	225986	844920
F_741426_2769150	"CEDARWOOD CIR"	1177	0	225987	844039
F_741428_2779385	"CHESTNUT ST"	2115	0	225988	847158
F_741431_2778935	"WINTHROP ST"	2098	0	225989	847021
F_741435_2765262	"WELLINGTON ST"	2300	0	225990	842854
F_741436_2767427	"WELLINGTON ST"	2552	0	225990	843513
F_741464_2764584	"OLD WELLINGTON ST"	2279	0	225999	842647
F_741464_2768770	"CEDARWOOD CIR"	1168	0	225999	843923
F_741465_2769338	"CEDARWOOD CIR"	1111	0	225999	844096
F_741465_2774148	"MAPLE ST"	0	0	225999	845562
F_741490_2778550	"WINTHROP ST"	2125	0	226007	846904
F_741504_2780984	"WINTHROP ST"	0	0	226011	847646
F_741514_2766860	"WELLINGTON ST"	2494	0	226014	843341
F_741520_2769782	"HORTON ST"	2359	0	226016	844231
F_741527_2779075	"WINTHROP ST"	2082	0	226018	847064
F_741528_2761555	"BILLYS LANE"	0	0	226018	841724
F_741561_2779806	"CHESTNUT ST"	2090	0	226028	847287
F_741563_2770519	"HORTON ST"	2330	0	226029	844456
F_741564_2772282	"OAK ST"	822	0	226029	844993
F_741579_2760969	"CEDAR ST"	2210	0	226034	841545
F_741602_2769253	"CEDARWOOD CIR"	1144	0	226041	844070
F_741608_2761183	"BILLYS LANE"	0	0	226043	841610
F_741628_2761419	"BILLYS LANE"	0	0	226049	841682
F_741628_2779394	"CHESTNUT ST"	2085	0	226049	847161
F_741636_2771335	"OAK ST"	0	0	226051	844705
F_741641_2772532	"OAK ST"	780	0	226053	845069
F_741659_2760700	"CEDAR ST"	2191	0	226058	841463
F_741677_2765156	"WELLINGTON ST"	2270	0	226064	842821
F_741691_2778511	"WINTHROP ST"	2083	0	226068	846892
F_741702_2779894	"CHESTNUT ST"	2076	0	226071	847313
F_741713_2765715	"FIELDSTONE DR"	2281	0	226075	842992
F_741717_2778005	"WINTHROP ST"	2105	0	226076	846738
F_741739_2768030	"TANGLEWOOD RD"	0	0	226082	843697
F_741740_2769428	"CEDARWOOD CIR"	1128	0	226083	844123
F_741740_2769777	"HORTON ST"	2351	0	226083	844230
F_741744_2772847	"OAK ST"	750	0	226084	845165
F_741754_2764701	"WELLINGTON ST"	2247	0	226087	842683
F_741765_2777344	"WHEELER ST"	1952	0	226090	846536
F_741765_2778910	"WINTHROP ST"	2072	0	226090	847013
F_741775_2768865	"CEDARWOOD CIR"	1158	0	226093	843952
F_741785_2769592	"CEDARWOOD CIR"	1118	0	226097	844173
F_741799_2779004	"WINTHROP ST"	2062	0	226101	847042
F_741815_2772262	"OAK ST"	811	0	226106	844987
F_741817_2773104	"OAK ST"	722	0	226106	845244
F_741832_2779423	"CHESTNUT ST"	2065	0	226111	847170
F_741837_2765014	"WELLINGTON ST"	2244	0	226112	842778
F_741839_2761219	"CEDAR ST"	2188	0	226113	841621
F_741879_2769020	"CEDARWOOD CIR"	1148	0	226125	843999
F_741880_2779017	"WINTHROP ST"	2052	0	226125	847046
F_741921_2764251	"WELLINGTON ST"	2177	0	226138	842545
F_741923_2766250	"FIELDSTONE DR"	2270	0	226139	843155
F_741925_2764957	"WELLINGTON ST"	2226	0	226139	842761
F_741937_2758369	"LEWIS ST"	0	0	226143	840753
F_741939_2776585	"WHEELER ST"	2060	0	226143	846305
F_741950_2779690	"CHESTNUT ST"	2060	0	226147	847251
F_741953_2769321	"CEDARWOOD CIR"	1138	0	226148	844091
F_741961_2779080	"WINTHROP ST"	2042	0	226150	847065
F_741972_2761767	"CEDAR ST"	0	0	226154	841788
F_741982_2764644	"WELLINGTON ST"	0	0	226157	842665
F_741982_2772791	"OAK ST"	751	0	226157	845148
F_742013_2778531	"WINTHROP ST"	2071	0	226166	846898
F_742025_2765666	"FIELDSTONE DR"	2261	0	226170	842977
F_742026_2769651	"HORTON ST"	2325	0	226170	844191
F_742030_2779405	"CHESTNUT ST"	2025	0	226171	847164
F_742032_2779191	"WINTHROP ST"	2032	0	226172	847099
F_742066_2760965	"CEDAR ST"	2150	0	226182	841544
F_742076_2773083	"OAK ST"	717	0	226185	845237
