LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_213309_885963	"SMITH ST"	0	0	213309	885963
M_213450_886119	"SMITH ST"	0	0	213450	886119
M_213495_886269	"SMITH ST"	43	0	213495	886269
M_213524_885402	"JUNCTION ST"	0	0	213524	885402
M_213627_885855	"SMITH ST"	55	0	213627	885855
M_213666_886319	"SMITH ST"	31	0	213666	886319
M_213728_886405	"SMITH ST"	25	0	213728	886405
M_213751_886103	"SMITH ST"	44	0	213751	886103
M_213776_886614	"SMITH ST"	0	0	213776	886614
M_213829_886484	"SMITH ST"	21	0	213829	886484
M_213867_886202	"SMITH ST"	0	0	213867	886202
M_213882_886664	"SMITH ST"	0	0	213882	886664
M_213901_888633	"YORKSHIRE RD"	39	0	213901	888633
M_213930_886505	"SMITH ST"	0	0	213930	886505
M_213947_888549	"YORKSHIRE RD"	41	0	213947	888549
M_213950_888702	"YORKSHIRE RD"	37	0	213950	888702
M_213998_888506	"YORKSHIRE RD"	43	0	213998	888506
M_214009_885374	"JUNCTION ST"	0	0	214009	885374
M_214016_886825	"BRIDGE ST"	0	0	214016	886825
M_214043_888473	"YORKSHIRE RD"	45	0	214043	888473
M_214045_885124	"JUNCTION ST"	21	0	214045	885124
M_214060_888594	"YORKSHIRE RD"	38	0	214060	888594
M_214066_886489	"SMITH ST"	15	0	214066	886489
M_214066_886626	"BRIDGE ST"	0	0	214066	886626
M_214068_888701	"YORKSHIRE RD"	35	0	214068	888701
M_214070_886301	"SMITH ST"	16	0	214070	886301
M_214082_888436	"YORKSHIRE RD"	47	0	214082	888436
M_214091_886729	"BRIDGE ST"	0	0	214091	886729
M_214096_886943	"BRIDGE ST"	0	0	214096	886943
M_214116_888402	"YORKSHIRE RD"	49	0	214116	888402
M_214129_888604	"YORKSHIRE RD"	36	0	214129	888604
M_214130_888696	"YORKSHIRE RD"	33	0	214130	888696
M_214136_888156	"GREYSTONE RD"	30	0	214136	888156
M_214139_885980	"FARM ST"	0	0	214139	885980
M_214139_888063	"GREYSTONE RD"	28	0	214139	888063
M_214141_888360	"YORKSHIRE RD"	51	0	214141	888360
M_214141_888534	"YORKSHIRE RD"	50	0	214141	888534
M_214148_888304	"YORKSHIRE RD"	53	0	214148	888304
M_214151_888239	"YORKSHIRE RD"	55	0	214151	888239
M_214158_886890	"BRIDGE ST"	0	0	214158	886890
M_214168_886134	"FARM ST"	119	0	214168	886134
M_214185_888694	"YORKSHIRE RD"	31	0	214185	888694
