LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_165351_870592	"PIERPONT RD"	135	1	165351	870592
M_165350_870639	"PIERPONT RD"	137	1	165350	870639
M_165349_870674	"PIERPONT RD"	139	1	165349	870674
M_165348_870804	"PIERPONT RD"	147	1	165348	870804
M_165351_870837	"PIERPONT RD"	149	1	165351	870837
M_165360_870873	"PIERPONT RD"	151	1	165360	870873
M_165368_870909	"PIERPONT RD"	153	1	165368	870909
M_165387_870982	"PIERPONT RD"	159	1	165387	870982
M_165377_871016	"PIERPONT RD"	161	1	165377	871016
M_165475_871019	"PIERPONT RD"	162	1	165475	871019
M_165467_870980	"PIERPONT RD"	160	1	165467	870980
M_165453_870940	"PIERPONT RD"	158	1	165453	870940
M_165440_870910	"PIERPONT RD"	154	1	165440	870910
M_165424_870859	"PIERPONT RD"	152	1	165424	870859
M_165407_870783	"PIERPONT RD"	146	1	165407	870783
M_165407_870758	"PIERPONT RD"	144	1	165407	870758
M_165407_870723	"PIERPONT RD"	142	1	165407	870723
M_165408_870691	"PIERPONT RD"	140	1	165408	870691
M_165414_870645	"PIERPONT RD"	138	1	165414	870645
M_165449_870632	"PIERPONT RD"	134	1	165449	870632
M_165417_870613	"PIERPONT RD"	136	1	165417	870613
M_165426_870550	"PIERPONT RD"	132	1	165426	870550
M_165740_870496	"KLONDIKE RD"	156	1	165740	870496
M_165732_870528	"KLONDIKE RD"	150	1	165732	870528
M_165731_870543	"KLONDIKE RD"	146	1	165731	870543
M_165734_870558	"KLONDIKE RD"	144	1	165734	870558
M_165737_870581	"KLONDIKE RD"	140	1	165737	870581
M_165736_870643	"KLONDIKE RD"	118	1	165736	870643
M_165741_870659	"KLONDIKE RD"	116	1	165741	870659
M_165744_870676	"KLONDIKE RD"	114	1	165744	870676
M_165750_870696	"KLONDIKE RD"	112	1	165750	870696
M_165770_870728	"KLONDIKE RD"	104	1	165770	870728
M_165781_870756	"KLONDIKE RD"	100	1	165781	870756
M_165785_870775	"KLONDIKE RD"	92	1	165785	870775
M_165783_870791	"KLONDIKE RD"	86	1	165783	870791
M_165776_870804	"KLONDIKE RD"	82	1	165776	870804
M_165741_870833	"KLONDIKE RD"	76	1	165741	870833
M_165741_870872	"KLONDIKE RD"	68	1	165741	870872
M_165739_870887	"KLONDIKE RD"	66	1	165739	870887
M_165739_870902	"KLONDIKE RD"	60	1	165739	870902
M_165739_870949	"KLONDIKE RD"	54	1	165739	870949
M_165752_870974	"KLONDIKE RD"	46	1	165752	870974
M_165783_871017	"KLONDIKE RD"	40	1	165783	871017
M_165792_871032	"KLONDIKE RD"	34	1	165792	871032
M_165800_871049	"KLONDIKE RD"	30	1	165800	871049
M_165805_871064	"KLONDIKE RD"	26	1	165805	871064
M_165810_871079	"KLONDIKE RD"	22	1	165810	871079
M_165869_871066	"KLONDIKE RD"	27	1	165869	871066
M_165824_870982	"KLONDIKE RD"	41	1	165824	870982
M_165807_870957	"KLONDIKE RD"	43	1	165807	870957
M_165794_870899	"KLONDIKE RD"	63	1	165794	870899
M_165802_870866	"KLONDIKE RD"	79	1	165802	870866
M_165832_870826	"KLONDIKE RD"	83	1	165832	870826
M_165840_870808	"KLONDIKE RD"	85	1	165840	870808
M_165843_870791	"KLONDIKE RD"	89	1	165843	870791
M_165840_870775	"KLONDIKE RD"	91	1	165840	870775
M_165831_870726	"KLONDIKE RD"	93	1	165831	870726
M_165824_870674	"BONNIE VIEW RD"	20	1	165824	870674
M_166045_870762	"MARSH RD"	75	1	166045	870762
M_165801_870628	"KLONDIKE RD"	133	1	165801	870628
M_165794_870567	"KLONDIKE RD"	137	1	165794	870567
M_165792_870552	"KLONDIKE RD"	139	1	165792	870552
M_165790_870536	"KLONDIKE RD"	141	1	165790	870536
M_165794_870509	"KLONDIKE RD"	149	1	165794	870509
M_165841_870502	"KLONDIKE RD"	167	1	165841	870502
M_163272_869349	"BAKER POND RD"	59	1	163272	869349
M_163241_869457	"CAUSEWAY SHORES RD"	27	1	163241	869457
M_163131_869400	"CAUSEWAY SHORES RD"	20	1	163131	869400
M_163146_869450	"CAUSEWAY SHORES RD"	18	1	163146	869450
M_163171_869504	"CAUSEWAY SHORES RD"	5	1	163171	869504
M_163139_869566	"CAUSEWAY SHORES RD"	13	1	163139	869566
M_163144_869596	"CAUSEWAY SHORES RD"	15	1	163144	869596
M_163152_869624	"CAUSEWAY SHORES RD"	19	1	163152	869624
M_163162_869645	"CAUSEWAY SHORES RD"	21	1	163162	869645
M_163178_869669	"KRUGER ISLAND RD"	25	1	163178	869669
M_163187_869695	"KRUGER ISLAND RD"	29	1	163187	869695
M_163191_869723	"CAUSEWAY SHORES RD"	31	1	163191	869723
M_163228_869550	"CAUSEWAY SHORES RD"	12	1	163228	869550
M_163541_869743	"BAKER POND RD"	82	1	163541	869743
M_163525_869706	"BAKER POND RD"	80	1	163525	869706
M_163511_869664	"BAKER POND RD"	78	1	163511	869664
M_163497_869612	"BAKER POND RD"	76	1	163497	869612
M_163384_869311	"BAKER POND RD"	62	1	163384	869311
M_165727_869258	"PIERPONT RD"	47	1	165727	869258
M_165684_869419	"PIERPONT RD"	55	1	165684	869419
M_165662_869465	"PIERPONT RD"	59	1	165662	869465
M_165646_869416	"HAYDEN POND RD"	39	1	165646	869416
M_165630_869394	"HAYDEN POND RD"	41	1	165630	869394
M_165613_869372	"HAYDEN POND RD"	43	1	165613	869372
M_165589_869340	"HAYDEN POND RD"	45	1	165589	869340
M_165627_869296	"SUNSET DR"	7	1	165627	869296
M_165528_869305	"HAYDEN POND RD"	49	1	165528	869305
M_165508_869294	"HAYDEN POND RD"	51	1	165508	869294
M_165257_869278	"HAYDEN POND RD"	71	1	165257	869278
M_165060_869230	"HAYDEN POND RD"	83	1	165060	869230
M_164894_869326	"HAYDEN POND RD"	92	1	164894	869326
M_164893_869406	"MASON RD EXT"	427	1	164893	869406
M_164892_869517	"MASON RD EXT"	429	1	164892	869517
M_165104_869705	"MASON RD EXT"	438	1	165104	869705
M_164993_869673	"MASON RD EXT"	437	1	164993	869673
M_165090_869665	"MASON RD EXT"	436	1	165090	869665
M_164990_869563	"SUNRISE SHORE EAST"	1	1	164990	869563
M_165030_869574	"SUNRISE SHORE EAST"	5	1	165030	869574
M_165061_869579	"SUNRISE SHORE EAST"	7	1	165061	869579
M_165098_869568	"SUNRISE SHORE RD"	4	1	165098	869568
M_165095_869633	"SUNRISE SHORE RD"	3	1	165095	869633
M_165139_869605	"SUNRISE SHORE RD"	7	1	165139	869605
M_165150_869575	"SUNRISE SHORE RD"	9	1	165150	869575
M_165172_869506	"SUNRISE SHORE RD"	13	1	165172	869506
M_165184_869445	"SUNRISE SHORE RD"	21	1	165184	869445
M_165125_869471	"SUNRISE SHORE RD"	18	1	165125	869471
M_165118_869499	"SUNRISE SHORE RD"	14	1	165118	869499
M_165089_869479	"SUNRISE SHORE EAST"	8	1	165089	869479
M_165058_869474	"SUNRISE SHORE EAST"	6	1	165058	869474
M_165022_869470	"SUNRISE SHORE EAST"	4	1	165022	869470
M_164988_869453	"SUNRISE SHORE EAST"	2	1	164988	869453
M_164995_869370	"MASON RD EXT"	426	1	164995	869370
M_164993_869338	"MASON RD EXT"	424	1	164993	869338
M_164990_869306	"MASON RD EXT"	422	1	164990	869306
M_165047_869359	"HAYDEN POND RD"	84	1	165047	869359
M_165107_869336	"HAYDEN POND RD"	82	1	165107	869336
M_165182_869404	"HAYDEN POND RD"	80	1	165182	869404
M_165386_869305	"HAYDEN POND RD"	78	1	165386	869305
M_165502_869362	"HAYDEN POND RD"	50	1	165502	869362
M_165500_869409	"HAYDEN POND RD"	48	1	165500	869409
M_165538_869422	"HAYDEN POND RD"	46	1	165538	869422
M_165560_869468	"HAYDEN POND RD"	42	1	165560	869468
M_165631_869505	"PIERPONT RD"	63	1	165631	869505
M_165611_869526	"PIERPONT RD"	65	1	165611	869526
M_165598_869568	"PIERPONT RD"	67	1	165598	869568
M_165591_869627	"PIERPONT RD"	71	1	165591	869627
M_165534_869516	"NORMAN LN"	2	1	165534	869516
M_165532_869537	"NORMAN LN"	4	1	165532	869537
M_165543_869562	"NORMAN LN"	6	1	165543	869562
M_165544_869598	"NORMAN LN"	8	1	165544	869598
M_165544_869634	"NORMAN LN"	10	1	165544	869634
M_165534_869664	"NORMAN LN"	12	1	165534	869664
M_165516_869688	"NORMAN LN"	14	1	165516	869688
M_165498_869712	"NORMAN LN"	16	1	165498	869712
M_165506_869748	"NORMAN LN"	18	1	165506	869748
M_165574_869700	"PIERPONT RD"	75	1	165574	869700
M_165532_869790	"PIERPONT RD"	85	1	165532	869790
M_165481_869842	"COTTAGE RD"	5	1	165481	869842
M_165462_869857	"COTTAGE RD"	7	1	165462	869857
M_165612_869846	"PIERPONT RD"	98	1	165612	869846
M_165612_869757	"PIERPONT RD"	96	1	165612	869757
M_165419_868816	"STEBBINS DR"	13	1	165419	868816
M_165489_868830	"STEBBINS DR"	16	1	165489	868830
M_165550_868705	"STEBBINS DR"	14	1	165550	868705
M_165824_868934	"SHINE AVE"	5	1	165824	868934
M_165736_868945	"SHINE AVE"	7	1	165736	868945
M_165726_869036	"SHINE AVE"	8	1	165726	869036
M_165804_869023	"SHINE AVE"	2	1	165804	869023
M_165653_869224	"SUNSET DR"	11	1	165653	869224
M_165661_869181	"SUNSET DR"	13	1	165661	869181
M_165664_869138	"SUNSET DR"	15	1	165664	869138
M_165662_869060	"SUNSET DR"	19	1	165662	869060
M_165664_869019	"SHINE AVE"	12	1	165664	869019
M_165661_868944	"SUNSET DR"	21	1	165661	868944
M_165703_868883	"SUNSET DR"	25	1	165703	868883
M_165721_868843	"SUNSET DR"	27	1	165721	868843
M_165769_868786	"SUNSET DR"	29	1	165769	868786
M_165778_868726	"SUNSET DR"	31	1	165778	868726
M_165728_868701	"SUNSET DR"	33	1	165728	868701
M_165663_868710	"SUNSET DR"	34	1	165663	868710
M_165631_868765	"SUNSET DR"	32	1	165631	868765
M_165613_868812	"SUNSET DR"	30	1	165613	868812
M_165574_868882	"SUNSET DR"	28	1	165574	868882
M_165574_868950	"SUNSET DR"	24	1	165574	868950
M_165570_868996	"SUNSET DR"	22	1	165570	868996
M_165571_869030	"SUNSET DR"	20	1	165571	869030
M_165567_869061	"SUNSET DR"	18	1	165567	869061
M_165566_869093	"SUNSET DR"	16	1	165566	869093
M_165562_869131	"SUNSET DR"	14	1	165562	869131
M_165567_869178	"SUNSET DR"	12	1	165567	869178
M_165567_869239	"SUNSET DR"	10	1	165567	869239
M_165437_869221	"HILLCREST ST"	3	1	165437	869221
M_165440_869189	"HILLCREST ST"	5	1	165440	869189
M_165445_869143	"HILLCREST ST"	7	1	165445	869143
M_165444_869112	"HILLCREST ST"	9	1	165444	869112
M_165422_869114	"HILLCREST ST"	8	1	165422	869114
M_165397_869201	"HAYDEN POND RD"	59	1	165397	869201
M_165373_869157	"CLARK ST"	5	1	165373	869157
M_165357_869099	"CLARK ST"	11	1	165357	869099
M_165348_869217	"HAYDEN POND RD"	63	1	165348	869217
M_165119_868973	"HAYDEN POND RD"	79	1	165119	868973
M_164981_869254	"HAYDEN POND RD"	89	1	164981	869254
M_164985_869199	"MASON RD EXT"	418	1	164985	869199
M_165014_869126	"MASON RD EXT"	412	1	165014	869126
M_165006_868944	"MASON RD EXT"	400	1	165006	868944
M_165002_868841	"MASON RD EXT"	394	1	165002	868841
M_165029_868750	"MASON RD EXT"	388	1	165029	868750
M_165461_868069	"BRENTWOOD DR"	2	1	165461	868069
M_165404_868101	"SABAJ WAY"	1	1	165404	868101
M_165395_868067	"SABAJ WAY"	3	1	165395	868067
M_165375_868041	"SABAJ WAY"	5	1	165375	868041
M_165355_868183	"FRANKS LN"	7	1	165355	868183
M_165367_868230	"LOUS DR"	3	1	165367	868230
M_165358_868269	"LOUS DR"	5	1	165358	868269
M_165339_868331	"LOUS DR"	7	1	165339	868331
M_165388_868403	"LOUS DR"	14	1	165388	868403
M_165412_868372	"LOUS DR"	12	1	165412	868372
M_165416_868324	"LOUS DR"	10	1	165416	868324
M_165427_868280	"LOUS DR"	8	1	165427	868280
M_165434_868235	"LOUS DR"	6	1	165434	868235
M_165435_868196	"LOUS DR"	4	1	165435	868196
M_165404_868162	"FRANKS LN"	11	1	165404	868162
M_165440_868153	"FRANKS LN"	13	1	165440	868153
M_165477_868247	"FRANKS LN"	17	1	165477	868247
M_165531_868096	"BRENTWOOD DR"	1	1	165531	868096
M_165539_868055	"BRENTWOOD DR"	3	1	165539	868055
M_165653_868060	"DUDLEY OXFORD RD"	137	1	165653	868060
M_165685_868114	"NELLIES WAY"	1	1	165685	868114
M_165711_868186	"DUDLEY OXFORD RD"	141	1	165711	868186
M_165744_868226	"DUDLEY OXFORD RD"	143	1	165744	868226
M_165793_868296	"DUDLEY OXFORD RD"	147	1	165793	868296
M_165858_868331	"TOBIN DR"	1	1	165858	868331
M_165822_868394	"TOBIN DR"	3	1	165822	868394
M_165797_868474	"TOBIN DR"	5	1	165797	868474
M_165764_868430	"NELLIES WAY"	10	1	165764	868430
M_165742_868378	"NELLIES WAY"	8	1	165742	868378
M_165709_868331	"NELLIES WAY"	6	1	165709	868331
M_165704_868265	"NELLIES WAY"	4	1	165704	868265
M_165632_868134	"NELLIES WAY"	3	1	165632	868134
M_165625_868237	"NELLIES WAY"	5	1	165625	868237
M_165631_868338	"NELLIES WAY"	7	1	165631	868338
M_165568_868347	"STEBBINS DR"	4	1	165568	868347
M_165542_868609	"TOBIN DR"	18	1	165542	868609
M_165543_868546	"STEBBINS DR"	10	1	165543	868546
M_165557_868500	"STEBBINS DR"	8	1	165557	868500
M_165565_868442	"STEBBINS DR"	6	1	165565	868442
M_165646_868428	"NELLIES WAY"	9	1	165646	868428
M_165675_868464	"NELLIES WAY"	11	1	165675	868464
M_165732_868519	"TOBIN DR"	7	1	165732	868519
M_165681_868524	"TOBIN DR"	9	1	165681	868524
M_165627_868527	"TOBIN DR"	11	1	165627	868527
M_165627_868621	"TOBIN DR"	16	1	165627	868621
M_165692_868620	"TOBIN DR"	14	1	165692	868620
M_165748_868618	"TOBIN DR"	12	1	165748	868618
M_165799_868594	"TOBIN DR"	10	1	165799	868594
M_165840_868545	"TOBIN DR"	8	1	165840	868545
M_165871_868493	"TOBIN DR"	6	1	165871	868493
M_165896_868448	"TOBIN DR"	4	1	165896	868448
M_165910_868376	"TOBIN DR"	2	1	165910	868376
M_165951_868411	"DUDLEY OXFORD RD"	153	1	165951	868411
M_166172_868390	"CHARLTON RD"	146	1	166172	868390
M_166243_868353	"CHARLTON RD"	142	1	166243	868353
M_166217_868169	"MICHAEL LN"	18	1	166217	868169
M_166216_868131	"MICHAEL LN"	16	1	166216	868131
M_166218_868099	"MICHAEL LN"	14	1	166218	868099
M_166221_868068	"MICHAEL LN"	12	1	166221	868068
M_166159_868041	"MICHAEL LN"	11	1	166159	868041
M_166149_868100	"MICHAEL LN"	13	1	166149	868100
M_166148_868129	"MICHAEL LN"	15	1	166148	868129
M_166139_868163	"MICHAEL LN"	17	1	166139	868163
M_166120_868200	"MICHAEL LN"	19	1	166120	868200
M_166140_868223	"MICHAEL LN"	21	1	166140	868223
M_166171_868251	"MICHAEL LN"	23	1	166171	868251
M_166184_868289	"MICHAEL LN"	25	1	166184	868289
M_166124_868284	"CHARLTON RD"	141	1	166124	868284
M_166086_868306	"CHARLTON RD"	143	1	166086	868306
M_166078_868346	"CHARLTON RD"	145	1	166078	868346
M_166063_868398	"CHARLTON RD"	147	1	166063	868398
M_166034_868356	"DUDLEY OXFORD RD"	162	1	166034	868356
M_166014_868325	"DUDLEY OXFORD RD"	160	1	166014	868325
M_166007_868284	"DUDLEY OXFORD RD"	158	1	166007	868284
M_165987_868259	"DUDLEY OXFORD RD"	156	1	165987	868259
M_165962_868242	"DUDLEY OXFORD RD"	154	1	165962	868242
M_165932_868229	"DUDLEY OXFORD RD"	152	1	165932	868229
M_165874_868253	"WAYNE AVE"	1	1	165874	868253
M_165897_868219	"WAYNE AVE"	3	1	165897	868219
M_165938_868172	"WAYNE AVE"	9	1	165938	868172
M_165997_868154	"WAYNE AVE"	11	1	165997	868154
M_166002_868112	"WAYNE AVE"	13	1	166002	868112
M_166032_868083	"WAYNE AVE"	17	1	166032	868083
M_166061_868054	"WAYNE AVE"	19	1	166061	868054
M_165893_868079	"JUNE ST"	41	1	165893	868079
