LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_851500_2843114	"HIGH ST"	0	0	259538	866583
F_852034_2843285	"HIGH ST"	0	0	259700	866635
F_852337_2842838	"HIGH ST"	0	0	259793	866499
F_852669_2844895	"HIGH ST"	0	0	259894	867126
F_852752_2843571	"HIGH ST"	0	0	259919	866722
F_852819_2845534	"HIGH ST"	279	0	259940	867320
F_852871_2846130	"HIGH ST"	0	0	259956	867502
F_852989_2846051	"HIGH ST"	295	0	259992	867478
F_853042_2846512	"HIGH ST"	298	0	260008	867619
F_853213_2846505	"HIGH ST"	290	0	260060	867616
F_853215_2846927	"TAYLOR ST"	0	0	260060	867745
F_853275_2844239	"HIGH ST"	0	0	260079	866926
F_853417_2846463	"HIGH ST"	280	0	260122	867604
F_853488_2846043	"HIGH ST"	261	0	260144	867476
F_853587_2846362	"HIGH ST"	260	0	260174	867573
F_853607_2847135	"TAYLOR ST"	35	0	260180	867808
F_853634_2845989	"HIGH ST"	249	0	260188	867459
F_853766_2845994	"HIGH ST"	243	0	260228	867461
F_853792_2847786	"TAYLOR ST"	53	0	260236	868007
F_853828_2845698	"HIGH ST"	217	0	260247	867370
F_853863_2848109	"SUMMER ST"	0	0	260258	868105
F_853879_2844184	"HIGH ST"	107	0	260263	866909
F_853937_2846947	"HIGH ST"	254	0	260281	867751
F_854027_2842829	"VALLEY ST"	0	0	260308	866496
F_854066_2846403	"HIGH ST"	220	0	260320	867585
F_854098_2845603	"HIGH ST"	175	0	260330	867342
F_854135_2842447	"VALLEY ST"	0	0	260341	866380
F_854220_2845850	"HIGH ST"	203	0	260367	867417
F_854253_2842442	"VALLEY ST"	0	0	260377	866378
F_854374_2845791	"HIGH ST"	197	0	260414	867399
F_854376_2845302	"HIGH ST"	161	0	260414	867250
F_854395_2842438	"VALLEY ST"	0	0	260420	866377
F_854404_2846254	"HIGH ST"	212	0	260423	867540
F_854421_2846904	"SUMMER ST"	0	0	260428	867738
F_854509_2849761	"CONGRESS ST"	0	0	260455	868609
F_854597_2847490	"SUMMER ST"	1051	0	260482	867917
