LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_746243_2847067	"MASSAPOAG AVENUE"	272R	0	227455	867788
F_746365_2846549	"MASSAPOAG AVENUE"	264R	0	227493	867630
F_746395_2847349	"MASSAPOAG AVENUE"	284	0	227502	867874
F_746445_2847220	"MASSAPOAG AVENUE"	278	0	227517	867834
F_746481_2847071	"MASSAPOAG AVENUE"	274	0	227528	867789
F_746517_2846926	"MASSAPOAG AVENUE"	270	0	227539	867745
F_746552_2846782	"MASSAPOAG AVENUE"	266	0	227550	867701
F_746604_2846629	"MASSAPOAG AVENUE"	262	0	227565	867654
F_746661_2846432	"MASSAPOAG AVENUE"	256	0	227583	867594
F_746666_2846290	"MASSAPOAG AVENUE"	252	0	227584	867551
F_746687_2845210	"MASSAPOAG AVENUE"	228R	0	227591	867222
F_746712_2846136	"MASSAPOAG AVENUE"	248	0	227598	867504
F_746748_2845990	"MASSAPOAG AVENUE"	244	0	227609	867459
F_746783_2845845	"MASSAPOAG AVENUE"	240	0	227620	867415
F_746819_2845699	"MASSAPOAG AVENUE"	236	0	227631	867371
F_746856_2845547	"MASSAPOAG AVENUE"	232	0	227642	867324
F_746867_2844965	"MASSAPOAG AVENUE"	218	0	227646	867147
F_746933_2842910	"ROCKLAND STREET"	205	0	227666	866521
F_746938_2845354	"MASSAPOAG AVENUE"	226	0	227667	867266
F_746940_2844777	"MASSAPOAG AVENUE"	214	0	227668	867090
F_746990_2842548	"ROCKLAND STREET"	202	0	227683	866410
F_747004_2845202	"MASSAPOAG AVENUE"	222	0	227687	867219
F_747040_2844587	"MASSAPOAG AVENUE"	208	0	227698	867032
F_747084_2842895	"ROCKLAND STREET"	201	0	227712	866516
F_747121_2844452	"MASSAPOAG AVENUE"	204	0	227723	866991
F_747143_2842513	"ROCKLAND STREET #1"	198	0	227730	866400
F_747143_2842513	"ROCKLAND STREET #2"	198	0	227730	866400
F_747158_2844302	"MASSAPOAG AVENUE"	200	0	227734	866945
F_747201_2844164	"MASSAPOAG AVENUE"	196	0	227747	866903
F_747218_2845437	"MASSAPOAG AVENUE"	225	0	227753	867291
F_747234_2842879	"ROCKLAND STREET"	197	0	227757	866511
F_747239_2844012	"MASSAPOAG AVENUE"	192	0	227759	866857
F_747242_2843310	"MASSAPOAG AVENUE"	172	0	227760	866643
F_747258_2845310	"MASSAPOAG AVENUE"	221	0	227765	867252
F_747280_2843646	"MASSAPOAG AVENUE"	184R	0	227771	866745
F_747291_2842566	"ROCKLAND STREET"	194	0	227775	866416
F_747340_2843869	"MASSAPOAG AVENUE"	188	0	227790	866813
F_747347_2845128	"MASSAPOAG AVENUE"	217	0	227792	867197
F_747380_2842871	"ROCKLAND STREET"	193	0	227802	866509
F_747413_2839908	"MILL STREET"	107R	0	227812	865606
F_747414_2840817	"MILL STREET"	91R	0	227812	865883
F_747426_2839461	"MILL STREET"	115	0	227816	865469
F_747455_2842564	"ROCKLAND STREET"	190	0	227825	866415
F_747457_2839587	"MILL STREET"	113	0	227825	865508
F_747472_2845437	"PIERCE WAY"	4	0	227830	867291
F_747478_2840193	"MILL STREET"	91	0	227832	865693
F_747496_2839026	"CHESTNUT STREET"	204	0	227837	865337
F_747508_2839299	"MILL STREET"	120	0	227841	865420
F_747512_2842354	"ROCKLAND STREET"	186	0	227842	866351
F_747512_2842871	"ROCKLAND STREET"	189	0	227842	866509
F_747530_2845037	"MASSAPOAG AVENUE"	213	0	227848	867169
F_747538_2839694	"MILL STREET"	109	0	227850	865540
F_747548_2838880	"CHESTNUT STREET"	200	0	227853	865292
F_747563_2845239	"PIERCE WAY"	5	0	227858	867231
F_747577_2841662	"MILL STREET"	57R	0	227862	866140
F_747599_2839465	"MILL STREET"	112	0	227869	865471
F_747599_2843826	"MASSAPOAG AVENUE"	184	0	227869	866800
F_747600_2838495	"CHESTNUT STREET"	190	0	227869	865175
F_747601_2844879	"MASSAPOAG AVENUE"	209	0	227869	867121
F_747617_2839802	"MILL STREET"	105	0	227874	865573
F_747667_2844732	"MASSAPOAG AVENUE"	205	0	227889	867076
F_747678_2844520	"MASSAPOAG AVENUE"	201	0	227893	867011
F_747692_2839106	"CHESTNUT STREET"	193	0	227897	865361
F_747705_2839904	"MILL STREET"	101	0	227901	865604
F_747725_2843442	"MASSAPOAG AVENUE"	176	0	227907	866683
F_747749_2839573	"MILL STREET"	108	0	227914	865504
F_747750_2844383	"MASSAPOAG AVENUE"	197	0	227915	866970
F_747769_2842894	"ROCKLAND STREET"	181	0	227920	866516
F_747782_2840002	"MILL STREET"	97	0	227924	865634
F_747790_2844233	"MASSAPOAG AVENUE"	193	0	227927	866924
F_747799_2843653	"MASSAPOAG AVENUE"	178	0	227930	866747
F_747807_2843264	"MASSAPOAG AVENUE"	170	0	227932	866629
F_747813_2842407	"ROCKLAND STREET"	180	0	227934	866367
F_747833_2838739	"CHESTNUT STREET"	189	0	227940	865249
F_747842_2838136	"CHESTNUT STREET"	186	0	227943	865066
F_747869_2839666	"MILL STREET"	104	0	227951	865532
F_747883_2840141	"MILL STREET"	95	0	227955	865677
F_747888_2843121	"MASSAPOAG AVENUE"	166	0	227957	866585
F_747900_2842941	"ROCKLAND STREET"	177	0	227960	866530
F_747926_2836957	"CHESTNUT STREET"	106R	0	227968	864706
F_747929_2837934	"CHESTNUT STREET"	182	0	227969	865004
F_747931_2837703	"CHESTNUT STREET"	178	0	227970	864934
F_747931_2844432	"MASSAPOAG AVENUE"	203	0	227970	866985
F_747933_2844136	"MASSAPOAG AVENUE"	189	0	227970	866894
F_747954_2838578	"CHESTNUT STREET"	187	0	227977	865200
F_747969_2839782	"MILL STREET"	100	0	227981	865567
F_747978_2838481	"CHESTNUT STREET"	185A	0	227984	865171
F_747995_2839150	"CHESTNUT STREET"	112R	0	227989	865375
F_747996_2843995	"MASSAPOAG AVENUE"	185	0	227990	866851
F_748014_2840595	"MILL STREET"	87	0	227995	865815
F_748022_2842750	"ROCKLAND STREET"	176	0	227998	866472
F_748038_2840994	"MILL STREET"	69R	0	228002	865937
F_748051_2838351	"CHESTNUT STREET"	185	0	228006	865131
F_748058_2837493	"CHESTNUT STREET"	174	0	228009	864870
F_748080_2843005	"ROCKLAND STREET"	173	0	228015	866550
F_748098_2839937	"MILL STREET"	94	0	228021	865615
F_748113_2842436	"ROCKLAND STREET"	174	0	228025	866376
F_748129_2843890	"MASSAPOAG AVENUE"	181	0	228030	866819
F_748145_2838166	"CHESTNUT STREET"	181	0	228035	865075
F_748163_2842822	"ROCKLAND STREET"	172	0	228041	866494
F_748194_2840463	"MILL STREET"	83	0	228050	865775
F_748198_2840041	"MILL STREET"	90	0	228051	865646
F_748205_2835538	"EASTMAN STREET"	135	0	228053	864274
F_748206_2843379	"MASSAPOAG AVENUE"	169	0	228054	866664
F_748231_2838037	"CHESTNUT STREET"	177	0	228061	865035
F_748243_2843512	"MASSAPOAG AVENUE"	173	0	228065	866704
F_748283_2840572	"MILL STREET"	79	0	228077	865808
F_748292_2842846	"MASSAPOAG AVENUE"	160	0	228080	866501
F_748296_2836104	"KEVIN'S WAY"	104	0	228081	864446
F_748303_2837904	"CHESTNUT STREET"	171	0	228083	864995
F_748304_2843256	"MASSAPOAG AVENUE"	165	0	228084	866626
F_748310_2840199	"MILL STREET"	86	0	228085	865694
F_748335_2836983	"CHESTNUT STREET"	170	0	228093	864714
F_748336_2836199	"KEVIN'S WAY"	106	0	228093	864475
F_748340_2836011	"KEVIN'S WAY"	100	0	228094	864418
