LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_276999_795846	"ROBINS NEST RD"	11	1	276999	795846
M_277460_794930	"WOODHAVEN DR"	5	1	277460	794930
M_277506_794789	"ACORN CIR"	6	1	277506	794789
M_277525_794746	"WOODHAVEN DR"	21	1	277525	794746
M_277538_794688	"WOODHAVEN DR"	25	1	277538	794688
M_277525_794933	"TAR KILN PATH"	12	1	277525	794933
M_277472_794662	"WOODHAVEN DR"	28	1	277472	794662
M_277451_794720	"WOODHAVEN DR"	22	1	277451	794720
M_277429_794777	"WOODHAVEN DR"	18	1	277429	794777
M_277407_794834	"WOODHAVEN DR"	10	1	277407	794834
M_277385_794891	"WOODHAVEN DR"	8	1	277385	794891
M_277364_794939	"WOODHAVEN DR"	2	1	277364	794939
M_277478_794865	"ACORN CIR"	1	1	277478	794865
M_277526_794868	"ACORN CIR"	5	1	277526	794868
M_277355_795772	"EAGLES NEST"	13	1	277355	795772
M_277319_795750	"DODGERS HOLE RD"	37	1	277319	795750
M_277300_795775	"EAGLES NEST"	12	1	277300	795775
M_277273_795792	"DODGERS HOLE RD"	31	1	277273	795792
M_277217_795763	"ROBINS NEST RD"	2	1	277217	795763
M_277176_795762	"ROBINS NEST RD"	4	1	277176	795762
M_277133_795769	"ROBINS NEST RD"	6	1	277133	795769
M_277096_795756	"ROBINS NEST RD"	16	1	277096	795756
M_277025_795786	"ROBINS NEST RD"	13	1	277025	795786
M_277049_795854	"ROBINS NEST RD"	7	1	277049	795854
M_277039_795746	"ROBINS NEST RD"	15	1	277039	795746
M_277059_795695	"ROBINS NEST RD"	17	1	277059	795695
M_277130_795716	"ROBINS NEST RD"	20	1	277130	795716
M_277175_795713	"ROBINS NEST RD"	24	1	277175	795713
M_277219_795714	"ROBINS NEST RD"	26	1	277219	795714
M_277255_795724	"ROBINS NEST RD"	28	1	277255	795724
M_277354_795729	"DODGERS HOLE RD"	39	1	277354	795729
M_277369_795698	"DODGERS HOLE RD"	41	1	277369	795698
M_277292_795685	"ROBINS NEST RD"	29	1	277292	795685
M_277311_795657	"DODGERS HOLE RD"	42	1	277311	795657
M_277252_795655	"ROBINS NEST RD"	27	1	277252	795655
M_277205_795654	"ROBINS NEST RD"	25	1	277205	795654
M_277159_795653	"ROBINS NEST RD"	23	1	277159	795653
M_277115_795654	"ROBINS NEST RD"	21	1	277115	795654
M_277083_795663	"ROBINS NEST RD"	19	1	277083	795663
M_277111_795614	"SPARROW LN"	11	1	277111	795614
M_277098_795576	"SPARROW LN"	13	1	277098	795576
M_277164_795604	"SPARROW LN"	9	1	277164	795604
M_277207_795610	"SPARROW LN"	7	1	277207	795610
M_277249_795606	"SPARROW LN"	5	1	277249	795606
