LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_36374_880308	"MT WASHINGTON RD"	0	0	36374	880308
M_36562_879998	"MT WASHINGTON RD"	0	0	36562	879998
M_36610_880718	"MT WASHINGTON RD"	0	0	36610	880718
M_36633_880020	"MT WASHINGTON RD"	234	0	36633	880020
M_36643_880130	"MT WASHINGTON RD"	0	0	36643	880130
M_36654_880168	"MT WASHINGTON RD"	226	0	36654	880168
M_36664_879923	"MT WASHINGTON RD"	232	0	36664	879923
M_36681_881873	"NICHOLSON RD"	0	0	36681	881873
M_36694_880331	"MT WASHINGTON RD"	214	0	36694	880331
M_36702_881972	"NICHOLSON RD"	18	0	36702	881972
M_36737_880420	"MT WASHINGTON RD"	210	0	36737	880420
M_36752_881909	"NICHOLSON RD"	0	0	36752	881909
M_36764_882117	"GILBERT RD"	7	0	36764	882117
M_36775_880504	"MT WASHINGTON RD"	206	0	36775	880504
M_36864_882339	"GILBERT RD"	3	0	36864	882339
M_36871_881842	"NICHOLSON RD"	13	0	36871	881842
M_36871_882088	"GILBERT RD"	9	0	36871	882088
M_36874_879778	"MT WASHINGTON RD"	0	0	36874	879778
M_36875_879900	"MT WASHINGTON RD"	229	0	36875	879900
M_36879_882215	"GILBERT RD"	5	0	36879	882215
M_36880_881297	"NICHOLSON RD"	17	0	36880	881297
M_36895_880174	"MT WASHINGTON RD"	175	0	36895	880174
M_36911_880986	"MT WASHINGTON RD"	0	0	36911	880986
M_36926_880631	"MT WASHINGTON RD"	200	0	36926	880631
M_36932_882010	"GILBERT RD"	0	0	36932	882010
M_36936_882676	"HILLSDALE RD"	0	0	36936	882676
M_37043_881918	"NICHOLSON RD"	0	0	37043	881918
M_37098_882523	"HILLSDALE RD"	278	0	37098	882523
M_37117_881955	"NICHOLSON RD"	1	0	37117	881955
M_37122_881767	"NICHOLSON RD"	5	0	37122	881767
M_37181_881692	"FISHER LN"	4	0	37181	881692
M_37182_882145	"HILLSDALE RD"	270	0	37182	882145
M_37215_883168	"OX BOW RD"	0	0	37215	883168
M_37248_881461	"FISHER LN"	6	0	37248	881461
M_37254_882509	"HILLSDALE RD"	276	0	37254	882509
M_37265_882380	"HILLSDALE RD"	274	0	37265	882380
M_37274_881952	"HILLSDALE RD"	0	0	37274	881952
M_37301_882218	"HILLSDALE RD"	264	0	37301	882218
M_37301_883629	"OX BOW RD"	0	0	37301	883629
M_37303_881649	"JENSSEN RD"	3	0	37303	881649
M_37304_883985	"OXBOW RD"	39	0	37304	883985
M_37366_883865	"OX BOW RD"	27	0	37366	883865
M_37396_883914	"OX BOW RD"	0	0	37396	883914
M_37407_882352	"HILLSDALE RD"	0	0	37407	882352
M_37415_879992	"JUG END RD"	0	0	37415	879992
M_37433_880848	"MT WASHINGTON RD"	0	0	37433	880848
M_37443_884372	"OX BOW RD"	32	0	37443	884372
M_37450_881175	"JUG END RD"	0	0	37450	881175
M_37472_881964	"HILLSDALE RD"	257	0	37472	881964
M_37483_884160	"OX BOW RD"	28	0	37483	884160
M_37485_882282	"HILLSDALE RD"	254	0	37485	882282
M_37502_884017	"OX BOW RD"	24	0	37502	884017
M_37504_883796	"OX BOW RD"	27	0	37504	883796
M_37505_883574	"OX BOW RD"	0	0	37505	883574
M_37586_884623	"OX BOW RD"	0	0	37586	884623
M_37614_882285	"HILLSDALE RD"	0	0	37614	882285
M_37620_884019	"OX BOW RD"	22	0	37620	884019
M_37635_884988	"MILLARD RD"	46	0	37635	884988
M_37639_883919	"OX BOW RD"	20	0	37639	883919
