LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_248658_822582	"MARSH ISLAND"	2	0	248658	822582
M_248686_822422	"MARSH ISLAND"	1	0	248686	822422
M_248735_823017	"HOWLAND ROAD"	7	0	248735	823017
M_248735_823827	"SYCAMORE STREET"	0	0	248735	823827
M_248739_823786	"SYCAMORE STREET"	0	0	248739	823786
M_248740_823886	"SYCAMORE STREET"	0	0	248740	823886
M_248750_822988	"BEACH STREET"	30	0	248750	822988
M_248752_822895	"BEACH STREET"	18	0	248752	822895
M_248752_822911	"BEACH STREET"	20	0	248752	822911
M_248753_822926	"BEACH STREET"	22	0	248753	822926
M_248753_822942	"BEACH STREET"	0	0	248753	822942
M_248758_823686	"SYCAMORE STREET"	0	0	248758	823686
M_248765_823617	"SYCAMORE STREET"	0	0	248765	823617
M_248773_822766	"RIVER AVENUE"	2	0	248773	822766
M_248778_823185	"RIVER AVENUE"	0	0	248778	823185
M_248778_823566	"SYCAMORE STREET"	0	0	248778	823566
M_248784_823098	"HOWLAND ROAD"	10	0	248784	823098
M_248796_822940	"BEACH STREET"	23	0	248796	822940
M_248796_822956	"BEACH STREET"	25	0	248796	822956
M_248808_822403	"TABER STREET"	2	0	248808	822403
M_248810_823012	"HOWLAND ROAD"	11	0	248810	823012
M_248815_822729	"RIVER AVENUE"	0	0	248815	822729
M_248816_822364	"TABER STREET"	1	0	248816	822364
M_248818_822941	"RIVER AVENUE"	30	0	248818	822941
M_248820_823571	"SYCAMORE STREET"	0	0	248820	823571
M_248845_822367	"TABER STREET"	5	0	248845	822367
M_248849_822335	"HEDGE STREET"	2	0	248849	822335
M_248852_822411	"TABER STREET"	6	0	248852	822411
M_248855_823811	"SYCAMORE STREET"	0	0	248855	823811
M_248868_823026	"HOWLAND ROAD"	19	0	248868	823026
M_248872_822372	"TABER STREET"	9	0	248872	822372
M_248874_822953	"RIVER AVENUE"	35	0	248874	822953
M_248879_822417	"TABER STREET"	10	0	248879	822417
M_248883_823026	"HOWLAND ROAD"	23	0	248883	823026
M_248885_822292	"HEDGE STREET"	1	0	248885	822292
M_248886_822341	"HEDGE STREET"	4	0	248886	822341
M_248886_823445	"BEACH STREET"	0	0	248886	823445
M_248890_823418	"BEACH STREET"	0	0	248890	823418
M_248893_822419	"TABER STREET"	12	0	248893	822419
M_248895_822343	"HEDGE STREET"	6	0	248895	822343
M_248897_822291	"HEDGE STREET"	3	0	248897	822291
M_248898_823026	"HOWLAND ROAD"	29	0	248898	823026
M_248899_822378	"TABER STREET"	11	0	248899	822378
M_248903_823458	"BEACH STREET"	0	0	248903	823458
M_248906_822042	"OXFORD STREET"	0	0	248906	822042
M_248906_822883	"OAK STREET"	16	0	248906	822883
M_248906_822941	"OAK STREET"	28	0	248906	822941
M_248906_822972	"OAK STREET"	30	0	248906	822972
M_248906_823003	"OAK STREET"	34	0	248906	823003
M_248907_822422	"TABER STREET"	14	0	248907	822422
M_248907_822988	"OAK STREET"	32	0	248907	822988
M_248909_822294	"HEDGE STREET"	5	0	248909	822294
M_248910_822346	"HEDGE STREET"	8	0	248910	822346
M_248913_822381	"TABER STREET"	13	0	248913	822381
M_248914_822095	"OXFORD STREET"	2	0	248914	822095
M_248914_823027	"HOWLAND ROAD"	31	0	248914	823027
M_248914_823661	"SYCAMORE STREET"	0	0	248914	823661
M_248918_822670	"KENDRICK AVENUE"	0	0	248918	822670
M_248918_823518	"VERANDA AVENUE"	3	0	248918	823518
M_248918_823552	"VERANDA AVENUE"	6	0	248918	823552
M_248920_822425	"TABER STREET"	16	0	248920	822425
M_248921_822296	"HEDGE STREET"	7	0	248921	822296
M_248923_822348	"HEDGE STREET"	10	0	248923	822348
M_248926_822383	"TABER STREET"	15	0	248926	822383
M_248926_823351	"SYCAMORE STREET"	0	0	248926	823351
M_248927_823893	"SYCAMORE STREET"	148	0	248927	823893
M_248928_822012	"WEST STREET"	2	0	248928	822012
M_248929_823470	"NEWBURY AVENUE"	4	0	248929	823470
M_248931_822053	"OXFORD STREET"	7	0	248931	822053
M_248931_823179	"RIO WAY"	12	0	248931	823179
M_248932_822299	"HEDGE STREET"	9	0	248932	822299
M_248932_822350	"HEDGE STREET"	12	0	248932	822350
M_248934_822428	"TABER STREET"	18	0	248934	822428
M_248934_823488	"BEACH STREET"	0	0	248934	823488
M_248935_822529	"TABER STREET"	0	0	248935	822529
M_248936_823438	"NEWBURY AVENUE"	5	0	248936	823438
M_248942_823746	"SYCAMORE STREET"	0	0	248942	823746
M_248944_823028	"HOWLAND ROAD"	37	0	248944	823028
M_248944_823955	"SYCAMORE STREET"	150	0	248944	823955
M_248945_822301	"HEDGE STREET"	11	0	248945	822301
M_248947_822353	"HEDGE STREET"	14	0	248947	822353
M_248947_822431	"TABER STREET"	22	0	248947	822431
M_248948_823319	"SYCAMORE STREET"	72	0	248948	823319
M_248950_822868	"OAK STREET"	0	0	248950	822868
M_248950_822881	"OAK STREET"	15	0	248950	822881
M_248950_822921	"OAK STREET"	21	0	248950	822921
M_248950_823386	"ALPINE AVENUE"	5	0	248950	823386
M_248951_822388	"TABER STREET"	19	0	248951	822388
M_248951_822944	"OAK STREET"	25	0	248951	822944
M_248951_822960	"OAK STREET"	27	0	248951	822960
M_248951_822975	"OAK STREET"	31	0	248951	822975
M_248951_822991	"OAK STREET"	33	0	248951	822991
M_248952_823006	"OAK STREET"	35	0	248952	823006
M_248953_822219	"NORTH STREET"	0	0	248953	822219
M_248954_823526	"VERANDA AVENUE"	7	0	248954	823526
M_248955_822108	"OXFORD STREET"	10	0	248955	822108
M_248957_822057	"OXFORD STREET"	9	0	248957	822057
M_248957_822304	"HEDGE STREET"	13	0	248957	822304
