LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_739516_2708272	"ATLANTIC BLV"	217	0	225405	825483
F_739558_2708479	"ATLANTIC BLV"	253	0	225418	825546
F_739562_2707885	"ATLANTIC BLV"	296	0	225419	825365
F_739571_2707938	"ATLANTIC BLV"	284	0	225422	825381
F_739580_2707989	"ATLANTIC BLV"	264	0	225424	825397
F_739602_2708107	"DUKE ST"	20	0	225431	825433
F_739614_2708174	"ATLANTIC BLV"	236	0	225435	825453
F_739622_2708218	"ATLANTIC BLV"	226	0	225437	825466
F_739639_2708312	"ATLANTIC BLV"	206	0	225442	825495
F_739647_2708356	"ATLANTIC BLV"	196	0	225445	825509
F_739648_2707945	"DUKE ST"	21	0	225445	825383
F_739659_2707836	"PEMBROKE ST"	36	0	225449	825350
F_739659_2708421	"MT HOPE AVE"	15	0	225449	825528
F_739672_2708090	"DUKE ST"	26	0	225452	825427
F_739682_2708536	"MT HOPE AVE"	8	0	225456	825563
F_739687_2708180	"BRYAN ST"	23	0	225457	825455
F_739690_2708581	"ATLANTIC BLV"	158	0	225458	825577
F_739697_2707934	"DUKE ST"	37	0	225460	825380
F_739700_2708628	"ATLANTIC BLV"	142	0	225461	825591
F_739707_2708673	"ATLANTIC BLV"	134	0	225463	825605
F_739716_2708080	"DUKE ST"	34	0	225466	825424
F_739725_2708764	"ATLANTIC BLV"	116	0	225469	825633
F_739727_2707820	"PEMBROKE ST"	56	0	225469	825345
F_739728_2708170	"BRYAN ST"	27	0	225470	825452
F_739735_2708404	"MT HOPE AVE"	19	0	225472	825523
F_739743_2707922	"DUKE ST"	45	0	225474	825376
F_739745_2708830	"ATLANTIC BLV"	102	0	225475	825653
F_739754_2708308	"BRYAN ST"	26	0	225477	825494
F_739760_2708070	"DUKE ST"	46	0	225479	825421
F_739760_2708542	"MT HOPE AVE"	16	0	225479	825565
F_739774_2707809	"PEMBROKE ST"	58	0	225484	825342
F_739777_2708631	"ASSONET ST"	29	0	225484	825592
F_739788_2707912	"DUKE ST"	57	0	225488	825373
F_739789_2708391	"MT HOPE AVE"	27	0	225488	825519
F_739789_2708888	"MOODY ST"	21	0	225488	825671
F_739806_2708059	"DUKE ST"	56	0	225493	825418
F_739813_2708530	"MT HOPE AVE"	26	0	225495	825562
F_739816_2708149	"BRYAN ST"	45	0	225496	825445
F_739816_2708766	"ASSONET ST"	34	0	225496	825634
F_739830_2708619	"ASSONET ST"	39	0	225501	825589
F_739838_2708287	"BRYAN ST"	58	0	225503	825488
F_739842_2708972	"ATLANTIC BLV"	68	0	225504	825696
F_739844_2708378	"MT HOPE AVE"	35	0	225505	825515
F_739867_2708517	"MT HOPE AVE"	36	0	225512	825558
F_739872_2709025	"ATLANTIC BLV"	56	0	225513	825712
F_739877_2708843	"MOODY ST"	31	0	225515	825657
F_739878_2708750	"ASSONET ST"	44	0	225515	825629
F_739884_2708607	"ASSONET ST"	49	0	225517	825585
F_739910_2707721	"KEMPTON ST"	187	0	225525	825315
F_739920_2708833	"MOODY ST"	41	0	225528	825654
F_739922_2707808	"KEMPTON ST"	165	0	225529	825342
F_739923_2708741	"ASSONET ST"	54	0	225529	825626
F_739934_2707896	"KEMPTON ST"	151	0	225532	825368
F_739938_2708973	"MOODY ST"	36	0	225534	825697
F_739946_2707984	"KEMPTON ST"	133	0	225536	825395
F_739954_2709185	"ATLANTIC BLV"	20	0	225538	825761
F_739956_2708826	"MOODY ST"	47	0	225539	825652
F_739957_2708062	"KEMPTON ST"	105	0	225539	825419
F_739966_2708129	"KEMPTON ST"	99	0	225542	825439
F_739971_2709056	"TINDAL ST"	19	0	225544	825722
F_739974_2708185	"KEMPTON ST"	91	0	225545	825456
F_739983_2708252	"KEMPTON ST"	75	0	225547	825477
F_739988_2708961	"MOODY ST"	50	0	225549	825693
F_739996_2708342	"MT HOPE AVE"	59	0	225551	825504
F_740013_2709172	"TINDAL ST"	22	0	225556	825757
F_740020_2709044	"TINDAL ST"	31	0	225559	825718
F_740022_2708478	"KEMPTON ST"	25	0	225559	825546
F_740037_2708552	"KEMPTON ST"	15	0	225564	825568
F_740038_2709220	"ATLANTIC BLV"	2	0	225564	825772
F_740043_2707689	"KEMPTON ST"	190	0	225566	825305
F_740049_2708612	"KEMPTON ST"	7	0	225567	825587
F_740058_2707768	"KEMPTON ST"	166	0	225570	825329
F_740060_2707855	"BYRON ST"	5	0	225571	825356
F_740061_2708019	"KEMPTON ST"	112	0	225571	825406
F_740062_2708665	"KEMPTON ST"	5	0	225571	825603
F_740069_2707201	"BAY ST"	1979	0	225573	825157
F_740069_2709158	"TINDAL ST"	32	0	225573	825753
F_740076_2708106	"KEMPTON ST"	104	0	225576	825432
F_740087_2708753	"KEMPTON ST"	3	0	225579	825630
F_740099_2708244	"KEMPTON ST"	74	0	225583	825474
F_740119_2708328	"MT HOPE AVE"	75	0	225589	825500
F_740121_2708076	"WHITTIER ST"	19	0	225589	825423
F_740123_2707983	"BYRON ST"	22	0	225590	825395
F_740124_2708852	"KEMPTON ST"	1	0	225590	825660
F_740146_2707685	"TAFT ST"	45	0	225597	825304
F_740155_2708524	"KEMPTON ST"	14	0	225600	825560
F_740155_2708909	"WOODMAN ST"	7A-7B	0	225600	825677
F_740164_2707839	"BYRON ST"	39	0	225602	825351
F_740165_2708066	"WHITTIER ST"	27	0	225603	825420
F_740167_2707775	"TAFT ST"	21	0	225603	825331
F_740171_2708209	"WHITTIER ST"	24	0	225605	825464
F_740172_2708444	"MT HOPE AVE"	82	0	225605	825535
F_740176_2708583	"KEMPTON ST"	6	0	225606	825578
F_740183_2709014	"SEAVIEW ST"	37	0	225608	825709
