LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_878771_2653103	"PENZANCE RD"	0	0	267850	808667
F_878793_2652831	"PENZANCE RD"	129	0	267857	808585
F_878906_2652329	"PENZANCE RD"	0	0	267891	808431
F_878959_2653438	"PENZANCE RD"	123	0	267907	808770
F_878968_2653856	"PENZANCE RD"	103	0	267910	808897
F_878970_2652437	"PENZANCE RD"	163	0	267911	808464
F_878983_2652751	"PENZANCE RD"	145	0	267915	808560
F_878991_2653661	"PENZANCE RD"	111	0	267917	808837
F_878999_2652174	"PENZANCE RD"	169	0	267919	808384
F_879142_2654428	"PENZANCE RD"	87	0	267963	809071
F_879165_2652687	"PENZANCE RD"	153	0	267970	808541
F_879165_2652880	"PENZANCE RD"	0	0	267970	808599
F_879194_2652523	"PENZANCE RD"	159	0	267979	808491
F_879207_2652987	"PENZANCE RD"	0	0	267983	808632
F_879293_2652879	"PENZANCE RD"	0	0	268009	808599
F_879305_2653362	"PENZANCE RD OFF"	0	0	268013	808746
F_879344_2653631	"PENZANCE RD"	104	0	268025	808828
F_879354_2654003	"PENZANCE RD"	96	0	268028	808942
F_879388_2653395	"PENZANCE RD OFF"	0	0	268038	808756
F_879408_2652781	"PENZANCE RD"	152	0	268044	808569
F_879410_2653186	"PENZANCE RD"	120	0	268045	808693
F_879430_2654243	"PENZANCE RD"	90	0	268051	809015
F_879560_2654870	"PENZANCE RD"	0	0	268090	809206
F_879573_2654348	"PENZANCE RD"	78	0	268094	809047
F_879582_2652479	"PENZANCE RD"	164	0	268097	808477
F_879606_2652327	"PENZANCE RD"	174	0	268104	808431
F_879647_2652736	"PENZANCE RD"	160	0	268117	808556
F_879649_2652191	"PENZANCE RD"	0	0	268118	808389
F_879694_2655112	"WINDHOVER WAY"	0	0	268131	809280
F_879703_2654423	"PENZANCE RD"	74	0	268134	809070
F_879785_2654892	"WINDHOVER WAY"	59	0	268159	809213
F_879785_2655186	"WINDHOVER WAY"	0	0	268159	809302
F_879788_2654480	"PENZANCE RD"	0	0	268160	809087
F_879844_2651930	"PENZANCE RD"	187	0	268177	808310
F_879949_2654575	"PENZANCE RD"	62	0	268209	809116
F_879951_2655344	"WINDHOVER WAY"	57	0	268210	809350
F_879958_2655648	"WINDHOVER WAY"	0	0	268212	809443
F_880102_2654489	"PENZANCE RD"	0	0	268256	809090
F_880135_2654461	"PENZANCE RD"	46	0	268266	809081
F_880224_2655249	"WINDHOVER WAY"	55	0	268293	809322
F_880228_2655124	"WINDHOVER WAY"	0	0	268294	809283
F_880272_2654895	"PENZANCE RD"	47	0	268307	809214
F_880303_2654281	"PENZANCE RD"	0	0	268317	809026
F_880392_2654586	"PENZANCE RD"	39	0	268344	809119
F_880430_2652510	"RAM ISLAND"	0	0	268356	808487
F_880432_2651727	"DEVILS FOOT ISLAND"	0	0	268356	808248
F_880521_2654150	"PENZANCE RD"	0	0	268383	808987
F_880556_2654643	"PENZANCE RD"	37	0	268394	809137
F_880731_2654472	"PENZANCE RD"	33	0	268447	809085
F_880906_2654095	"PENZANCE RD"	0	0	268501	808970
F_880977_2654328	"PENZANCE RD"	15	0	268522	809041
F_881135_2653979	"PENZANCE RD"	0	0	268570	808934
F_881142_2654177	"PENZANCE RD"	9	0	268573	808995
F_881399_2654030	"BAR NECK RD"	0	0	268651	808950
F_881413_2654124	"BAR NECK RD"	77	0	268655	808979
F_881462_2654029	"BAR NECK RD"	0	0	268670	808950
F_881539_2654027	"BAR NECK RD"	0	0	268694	808949
F_881543_2654135	"BAR NECK RD"	0	0	268695	808982
F_881613_2654022	"BAR NECK RD"	0	0	268716	808948
F_881617_2654144	"BAR NECK RD"	69	0	268717	808985
F_881679_2654019	"BAR NECK RD"	0	0	268736	808947
F_881703_2654163	"BAR NECK RD"	65	0	268744	808991
F_881725_2654004	"BAR NECK RD"	0	0	268750	808942
F_881806_2654298	"GOSNOLD RD"	8	0	268775	809032
F_881836_2653946	"BAR NECK RD"	58	0	268784	808924
F_881844_2654124	"BAR NECK RD"	59	0	268787	808979
F_881890_2654362	"GOSNOLD RD"	10	0	268801	809051
F_881947_2654083	"BAR NECK RD"	53	0	268818	808966
F_881954_2654369	"GOSNOLD RD"	16	0	268820	809053
F_881967_2654197	"GOSNOLD RD"	17	0	268824	809001
F_882048_2654045	"BAR NECK RD"	47	0	268849	808955
F_882055_2654373	"GOSNOLD RD"	24	0	268851	809055
F_882091_2654156	"SPENCER BAIRD RD"	28	0	268862	808988
F_882127_2654024	"BAR NECK RD"	39	0	268873	808948
F_882168_2654136	"SPENCER BAIRD RD"	24	0	268885	808982
F_882216_2653816	"BAR NECK RD"	40	0	268900	808885
F_882226_2654408	"GOSNOLD RD"	38	0	268903	809065
F_882240_2653172	"WATER ST"	166	0	268907	808688
F_882245_2653981	"BAR NECK RD"	33	0	268909	808935
F_882248_2654107	"SPENCER BAIRD RD"	18	0	268910	808973
F_882254_2654257	"SPENCER BAIRD RD"	23	0	268912	809019
F_882302_2653790	"BAR NECK RD"	32	0	268926	808877
F_882328_2654078	"SPENCER BAIRD RD"	16	0	268934	808965
F_882349_2653932	"BAR NECK RD"	31	0	268941	808920
F_882360_2654459	"GOSNOLD RD"	0	0	268944	809081
F_882364_2654204	"SPENCER BAIRD RD"	13	0	268945	809003
F_882373_2653515	"ALBATROSS ST"	0	0	268948	808793
F_882384_2653759	"BAR NECK RD"	28	0	268951	808867
F_882399_2654298	"GOSNOLD RD"	37	0	268956	809032
F_882410_2653909	"BAR NECK RD"	27	0	268959	808913
F_882421_2654494	"GOSNOLD RD"	44	0	268962	809091
F_882425_2654032	"SPENCER BAIRD RD"	10	0	268964	808951
