LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_170224_922011	"MASS STATE HWY"	0	0	170224	922011
M_170290_922374	"DEVELOPMENT RD"	46	0	170290	922374
M_170307_924057	"VICTORIA LN"	95	0	170307	924057
M_170309_924103	"VICTORIA LN"	105	0	170309	924103
M_170313_924023	"VICTORIA LN"	85	0	170313	924023
M_170321_923990	"VICTORIA LN"	73	0	170321	923990
M_170326_923818	"WESTMINSTER HILL RD"	0	0	170326	923818
M_170327_923959	"VICTORIA LN"	63	0	170327	923959
M_170335_923671	"WESTMINSTER HILL RD"	1621	0	170335	923671
M_170335_923924	"VICTORIA LN"	53	0	170335	923924
M_170337_924128	"VICTORIA LN"	115	0	170337	924128
M_170360_923887	"VICTORIA LN"	47	0	170360	923887
M_170362_924066	"VICTORIA LN"	106	0	170362	924066
M_170365_924033	"VICTORIA LN"	86	0	170365	924033
M_170372_924002	"VICTORIA LN"	76	0	170372	924002
M_170379_923970	"VICTORIA LN"	66	0	170379	923970
M_170385_924128	"VICTORIA LN"	127	0	170385	924128
M_170388_923940	"VICTORIA LN"	48	0	170388	923940
M_170394_924074	"VICTORIA LN"	126	0	170394	924074
M_170411_926793	"ASHBURNHAM ST"	0	0	170411	926793
M_170423_927093	"ASHBURNHAM ST"	0	0	170423	927093
M_170426_923943	"VICTORIA LN"	30	0	170426	923943
M_170428_924072	"VICTORIA LN"	138	0	170428	924072
M_170428_927034	"ASHBURNHAM ST"	0	0	170428	927034
M_170429_924125	"VICTORIA LN"	139	0	170429	924125
M_170431_926970	"ASHBURNHAM ST"	1010	0	170431	926970
M_170448_923415	"WESTMINSTER ST"	1050	0	170448	923415
M_170451_924346	"WESTMINSTER HILL RD"	0	0	170451	924346
M_170456_923948	"VICTORIA LN"	20	0	170456	923948
M_170459_924061	"VICTORIA LN"	150	0	170459	924061
M_170462_923997	"WESTMINSTER HILL RD"	0	0	170462	923997
M_170470_923761	"INDUSTRIAL RD"	224	0	170470	923761
M_170473_922358	"DEVELOPMENT RD"	99	0	170473	922358
M_170473_924118	"VICTORIA LN"	151	0	170473	924118
M_170489_923944	"VICTORIA LN"	12	0	170489	923944
M_170495_924048	"VICTORIA LN"	162	0	170495	924048
M_170505_924108	"VICTORIA LN"	161	0	170505	924108
M_170512_921856	"OLD PRINCETON RD"	0	0	170512	921856
M_170522_926647	"ASHBURNHAM ST"	909	0	170522	926647
M_170527_929472	"ASHBURNHAM HILL RD"	0	0	170527	929472
M_170537_923657	"INDUSTRIAL RD"	172	0	170537	923657
M_170544_924043	"VICTORIA LN"	176	0	170544	924043
M_170559_924112	"VICTORIA LN"	177	0	170559	924112
M_170559_926384	"ASHBURNHAM ST"	0	0	170559	926384
M_170581_924735	"WESTMINSTER HILL RD"	0	0	170581	924735
M_170585_925216	"WESTMINSTER HILL RD"	0	0	170585	925216
