LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_200291_893341	"WORCESTER RD"	1898	0	200291	893341
M_200347_893488	"WORCESTER RD"	1898	0	200347	893488
M_200419_893676	"WORCESTER RD RR"	1898	0	200419	893676
M_200442_893476	"WORCESTER RD"	1900	0	200442	893476
M_200509_893911	"WORCESTER RD"	1900	0	200509	893911
M_200532_893672	"CROSSING BLVD"	225	0	200532	893672
M_200641_894113	"PLEASANT ST CONNECTR"	16	0	200641	894113
M_200670_894265	"PLEASANT ST CONN"	15	0	200670	894265
M_200681_893789	"CROSSING BLVD"	175	0	200681	893789
M_200700_894382	"NEW YORK AVE"	92	0	200700	894382
M_200703_894139	"PLEASANT ST CONN"	0	0	200703	894139
M_200718_894191	"PLEASANT ST CONN"	11	0	200718	894191
M_200729_894275	"NEW YORK AVE RR"	86	0	200729	894275
M_200736_893966	"CROSSING BLVD"	200	0	200736	893966
M_200738_894370	"NEW YORK AVE"	88	0	200738	894370
M_200741_894207	"PLEASANT ST CONN"	9	0	200741	894207
M_200749_893641	"CROSSING BLVD"	149	0	200749	893641
M_200750_894472	"NEW YORK AVE"	51	0	200750	894472
M_200755_893325	"STAPLES DR"	500	0	200755	893325
M_200765_894362	"NEW YORK AVE"	86	0	200765	894362
M_200789_894499	"NEW YORK AVE"	55	0	200789	894499
M_200804_894614	"NEW YORK AVE"	47	0	200804	894614
M_200810_894688	"PLEASANT ST OFF"	0	0	200810	894688
M_200818_893895	"CROSSING BLVD"	150	0	200818	893895
M_200824_894289	"NEW YORK AVE"	84	0	200824	894289
M_200827_894453	"NEW YORK AVE"	49	0	200827	894453
M_200851_894674	"NEW YORK AVE RR"	0	0	200851	894674
M_200874_893812	"WORCESTER RD"	1824	0	200874	893812
M_200910_893097	"PARKER RD OFF"	0	0	200910	893097
M_200910_894550	"NEW YORK AVE"	31	0	200910	894550
M_200918_894810	"PLEASANT ST"	1030	0	200918	894810
M_200922_893954	"CROSSING BLVD"	100	0	200922	893954
M_200935_894475	"NEW YORK AVE"	45	0	200935	894475
M_200950_894822	"THOMAS DR"	1	0	200950	894822
M_200965_894780	"THOMAS DR"	3	0	200965	894780
M_200966_894036	"WORCESTER RD SO SD"	1834	0	200966	894036
M_200967_895012	"PLEASANT ST"	1023	0	200967	895012
M_200970_893994	"WORCESTER RD"	1832	0	200970	893994
M_200975_895066	"PLEASANT ST"	1021	0	200975	895066
M_200979_894928	"PLEASANT ST"	1029	0	200979	894928
M_200987_892970	"PILGRIM RD"	23	0	200987	892970
M_200991_894848	"PLEASANT ST"	1026	0	200991	894848
M_201002_894942	"PLEASANT ST"	1027	0	201002	894942
M_201004_894764	"THOMAS DR"	5	0	201004	894764
M_201019_894045	"WORCESTER RD"	1830	0	201019	894045
M_201021_894862	"PLEASANT ST"	1024	0	201021	894862
M_201024_894957	"PLEASANT ST"	1025	0	201024	894957
M_201028_895036	"PLEASANT ST"	1019	0	201028	895036
M_201040_894764	"THOMAS DR"	7	0	201040	894764
M_201040_894818	"THOMAS DR"	4	0	201040	894818
M_201045_895150	"PINEHILL RD"	6	0	201045	895150
M_201047_894878	"PLEASANT ST"	1022	0	201047	894878
M_201047_895181	"PINEHILL RD"	8	0	201047	895181
M_201049_895242	"PINEHILL RD"	12	0	201049	895242
M_201052_895281	"PINEHILL RD"	14	0	201052	895281
M_201058_894533	"NEW YORK AVE"	33	0	201058	894533
M_201058_894988	"PLEASANT ST"	1017	0	201058	894988
M_201061_895202	"PINEHILL RD"	10	0	201061	895202
M_201065_892961	"PILGRIM RD"	19	0	201065	892961
M_201068_893285	"WORCESTER RD"	0	0	201068	893285
M_201072_894311	"NEW YORK AVE"	74	0	201072	894311
M_201072_894765	"THOMAS DR"	9	0	201072	894765
M_201073_894897	"PLEASANT ST"	1020	0	201073	894897
M_201078_895006	"PLEASANT ST"	1015	0	201078	895006
M_201080_895093	"PINEHILL RD"	2	0	201080	895093
M_201089_894824	"THOMAS DR"	6	0	201089	894824
M_201097_894917	"PLEASANT ST"	1018	0	201097	894917
M_201101_897696	"PINEHILL RD"	107	0	201101	897696
M_201103_895437	"WAVENEY RD RR"	36	0	201103	895437
M_201109_895365	"PINEHILL RD"	19	0	201109	895365
M_201109_897648	"PINEHILL RD"	105	0	201109	897648
M_201111_894752	"THOMAS DR"	11	0	201111	894752
M_201112_894855	"THOMAS DR"	8	0	201112	894855
M_201115_895488	"WAVENEY RD"	36	0	201115	895488
M_201116_895332	"PINEHILL RD"	17	0	201116	895332
M_201117_897603	"PINEHILL RD"	103	0	201117	897603
M_201120_894938	"PLEASANT ST"	1016	0	201120	894938
M_201124_895303	"PINEHILL RD"	15	0	201124	895303
M_201125_897558	"PINEHILL RD"	101	0	201125	897558
M_201128_893183	"GOODNOW LN"	54	0	201128	893183
M_201131_895273	"PINEHILL RD"	13	0	201131	895273
M_201133_893889	"STAPLES DR"	100	0	201133	893889
M_201136_894878	"THOMAS DR"	10	0	201136	894878
M_201137_897514	"PINEHILL RD"	99	0	201137	897514
M_201139_895243	"PINEHILL RD"	11	0	201139	895243
M_201144_897469	"PINEHILL RD"	97	0	201144	897469
M_201144_897694	"EDMANDS RD"	1146	0	201144	897694
M_201145_893766	"STAPLES DR"	200	0	201145	893766
M_201145_894960	"PLEASANT ST"	1014	0	201145	894960
M_201146_895214	"PINEHILL RD"	9	0	201146	895214
M_201146_895486	"WAVENEY RD"	32	0	201146	895486
M_201146_897624	"EDMANDS RD"	1144	0	201146	897624
M_201150_894772	"THOMAS DR"	13	0	201150	894772
M_201152_897424	"PINEHILL RD"	95	0	201152	897424
M_201153_894158	"WORCESTER RD"	1891	0	201153	894158
