LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_232691_835426	"S MAIN ST"	0	0	232691	835426
M_232710_835110	"S MAIN ST"	238	0	232710	835110
M_232851_834903	"S MAIN ST"	241	0	232851	834903
M_232908_836522	"S MAIN ST"	170	0	232908	836522
M_232909_834931	"S MAIN ST"	239	0	232909	834931
M_232923_835565	"S MAIN ST"	0	0	232923	835565
M_232946_834958	"S MAIN ST"	237	0	232946	834958
M_232981_834986	"S MAIN ST"	235	0	232981	834986
M_233018_835012	"S MAIN ST"	233	0	233018	835012
M_233047_835364	"S MAIN ST"	0	0	233047	835364
M_233052_834940	"S MAIN ST"	0	0	233052	834940
M_233087_835048	"S MAIN ST"	229	0	233087	835048
M_233095_837523	"HIGHLAND RIDGE RD"	37	0	233095	837523
M_233161_837919	"CAP'N HARRIS DR"	8	0	233161	837919
M_233171_837435	"HIGHLAND RIDGE RD"	0	0	233171	837435
M_233173_835109	"S MAIN ST"	217	0	233173	835109
M_233177_838138	"NARROWS RD"	109	0	233177	838138
M_233183_837962	"CAP'N HARRIS DR"	6	0	233183	837962
M_233186_838010	"CAP'N HARRIS DR"	4	0	233186	838010
M_233213_838050	"CAP'N HARRIS DR"	2	0	233213	838050
M_233227_835178	"S MAIN ST"	213	0	233227	835178
M_233250_838104	"NARROWS RD"	103	0	233250	838104
M_233258_837686	"HIGHLAND RIDGE RD"	39	0	233258	837686
M_233264_838243	"NARROWS RD"	104	0	233264	838243
M_233273_837184	"BIRCH RD"	17	0	233273	837184
M_233278_837298	"BIRCH RD"	16	0	233278	837298
M_233305_835331	"S MAIN ST"	205	0	233305	835331
M_233316_837897	"CAP'N HARRIS DR"	5	0	233316	837897
M_233316_838051	"CAP'N HARRIS DR"	1	0	233316	838051
M_233316_838228	"NARROWS RD"	102	0	233316	838228
M_233326_837952	"CAP'N HARRIS DR"	3	0	233326	837952
M_233335_837325	"BIRCH RD"	14	0	233335	837325
M_233338_835864	"S MAIN ST"	0	0	233338	835864
M_233359_838214	"NARROWS RD"	100	0	233359	838214
M_233360_837164	"BIRCH RD"	15	0	233360	837164
M_233361_837391	"HIGHLAND RIDGE RD"	25	0	233361	837391
M_233363_838027	"NARROWS RD"	93	0	233363	838027
M_233371_835391	"S MAIN ST"	0	0	233371	835391
M_233378_837442	"HIGHLAND RIDGE RD"	0	0	233378	837442
M_233401_837294	"BIRCH RD"	12	0	233401	837294
M_233402_838198	"NARROWS RD"	96	0	233402	838198
M_233405_837553	"HIGHLAND RIDGE RD"	24	0	233405	837553
M_233411_838003	"NARROWS RD"	91	0	233411	838003
M_233414_837150	"BIRCH RD"	13	0	233414	837150
M_233423_837884	"ELIZABETH DR"	8	0	233423	837884
M_233442_838176	"NARROWS RD"	92	0	233442	838176
M_233448_837475	"HIGHLAND RIDGE RD"	0	0	233448	837475
M_233451_837203	"BIRCH RD"	0	0	233451	837203
M_233453_837275	"BIRCH RD"	10	0	233453	837275
M_233460_837539	"HIGHLAND RIDGE RD"	22	0	233460	837539
M_233463_837980	"NARROWS RD"	87	0	233463	837980
M_233471_837130	"BIRCH RD"	11	0	233471	837130
M_233480_835556	"S MAIN ST"	0	0	233480	835556
M_233485_838160	"NARROWS RD"	88	0	233485	838160
M_233510_837461	"HIGHLAND RIDGE RD"	19	0	233510	837461
M_233523_837290	"BIRCH RD"	4	0	233523	837290
M_233526_837223	"BIRCH RD"	6	0	233526	837223
M_233526_838137	"NARROWS RD"	84	0	233526	838137
M_233530_837948	"NARROWS RD"	81	0	233530	837948
M_233533_837585	"HIGHLAND RIDGE RD"	0	0	233533	837585
M_233535_837112	"BIRCH RD"	9	0	233535	837112
M_233560_837843	"ELIZABETH DR"	9	0	233560	837843
M_233564_838093	"NARROWS RD"	80	0	233564	838093
M_233584_837920	"NARROWS RD"	77	0	233584	837920
M_233586_836191	"S MAIN ST"	154	0	233586	836191
M_233597_836712	"S MAIN ST"	136	0	233597	836712
M_233598_837112	"BIRCH RD"	7	0	233598	837112
M_233602_835020	"ROUTE 24"	0	0	233602	835020
M_233610_838055	"NARROWS RD"	76	0	233610	838055
M_233624_837383	"WOODLAWN RD"	0	0	233624	837383
M_233627_835686	"S MAIN ST"	181	0	233627	835686
M_233632_837176	"BIRCH RD"	5	0	233632	837176
M_233635_837271	"BIRCH RD"	3	0	233635	837271
M_233635_837430	"HIGHLAND RIDGE RD"	15	0	233635	837430
M_233639_837892	"NARROWS RD"	75	0	233639	837892
M_233651_837494	"HIGHLAND RIDGE RD"	16	0	233651	837494
M_233669_836072	"S MAIN ST"	0	0	233669	836072
M_233669_837312	"WOODLAWN RD"	11	0	233669	837312
M_233670_835235	"S MAIN ST"	0	0	233670	835235
M_233674_837999	"NARROWS RD"	72	0	233674	837999
M_233683_837368	"WOODLAWN RD"	10	0	233683	837368
M_233693_837864	"NARROWS RD"	73	0	233693	837864
M_233694_837416	"HIGHLAND RIDGE RD"	13	0	233694	837416
