LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_238193_942489	"HAMPSHIRE LN"	0	0	238193	942489
M_238275_941516	"WEST ST"	0	0	238275	941516
M_238281_941590	"WEST ST"	115	0	238281	941590
M_238281_941674	"WEST ST"	117	0	238281	941674
M_238291_942354	"HAMPSHIRE LN REAR"	0	0	238291	942354
M_238308_941393	"WEST ST"	110	0	238308	941393
M_238310_941480	"WEST ST"	114	0	238310	941480
M_238319_941534	"WEST ST"	113	0	238319	941534
M_238341_941446	"WEST ST"	112	0	238341	941446
M_238342_941685	"WEST ST REAR 113"	0	0	238342	941685
M_238355_941579	"WEST ST"	111R	0	238355	941579
M_238360_941057	"PINE PLAIN RD"	11	0	238360	941057
M_238380_941751	"WEST ST REAR 113"	0	0	238380	941751
M_238408_940932	"PINE PLAIN RD"	12	0	238408	940932
M_238432_941052	"PINE PLAIN RD"	9	0	238432	941052
M_238454_941143	"PINE PLAIN RD"	7	0	238454	941143
M_238470_941182	"PINE PLAIN RD"	1	0	238470	941182
M_238482_941018	"PINE PLAIN RD"	8	0	238482	941018
M_238485_941324	"PINE PLAIN RD"	1A	0	238485	941324
M_238498_941418	"WEST ST"	105	0	238498	941418
M_238498_941526	"WEST ST"	0	0	238498	941526
M_238530_941369	"WEST ST"	107	0	238530	941369
M_238532_942382	"HAMPSHIRE LN"	0	0	238532	942382
M_238548_941216	"WEST ST"	100	0	238548	941216
M_238552_941319	"WEST ST"	103	0	238552	941319
M_238584_940886	"PINE PLAIN RD"	10	0	238584	940886
M_238586_941198	"WEST ST"	98	0	238586	941198
M_238634_942221	"HAMPSHIRE LN"	0	0	238634	942221
M_238635_940589	"ANDOVER ST"	417	0	238635	940589
M_238635_940860	"PINE PLAIN RD"	0	0	238635	940860
M_238646_941170	"WEST ST"	96	0	238646	941170
M_238653_941233	"WEST ST"	99	0	238653	941233
M_238714_941224	"WEST ST"	97	0	238714	941224
M_238735_941119	"WEST ST"	92	0	238735	941119
M_238744_940094	"ANDOVER ST"	430	0	238744	940094
M_238745_939943	"ANDOVER ST"	0	0	238745	939943
M_238761_941210	"WEST ST"	93	0	238761	941210
M_238771_939744	"SPOFFORD ST REAR"	0	0	238771	939744
M_238793_941931	"HAMPSHIRE LN"	0	0	238793	941931
M_238810_941192	"WEST ST"	95	0	238810	941192
M_238821_940122	"ANDOVER ST"	420	0	238821	940122
M_238822_940285	"ANDOVER ST"	415	0	238822	940285
M_238857_939538	"SPOFFORD ST REAR 91"	0	0	238857	939538
M_238863_940924	"WEST ST"	94	0	238863	940924
M_238884_940469	"ANDOVER ST"	413	0	238884	940469
M_238905_939906	"ANDOVER ST REAR"	0	0	238905	939906
M_238926_940117	"ANDOVER ST"	418	0	238926	940117
M_238932_941336	"WEST ST REAR 95"	0	0	238932	941336
M_238943_939517	"SPOFFORD ST"	91R	0	238943	939517
M_238949_939299	"SPOFFORD ST"	93	0	238949	939299
M_238967_942168	"HAMPSHIRE LN"	0	0	238967	942168
M_238983_940735	"ANDOVER ST"	411R	0	238983	940735
M_238993_940110	"ANDOVER ST"	416	0	238993	940110
M_239006_942408	"HAMPSHIRE LN"	0	0	239006	942408
M_239009_939228	"SPOFFORD ST"	104	0	239009	939228
M_239029_939387	"SPOFFORD ST"	91	0	239029	939387
M_239030_940175	"ANDOVER ST"	414	0	239030	940175
M_239036_939932	"SPOFFORD ST REAR"	0	0	239036	939932
M_239037_941526	"WEST ST"	101	0	239037	941526
M_239041_940935	"WEST ST REAR 80"	0	0	239041	940935
M_239052_941156	"WEST ST"	85	0	239052	941156
M_239068_941042	"WEST ST"	80	0	239068	941042
M_239069_940408	"ANDOVER ST"	411	0	239069	940408
M_239070_939429	"SPOFFORD ST"	89	0	239070	939429
M_239071_939261	"SPOFFORD ST"	98	0	239071	939261
M_239072_942294	"HAMPSHIRE LN"	0	0	239072	942294
M_239084_940031	"HARDY TR REAR"	0	0	239084	940031
M_239089_939321	"SPOFFORD ST"	96	0	239089	939321
M_239092_940210	"ANDOVER ST"	412	0	239092	940210
M_239092_941317	"WEST ST"	75	0	239092	941317
M_239110_941932	"HAMPSHIRE LN"	0	0	239110	941932
M_239115_939468	"SPOFFORD ST"	87	0	239115	939468
M_239119_939183	"SPOFFORD ST REAR"	87	0	239119	939183
M_239130_939570	"SPOFFORD ST"	83	0	239130	939570
M_239134_940211	"ANDOVER ST"	410	0	239134	940211
M_239142_940452	"ANDOVER ST"	389R	0	239142	940452
M_239150_939526	"SPOFFORD ST"	85	0	239150	939526
M_239150_941107	"WEST ST"	70	0	239150	941107
M_239163_940076	"HARDY TR"	5	0	239163	940076
M_239165_940288	"ANDOVER ST"	407	0	239165	940288
M_239167_939290	"SPOFFORD ST"	94	0	239167	939290
M_239171_940137	"HARDY TR"	3	0	239171	940137
M_239174_939610	"SPOFFORD ST"	43	0	239174	939610
