LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_622955_3044257	"WEST MAIN ST"	64	1	189877	927891
F_621898_3044697	"WEST MAIN ST"	6	1	189555	928026
F_622005_3044928	"WEST MAIN ST"	9	1	189588	928096
F_622073_3044848	"PEPPERELL RD"	1	1	189608	928072
F_622089_3044768	"WEST MAIN ST"	13	1	189613	928047
F_622164_3044742	"WEST MAIN ST"	17-19	1	189636	928039
F_622248_3044714	"WEST MAIN ST"	23	1	189662	928031
F_622758_3044134	"WEST MAIN ST"	58-A	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-B	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-C	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-D	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-E	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-F	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-G	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	58-H	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	56-A	1	189817	927854
F_622758_3044134	"WEST MAIN ST"	56-B	1	189817	927854
F_622295_3044699	"WEST MAIN ST"	25	1	189676	928026
F_622368_3044676	"WEST MAIN ST"	29	1	189698	928019
F_622448_3044651	"WEST MAIN ST"	33	1	189723	928011
F_622513_3044631	"WEST MAIN ST"	37	1	189742	928005
F_622593_3044606	"WEST MAIN ST"	41	1	189767	927998
F_622687_3044577	"WEST MAIN ST"	43	1	189795	927989
F_622791_3044545	"WEST MAIN ST"	55	1	189827	927979
F_622871_3044517	"WEST MAIN ST"	57	1	189851	927971
F_622932_3044529	"WEST MAIN ST"	59	1	189870	927974
F_622668_3044207	"WEST MAIN ST"	54	1	189790	927876
F_622594_3044144	"WEST MAIN ST"	48	1	189767	927857
F_622551_3044407	"WEST MAIN ST"	46	1	189754	927937
F_622405_3044381	"WEST MAIN ST"	34	1	189709	927929
F_622328_3043787	"WEST MAIN ST"	16	1	189686	927748
F_621919_3044124	"WEST MAIN ST"	8	1	189561	927851
F_621556_3046185	"ST JAMES AVE"	29	1	189451	928479
F_621671_3045997	"TOWNSEND RD"	66	1	189486	928422
F_621639_3045867	"TOWNSEND RD"	60	1	189476	928382
F_621692_3045749	"TOWNSEND RD"	56	1	189492	928346
F_621705_3045650	"TOWNSEND RD"	48	1	189496	928316
F_621749_3045556	"TOWNSEND RD"	42-44	1	189509	928287
F_621775_3045470	"TOWNSEND RD"	40	1	189517	928261
F_621835_3045375	"TOWNSEND RD"	30	1	189536	928232
F_621898_3045278	"TOWNSEND RD"	28	1	189555	928203
F_621974_3045214	"PEPPERELL RD"	19	1	189578	928183
F_621387_3045663	"CANNERY ROW"	38	1	189399	928320
F_621949_3045098	"TOWNSEND RD"	16	1	189570	928148
F_622013_3045036	"PEPPERELL RD"	13	1	189590	928129
F_622029_3045130	"PEPPERELL RD"	17	1	189595	928157
F_622050_3045248	"PEPPERELL RD"	25	1	189601	928193
F_622021_3045381	"PEPPERELL RD"	37	1	189592	928234
F_621996_3045559	"PEPPERELL RD"	39	1	189585	928288
F_621990_3045717	"PEPPERELL RD"	51	1	189583	928336
F_621996_3045838	"PEPPERELL RD"	55	1	189585	928373
F_622030_3045979	"ST JAMES AVE"	32	1	189595	928416
F_621706_3046390	"SHEPLEY ST"	7	1	189496	928542
F_621858_3046415	"SHEPLEY ST"	15	1	189543	928549
F_621870_3046519	"SHEPLEY ST"	23	1	189546	928581
F_621881_3046619	"SHEPLEY ST"	27	1	189550	928611
F_621636_3046516	"WESTVIEW ST"	9	1	189475	928580
F_621565_3046629	"WESTVIEW ST"	17	1	189453	928614
F_621466_3046848	"WESTVIEW ST"	25	1	189423	928681
F_621613_3046829	"WESTVIEW ST"	26	1	189468	928675
F_621711_3046818	"WESTVIEW ST"	14	1	189498	928672
F_621813_3046823	"WESTVIEW ST"	6	1	189529	928674
F_621913_3046810	"BIXBY HILL RD"	29	1	189559	928670
F_621242_3046973	"TOWNSEND RD"	120	1	189355	928719
F_621918_3046994	"BIXBY HILL RD"	37	1	189561	928726
F_622092_3046934	"BIXBY HILL RD"	36	1	189614	928707
F_622082_3046722	"BIXBY HILL RD"	20	1	189611	928643
F_622028_3046555	"BIXBY HILL RD"	17	1	189595	928592
F_622077_3046203	"PEPPERELL RD"	73	1	189609	928485
F_622208_3046411	"PEPPERELL RD"	81	1	189649	928548
F_622073_3046432	"BIXBY HILL RD"	11	1	189608	928554
F_622187_3046656	"BIXBY HILL RD"	12	1	189643	928623
F_622312_3046569	"BIXBY HILL RD"	2	1	189681	928596
F_622328_3046713	"PEPPERELL RD"	103	1	189686	928640
F_621260_3046829	"TOWNSEND RD"	114	1	189360	928675
F_622442_3046844	"PEPPERELL RD"	107	1	189721	928680
F_622879_3046966	"PEPPERELL RD"	122	1	189854	928717
F_622764_3046770	"PEPPERELL RD"	110	1	189819	928657
F_622745_3046481	"PEPPERELL RD"	106	1	189813	928569
F_622594_3046572	"PEPPERELL RD"	102	1	189767	928597
F_623082_3045722	"FOX RUN"	48	1	189916	928338
F_621305_3046707	"TOWNSEND RD"	106	1	189374	928638
F_622660_3045815	"FOX RUN"	20	1	189787	928366
F_622628_3046138	"FOX RUN"	16	1	189777	928465
F_622889_3045521	"PEPPERELL RD"	42	1	189857	928277
F_622393_3046270	"PEPPERELL RD"	78	1	189706	928505
F_622361_3046069	"PEPPERELL RD"	70	1	189696	928444
F_622337_3045884	"PEPPERELL RD"	56	1	189689	928387
F_622316_3045701	"PEPPERELL RD"	48	1	189682	928332
F_622295_3045516	"PEPPERELL RD"	40	1	189676	928275
F_622277_3045333	"PEPPERELL RD"	32	1	189670	928219
F_622715_3045035	"PEPPERELL RD"	18	1	189804	928129
F_621333_3046607	"TOWNSEND RD"	102	1	189383	928608
F_621372_3046512	"TOWNSEND RD"	96	1	189395	928579
F_621425_3046372	"TOWNSEND RD"	90	1	189411	928536
F_621657_3048901	"KEMP ST"	112	1	189481	929307
F_622068_3048880	"KEMP ST"	92	1	189607	929300
F_622453_3048805	"KEMP ST"	72	1	189724	929278
F_622666_3048684	"KEMP ST"	70	1	189789	929241
F_622809_3048592	"KEMP ST"	54	1	189833	929213
F_622980_3048549	"KEMP ST"	44	1	189885	929200
F_622721_3047924	"KEMP ST"	39	1	189806	929009
F_622761_3048265	"KEMP ST"	51	1	189818	929113
F_622616_3048373	"KEMP ST"	63	1	189774	929146
F_619932_3047380	"TOWNSEND RD"	219	1	188956	928843
F_622407_3048450	"KEMP ST"	79-A	1	189710	929169
F_622407_3048450	"KEMP ST"	79-B	1	189710	929169
F_622180_3048545	"KEMP ST"	81-A	1	189641	929198
F_622180_3048545	"KEMP ST"	81-B	1	189641	929198
F_621866_3048606	"KEMP ST"	93	1	189545	929217
F_621585_3048655	"KEMP ST"	119	1	189459	929232
F_621399_3048268	"KEMP ST"	117	1	189403	929114
F_620810_3048673	"KEMP ST"	161	1	189223	929237
F_620686_3048806	"KEMP ST"	167	1	189185	929278
F_620546_3048689	"KEMP ST"	177	1	189143	929242
F_620148_3048814	"TOWNSEND RD"	224	1	189021	929280
