LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_236159_942590	"CENTER ST"	2	0	236159	942590
M_236432_942844	"CENTER ST"	22	0	236432	942844
M_236450_942878	"CENTER ST"	24	0	236450	942878
M_236498_942980	"CENTER ST"	28	0	236498	942980
M_236499_942866	"CENTER ST"	24	0	236499	942866
M_236506_943162	"CENTER ST"	46	0	236506	943162
M_236522_943197	"CENTER ST"	48R	0	236522	943197
M_236565_943074	"CENTER ST"	40	0	236565	943074
M_236572_942893	"CENTER ST"	32	0	236572	942893
M_236577_943268	"CENTER ST"	48	0	236577	943268
M_236614_943012	"CENTER ST"	38	0	236614	943012
M_236620_942928	"CENTER ST"	34	0	236620	942928
M_236641_943380	"CENTER ST"	52	0	236641	943380
M_236650_943156	"CENTER ST"	44	0	236650	943156
M_236657_943116	"CENTER ST"	42	0	236657	943116
M_236680_942901	"CENTER ST"	29	0	236680	942901
M_236684_943408	"CENTER ST"	56	0	236684	943408
M_236700_943335	"CENTER ST"	55	0	236700	943335
M_236707_943138	"CENTER ST"	43	0	236707	943138
M_236740_943555	"CENTER ST"	68	0	236740	943555
M_236741_943424	"CENTER ST"	60	0	236741	943424
M_236756_943344	"CENTER ST"	57	0	236756	943344
M_236780_943486	"CENTER ST"	66	0	236780	943486
M_236786_943247	"CENTER ST"	47	0	236786	943247
M_236805_943348	"CENTER ST"	61	0	236805	943348
M_236824_943604	"CENTER ST"	72	0	236824	943604
M_236830_943552	"CENTER ST"	70	0	236830	943552
M_236858_943336	"CENTER ST"	63	0	236858	943336
M_236869_943481	"CENTER ST"	67	0	236869	943481
M_236909_943346	"CENTER ST"	65	0	236909	943346
M_236914_943624	"CENTER ST"	74	0	236914	943624
M_236923_943474	"CENTER ST"	69	0	236923	943474
M_236929_943260	"POND ST"	17	0	236929	943260
M_236932_941974	"WASHINGTON ST"	289	0	236932	941974
M_236933_943542	"CENTER ST"	73	0	236933	943542
M_236940_943640	"CENTER ST"	76	0	236940	943640
M_236955_943917	"SALEM ST"	707	0	236955	943917
M_236969_942001	"WASHINGTON ST"	287	0	236969	942001
M_236975_943211	"POND ST"	15	0	236975	943211
M_236980_943721	"SALEM ST"	679-681	0	236980	943721
M_236980_943787	"SALEM ST"	673	0	236980	943787
M_236984_943366	"POND ST"	5	0	236984	943366
M_236985_943268	"POND ST"	11	0	236985	943268
M_236987_943748	"SALEM ST"	677	0	236987	943748
M_236988_943659	"SALEM ST"	687	0	236988	943659
M_236993_943445	"POND ST"	1	0	236993	943445
M_236993_943830	"SALEM ST"	671	0	236993	943830
M_236995_943587	"SALEM ST"	693	0	236995	943587
M_236999_942025	"WASHINGTON ST"	285	0	236999	942025
M_237009_944043	"SALEM ST"	644	0	237009	944043
M_237017_943138	"POND ST"	11	0	237017	943138
M_237022_943549	"SALEM ST"	697	0	237022	943549
M_237023_942053	"WASHINGTON ST"	283	0	237023	942053
M_237025_943368	"POND ST"	6	0	237025	943368
M_237032_943431	"POND ST"	2	0	237032	943431
M_237032_943736	"SALEM ST"	680	0	237032	943736
M_237032_943764	"SALEM ST"	678	0	237032	943764
M_237039_943789	"SALEM ST"	676	0	237039	943789
M_237040_942077	"WASHINGTON ST"	281	0	237040	942077
M_237040_943999	"SALEM ST"	652	0	237040	943999
M_237043_943687	"SALEM ST"	686	0	237043	943687
M_237043_943961	"SALEM ST"	654	0	237043	943961
M_237044_943292	"BENJAMIN ST"	27	0	237044	943292
M_237044_943640	"SALEM ST"	692	0	237044	943640
M_237045_943168	"BELLE ST"	9	0	237045	943168
M_237049_942270	"WASHINGTON ST"	213	0	237049	942270
M_237050_942699	"WASHINGTON ST"	201	0	237050	942699
M_237051_943203	"BELLE ST"	8	0	237051	943203
M_237056_943500	"SALEM ST"	701	0	237056	943500
M_237057_943370	"BENJAMIN ST"	25	0	237057	943370
M_237059_943899	"SALEM ST"	660	0	237059	943899
M_237061_943575	"SALEM ST"	698	0	237061	943575
M_237065_943250	"BENJAMIN ST"	31	0	237065	943250
M_237066_943851	"SALEM ST"	662	0	237066	943851
M_237070_943697	"CENTER ST"	82	0	237070	943697
M_237079_943448	"SALEM ST"	709	0	237079	943448
M_237079_943548	"SALEM ST"	702	0	237079	943548
