LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_816299_2818030	"CHERRY STREET"	57	0	248808	858937
F_816302_2817558	"CHERRY STREET"	0	0	248809	858793
F_816555_2818253	"CHERRY STREET"	47	0	248886	859005
F_816655_2817726	"CHERRY STREET"	0	0	248917	858845
F_816820_2818373	"CHERRY STREET"	"27 & 27A"	0	248967	859042
F_816909_2817039	"WALNUT STREET"	0	0	248994	858635
F_817060_2818460	"CHERRY STREET"	15	0	249040	859068
F_817085_2817887	"CHERRY STREET"	24	0	249048	858894
F_817312_2817927	"CHERRY STREET"	18	0	249117	858906
F_817321_2818142	"CHERRY STREET"	10	0	249120	858971
F_817334_2817478	"BOURNE DRIVE"	0	0	249124	858769
F_817389_2818584	"CHERRY STREET"	5	0	249141	859106
F_817434_2817227	"BOURNE DRIVE"	8	0	249154	858693
F_817447_2818177	"CHERRY STREET"	6	0	249158	858982
F_817515_2817049	"DANSON LANE"	6	0	249179	858638
F_817563_2817645	"BOURNE DRIVE"	11	0	249194	858820
F_817585_2818288	"CHERRY STREET"	2	0	249200	859016
F_817617_2816858	"DANSON LANE"	4	0	249210	858580
F_817707_2818195	"WALNUT STREET"	140	0	249238	858988
F_817710_2817594	"BOURNE DRIVE"	9	0	249239	858804
F_817718_2812971	"THOMPSON STREET"	0	0	249241	857395
F_817727_2818023	"WALNUT STREET"	136	0	249244	858935
F_817733_2817378	"BOURNE DRIVE"	7	0	249246	858739
F_817744_2818618	"WALNUT STREET"	0	0	249249	859116
F_817777_2817896	"WALNUT STREET"	132	0	249259	858896
F_817798_2817238	"BOURNE DRIVE"	5	0	249265	858696
F_817809_2816964	"DANSON LANE"	2	0	249269	858612
F_817851_2818386	"WALNUT STREET"	147	0	249281	859046
F_817881_2817766	"WALNUT STREET"	126	0	249291	858857
F_817881_2818907	"WALNUT STREET"	169	0	249291	859205
F_817927_2817011	"BOURNE DRIVE"	2	0	249305	858627
F_817948_2817593	"WALNUT STREET"	122	0	249311	858804
F_817986_2815324	"WALNUT STREET"	0	0	249323	858112
F_818000_2818127	"WALNUT STREET"	133	0	249327	858967
F_818012_2817424	"WALNUT STREET"	116	0	249331	858753
F_818033_2817303	"WALNUT STREET"	0	0	249337	858716
F_818091_2817945	"WALNUT STREET"	127	0	249355	858911
F_818121_2817228	"WALNUT STREET"	0	0	249364	858693
F_818129_2817126	"WALNUT STREET"	102	0	249366	858662
F_818160_2817746	"SUMMIT STREET"	85-83	0	249376	858851
F_818192_2816985	"WALNUT STREET"	98	0	249385	858619
F_818204_2813225	"THOMPSON STREET"	42	0	249389	857473
F_818246_2816848	"WALNUT STREET"	90	0	249402	858577
F_818335_2818156	"SUMMIT STREET"	75	0	249429	858976
F_818347_2816728	"WALNUT STREET"	82	0	249433	858540
F_818364_2817342	"SUMMIT STREET"	72	0	249438	858728
F_818475_2819065	"WALNUT STREET"	165	0	249472	859253
F_818485_2816610	"WALNUT STREET"	74	0	249475	858504
F_818520_2816466	"WALNUT STREET"	68	0	249485	858461
F_818580_2816032	"WALNUT STREET"	18	0	249504	858328
F_818615_2818719	"HIGHLAND CIRCLE"	0	0	249514	859147
F_818638_2816910	"SUMMIT STREET"	56	0	249521	858596
F_818742_2817168	"SUMMIT STREET"	52	0	249553	858675
F_818774_2812548	"THOMPSON STREET"	10	0	249563	857266
F_818799_2817971	"SUMMIT STREET"	69	0	249570	858919
F_818881_2813971	"THOMPSON STREET"	80	0	249595	857700
F_818898_2816469	"WALNUT STREET"	55	0	249601	858461
F_818907_2816987	"SUMMIT STREET"	48	0	249603	858619
F_818920_2817514	"HARVEST LANE"	4	0	249607	858780
F_818929_2817322	"SUMMIT STREET"	45	0	249610	858721
F_818990_2816792	"OLD SUMMIT STREET"	40	0	249629	858560
F_819004_2817706	"HARVEST LANE"	6	0	249633	858839
F_819101_2816671	"OLD SUMMIT STREET"	34	0	249662	858523
F_819113_2818023	"HARVEST LANE"	8	0	249666	858935
F_819126_2817194	"HARVEST LANE"	1	0	249670	858682
F_819146_2816301	"OLD SUMMIT STREET"	26	0	249676	858410
F_819193_2817376	"HARVEST LANE"	3	0	249691	858738
F_819204_2817568	"HARVEST LANE"	5	0	249694	858796
F_819244_2817772	"HARVEST LANE"	7	0	249706	858859
F_819248_2818196	"HARVEST LANE"	10	0	249707	858988
F_819287_2816791	"SUMMIT STREET"	18	0	249719	858560
F_819295_2815746	"THOMPSON STREET"	0	0	249722	858241
F_819300_2818036	"HARVEST LANE"	9	0	249723	858939
F_819304_2817083	"SUMMIT STREET"	25	0	249724	858649
F_819396_2813316	"THOMPSON STREET"	59	0	249752	857500
F_819411_2817264	"KESTREL LANE"	6	0	249757	858704
F_819428_2817420	"KESTREL LANE"	10	0	249762	858751
F_819437_2816991	"SUMMIT STREET"	17	0	249765	858621
F_819440_2817579	"KESTREL LANE"	"14 & 14A"	0	249766	858800
F_819450_2812971	"THOMPSON STREET"	0	0	249769	857395
F_819452_2816368	"OLD SUMMIT STREET"	16	0	249769	858431
F_819460_2817754	"KESTREL LANE"	18	0	249772	858853
F_819467_2817948	"ARROWHEAD PATH"	21	0	249774	858912
F_819476_2814146	"THOMPSON STREET"	85	0	249777	857753
F_819488_2813641	"THOMPSON STREET"	0	0	249780	857599
F_819496_2815962	"THOMPSON STREET"	156	0	249783	858307
F_819498_2818104	"ARROWHEAD PATH"	17	0	249783	858960
F_819528_2818266	"ARROWHEAD PATH"	13	0	249793	859009
F_819535_2818660	"WALNUT STREET"	159	0	249795	859129
F_819538_2816614	"SUMMIT STREET"	10	0	249796	858506
F_819540_2823840	"PLYMOUTH STREET"	954	0	249796	860708
F_819589_2816864	"SUMMIT STREET"	11	0	249811	858582
F_819593_2816419	"OLD SUMMIT STREET"	10	0	249812	858446
F_819593_2824388	"INDUSTRIAL DRIVE"	100	0	249812	860875
F_819610_2824562	"INDUSTRIAL DRIVE"	200	0	249818	860928
F_819611_2815935	"THOMPSON STREET"	0	0	249818	858299
F_819628_2824733	"INDUSTRIAL DRIVE"	300	0	249823	860980
F_819629_2815189	"THOMPSON STREET"	131	0	249823	858071
F_819631_2816057	"THOMPSON STREET"	166	0	249824	858336
F_819639_2822868	"LAUREL STREET"	0	0	249826	860412
F_819644_2828718	"SPENSER DRIVE"	1	0	249828	862195
F_819655_2824913	"INDUSTRIAL DRIVE"	400	0	249831	861035
F_819657_2812251	"THOMPSON STREET"	0	0	249832	857176
F_819664_2818453	"ARROWHEAD PATH"	9	0	249834	859066
F_819669_2825508	"INDUSTRIAL DRIVE"	0	0	249836	861217
F_819669_2828537	"SPENSER DRIVE"	3	0	249836	862140
F_819685_2817064	"KESTREL LANE"	3	0	249840	858643
F_819685_2819216	"HIGHLAND CIRCLE"	0	0	249840	859299
F_819690_2816209	"THOMPSON STREET"	176	0	249842	858382
F_819703_2817224	"KESTREL LANE"	7	0	249846	858692
F_819718_2816787	"SUMMIT STREET"	5	0	249851	858558
F_819718_2817394	"KESTREL LANE"	11	0	249851	858743
F_819718_2828401	"SPENSER DRIVE"	5	0	249851	862098
F_819728_2825052	"INDUSTRIAL DRIVE"	500	0	249854	861078
F_819733_2829170	"POND STREET"	0	0	249855	862333
F_819738_2817554	"KESTREL LANE"	15	0	249857	858792
F_819747_2817719	"KESTREL LANE"	19	0	249859	858842
F_819758_2828249	"SPENSER DRIVE"	7	0	249863	862052
F_819780_2826282	"ELM STREET"	0	0	249869	861452
F_819791_2829962	"HUDSON STREET"	28	0	249873	862574
F_819793_2830119	"HUDSON STREET"	34	0	249873	862622
F_819796_2830306	"HUDSON STREET"	40	0	249874	862679
F_819797_2816396	"OLD SUMMIT STREET"	2	0	249875	858439
F_819804_2827990	"SPENSER DRIVE"	9	0	249877	861973
F_819805_2829811	"HUDSON STREET"	22	0	249877	862528
F_819806_2830493	"HUDSON STREET"	46	0	249877	862736
F_819808_2830682	"HUDSON STREET"	54	0	249878	862794
F_819811_2830830	"HUDSON STREET"	60	0	249879	862839
F_819812_2830942	"HUDSON STREET"	62	0	249879	862873
F_819812_2831089	"HUDSON STREET"	0	0	249879	862918
F_819814_2831241	"HUDSON STREET"	0	0	249880	862964
F_819817_2831373	"HUDSON STREET"	0	0	249881	863004
F_819823_2831480	"HUDSON STREET"	110	0	249883	863037
F_819828_2821769	"LAUREL STREET"	0	0	249884	860077
F_819834_2817871	"ARROWHEAD PATH"	20	0	249886	858889
F_819834_2831613	"HUDSON STREET"	0	0	249886	863077
F_819846_2816726	"SUMMIT STREET"	3	0	249890	858540
F_819847_2823806	"PLYMOUTH STREET"	940	0	249890	860698
F_819848_2817988	"ARROWHEAD PATH"	16	0	249890	858924
F_819857_2829683	"HUDSON STREET"	16	0	249893	862489
F_819859_2814280	"PRATT STREET"	76	0	249894	857794
F_819860_2829407	"POND STREET"	142	0	249894	862405
F_819861_2828881	"SPENSER DRIVE"	2	0	249894	862245
F_819867_2818099	"ARROWHEAD PATH"	10	0	249896	858958
F_819874_2824376	"INDUSTRIAL DRIVE"	"150 A & B"	0	249898	860872
F_819877_2815887	"THOMPSON STREET"	163	0	249899	858284
F_819889_2823225	"PLYMOUTH STREET"	946	0	249903	860521
F_819906_2818529	"ARROWHEAD PATH"	5	0	249908	859089
F_819908_2818236	"ARROWHEAD PATH"	6	0	249908	859000
F_819936_2816033	"THOMPSON STREET"	169	0	249917	858329
F_819943_2828706	"SPENSER DRIVE"	4	0	249919	862191
F_819950_2814593	"PRATT STREET"	69	0	249921	857890
F_819951_2817086	"THOMPSON STREET"	208	0	249922	858650
F_819954_2824543	"INDUSTRIAL DRIVE"	250	0	249922	860922
F_819962_2817512	"SHERWOOD DRIVE"	13	0	249925	858779
F_819963_2825337	"INDUSTRIAL DRIVE"	600	0	249925	861164
F_819964_2831671	"HUDSON STREET"	93	0	249926	863095
F_819972_2831335	"OLD FARM ROAD"	2	0	249928	862993
F_819973_2831092	"HUDSON STREET"	73	0	249928	862919
F_819977_2816762	"THOMPSON STREET"	198	0	249929	858551
F_819979_2830867	"HUDSON STREET"	61	0	249930	862850
F_819992_2816171	"THOMPSON STREET"	175	0	249934	858371
F_819996_2828103	"SPENSER DRIVE"	12	0	249935	862008
F_819998_2828986	"POND STREET"	149	0	249936	862277
F_819998_2831492	"HUDSON STREET"	85	0	249936	863040
F_820003_2823797	"PLYMOUTH STREET"	934	0	249937	860695
F_820004_2830554	"LAMPPOST DRIVE"	1	0	249938	862755
F_820012_2829584	"HUDSON STREET"	10	0	249940	862459
F_820027_2828479	"AUTUMN LANE"	1	0	249945	862122
F_820046_2817689	"SHERWOOD DRIVE"	11	0	249951	858833
F_820046_2829451	"HUDSON STREET"	4	0	249951	862418
F_820068_2828291	"SPENSER DRIVE"	8	0	249957	862065
F_820073_2824396	"PLYMOUTH STREET"	933	0	249959	860878
F_820084_2832106	"HUDSON STREET"	115	0	249962	863228
F_820085_2820059	"THOMPSON STREET"	0	0	249962	859556
F_820088_2830341	"HUDSON STREET"	41	0	249963	862690
F_820091_2816311	"THOMPSON STREET"	181	0	249964	858413
F_820094_2816827	"THOMPSON STREET"	204	0	249965	858571
F_820095_2818164	"ARROWHEAD PATH"	2	0	249965	858978
F_820097_2830211	"HUDSON STREET"	35	0	249966	862650
F_820098_2830087	"HUDSON STREET"	29	0	249966	862612
F_820103_2828790	"AUTUMN LANE"	2	0	249968	862217
F_820106_2818700	"HIGHLAND CIRCLE"	45	0	249969	859141
F_820118_2832255	"HUDSON STREET"	0	0	249972	863273
F_820122_2818431	"ARROWHEAD PATH"	1	0	249974	859059
F_820127_2824658	"INDUSTRIAL DRIVE"	350-350A	0	249975	860957
F_820130_2830802	"LAMPPOST DRIVE"	2	0	249976	862830
F_820140_2829945	"HUDSON STREET"	23	0	249979	862569
F_820150_2816438	"THOMPSON STREET"	189	0	249982	858452
F_820154_2829143	"POND STREET"	139	0	249983	862325
F_820157_2817166	"SHERWOOD DRIVE"	12	0	249984	858674
F_820162_2832443	"HUDSON STREET"	129	0	249986	863330
F_820166_2817924	"HIGHLAND CIRCLE"	57	0	249987	858905
F_820166_2832656	"HUDSON STREET"	141	0	249987	863395
F_820171_2831348	"OLD FARM ROAD"	4	0	249989	862997
F_820174_2830516	"LAMPPOST DRIVE"	3	0	249990	862743
F_820182_2831015	"OLD FARM ROAD"	7	0	249992	862895
F_820185_2831656	"HUDSON STREET"	"99 & 99A"	0	249993	863090
F_820191_2813413	"PRATT STREET"	0	0	249995	857530
F_820191_2828518	"AUTUMN LANE"	3	0	249995	862134
F_820204_2824848	"INDUSTRIAL DRIVE"	450	0	249999	861015
F_820206_2829846	"HUDSON STREET"	17	0	249999	862539
F_820214_2814919	"PRATT STREET"	0	0	250002	857989
F_820221_2817584	"SHERWOOD DRIVE"	9	0	250004	858801
F_820223_2816514	"THOMPSON STREET"	195	0	250004	858475
F_820223_2824405	"PLYMOUTH STREET"	925	0	250004	860880
F_820228_2823783	"PLYMOUTH STREET"	920	0	250006	860691
F_820230_2818832	"HIGHLAND CIRCLE"	41	0	250007	859182
F_820242_2828878	"AUTUMN LANE"	4	0	250010	862244
F_820245_2832843	"HUDSON STREET"	147	0	250011	863452
F_820246_2833383	"HUDSON STREET"	0	0	250011	863617
F_820248_2833001	"HUDSON STREET"	153	0	250012	863500
F_820269_2829748	"HUDSON STREET"	11	0	250018	862509
F_820270_2829231	"POND STREET"	131	0	250019	862351
F_820278_2816918	"THOMPSON STREET"	212	0	250021	858598
F_820281_2833219	"HUDSON STREET"	161	0	250022	863567
F_820289_2833537	"HUDSON STREET"	0	0	250025	863664
F_820306_2817299	"SHERWOOD DRIVE"	10	0	250030	858714
F_820311_2816573	"THOMPSON STREET"	199	0	250031	858493
F_820315_2828366	"AUTUMN LANE"	0	0	250033	862088
F_820315_2830757	"LAMPPOST DRIVE"	4	0	250033	862816
F_820315_2831295	"OLD FARM ROAD"	6	0	250033	862980
F_820316_2825311	"INDUSTRIAL DRIVE"	650	0	250033	861157
F_820333_2818188	"HIGHLAND CIRCLE"	54	0	250038	858985
F_820333_2824350	"PLYMOUTH STREET"	917	0	250038	860864
F_820334_2829614	"HUDSON STREET"	1	0	250038	862468
F_820337_2817906	"HIGHLAND CIRCLE"	61	0	250039	858899
F_820337_2830479	"LAMPPOST DRIVE"	5	0	250039	862732
F_820337_2833774	"HUDSON STREET"	0	0	250039	863736
F_820339_2817624	"SHERWOOD DRIVE"	7	0	250040	858814
F_820345_2818883	"HIGHLAND CIRCLE"	37	0	250042	859197
F_820352_2828571	"AUTUMN LANE"	5	0	250044	862150
F_820355_2832609	"HUDSON STREET"	0	0	250045	863381
F_820373_2829338	"POND STREET"	119	0	250050	862384
F_820397_2831136	"OLD FARM ROAD"	"10 & 10A"	0	250058	862932
F_820399_2816632	"THOMPSON STREET"	205	0	250058	858511
F_820402_2818345	"HIGHLAND CIRCLE"	48	0	250059	859033
F_820404_2819149	"HIGHLAND CIRCLE"	33	0	250060	859278
F_820404_2828942	"AUTUMN LANE"	6	0	250060	862263
F_820420_2818469	"HIGHLAND CIRCLE"	44	0	250065	859071
F_820428_2834054	"HUDSON STREET"	0	0	250067	863821
F_820435_2833502	"ELM STREET"	0	0	250069	863653
F_820441_2830206	"JOHN WADE DRIVE"	1	0	250071	862649
F_820444_2817065	"THOMPSON STREET"	218	0	250072	858643
F_820445_2834201	"HUDSON STREET"	0	0	250072	863866
F_820460_2817352	"SHERWOOD DRIVE"	8	0	250077	858731
F_820477_2830732	"OLD FARM ROAD"	15	0	250082	862809
F_820482_2829714	"POND STREET"	110	0	250083	862499
F_820486_2817897	"HIGHLAND CIRCLE"	65	0	250085	858897
F_820491_2831017	"OLD FARM ROAD"	14	0	250086	862896
F_820494_2830442	"LAMPPOST DRIVE"	7	0	250087	862720
F_820499_2829400	"POND STREET"	109	0	250089	862403
F_820502_2833757	"HUDSON STREET"	187	0	250090	863731
F_820506_2828681	"AUTUMN LANE"	7	0	250091	862184
F_820508_2817653	"SHERWOOD DRIVE"	5	0	250091	858822
F_820517_2816685	"THOMPSON STREET"	215	0	250094	858527
F_820517_2829982	"JOHN WADE DRIVE"	11	0	250094	862580
F_820530_2814494	"PRATT STREET"	59	0	250098	857859
F_820531_2818576	"HIGHLAND CIRCLE"	38	0	250098	859104
F_820537_2818193	"HIGHLAND CIRCLE"	64	0	250100	858987
F_820547_2834193	"HUDSON STREET"	190	0	250103	863864
F_820556_2833087	"HUDSON STREET"	157	0	250106	863527
F_820592_2817101	"SHERWOOD DRIVE"	6	0	250117	858654
F_820605_2829745	"POND STREET"	0	0	250121	862508
F_820605_2834348	"HUDSON STREET"	196	0	250121	863911
F_820611_2832058	"HUDSON STREET"	105	0	250123	863213
F_820614_2814207	"PRATT STREET"	"51 & 51A"	0	250124	857772
F_820622_2818762	"HIGHLAND CIRCLE"	34	0	250126	859160
F_820630_2829432	"POND STREET"	99	0	250129	862413
F_820636_2819147	"HIGHLAND CIRCLE"	29	0	250130	859278
F_820652_2817883	"HIGHLAND CIRCLE"	69	0	250135	858892
F_820653_2829600	"POND STREET"	0	0	250136	862464
F_820653_2830416	"LAMPPOST DRIVE"	9	0	250136	862713
F_820658_2816765	"THOMPSON STREET"	219	0	250137	858552
F_820658_2830719	"OLD FARM ROAD"	17	0	250137	862805
F_820695_2817415	"SHERWOOD DRIVE"	4	0	250148	858750
F_820698_2834744	"HUDSON STREET"	216	0	250149	864032
F_820702_2817122	"THOMPSON STREET"	228	0	250150	858661
F_820705_2818166	"HIGHLAND CIRCLE"	68	0	250151	858979
F_820709_2822363	"LAUREL STREET"	0	0	250153	860258
F_820718_2823490	"LAUREL STREET"	437	0	250155	860601
F_820721_2817712	"SHERWOOD DRIVE"	1	0	250156	858840
F_820721_2829240	"POND STREET"	91	0	250156	862354
F_820722_2834478	"HUDSON STREET"	202	0	250157	863951
F_820725_2823879	"CIRCUIT STREET"	150	0	250157	860720
F_820728_2830081	"POND STREET"	72	0	250158	862610
F_820731_2828956	"POND STREET"	87	0	250159	862268
F_820733_2813989	"PRATT STREET"	0	0	250160	857706
F_820748_2833827	"HUDSON STREET"	193	0	250164	863752
