LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_445945_2942266	"FISKE ROAD"	882	0	135924	896804
F_446330_2942257	"FISKE ROAD"	0	0	136042	896802
F_446747_2942932	"SHORT ROAD"	117	0	136169	897007
F_446766_2942619	"SHORT ROAD"	0	0	136175	896912
F_446871_2942271	"SHORT ROAD"	73	0	136207	896806
F_446923_2941900	"SHORT ROAD"	25	0	136222	896693
F_447138_2942897	"SHORT ROAD"	0	0	136288	896997
F_447356_2943365	"SHORT ROAD"	0	0	136354	897139
F_447425_2943003	"SHORT ROAD"	136	0	136375	897029
F_447488_2947356	"OLD GREENWICH PLAINS"	1003	0	136395	898356
F_447502_2941542	"FISKE ROAD"	0	0	136399	896584
F_447515_2942565	"SHORT ROAD"	62	0	136403	896896
F_447681_2941981	"SHORT ROAD"	22	0	136453	896718
F_447714_2942278	"SHORT ROAD"	0	0	136464	896808
F_447901_2944804	"OFF OLD GREENWICH PL"	0	0	136520	897578
F_447903_2941602	"FISKE ROAD"	0	0	136521	896602
F_447962_2948519	"OLD GREENWICH PLAINS"	0	0	136539	898710
F_447980_2939195	"FISKE ROAD"	0	0	136545	895868
F_448015_2945758	"OLD GREENWICH PLAINS"	849	0	136555	897869
F_448286_2946742	"OLD GREENWICH PLAINS"	893	0	136638	898169
F_448292_2942184	"FISKE ROAD"	596	0	136640	896779
F_448319_2941633	"FISKE ROAD"	0	0	136648	896612
F_448611_2943213	"FISKE ROAD"	0	0	136737	897093
F_448762_2948127	"OLD GREENWICH PLAINS"	0	0	136783	898591
F_448821_2941608	"FISKE ROAD"	0	0	136801	896604
F_448918_2947012	"OLD GREENWICH PLAINS"	0	0	136830	898251
F_449060_2945357	"OLD GREENWICH PLAINS"	793	0	136874	897747
F_449097_2946315	"OLD GREENWICH PLAINS"	0	0	136885	898039
F_449115_2944387	"OLD GREENWICH PLAINS"	0	0	136891	897451
F_449358_2945129	"OLD GREENWICH PLAINS"	697	0	136965	897677
F_449428_2945819	"OLD GREENWICH PLAINS"	0	0	136986	897887
