LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_189225_914453	"STILL RIVER RD"	284	0	189225	914453
M_189708_915593	"STILL RIVER RD"	232	0	189708	915593
M_189745_913989	"STILL RIVER RD"	328	0	189745	913989
M_189757_913752	"STILL RIVER RD"	340	0	189757	913752
M_189766_915110	"STILL RIVER RD"	252	0	189766	915110
M_189771_915051	"STILL RIVER RD"	254	0	189771	915051
M_189791_913848	"STILL RIVER RD"	336	0	189791	913848
M_189792_914470	"STILL RIVER RD"	292	0	189792	914470
M_189801_914202	"STILL RIVER RD"	316	0	189801	914202
M_189804_914093	"STILL RIVER RD"	324	0	189804	914093
M_189808_913921	"STILL RIVER RD"	332	0	189808	913921
M_189824_914367	"STILL RIVER RD"	306	0	189824	914367
M_189868_914251	"STILL RIVER RD"	312	0	189868	914251
M_189924_914438	"STILL RIVER RD"	294	0	189924	914438
M_189932_915292	"STILL RIVER RD"	248	0	189932	915292
M_189936_914962	"STILL RIVER RD"	260	0	189936	914962
M_189945_914530	"STILL RIVER RD"	290	0	189945	914530
M_189950_914697	"STILL RIVER RD"	282	0	189950	914697
M_189954_914096	"STILL RIVER RD"	320	0	189954	914096
M_189962_914796	"STILL RIVER RD"	272	0	189962	914796
M_189965_914368	"STILL RIVER RD"	304	0	189965	914368
M_189965_915875	"DEPOT RD-STILL RIVER"	31	0	189965	915875
M_189972_914291	"STILL RIVER RD"	308	0	189972	914291
M_189983_914251	"STILL RIVER RD"	310	0	189983	914251
M_190004_914910	"STILL RIVER RD"	266	0	190004	914910
M_190018_913761	"STILL RIVER RD"	389	0	190018	913761
M_190031_915472	"STILL RIVER RD"	224	0	190031	915472
M_190042_913947	"STILL RIVER RD"	327	0	190042	913947
M_190053_915967	"DEPOT RD-STILL RIVER"	24	0	190053	915967
M_190059_914628	"STILL RIVER RD"	285	0	190059	914628
M_190069_914525	"STILL RIVER RD"	291	0	190069	914525
M_190073_914372	"STILL RIVER RD"	307	0	190073	914372
M_190074_914452	"STILL RIVER RD"	295	0	190074	914452
M_190080_914299	"STILL RIVER RD"	311	0	190080	914299
M_190083_915576	"STILL RIVER RD"	218	0	190083	915576
M_190094_914731	"STILL RIVER RD"	277	0	190094	914731
M_190101_915248	"STILL RIVER RD"	246	0	190101	915248
M_190106_915305	"STILL RIVER RD"	238	0	190106	915305
M_190108_914139	"WEST BARE HILL RD"	203	0	190108	914139
M_190119_915403	"STILL RIVER RD"	230	0	190119	915403
M_190121_915022	"STILL RIVER RD"	259	0	190121	915022
M_190124_914237	"WEST BARE HILL RD"	204	0	190124	914237
M_190130_914838	"STILL RIVER RD"	273	0	190130	914838
M_190138_914969	"STILL RIVER RD"	263	0	190138	914969
M_190144_915795	"DEPOT RD-STILL RIVER"	15	0	190144	915795
M_190153_915259	"STILL RIVER RD"	240	0	190153	915259
M_190162_915322	"STILL RIVER RD"	236	0	190162	915322
M_190171_915473	"STILL RIVER RD"	228	0	190171	915473
M_190172_915957	"DEPOT RD-STILL RIVER"	20	0	190172	915957
M_190173_915907	"DEPOT RD-STILL RIVER"	18	0	190173	915907
M_190177_915864	"DEPOT RD-STILL RIVER"	14	0	190177	915864
M_190183_913494	"HARRIS LN"	16	0	190183	913494
M_190189_915544	"STILL RIVER RD"	222	0	190189	915544
M_190193_913614	"HARRIS LN"	12	0	190193	913614
M_190216_915653	"STILL RIVER RD"	216	0	190216	915653
M_190235_915904	"DEPOT RD-STILL RIVER"	12	0	190235	915904
M_190238_915729	"DEPOT RD-STILL RIVER"	3	0	190238	915729
M_190239_915283	"STILL RIVER RD"	239	0	190239	915283
M_190245_915341	"STILL RIVER RD"	235	0	190245	915341
M_190250_915388	"STILL RIVER RD"	231	0	190250	915388
M_190255_914977	"STILL RIVER RD"	265	0	190255	914977
M_190270_915857	"DEPOT RD-STILL RIVER"	10	0	190270	915857
M_190282_915666	"STILL RIVER RD"	212	0	190282	915666
M_190286_913416	"HARRIS LN"	19	0	190286	913416
M_190293_914142	"WEST BARE HILL RD"	193	0	190293	914142
M_190300_915691	"STILL RIVER RD"	210	0	190300	915691
M_190306_915507	"STILL RIVER RD"	221	0	190306	915507
M_190326_913955	"WEST BARE HILL RD"	177	0	190326	913955
M_190335_915769	"DEPOT RD-STILL RIVER"	4	0	190335	915769
M_190352_914094	"WEST BARE HILL RD"	187	0	190352	914094
M_190356_915667	"STILL RIVER RD"	211	0	190356	915667
M_190357_913583	"HARRIS LN"	8	0	190357	913583
M_190358_913834	"WEST BARE HILL RD"	165	0	190358	913834
M_190358_915757	"STILL RIVER RD"	206	0	190358	915757
M_190362_914944	"STILL RIVER RD"	275	0	190362	914944
M_190368_913393	"HARRIS LN"	15	0	190368	913393
M_190384_914033	"WEST BARE HILL RD"	185	0	190384	914033
M_190389_915796	"STILL RIVER RD"	204	0	190389	915796
M_190397_913462	"HARRIS LN"	9	0	190397	913462
M_190401_915604	"STILL RIVER RD"	213	0	190401	915604
M_190408_915687	"STILL RIVER RD"	207	0	190408	915687
M_190421_915732	"STILL RIVER RD"	203	0	190421	915732
M_190426_915928	"DEPOT RD-STILL RIVER"	6	0	190426	915928
M_190435_913959	"WEST BARE HILL RD"	171	0	190435	913959
M_190445_915814	"STILL RIVER RD"	200	0	190445	915814
M_190451_913896	"WEST BARE HILL RD"	163	0	190451	913896
M_190455_915745	"STILL RIVER RD"	201	0	190455	915745
M_190463_915093	"WILLARD LN"	12	0	190463	915093
M_190466_916364	"PROSPECT HILL RD"	170	0	190466	916364
M_190469_913767	"SCOTT RD"	4	0	190469	913767
M_190486_913630	"SCOTT RD"	18	0	190486	913630
M_190508_914039	"WEST BARE HILL RD"	174	0	190508	914039
M_190512_916296	"PROSPECT HILL RD"	180	0	190512	916296
M_190515_913706	"SCOTT RD"	10	0	190515	913706
M_190518_913355	"SCOTT RD"	32	0	190518	913355
M_190523_913498	"SCOTT RD"	28	0	190523	913498
M_190525_913296	"SCOTT RD"	36	0	190525	913296
M_190525_915316	"WILLARD LN"	33	0	190525	915316
M_190528_915798	"STILL RIVER RD"	197	0	190528	915798
M_190533_913427	"SCOTT RD"	30	0	190533	913427
M_190534_913965	"WEST BARE HILL RD"	172	0	190534	913965
M_190549_915078	"WILLARD LN"	20	0	190549	915078
M_190553_915604	"STILL RIVER RD"	199	0	190553	915604
M_190583_913783	"WEST BARE HILL RD"	159	0	190583	913783
M_190591_913473	"SCOTT RD"	25	0	190591	913473
M_190593_913889	"WEST BARE HILL RD"	166	0	190593	913889
M_190605_915961	"STILL RIVER RD"	184	0	190605	915961
M_190607_913336	"SCOTT RD"	35	0	190607	913336
M_190608_916153	"PROSPECT HILL RD"	188	0	190608	916153
M_190612_913273	"SCOTT RD"	39	0	190612	913273
M_190620_913699	"SCOTT RD"	13	0	190620	913699
M_190625_913412	"SCOTT RD"	31	0	190625	913412
M_190630_916009	"PROSPECT HILL RD"	198	0	190630	916009
M_190630_917065	"PROSPECT HILL RD"	102	0	190630	917065
M_190648_916211	"PROSPECT HILL RD"	184	0	190648	916211
M_190650_913767	"WEST BARE HILL RD"	155	0	190650	913767
M_190656_914071	"WEST BARE HILL RD"	178	0	190656	914071
M_190657_916267	"PROSPECT HILL RD"	182	0	190657	916267
M_190665_916534	"PROSPECT HILL RD"	164	0	190665	916534
M_190684_913905	"WEST BARE HILL RD"	156	0	190684	913905
M_190691_915067	"STILL RIVER RD"	281	0	190691	915067
M_190706_913762	"WEST BARE HILL RD"	153	0	190706	913762
M_190713_913403	"CANDLEBERRY LN"	15	0	190713	913403
