LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_741807_3114738	BROADWAY	0	0	226103	949374
F_742169_3115395	BROADWAY	0	0	226214	949574
F_742379_3115603	"OLD YANKEE RD"	68	0	226278	949638
F_742401_3114461	BROADWAY	0	0	226284	949290
F_742459_3115859	"OLD YANKEE RD"	82	0	226302	949716
F_742470_3115383	"OLD YANKEE RD"	66	0	226305	949571
F_742709_3115264	"OLD YANKEE RD"	64	0	226378	949534
F_742802_3116202	"OLD YANKEE RD"	81	0	226407	949820
F_742822_3115832	"OLD YANKEE RD"	73	0	226413	949707
F_742828_3115961	"OLD YANKEE RD"	77	0	226414	949747
F_742830_3115701	"OLD YANKEE RD"	69	0	226415	949668
F_742843_3115535	"OLD YANKEE RD"	65	0	226419	949617
F_742913_3115206	"OLD YANKEE RD"	62	0	226440	949517
F_742968_3116309	"WHITE OAK CR"	8	0	226457	949853
F_743015_3115483	"OLD YANKEE RD"	55	0	226471	949601
F_743016_3116576	"WHITE OAK CR"	7	0	226472	949934
F_743021_3114960	BROADWAY	0	0	226473	949442
F_743098_3115750	"FAIRVIEW FARM RD"	19	0	226497	949682
F_743102_3115984	"FAIRVIEW FARM RD"	17	0	226498	949754
F_743120_3114403	BROADWAY	0	0	226503	949272
F_743120_3115251	"OLD YANKEE RD"	56	0	226503	949530
F_743163_3116099	"FAIRVIEW FARM RD"	15	0	226517	949789
F_743192_3116734	"FAIRVIEW FARM RD"	7	0	226525	949982
F_743193_3116578	"WHITE OAK CR"	3	0	226526	949935
F_743196_3113322	BROADWAY	0	0	226527	948942
F_743199_3113783	BROADWAY	0	0	226528	949083
F_743210_3116204	"FAIRVIEW FARM RD"	13	0	226531	949821
F_743216_3114782	BROADWAY	0	0	226533	949387
F_743231_3116877	"FAIRVIEW FARM RD"	5	0	226537	950026
F_743235_3115216	"VILLAGE WOODS RD"	58	0	226538	949520
F_743242_3116341	"WHITE OAK CR"	2	0	226541	949863
F_743348_3115023	"VILLAGE WOODS RD"	54	0	226573	949461
F_743367_3115668	"OLD YANKEE RD"	53	0	226579	949658
F_743367_3115848	"FAIRVIEW FARM RD"	20	0	226579	949712
F_743444_3115401	"OLD YANKEE RD"	54	0	226602	949576
F_743499_3114965	"VILLAGE WOODS RD"	50	0	226619	949443
F_743503_3115955	"FAIRVIEW FARM RD"	18	0	226620	949745
F_743539_3117027	"FAIRVIEW FARM RD"	4	0	226631	950072
F_743542_3116876	"FAIRVIEW FARM RD"	6	0	226632	950026
F_743546_3116732	"FAIRVIEW FARM RD"	8	0	226633	949982
F_743549_3116585	"FAIRVIEW FARM RD"	10	0	226634	949937
F_743550_3116115	"FAIRVIEW FARM RD"	16	0	226634	949794
F_743552_3117190	"FAIRVIEW FARM RD"	2	0	226635	950121
F_743554_3116436	"FAIRVIEW FARM RD"	12	0	226636	949892
F_743558_3116284	"FAIRVIEW FARM RD"	14	0	226637	949845
F_743582_3115782	"OLD YANKEE RD"	51	0	226644	949692
F_743590_3115230	"VILLAGE WOODS RD"	51	0	226647	949524
F_743638_3115504	"OLD YANKEE RD"	48	0	226661	949608
F_743701_3114835	"VILLAGE WOODS RD"	46	0	226681	949404
F_743704_3113554	BROADWAY	0	0	226681	949013
F_743724_3117480	"LIBERTY ST"	527	0	226688	950210
F_743771_3115073	"VILLAGE WOODS RD"	47	0	226702	949476
F_743804_3116815	"RED MAPLE RD"	15	0	226712	950007
F_743849_3116021	"OLD YANKEE RD"	47	0	226726	949765
F_743884_3114792	"VILLAGE WOODS RD"	44	0	226736	949391
F_743947_3115055	"VILLAGE WOODS RD"	39	0	226755	949471
F_743972_3116272	"RED MAPLE RD"	21	0	226763	949842
F_743979_3117172	"LIBERTY ST"	510	0	226765	950116
F_743985_3116886	"RED MAPLE RD"	11	0	226767	950029
F_743990_3115948	"OLD YANKEE RD"	43	0	226769	949743
F_743995_3113838	"CRYSTAL ST"	0	0	226770	949100
F_743998_3116610	"RED MAPLE RD"	13	0	226771	949945
F_744009_3115731	"OLD YANKEE RD"	40	0	226774	949677
F_744032_3113183	"CRYSTAL CT"	58	0	226781	948900
F_744034_3113325	"CRYSTAL CT"	62	0	226782	948943
F_744041_3116459	"RED MAPLE RD"	17	0	226784	949899
F_744045_3115288	"OLD YANKEE RD"	46	0	226785	949542
F_744058_3113052	"CRYSTAL CT"	54	0	226789	948860
F_744076_3117658	"LIBERTY ST"	0	0	226795	950264
F_744078_3115513	"OLD YANKEE RD"	44	0	226795	949610
F_744087_3112921	"CRYSTAL CT"	50	0	226798	948820
F_744122_3114795	"VILLAGE WOODS RD"	40	0	226809	949391
F_744130_3116062	"RED MAPLE RD"	25	0	226811	949778
F_744144_3114479	"CRYSTAL ST"	0	0	226816	949295
F_744176_3115059	"VILLAGE WOODS RD"	37	0	226825	949472
F_744233_3112540	BROADWAY	1513	0	226843	948704
F_744252_3113876	"CRYSTAL CT"	74	0	226848	949111
F_744267_3113589	"CRYSTAL CT"	66	0	226853	949024
F_744278_3112173	BROADWAY	1508	0	226856	948592
F_744282_3117128	"LIBERTY ST"	496	0	226858	950103
F_744296_3116946	"RED MAPLE RD"	8	0	226862	950047
F_744298_3114046	"CRYSTAL CT"	78	0	226862	949163
F_744305_3116804	"RED MAPLE RD"	12	0	226865	950004
F_744320_3112714	"CRYSTAL CT"	46	0	226869	948757
F_744329_3116669	"RED MAPLE RD"	16	0	226872	949963
F_744337_3114802	"VILLAGE WOODS RD"	38	0	226874	949394
F_744350_3116528	"RED MAPLE RD"	18	0	226878	949920
F_744366_3112129	BROADWAY	1506	0	226883	948579
F_744385_3116390	"RED MAPLE RD"	22	0	226889	949878
F_744391_3113269	"CRYSTAL CT"	59	0	226891	948926
F_744401_3113134	"CRYSTAL CT"	55	0	226894	948885
F_744409_3112959	"CRYSTAL CT"	51	0	226896	948832
F_744419_3117054	"LIBERTY ST"	490	0	226899	950080
F_744424_3112693	"CRYSTAL CT"	42	0	226901	948751
F_744432_3116240	"RED MAPLE RD"	26	0	226903	949832
F_744440_3113411	"CRYSTAL CT"	63	0	226906	948970
F_744444_3112320	BROADWAY	1497	0	226907	948637
F_744458_3115898	"RED MAPLE RD"	30	0	226911	949728
F_744459_3113939	"CRYSTAL CT"	73	0	226912	949131
F_744474_3115068	"VILLAGE WOODS RD"	35	0	226916	949475
F_744476_3113620	"CRYSTAL CT"	67	0	226917	949033
F_744479_3115317	"CHIPPER LN"	9	0	226918	949551
F_744508_3115551	"CHIPPER LN"	5	0	226926	949622
F_744547_3112037	BROADWAY	0	0	226938	948551
F_744572_3112659	"CRYSTAL CT"	40	0	226946	948740
F_744578_3114811	"VILLAGE WOODS RD"	30	0	226948	949396
F_744600_3112926	"CRYSTAL CT"	35	0	226955	948822
F_744622_3116944	"LIBERTY ST"	474	0	226961	950046
F_744625_3112379	BROADWAY	1485	0	226962	948655
F_744636_3112107	BROADWAY	1484	0	226966	948572
F_744660_3115076	"VILLAGE WOODS RD"	31	0	226973	949477
F_744689_3112624	"CRYSTAL CT"	24	0	226982	948730
F_744695_3113146	"CRYSTAL CT"	21	0	226983	948889
F_744699_3112094	BROADWAY	1480	0	226985	948568
F_744709_3111983	BROADWAY	1470	0	226988	948534
F_744723_3116515	"SAWMILL RIDGE RD"	0	0	226992	949916
F_744732_3112893	"CRYSTAL CT"	27	0	226995	948812
F_744747_3115957	"SAWMILL RIDGE RD"	25	0	226999	949746
F_744758_3112343	BROADWAY	1475	0	227003	948644
F_744762_3115323	"CHIPPER LN"	6	0	227004	949552
F_744765_3117397	"LIBERTY ST"	475	0	227005	950185
F_744768_3112611	"CRYSTAL CT"	22	0	227006	948726
F_744770_3116139	"SAWMILL RIDGE RD"	21	0	227006	949801
F_744773_3113383	"CRYSTAL CT"	19	0	227007	948961
F_744784_3115787	"SAWMILL RIDGE RD"	29	0	227011	949694
F_744788_3114823	"VILLAGE WOODS RD"	26	0	227012	949400
F_744810_3115082	"VILLAGE WOODS RD"	27	0	227019	949479
F_744811_3111793	"SOUTH CRYSTAL ST"	17	0	227019	948476
F_744823_3115607	"SAWMILL RIDGE RD"	33	0	227023	949639
F_744825_3114382	"CRYSTAL ST"	0	0	227023	949266
F_744840_3116910	"LIBERTY ST"	464	0	227028	950036
F_744864_3112353	BROADWAY	1469	0	227035	948647
F_744868_3111985	BROADWAY	1466	0	227036	948535
F_744879_3116336	"SAWMILL RIDGE RD"	17	0	227040	949861
