LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_782855_2874569	"STRATFORD AVE"	22	0	238615	876170
F_782935_2876661	"SPRINGVALE AVE"	16	0	238639	876808
F_782951_2874524	"STRATFORD AVE"	20	0	238644	876157
F_782967_2877277	"WOODLAWN RD"	69	0	238649	876996
F_782997_2876965	"SPRINGVALE AVE"	8	0	238658	876901
F_783000_2876761	"SPRINGVALE AVE"	10	0	238659	876839
F_783025_2877095	"SPRINGVALE AVE"	6	0	238666	876940
F_783057_2874473	"STRATFORD AVE"	18	0	238676	876141
F_783103_2877781	"SUNNYSIDE AVE"	10	0	238690	877149
F_783118_2877535	"WOODLAWN RD"	106	0	238695	877074
F_783135_2877223	"SPRINGVALE AVE"	2	0	238700	876979
F_783144_2877322	"WOODLAWN RD"	99	0	238703	877009
F_783148_2874434	"STRATFORD AVE"	16	0	238704	876129
F_783207_2877742	"SUNNYSIDE AVE"	12	0	238722	877138
F_783229_2878157	"E DRUID HILL AVE"	150	0	238729	877264
F_783242_2876602	"SPRINGVALE AVE"	115	0	238733	876790
F_783245_2874380	"STRATFORD AVE"	14	0	238734	876113
F_783317_2877259	"WOODLAWN RD"	105	0	238755	876990
F_783338_2877576	"WOODLAWN RD"	110	0	238762	877087
F_783364_2876968	"SPRINGVALE AVE"	109	0	238770	876902
F_783400_2877272	"WOODLAWN RD"	109	0	238781	876994
F_783432_2877527	"WOODLAWN RD"	114	0	238791	877072
F_783434_2877863	"DRUID HILL AVE"	157	0	238791	877174
F_783437_2878114	"DRUID HILL AVE"	160	0	238792	877251
F_783472_2878561	"E DRUID HILL AVE"	54R	0	238803	877387
F_783511_2879288	"E ALDEN AVE"	45	0	238815	877609
F_783521_2877169	"WOODLAWN RD"	109R	0	238818	876963
F_783541_2878749	"DRUID HILL AVE"	74R	0	238824	877444
F_783581_2877477	"WOODLAWN RD"	118	0	238836	877057
F_783582_2877264	"WOODLAWN RD"	115	0	238836	876992
F_783605_2879523	"SOUTH ST"	820	0	238843	877680
F_783673_2879893	"SOUTH ST"	427	0	238864	877793
F_783705_2880102	"SOUTH ST"	423	0	238874	877857
F_783711_2877434	"WOODLAWN RD"	122	0	238876	877044
F_783739_2880293	"SOUTH ST"	414	0	238884	877915
F_783815_2879524	"SOUTH ST"	804R	0	238907	877681
F_783823_2879740	"SOUTH ST"	808	0	238910	877747
F_783837_2878735	"ROCKWOOD PLACE"	23	0	238914	877440
F_783847_2878841	"MANOR RD"	28	0	238917	877472
F_783856_2878550	"ROCKWOOD PLACE"	14	0	238920	877384
F_783857_2876488	"SPRINGVALE AVE"	28R	0	238920	876755
F_783858_2878975	"MANOR RD"	25	0	238920	877513
F_783859_2879418	"SOUTH ST"	800	0	238921	877648
F_783863_2879582	"SOUTH ST"	804	0	238922	877698
F_783886_2878696	"ROCKWOOD PLACE"	19	0	238929	877428
F_783894_2878313	"ROCKWOOD ST"	53	0	238931	877312
F_783907_2878398	"ROCKWOOD ST"	49	0	238935	877337
F_783907_2879285	"SOUTH ST"	798	0	238935	877608
F_783908_2878503	"ROCKWOOD PLACE"	10	0	238936	877369
F_783924_2878790	"MANOR RD"	18	0	238941	877457
F_783934_2878667	"ROCKWOOD PLACE"	15	0	238944	877419
F_783945_2878131	"ROCKWOOD ST"	72	0	238947	877256
F_783949_2879188	"SOUTH ST"	794	0	238948	877578
F_783954_2879527	"SOUTH ST"	800	0	238950	877682
F_783959_2878436	"ROCKWOOD ST"	45	0	238951	877349
F_783966_2878928	"MANOR RD"	23	0	238953	877499
F_783974_2875538	"SPRINGVALE AVE"	28R	0	238956	876466
F_783979_2879904	"SOUTH ST"	785	0	238957	877796
F_783983_2878638	"ROCKWOOD PLACE"	11	0	238958	877411
F_783984_2877934	"DRUID HILL AVE"	157R	0	238959	877196
F_783990_2878490	"ROCKWOOD PLACE"	6	0	238961	877366
F_784002_2878741	"MANOR RD"	14	0	238964	877442
F_784005_2878241	"ROCKWOOD ST"	68	0	238965	877290
F_784016_2879143	"SOUTH ST"	786	0	238969	877565
F_784021_2879023	"ORCHARD PLACE"	22	0	238970	877528
F_784039_2878118	"WASHINGTON CIRCLE"	54	0	238976	877252
F_784040_2878884	"MANOR RD"	15	0	238976	877486
F_784041_2878584	"ROCKWOOD ST"	35	0	238976	877394
F_784043_2878306	"ROCKWOOD ST"	56	0	238977	877309
F_784075_2878642	"ROCKWOOD ST"	31	0	238987	877412
F_784078_2878368	"ROCKWOOD ST"	48	0	238987	877328
F_784088_2878188	"WASHINGTON CIRCLE"	50	0	238991	877273
F_784094_2878980	"ORCHARD ST"	14	0	238992	877515
F_784098_2878708	"MANOR RD"	6	0	238994	877432
F_784114_2879151	"ORCHARD ST"	19	0	238998	877567
F_784116_2879541	"SOUTH ST"	767	0	238999	877686
F_784123_2878445	"ROCKWOOD ST"	44	0	239001	877352
F_784126_2878253	"WASHINGTON CIRCLE"	46	0	239002	877293
F_784132_2878897	"MANOR RD"	11	0	239004	877490
F_784159_2880641	"PHILIPPS RD"	3	0	239012	878021
F_784160_2878510	"ROCKWOOD ST"	40	0	239012	877372
F_784161_2878313	"WASHINGTON CIRCLE"	42	0	239013	877312
F_784161_2878795	"MANOR RD"	7	0	239013	877458
F_784173_2879233	"SOUTH ST"	784	0	239016	877592
F_784176_2879107	"ORCHARD ST"	15	0	239017	877554
F_784189_2878088	"WASHINGTON CIRCLE"	47	0	239021	877243
F_784189_2878563	"ROCKWOOD ST"	36	0	239021	877388
F_784195_2878852	"ROCKWOOD ST"	19	0	239023	877476
F_784196_2878373	"WASHINGTON CIRCLE"	38	0	239023	877330
F_784200_2881307	"PHILIPPS RD"	1	0	239025	878224
F_784221_2878618	"ROCKWOOD ST"	32	0	239031	877405
F_784226_2878152	"WASHINGTON CIRCLE"	43	0	239033	877262
F_784229_2878914	"ROCKWOOD ST"	15	0	239033	877495
F_784233_2878437	"WASHINGTON CIRCLE"	34	0	239035	877349
F_784234_2879190	"SOUTH ST"	748	0	239035	877579
F_784237_2879064	"ORCHARD ST"	11	0	239036	877540
F_784255_2878677	"ROCKWOOD ST"	28	0	239041	877423
F_784261_2879928	"SOUTH ST"	775	0	239043	877804
F_784264_2878215	"WASHINGTON CIRCLE"	39	0	239044	877282
F_784270_2878502	"WASHINGTON CIRCLE"	30	0	239046	877369
F_784273_2881795	"WATER ST"	55	0	239047	878373
F_784291_2878740	"ROCKWOOD ST"	24	0	239052	877442
F_784293_2881929	"UNION ST"	401	0	239053	878414
F_784295_2879147	"SOUTH ST"	744	0	239054	877566
F_784300_2878275	"WASHINGTON CIRCLE"	35	0	239055	877300
F_784301_2879020	"ROCKWOOD ST"	9	0	239055	877527
F_784308_2878567	"WASHINGTON CIRCLE"	26	0	239058	877389
F_784311_2881485	"WATER ST"	2	0	239058	878278
F_784325_2879437	"SOUTH ST"	763	0	239063	877654
F_784329_2878805	"ROCKWOOD ST"	20	0	239064	877462
F_784336_2878335	"WASHINGTON CIRCLE"	31	0	239066	877318
F_784347_2878634	"WASHINGTON CIRCLE"	22	0	239069	877409
F_784356_2879103	"SOUTH ST"	740	0	239072	877552
F_784367_2878871	"ROCKWOOD ST"	16	0	239076	877482
F_784373_2878396	"WASHINGTON CIRCLE"	27	0	239077	877337
F_784387_2878699	"WASHINGTON CIRCLE"	18	0	239082	877429
F_784404_2878936	"ROCKWOOD ST"	12	0	239087	877501
F_784412_2877373	"KLEEN WAY"	3	0	239089	877025
F_784412_2878470	"WASHINGTON CIRCLE"	23	0	239089	877359
F_784419_2881899	"WATER ST"	50	0	239091	878405
F_784427_2878762	"WASHINGTON CIRCLE"	14	0	239094	877448
F_784448_2879022	"SOUTH ST"	734	0	239100	877528
F_784453_2873644	"HIGH ST"	66R	0	239102	875888
F_784468_2878827	"WASHINGTON CIRCLE"	10	0	239106	877468
F_784476_2878593	"WASHINGTON CIRCLE"	15	0	239109	877397
F_784485_2878419	"JEFFERSON RD"	12	0	239112	877344
F_784492_2882669	"CENTRE ST"	2	0	239114	878639
F_784497_2881836	"UNION ST"	383	0	239115	878385
F_784507_2878890	"WASHINGTON CIRCLE"	6	0	239118	877487
F_784516_2878988	"SOUTH ST"	730	0	239121	877517
F_784517_2879364	"SOUTH ST"	755	0	239121	877632
F_784519_2881661	"WATER ST"	48	0	239122	878332
F_784527_2872905	"HIGH ST"	55	0	239124	875663
F_784529_2878677	"WASHINGTON CIRCLE"	11	0	239125	877423
F_784541_2878363	"JEFFERSON RD"	8	0	239129	877327
F_784542_2878546	"JEFFERSON RD"	15	0	239129	877383
F_784550_2877818	"SOUTH ST"	620R	0	239131	877161
F_784564_2876940	"KLEEN WAY"	2	0	239136	876893
F_784575_2878946	"SOUTH ST"	726	0	239139	877504
F_784579_2878299	"JEFFERSON RD"	4	0	239140	877307
F_784581_2881431	"PHILIPPS RD"	2	0	239141	878262
F_784587_2878637	"ROOSEVELT RD"	20	0	239143	877410
F_784604_2872492	"SPRING ST"	99	0	239148	875537
F_784608_2878493	"JEFFERSON RD"	11	0	239149	877366
F_784608_2878794	"WASHINGTON CIRCLE"	7	0	239149	877458
F_784629_2873290	"HIGH ST"	54	0	239155	875781
F_784631_2881895	"UNION ST"	373	0	239156	878403
F_784635_2871002	"SPRING ST"	99R	0	239157	875083
F_784635_2878197	"LINCOLN AVE"	27	0	239157	877276
F_784646_2878594	"ROOSEVELT RD"	16	0	239161	877397
F_784661_2878430	"JEFFERSON RD"	7	0	239165	877347
F_784666_2878753	"ROOSEVELT RD"	23	0	239167	877446
F_784666_2878879	"SOUTH ST"	720	0	239167	877484
F_784675_2880173	"PHILIPPS RD"	6	0	239169	877878
F_784676_2882101	"UNION ST"	362	0	239170	878466
F_784701_2878360	"LINCOLN AVE"	16	0	239177	877326
F_784703_2878538	"ROOSEVELT RD"	12	0	239178	877380
F_784716_2878229	"LINCOLN AVE"	23	0	239182	877286
F_784724_2881883	"UNION ST"	359	0	239184	878400
F_784725_2878710	"ROOSEVELT RD"	19	0	239185	877433
F_784726_2878838	"SOUTH ST"	716	0	239185	877472
F_784729_2883405	"CENTRE ST"	144	0	239186	878864
F_784742_2870474	"SPRING ST"	99R	0	239190	874922
F_784750_2878475	"ROOSEVELT RD"	8	0	239192	877361
F_784763_2872780	"SPRING ST"	140	0	239196	875625
F_784774_2882098	"UNION ST"	358	0	239200	878465
F_784780_2882235	"UNION ST"	358R	0	239201	878507
F_784781_2878660	"ROOSEVELT RD"	15	0	239202	877417
F_784782_2878796	"SOUTH ST"	712	0	239202	877459
F_784786_2872930	"HIGH ST"	2	0	239203	875671
F_784788_2878253	"LINCOLN AVE"	19	0	239204	877293
F_784788_2878406	"LINCOLN AVE"	12	0	239204	877340
F_784790_2877434	"SOUTH ST"	616R	0	239204	877044
F_784804_2873079	"HIGH ST"	50	0	239209	875716
F_784809_2880735	"MEAR RD"	1	0	239210	878050
F_784810_2881874	"UNION ST"	355	0	239211	878397
F_784827_2883630	"CENTRE ST"	148	0	239216	878932
F_784832_2878603	"ROOSEVELT RD"	11	0	239217	877400
F_784832_2879001	"SOUTH ST"	655	0	239217	877521
F_784834_2878751	"SOUTH ST"	708	0	239218	877445
F_784837_2872764	"SPRING ST"	72	0	239219	875620
F_784852_2877269	"KLEEN WAY"	1	0	239223	876993
F_784857_2878280	"LINCOLN AVE"	15	0	239225	877301
F_784863_2879233	"SOUTH ST"	655R	0	239227	877592
F_784864_2881646	"WATER ST"	20	0	239227	878327
F_784864_2882168	"UNION ST"	348R	0	239227	878487
F_784871_2872560	"SPRING ST"	70	0	239229	875558
F_784876_2878539	"ROOSEVELT RD"	7	0	239231	877380
F_784877_2882637	"CENTRE ST"	3	0	239231	878630
F_784879_2881221	"MEAR RD"	2	0	239232	878198
F_784881_2878700	"SOUTH ST"	704	0	239232	877430
F_784888_2882019	"UNION ST"	348	0	239234	878441
F_784891_2883767	"CENTRE ST"	150	0	239235	878974
F_784901_2881870	"UNION ST"	351	0	239238	878396
F_784914_2878470	"LINCOLN AVE"	6	0	239242	877359
F_784926_2878306	"LINCOLN AVE"	11	0	239246	877309
F_784926_2878645	"SOUTH ST"	700	0	239246	877413
F_784930_2871433	"SPRING ST"	99R	0	239247	875215
F_784942_2883918	"CENTRE ST"	152	0	239251	879020
F_784966_2878584	"SOUTH ST"	696	0	239258	877394
F_784966_2882163	"UNION ST"	348R	0	239258	878485
F_784967_2883323	"CENTRE ST"	147	0	239258	878839
F_784971_2884080	"CENTRE ST"	176	0	239260	879069
F_784973_2882051	"UNION ST"	348	0	239260	878451
F_784981_2877859	"SOUTH ST"	620	0	239263	877173
F_784991_2881862	"UNION ST"	347	0	239266	878393
F_784992_2878115	"SOUTH ST"	624	0	239266	877251
F_784994_2872691	"SPRING ST"	68	0	239267	875598
F_784997_2878334	"LINCOLN AVE"	7	0	239268	877318
F_784999_2877577	"SOUTH ST"	616	0	239268	877087
F_785002_2878516	"LINCOLN AVE"	2	0	239269	877373
F_785024_2884244	"CENTRE ST"	180	0	239276	879119
F_785027_2881712	"WATER ST"	30	0	239277	878348
F_785049_2876886	"SOUTH ST"	604	0	239283	876877
F_785056_2878407	"LINCOLN AVE"	3	0	239286	877340
F_785057_2883460	"CENTRE ST"	151	0	239286	878880
F_785060_2882047	"UNION ST"	344	0	239287	878450
F_785061_2882292	"UNION ST"	338R	0	239287	878524
F_785066_2882159	"UNION ST"	344R	0	239289	878484
F_785068_2881860	"UNION ST"	345	0	239289	878393
F_785069_2881739	"WATER ST"	40	0	239290	878356
F_785070_2872766	"SPRING ST"	66	0	239290	875621
F_785073_2880443	"MEAR RD"	5	0	239291	877961
F_785088_2884431	"CENTRE ST"	200	0	239295	879176
F_785092_2875655	"TEED RD"	51	0	239297	876501
F_785096_2878334	"SOUTH ST"	682	0	239298	877318
F_785099_2883570	"CENTRE ST"	155	0	239299	878914
F_785107_2877213	"SOUTH ST"	610	0	239301	876976
F_785111_2875185	"ARBOR RD"	31	0	239302	876358
F_785114_2875236	"ARBOR RD"	27	0	239303	876374
F_785116_2874751	"SOUTH ST"	430R	0	239304	876226
F_785116_2875125	"ARBOR RD"	37	0	239304	876340
