LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_199909_882316	"HANLON ROAD"	0	0	199909	882316
M_199956_881506	"ADAMS STREET"	0	0	199956	881506
M_199972_881844	"ADAMS STREET"	0	0	199972	881844
M_200029_882149	"HANLON ROAD"	0	0	200029	882149
M_200137_881737	"ADAMS STREET"	0	0	200137	881737
M_200160_882574	"HANLON ROAD"	460	0	200160	882574
M_200164_881372	"ADAMS STREET"	0	0	200164	881372
M_200165_882348	"HANLON ROAD"	0	0	200165	882348
M_200167_882515	"HANLON ROAD"	0	0	200167	882515
M_200191_881011	"ADAMS STREET"	0	0	200191	881011
M_200195_880916	"ADAMS STREET"	0	0	200195	880916
M_200202_881786	"ADAMS STREET"	0	0	200202	881786
M_200215_879883	"ADAMS STREET"	0	0	200215	879883
M_200231_882477	"HANLON ROAD"	438	0	200231	882477
M_200236_880759	"ADAMS STREET"	0	0	200236	880759
M_200239_882150	"HANLON ROAD"	0	0	200239	882150
M_200250_882413	"HANLON ROAD"	418	0	200250	882413
M_200261_881951	"ADAMS STREET"	734	0	200261	881951
M_200265_882694	"HANLON ROAD"	0	0	200265	882694
M_200284_880530	"ADAMS STREET"	0	0	200284	880530
M_200300_882637	"HANLON ROAD"	463	0	200300	882637
M_200317_882358	"HANLON ROAD"	400	0	200317	882358
M_200318_882707	"HANLON ROAD"	0	0	200318	882707
M_200341_881630	"ADAMS STREET"	0	0	200341	881630
M_200344_882292	"HANLON ROAD"	382	0	200344	882292
M_200394_881354	"ADAMS STREET"	0	0	200394	881354
M_200401_882121	"ADAMS STREET"	0	0	200401	882121
M_200402_882672	"HANLON ROAD"	0	0	200402	882672
M_200403_882746	"HANLON ROAD"	0	0	200403	882746
M_200423_882461	"HANLON ROAD"	409	0	200423	882461
M_200437_882615	"HANLON ROAD"	453	0	200437	882615
M_200442_881080	"ADAMS STREET"	0	0	200442	881080
M_200454_882369	"HANLON ROAD"	0	0	200454	882369
M_200457_882242	"HANLON ROAD"	368	0	200457	882242
M_200457_882530	"HANLON ROAD"	435	0	200457	882530
M_200462_882751	"HANLON ROAD"	0	0	200462	882751
M_200470_881986	"ADAMS STREET"	0	0	200470	881986
M_200490_882429	"HANLON ROAD"	387	0	200490	882429
M_200507_882798	"HANLON ROAD"	0	0	200507	882798
M_200521_882487	"HANLON ROAD"	0	0	200521	882487
M_200526_881115	"ADAMS STREET"	0	0	200526	881115
M_200527_882368	"HANLON ROAD"	367	0	200527	882368
M_200539_881721	"ADAMS STREET"	0	0	200539	881721
M_200560_882836	"HANLON ROAD"	0	0	200560	882836
M_200562_882227	"HANLON ROAD"	342	0	200562	882227
M_200563_882031	"ADAMS STREET"	0	0	200563	882031
M_200582_881415	"ADAMS STREET"	0	0	200582	881415
M_200596_882145	"ADAMS STREET"	780	0	200596	882145
