LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_194139_877684	"CARPENTER RD"	3	0	194139	877684
M_194140_877554	"CARPENTER RD"	2	0	194140	877554
M_194227_877166	"CARPENTER RD"	1	0	194227	877166
M_194331_877921	"WEST ST"	"366 REAR"	0	194331	877921
M_194376_877209	"WEST ST"	364	0	194376	877209
M_194493_878128	"WEST ST"	368	0	194493	878128
M_194591_876509	"OVERDALE PKWY"	20	0	194591	876509
M_194611_878249	"WEST ST"	373	0	194611	878249
M_194655_878127	"WEST ST"	"368 ADJ"	0	194655	878127
M_194671_878054	"WEST ST"	366	0	194671	878054
M_194731_878219	"WEST ST"	363	0	194731	878219
M_194820_876370	"OVERDALE PKWY"	27	0	194820	876370
M_194828_878399	"WEST ST"	"363 ADJ"	0	194828	878399
M_194844_876096	"OLD SALT BOX RD"	1	0	194844	876096
M_194873_876055	"OVERDALE PKWY"	12	0	194873	876055
M_194873_876235	"OVERDALE PKWY"	21	0	194873	876235
M_194897_876020	"OVERDALE PKWY"	10	0	194897	876020
M_194916_875987	"OVERDALE PKWY"	8	0	194916	875987
M_194922_876126	"OVERDALE PKWY"	13	0	194922	876126
M_194924_877960	"WEST ST"	C	0	194924	877960
M_194957_875924	"OVERDALE PKWY"	4	0	194957	875924
M_194958_876142	"OVERDALE PKWY"	15	0	194958	876142
M_194976_876153	"OVERDALE PKWY"	"15 REAR"	0	194976	876153
M_194987_876013	"OVERDALE PKWY"	7	0	194987	876013
M_194995_876064	"OVERDALE PKWY"	9	0	194995	876064
M_195010_875845	"FREEDOM ST"	208	0	195010	875845
M_195019_875981	"OVERDALE PKWY"	5	0	195019	875981
M_195032_875953	"OVERDALE PKWY"	"5 ADJ"	0	195032	875953
M_195042_876038	"WESTERN AV"	3	0	195042	876038
M_195045_876065	"WESTERN AV"	1	0	195045	876065
M_195048_875927	"OVERDALE PKWY"	3	0	195048	875927
M_195060_876192	"OVERDALE PKWY"	17	0	195060	876192
M_195071_875892	"OVERDALE PKWY"	1	0	195071	875892
M_195072_876051	"WESTERN AV"	5	0	195072	876051
M_195073_876127	"OVERDALE PKWY"	11	0	195073	876127
M_195075_875996	"WESTERN AV"	4	0	195075	875996
M_195100_875942	"FREEDOM ST"	200	0	195100	875942
M_195103_876066	"WESTERN AV"	7	0	195103	876066
M_195104_875784	"FREEDOM ST"	185	0	195104	875784
M_195115_877626	"HAZEL ST"	2	0	195115	877626
M_195119_876017	"NORTH ST"	3	0	195119	876017
M_195124_875803	"MOORE RD"	28	0	195124	875803
