LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_154298_914455	"KRUSE RD"	14	1	154298	914455
M_152902_914102	"WILLIAMSVILLE RD"	178	1	152902	914102
M_152472_915023	"BURNSHIRT RD"	38	1	152472	915023
M_152495_914981	"BURNSHIRT RD"	36	1	152495	914981
M_152513_914934	"BURNSHIRT RD"	34	1	152513	914934
M_152523_914886	"BURNSHIRT RD"	32	1	152523	914886
M_152534_914840	"BURNSHIRT RD"	30	1	152534	914840
M_152538_914796	"THOMPSON RD"	1	1	152538	914796
M_152721_914660	"THOMPSON RD"	6	1	152721	914660
M_152762_914689	"THOMPSON RD"	8	1	152762	914689
M_152800_914702	"THOMPSON RD"	10	1	152800	914702
M_152999_915136	"THOMPSON RD"	21	1	152999	915136
M_153854_914747	"KRUSE RD"	32	1	153854	914747
M_153873_914810	"KRUSE RD"	34	1	153873	914810
M_153860_914869	"KRUSE RD"	36	1	153860	914869
M_153857_914931	"KRUSE RD"	38	1	153857	914931
M_153854_915004	"KRUSE RD"	40	1	153854	915004
M_153846_915071	"KRUSE RD"	44	1	153846	915071
M_153828_915191	"KRUSE RD"	48	1	153828	915191
M_153840_915128	"KRUSE RD"	46	1	153840	915128
M_152223_913959	"WILLIAMSVILLE RD"	198	1	152223	913959
M_152826_914874	"THOMPSON RD"	15	1	152826	914874
M_152839_915097	"THOMPSON RD"	19	1	152839	915097
M_153729_914569	"KRUSE RD"	29	1	153729	914569
M_153557_915311	"KRUSE RD"	55	1	153557	915311
M_153140_914120	"WILLIAMSVILLE RD"	172	1	153140	914120
M_153184_914086	"WILLIAMSVILLE RD"	170	1	153184	914086
M_153410_914130	"WILLIAMSVILLE RD"	166	1	153410	914130
M_153265_913953	"WILLIAMSVILLE RD"	164	1	153265	913953
M_152510_914672	"THOMPSON RD"	2	1	152510	914672
M_152495_914545	"BURNSHIRT RD"	20	1	152495	914545
M_152528_914447	"BURNSHIRT RD"	18	1	152528	914447
M_152503_914405	"BURNSHIRT RD"	16	1	152503	914405
M_152979_914101	"WILLIAMSVILLE RD"	176	1	152979	914101
M_153087_914153	"WILLIAMSVILLE RD"	174	1	153087	914153
M_152249_914431	"GROVE ST"	1	1	152249	914431
M_153746_915393	"KRUSE RD"	54	1	153746	915393
M_153937_914408	"KRUSE RD"	20	1	153937	914408
M_153922_914469	"KRUSE RD"	24	1	153922	914469
M_153654_915460	"KRUSE RD"	56	1	153654	915460
M_151510_915395	"MILE RD"	38	1	151510	915395
M_151553_915487	"MILE RD"	40	1	151553	915487
M_151556_915554	"MILE RD"	42	1	151556	915554
M_151332_915278	"MILE RD"	33	1	151332	915278
M_153094_916635	"ROOT RD"	49	1	153094	916635
M_153408_917141	"ROOT RD"	55	1	153408	917141
M_151328_915346	"MILE RD"	35	1	151328	915346
M_151328_915409	"MILE RD"	37	1	151328	915409
M_153711_914672	"KRUSE RD"	31	1	153711	914672
M_153702_914811	"KRUSE RD"	35	1	153702	914811
M_153687_914874	"KRUSE RD"	37	1	153687	914874
M_153585_915762	"ROOT RD"	14	1	153585	915762
M_153487_916226	"ROOT RD"	37	1	153487	916226
M_153332_915229	"THOMPSON RD"	36	1	153332	915229
M_153618_915295	"KRUSE RD"	53	1	153618	915295
M_153583_915240	"KRUSE RD"	51	1	153583	915240
M_153672_915220	"KRUSE RD"	49	1	153672	915220
M_153474_917283	"ROOT RD"	61	1	153474	917283
