LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_181372_914033	"BROCKELMAN RD"	0	0	181372	914033
M_181440_914248	"BROCKELMAN RD"	0	0	181440	914248
M_181469_914542	"BROCKELMAN RD"	0	0	181469	914542
M_181485_915025	"BROCKELMAN RD"	0	0	181485	915025
M_181497_915152	"BROCKELMAN RD"	0	0	181497	915152
M_181570_914174	"BROCKELMAN RD"	0	0	181570	914174
M_181586_914106	"BROCKELMAN RD"	0	0	181586	914106
M_181724_915947	"NO MAIN ST"	0	0	181724	915947
M_181735_915901	"NO MAIN ST"	2832	0	181735	915901
M_181747_915873	"NO MAIN ST"	2824	0	181747	915873
M_181766_916034	"NO MAIN ST"	0	0	181766	916034
M_181770_915811	"NO MAIN ST"	2806	0	181770	915811
M_181791_915752	"NO MAIN ST"	2790	0	181791	915752
M_181800_916018	"NO MAIN ST"	2879	0	181800	916018
M_181816_913791	"BROCKELMAN RD"	0	0	181816	913791
M_181820_913892	"BROCKELMAN RD"	0	0	181820	913892
M_181826_914306	"BROCKELMAN RD"	0	0	181826	914306
M_181832_915720	"NO MAIN ST"	2754	0	181832	915720
M_181834_913931	"BROCKELMAN RD"	0	0	181834	913931
M_181845_913966	"BROCKELMAN RD"	0	0	181845	913966
M_181847_915999	"NO MAIN ST"	0	0	181847	915999
M_181858_914000	"BROCKELMAN RD"	0	0	181858	914000
M_181868_914046	"BROCKELMAN RD"	0	0	181868	914046
M_181873_915939	"NO MAIN ST"	0	0	181873	915939
M_181879_914101	"BROCKELMAN RD"	0	0	181879	914101
M_181879_915687	"NO MAIN ST"	2748	0	181879	915687
M_181896_914159	"BROCKELMAN RD"	0	0	181896	914159
M_181914_915675	"NO MAIN ST"	0	0	181914	915675
M_181914_915675	"NO MAIN ST"	2740	0	181914	915675
M_181929_915199	"NO MAIN ST"	2680	0	181929	915199
M_181934_915884	"NO MAIN ST"	2789	0	181934	915884
M_181967_917166	"LUNENBURG RD"	0	0	181967	917166
M_181975_914230	"BROCKELMAN RD"	0	0	181975	914230
M_181984_915840	"NO MAIN ST"	0	0	181984	915840
M_181994_917693	"ELIZABETH LANE"	0	0	181994	917693
M_182004_917741	"BLANCHFLOWER LN"	0	0	182004	917741
M_182023_912497	"HILL TOP RD"	0	0	182023	912497
M_182033_910374	"STERLING RD"	0	0	182033	910374
M_182033_912796	"BROCKELMAN RD"	0	0	182033	912796
M_182033_912849	"BROCKELMAN RD"	0	0	182033	912849
M_182033_912947	"BROCKELMAN RD"	0	0	182033	912947
M_182033_915783	"NO MAIN ST"	2741	0	182033	915783
M_182036_908456	"CHACE HILL RD"	0	0	182036	908456
M_182037_908317	"CHACE HILL RD"	0	0	182037	908317
M_182037_911983	"SANDY RIDGE RD"	37	0	182037	911983
M_182037_915659	"NO MAIN ST"	2713	0	182037	915659
M_182039_907564	"RUNAWAY BROOK RD"	0	0	182039	907564
M_182040_907498	"RUNAWAY BROOK RD"	0	0	182040	907498
M_182040_907641	"RUNAWAY BROOK RD"	0	0	182040	907641
M_182040_909687	"REDSTONE HILL RD"	0	0	182040	909687
M_182041_917747	"BLANCHFLOWER LN"	519	0	182041	917747
M_182042_911582	"SANDY RIDGE RD"	27	0	182042	911582
M_182043_910111	"STERLING ST"	0	0	182043	910111
M_182045_908248	"CHACE HILL RD"	0	0	182045	908248
M_182046_909479	"REDSTONE HILL RD"	125	0	182046	909479
M_182046_910233	"STERLING ST"	811	0	182046	910233
M_182051_907280	"RUNAWAY BROOK RD"	13	0	182051	907280
M_182053_915608	"NO MAIN ST"	2685	0	182053	915608
M_182055_917589	"ELIZABETH LANE"	0	0	182055	917589
M_182056_915727	"NO MAIN ST"	2725	0	182056	915727
M_182059_917942	"BLANCHFLOWER LN"	0	0	182059	917942
M_182062_912461	"HILL TOP RD"	563	0	182062	912461
M_182063_908158	"RUNAWAY BROOK RD"	0	0	182063	908158
M_182064_915767	"NO MAIN ST"	2731	0	182064	915767
M_182069_909570	"REDSTONE HILL"	0	0	182069	909570
M_182070_908354	"CHACE HILL RD"	236	0	182070	908354
M_182072_910307	"STERLING RD"	995	0	182072	910307
M_182073_911893	"SANDY RIDGE RD"	35	0	182073	911893
M_182073_912540	"BROCKELMAN RD"	0	0	182073	912540
M_182073_915998	"NO MAIN ST"	0	0	182073	915998
M_182074_908588	"CHACE HILL RD"	0	0	182074	908588
