LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_162167_891681	"MOOSE HILL RD"	0	0	162167	891681
M_162184_891591	"MOOSE HILL RD"	0	0	162184	891591
M_162227_892251	"MOOSE HILL RD"	0	0	162227	892251
M_162228_891735	"MOOSE HILL RD"	0	0	162228	891735
M_162240_892403	"MOOSE HILL RD"	0	0	162240	892403
M_162255_892066	"MOOSE HILL RD"	0	0	162255	892066
M_162262_891891	"MOOSE HILL RD"	505	0	162262	891891
M_162314_890850	"MOOSE HILL RD"	103	0	162314	890850
M_162341_890978	"MOOSE HILL RD"	0	0	162341	890978
M_162341_891358	"MOOSE HILL RD"	0	0	162341	891358
M_162382_890727	"MOOSE HILL RD"	101	0	162382	890727
M_162428_890825	"MOOSE HILL RD"	100	0	162428	890825
M_162442_890029	"BOND ST"	1	0	162442	890029
M_162456_889940	"BOND ST"	2	0	162456	889940
M_162456_891954	"MOOSE HILL RD"	500	0	162456	891954
M_162464_892434	"MOOSE HILL RD"	608	0	162464	892434
M_162466_891048	"MOOSE HILL RD"	0	0	162466	891048
M_162468_892320	"MOOSE HILL RD"	600	0	162468	892320
M_162472_892395	"MOOSE HILL RD"	604	0	162472	892395
M_162489_890782	"MOOSE HILL RD"	98	0	162489	890782
M_162495_890083	"BOND ST"	5	0	162495	890083
M_162516_889981	"BOND ST"	4	0	162516	889981
M_162521_892366	"PRYOR RD"	5	0	162521	892366
M_162527_891648	"MOOSE HILL RD"	0	0	162527	891648
M_162539_890145	"BOND ST"	7	0	162539	890145
M_162542_890415	"BOND ST"	15	0	162542	890415
M_162544_892153	"MOOSE HILL RD"	580	0	162544	892153
M_162546_890752	"MOOSE HILL RD"	96	0	162546	890752
M_162547_889774	"MAIN ST"	1896	0	162547	889774
M_162554_890650	"MOOSE HILL RD"	99	0	162554	890650
M_162567_892413	"PRYOR RD"	7	0	162567	892413
M_162576_890201	"BOND ST"	9	0	162576	890201
M_162578_890972	"MOOSE HILL RD"	92	0	162578	890972
M_162588_891370	"MOOSE HILL RD"	0	0	162588	891370
M_162612_890090	"BOND ST"	8	0	162612	890090
M_162620_890742	"MOOSE HILL RD"	94	0	162620	890742
M_162640_892436	"PRYOR RD"	9	0	162640	892436
M_162649_889830	"MAIN ST"	1894	0	162649	889830
M_162670_889270	"MAIN ST"	1887	0	162670	889270
M_162693_888872	"MAIN ST"	0	0	162693	888872
M_162703_892390	"PRYOR RD"	10	0	162703	892390
M_162705_890171	"BOND ST"	0	0	162705	890171
M_162714_889834	"MAIN ST"	1888	0	162714	889834
M_162740_891204	"BOND ST"	0	0	162740	891204
M_162740_892457	"PRYOR RD"	0	0	162740	892457
M_162759_890112	"WATSON ST"	105	0	162759	890112
M_162763_890033	"WATSON ST"	85	0	162763	890033
M_162785_889873	"WATSON ST"	45	0	162785	889873
M_162795_889941	"WATSON ST"	65	0	162795	889941
M_162795_890076	"WATSON ST"	87	0	162795	890076
M_162795_890684	"MOOSE HILL RD"	90	0	162795	890684
M_162802_889820	"WATSON ST"	29	0	162802	889820
M_162814_889745	"WATSON ST"	25	0	162814	889745
M_162818_890511	"MOOSE HILL RD"	25	0	162818	890511
M_162823_889688	"WATSON ST"	15	0	162823	889688
M_162829_889628	"MAIN ST"	1872	0	162829	889628
M_162831_892470	"PRYOR RD"	0	0	162831	892470
M_162832_887550	"LAKE DR"	54	0	162832	887550
M_162838_887498	"LAKE DR"	0	0	162838	887498
M_162841_890620	"MOOSE HILL RD"	88	0	162841	890620
M_162848_887537	"LAKE DR"	52	0	162848	887537
M_162852_889521	"MAIN ST"	1871	0	162852	889521
M_162857_887470	"LAKE DR"	0	0	162857	887470
M_162867_889387	"MAIN ST"	0	0	162867	889387
M_162870_887514	"LAKE DR"	48	0	162870	887514
M_162880_888409	"TOWN BEACH RD"	0	0	162880	888409
M_162883_887445	"LAKE DR"	0	0	162883	887445
M_162886_887499	"LAKE DR"	46	0	162886	887499
M_162887_887405	"LAKE DR"	0	0	162887	887405
M_162897_889427	"MAIN ST"	0	0	162897	889427
M_162902_887483	"LAKE DR"	44	0	162902	887483
M_162902_892114	"MOOSE HILL RD"	0	0	162902	892114
M_162911_887367	"LAKE DR"	37	0	162911	887367
M_162916_887312	"LAKE DR"	0	0	162916	887312
M_162916_889599	"MAIN ST"	1860	0	162916	889599
M_162930_887458	"LAKE DR"	40	0	162930	887458
M_162932_890266	"BOND ST"	0	0	162932	890266
M_162941_887448	"LAKE DR"	38	0	162941	887448
M_162944_888958	MCNEIL	9	0	162944	888958
M_162956_887229	"LAKE DR"	19	0	162956	887229
M_162960_887427	"LAKE DR"	36	0	162960	887427
M_162976_886731	"RAWSON ST"	453	0	162976	886731
M_162981_887405	"LAKE DR"	34	0	162981	887405
M_162988_889419	"MAIN ST"	0	0	162988	889419
M_162990_887012	"RAWSON ST"	452	0	162990	887012
M_162990_887307	"LAKE DR"	25	0	162990	887307
M_162998_887390	"LAKE DR"	32	0	162998	887390
M_163000_892372	"PRYOR RD"	20	0	163000	892372
M_163009_887379	"LAKE DR"	30	0	163009	887379
M_163018_889228	MCNEIL	6	0	163018	889228
M_163023_887364	"LAKE DR"	0	0	163023	887364
M_163023_892475	"PRYOR RD"	0	0	163023	892475
M_163027_886758	"RAWSON ST"	451	0	163027	886758
M_163034_887210	"LAKE DR"	15	0	163034	887210
M_163035_887353	"LAKE DR"	0	0	163035	887353
M_163036_886898	"RAWSON ST"	446	0	163036	886898
M_163046_887343	"LAKE DR"	24	0	163046	887343
M_163050_886207	"FAIRVIEW DR"	0	0	163050	886207
M_163057_887332	"LAKE DR"	22	0	163057	887332
M_163058_886232	"GREENVILLE ST"	0	0	163058	886232
M_163062_887823	"BURNCOAT POND"	0	0	163062	887823
M_163066_886207	"FAIRVIEW DR"	3	0	163066	886207
M_163067_886277	"GREENVILLE ST"	209A	0	163067	886277
M_163067_887321	"LAKE DR"	20	0	163067	887321
M_163071_886146	"FAIRVIEW DR"	2	0	163071	886146
M_163073_886533	"LILYESTROM GR"	0	0	163073	886533
M_163081_887308	"LAKE DR"	18	0	163081	887308
M_163087_886079	"FERNCROFT RD"	0	0	163087	886079
M_163089_886023	"MEADOW LN"	0	0	163089	886023
M_163091_886211	"FAIRVIEW DR"	5	0	163091	886211
M_163092_886919	"RAWSON ST"	442	0	163092	886919
M_163092_889219	"MAIN ST"	1771	0	163092	889219
M_163097_886161	"FAIRVIEW DR"	0	0	163097	886161
M_163097_887193	"LAKE DR"	11	0	163097	887193
M_163098_885965	"MEADOW LN"	6	0	163098	885965
M_163099_886359	"GREENVILLE ST"	205	0	163099	886359
M_163100_887292	"LAKE DR"	16	0	163100	887292
M_163101_886129	"FERNCROFT RD"	0	0	163101	886129
M_163106_887073	"LAKE DR"	5	0	163106	887073
M_163108_885913	"MEADOW LN"	8	0	163108	885913
M_163109_885859	"MEADOW LN"	10	0	163109	885859
M_163116_886215	"FAIRVIEW DR"	0	0	163116	886215
M_163120_887153	"LAKE DR"	9	0	163120	887153
M_163125_887117	"LAKE DR"	7	0	163125	887117
M_163126_886127	"FERNCROFT RD"	5	0	163126	886127
M_163126_889130	"MAIN ST"	0	0	163126	889130
M_163131_887435	"BURNCOAT LN"	31	0	163131	887435
M_163132_887012	"LAKE DR"	3	0	163132	887012
M_163133_887450	"BURNCOAT LN"	33	0	163133	887450
M_163134_886071	"MEADOW LN"	1	0	163134	886071
M_163136_887420	"BURNCOAT LN"	29	0	163136	887420
M_163137_886164	"FAIRVIEW DR"	6	0	163137	886164
M_163139_887465	"BURNCOAT LN"	35	0	163139	887465
M_163140_886221	"FAIRVIEW DR"	9	0	163140	886221
M_163140_887405	"BURNCOAT LN"	27	0	163140	887405
M_163141_886687	"LILYSTROM GR"	0	0	163141	886687
M_163144_887388	"BURNCOAT LN"	25	0	163144	887388
M_163151_887240	"LAKE DR"	14	0	163151	887240
M_163152_886125	"FERNCROFT RD"	0	0	163152	886125
M_163152_886280	"GREENVILLE ST"	209	0	163152	886280
M_163153_887375	"BURNCOAT LN"	23	0	163153	887375
M_163155_886936	"LAKE DR"	1	0	163155	886936
M_163158_888916	"MAIN ST"	1749	0	163158	888916
M_163160_886067	"FERNCROFT RD"	8	0	163160	886067
M_163164_886014	"MEADOW LN"	3	0	163164	886014
M_163164_886227	"FAIRVIEW DR"	11	0	163164	886227
M_163166_887499	"BURNCOAT LN"	39	0	163166	887499
M_163170_887369	"BURNCOAT LN"	21	0	163170	887369
M_163172_886648	"LILYSTROM GR"	0	0	163172	886648
M_163172_886774	"RAWSON ST"	447	0	163172	886774
M_163172_887521	"BURNCOAT LN"	41	0	163172	887521
M_163174_885961	"MEADOW LN"	5	0	163174	885961
M_163174_886171	"FAIRVIEW DR"	0	0	163174	886171
M_163176_885590	"PINE ST"	600	0	163176	885590
M_163176_886865	"RAWSON ST"	441	0	163176	886865
M_163177_886124	"FERNCROFT RD"	0	0	163177	886124
M_163179_887535	"BURNCOAT LN"	43	0	163179	887535
M_163185_885909	"MEADOW LN"	7	0	163185	885909
M_163186_886064	"FERNCROFT RD"	10	0	163186	886064
M_163187_887364	"BURNCOAT LN"	0	0	163187	887364
M_163188_887556	"BURNCOAT LN"	45	0	163188	887556
M_163189_886233	"FAIRVIEW DR"	13	0	163189	886233
M_163189_887294	"BURNCOAT LN"	0	0	163189	887294
M_163190_886324	"GREENVILLE ST"	207	0	163190	886324
M_163194_886495	"LILYSTROM GR"	0	0	163194	886495
M_163194_887437	"BURNCOAT LN"	32	0	163194	887437
M_163194_887450	"BURNCOAT LN"	34	0	163194	887450
M_163195_885858	"MEADOW LN"	9	0	163195	885858
M_163195_887577	"BURNCOAT LN"	47	0	163195	887577
M_163197_887413	"BURNCOAT LN"	5	0	163197	887413
M_163198_887589	"BURNCOAT LN"	0	0	163198	887589
M_163199_886177	"FAIRVIEW DR"	10	0	163199	886177
M_163200_889908	"MAIN ST"	1832	0	163200	889908
M_163201_887467	"BURNCOAT LN"	36	0	163201	887467
M_163201_887605	"BURNCOAT LN"	49	0	163201	887605
M_163203_886125	"FERNCROFT RD"	11	0	163203	886125
M_163205_889128	"MAIN ST"	1762	0	163205	889128
M_163205_891094	"BOND ST"	0	0	163205	891094
M_163208_887393	"BURNCOAT LN"	0	0	163208	887393
M_163208_887490	"BURNCOAT LN"	38	0	163208	887490
M_163210_886629	"LILYSTROM GR"	0	0	163210	886629
M_163210_887629	"BURNCOAT LN"	51	0	163210	887629
M_163212_886060	"FERNCROFT RD"	12	0	163212	886060
M_163214_887504	"BURNCOAT LN"	0	0	163214	887504
M_163216_885560	"PINE ST"	596	0	163216	885560
M_163217_888783	"MAIN ST"	0	0	163217	888783
M_163218_888898	"TOWN BEACH RD"	8	0	163218	888898
M_163219_887518	"BURNCOAT LN"	0	0	163219	887518
M_163222_886242	"FAIRVIEW DR"	15	0	163222	886242
M_163222_887135	"LAKE DR"	8	0	163222	887135
M_163222_887238	"RAWSON ST"	400	0	163222	887238
M_163223_886182	"FAIRVIEW DR"	12	0	163223	886182
M_163223_886581	"LAKE SHORE DR"	0	0	163223	886581
M_163223_887380	"BURNCOAT LN"	0	0	163223	887380
M_163224_891415	"WHITTEMORE ST"	0	0	163224	891415
M_163225_887647	"BURNCOAT LN"	53	0	163225	887647
M_163227_886996	"RAWSON ST"	404	0	163227	886996
M_163228_887539	"BURNCOAT LN"	0	0	163228	887539
M_163229_886444	"LAKE SHORE DR"	2	0	163229	886444
M_163229_886524	"LILYSTROM GR"	0	0	163229	886524
M_163230_886123	"FERNCROFT RD"	13	0	163230	886123
M_163234_885595	"PINE ST"	0	0	163234	885595
M_163234_888762	"TOWN BEACH RD"	12	0	163234	888762
M_163234_888992	"MAIN ST"	1741	0	163234	888992
M_163236_886545	"LAKE SHORE DR"	0	0	163236	886545
M_163236_887561	"BURNCOAT LN"	0	0	163236	887561
M_163237_887081	"LAKE DR"	6	0	163237	887081
M_163237_887659	"BURNCOAT LN"	0	0	163237	887659
M_163239_886056	"FERNCROFT RD"	14	0	163239	886056
M_163241_887575	"BURNCOAT LN"	0	0	163241	887575
M_163242_886467	"LAKE SHORE DR"	4	0	163242	886467
M_163243_886559	"LILYSTROM GR"	0	0	163243	886559
M_163244_887672	"BURNCOAT LN"	57	0	163244	887672
M_163245_886177	"FAIRVIEW DR"	0	0	163245	886177
M_163247_887589	"BURNCOAT LN"	0	0	163247	887589
M_163249_887700	"BURNCOAT LN"	59	0	163249	887700
M_163250_886480	"LAKE SHORE DR"	6	0	163250	886480
M_163251_886572	"LILYSTROM GR"	0	0	163251	886572
M_163252_886234	"FAIRVIEW DR"	17	0	163252	886234
M_163253_887603	"BURNCOAT LN"	52	0	163253	887603
M_163254_889196	"MAIN ST"	1764	0	163254	889196
M_163255_885654	"PINE ST"	568	0	163255	885654
M_163255_887730	"BURNCOAT LN"	65	0	163255	887730
M_163256_886117	"FERNCROFT RD"	0	0	163256	886117
M_163256_887520	"BURNCOAT LN"	0	0	163256	887520
M_163257_887750	"BURNCOAT LN"	67	0	163257	887750
M_163258_887766	"BURNCOAT LN"	69	0	163258	887766
M_163259_887616	"BURNCOAT LN"	0	0	163259	887616
M_163260_887798	"BURNCOAT LN"	73	0	163260	887798
M_163261_887781	"BURNCOAT LN"	71	0	163261	887781
M_163262_886696	"LILYSTROM GR"	0	0	163262	886696
M_163263_886592	"LAKE SHORE DR"	21	0	163263	886592
M_163266_886168	"FAIRVIEW DR"	0	0	163266	886168
M_163267_886052	"FERNCROFT RD"	0	0	163267	886052
M_163267_887532	"BURNCOAT LN"	0	0	163267	887532
M_163268_886503	"LAKE SHORE DR"	10	0	163268	886503
M_163268_887813	"BURNCOAT LN"	75	0	163268	887813
M_163269_887637	"BURNCOAT LN"	0	0	163269	887637
M_163270_892328	"WHITTEMORE ST"	0	0	163270	892328
M_163274_887545	"BURNCOAT LN"	0	0	163274	887545
M_163275_885986	"MARLBORO DR"	2	0	163275	885986
M_163276_886221	"FAIRVIEW DR"	19	0	163276	886221
M_163277_886617	"LAKE SHORE DR"	0	0	163277	886617
M_163277_887825	"BURNCOAT LN"	0	0	163277	887825
M_163278_887658	"BURNCOAT LN"	0	0	163278	887658
M_163278_889012	"MAIN ST"	0	0	163278	889012
M_163280_886521	"LAKE SHORE DR"	12	0	163280	886521
M_163280_887559	"BURNCOAT LN"	0	0	163280	887559
