LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_566695_3023912	"PALMER RD"	47	0	172729	921690
F_566717_3024958	"PALMER RD"	31	0	172736	922009
F_566900_3023792	"PALMER RD"	52	0	172791	921654
F_566941_3024782	"PALMER RD"	23	0	172804	921955
F_566966_3024081	"PALMER RD"	44	0	172812	921742
F_567208_3021724	"PALMER RD"	65	0	172885	921023
F_568840_3023770	"MT ELAM RD"	1041	0	173383	921647
F_570057_3006732	"ELM ST"	1455	0	173754	916454
F_570142_3007034	"ELM ST"	1443	0	173780	916546
F_570551_3010863	"ELM ST"	1145	0	173904	917713
F_570679_3005617	"WACHUSETT ST"	838	0	173943	916114
F_570800_3005678	"WACHUSETT ST"	832	0	173980	916132
F_570916_3010004	"ELM ST"	1211	0	174016	917451
F_570926_3005766	"WACHUSETT ST"	820	0	174019	916159
F_571026_3007738	"ELM ST"	1400	0	174049	916760
F_571061_3005913	"WACHUSETT ST"	810	0	174060	916204
F_571085_3007876	"ELM ST"	1392	0	174067	916802
F_571091_3008486	"ELM ST"	1361	0	174069	916988
F_571100_3010235	"ELM ST"	1199	0	174072	917521
F_571136_3006060	"WACHUSETT ST"	806	0	174083	916249
F_571169_3008670	"ELM ST"	1349	0	174093	917044
F_571188_3009615	"ELM ST"	1223	0	174098	917332
F_571194_3011411	"ELM ST"	1139	0	174100	917880
F_571221_3011878	"ELM ST"	1121	0	174109	918022
F_571228_3011592	"ELM ST"	1133	0	174111	917935
F_571233_3011732	"ELM ST"	1127	0	174112	917978
F_571237_3008867	"ELM ST"	1341	0	174113	917104
F_571275_3011183	"ELM ST"	1151	0	174125	917810
F_571277_3008375	"ELM ST"	1368	0	174126	916955
F_571281_3009208	"ELM ST"	1327	0	174127	917208
F_571282_3010489	"ELM ST"	1175	0	174127	917599
F_571309_3011029	"ELM ST"	1157	0	174135	917763
F_571313_3009363	"ELM ST"	1315	0	174137	917256
F_571342_3010873	"ELM ST"	1163	0	174145	917716
F_571347_3008536	"ELM ST"	1362	0	174147	917004
F_571353_3006147	"WACHUSETT ST"	800	0	174149	916275
F_571356_3009529	"ELM ST"	1303	0	174150	917306
F_571375_3010719	"ELM ST"	1169	0	174155	917669
F_571390_3007901	"ELM ST"	1384	0	174160	916810
F_571403_3009811	"ELM ST"	1217	0	174164	917392
F_571417_3008700	"ELM ST"	1354	0	174168	917054
F_571459_3008873	"ELM ST"	1344	0	174181	917106
F_571475_3010067	"ELM ST"	1205	0	174186	917470
F_571486_3009048	"ELM ST"	1334	0	174189	917160
F_571538_3010319	"ELM ST"	1193	0	174205	917547
F_571556_3009318	"ELM ST"	1316	0	174211	917242
F_571568_3010445	"ELM ST"	1187	0	174214	917585
F_571611_3009486	"ELM ST"	1306	0	174227	917293
F_571616_3010562	"ELM ST"	1181	0	174229	917621
F_571722_3005904	"WACHUSETT ST"	750	0	174261	916201
F_571834_3022501	"GRANITE ST"	1079	0	174295	921260
F_571841_3009595	"ELM ST"	1296	0	174297	917326
F_571881_3010022	"ELM ST"	1206	0	174310	917457
F_571906_3009779	"ELM ST"	1294	0	174317	917382
F_571924_3010254	"ELM ST"	1194	0	174323	917527
F_571927_3005878	"WACHUSETT ST"	744	0	174324	916193
F_571933_3022893	"MT ELAM RD"	1077	0	174326	921380
F_572010_3006688	"WACHUSETT ST"	732	0	174349	916440
F_572068_3007261	"WACHUSETT ST"	727	0	174367	916615
F_572164_3023697	"MT ELAM RD"	1033	0	174396	921625
F_572186_3022670	"MT ELAM RD"	1101	0	174403	921312
F_572259_3022845	"MT ELAM RD"	1079	0	174425	921365
F_572284_3023535	"MT ELAM RD"	1049	0	174433	921575
F_572296_3023220	"MT ELAM RD"	1065	0	174436	921479
F_572315_3007113	"WACHUSETT ST"	710	0	174442	916570
F_572315_3007393	"WACHUSETT ST"	717	0	174442	916655
F_572328_3023374	"MT ELAM RD"	1053	0	174446	921526
F_572364_3006863	"WACHUSETT ST"	700	0	174457	916494
F_572490_3007423	"WACHUSETT ST"	707	0	174495	916664
F_572512_3023057	"MT ELAM RD"	1070	0	174502	921430
F_572619_3008519	"ELM ST"	1326	0	174535	916998
F_572730_3023276	"MT ELAM RD"	1052	0	174568	921496
F_572737_3005935	"WACHUSETT ST"	674	0	174571	916211
F_572766_3007456	"WACHUSETT ST"	689	0	174579	916674
F_573005_3007152	"WACHUSETT ST"	656	0	174652	916582
F_573326_3007338	"WACHUSETT ST"	646	0	174750	916638
F_573356_3007625	"WACHUSETT ST"	645	0	174759	916726
F_573446_3006960	"WACHUSETT ST"	610	0	174787	916523
F_573495_3007340	"WACHUSETT ST"	638	0	174802	916639
F_573837_3006778	"WACHUSETT ST"	598	0	174906	916468
F_573842_3016264	"ELM ST"	931	0	174907	919359
F_574154_3007567	"WACHUSETT ST"	589	0	175002	916708
F_574353_3024512	"ROUTE 2 HY"	300	0	175063	921873
F_574608_3009606	"WACHUSETT ST"	449	0	175141	917330
F_575118_3014179	"ELM ST"	909	0	175296	918724
F_575122_3005071	"SAWMILL RD"	50	0	175298	915947
F_575338_3004651	"PETERSON ST"	149	0	175363	915819
F_575394_3005058	"PETERSON ST"	113	0	175380	915944
F_575433_3005664	"PETERSON ST"	75	0	175392	916128
F_575451_3005944	"PETERSON ST"	69	0	175398	916214
F_575461_3005280	"PETERSON ST"	101	0	175401	916011
F_575682_3005047	"PETERSON ST"	110	0	175468	915940
F_575739_3004682	"PETERSON ST"	132	0	175486	915829
F_575782_3004394	"PETERSON ST"	138	0	175499	915741
F_575949_3006873	"WACHUSETT ST"	448	0	175550	916497
F_576052_3006728	"WACHUSETT ST"	442	0	175581	916453
F_576062_3004294	"PETERSON ST"	88	0	175584	915711
F_576211_3004513	"PETERSON ST"	74	0	175629	915777
F_576273_3006260	"PETERSON ST"	14	0	175648	916310
F_576301_3005825	"PETERSON ST"	20	0	175657	916177
F_576784_3013766	"ELM ST"	786	0	175804	918598
F_576788_3007091	"WACHUSETT ST"	398	0	175805	916563
F_576866_3025813	"HARWOOD TR"	25	0	175829	922270
F_576898_3025664	"HARWOOD TR"	31	0	175839	922224
F_576961_3025958	"HARWOOD TR"	19	0	175858	922314
F_576983_3025528	"HARWOOD TR"	39	0	175865	922183
F_577021_3026078	"HARWOOD TR"	7	0	175876	922350
F_577068_3013687	"ELM ST"	768	0	175891	918574
F_577143_3019910	"GRANITE ST"	330	0	175914	920470
F_577218_3025990	"HARWOOD TR"	10	0	175936	922324
F_577249_3013725	"ELM ST"	760	0	175946	918585
F_577259_3025732	"HARWOOD TR"	40	0	175949	922245
F_577336_3019720	"GRANITE ST"	312	0	175972	920412
F_577342_3025515	"HARWOOD TR"	54	0	175974	922179
F_577447_3025878	"WEST ST"	956	0	176006	922289
F_577496_3025427	"HILLERY RD"	60	0	176021	922152
F_577500_3025240	"HILLERY RD"	50	0	176022	922095
F_577502_3019577	"GRANITE ST"	300	0	176023	920369
F_577545_3025577	"HILLERY RD"	68	0	176036	922198
F_577585_3019927	"GRANITE ST"	325	0	176048	920476
F_577590_3025755	"HILLERY RD"	74	0	176050	922252
F_577610_3019425	"GRANITE ST"	288	0	176056	920323
F_577689_3024965	"HILLERY RD"	32	0	176080	922011
F_577699_3019275	"GRANITE ST"	276	0	176083	920277
F_577775_3025491	"WEST ST"	928	0	176106	922172
F_577815_3019115	"GRANITE ST"	270	0	176118	920228
F_577848_3024774	"HILLERY RD"	26	0	176128	921953
F_577877_3025964	"ROUTE 2"	200	0	176137	922316
F_577884_3023623	"OLDE TAVERN RD"	150	0	176139	921602
F_577904_3020536	"GRANITE ST"	335	0	176145	920661
F_577922_3025315	"WEST ST"	900	0	176151	922118
F_577951_3023338	"OLDE TAVERN RD"	144	0	176160	921515
F_577951_3025034	"HILLERY RD"	21	0	176160	922032
F_577982_3023153	"OLDE TAVERN RD"	138	0	176169	921459
F_578013_3023002	"OLDE TAVERN RD"	130	0	176179	921413
F_578032_3023693	"OLDE TAVERN RD"	156	0	176185	921623
F_578036_3022842	"OLDE TAVERN RD"	124	0	176186	921364
F_578060_3018826	"GRANITE ST"	266	0	176193	920140
F_578068_3022694	"OLDE TAVERN RD"	116	0	176195	921319
F_578089_3024843	"HILLERY RD"	20	0	176202	921974
F_578103_3025565	"WEST ST"	905	0	176206	922194
F_578134_3022559	"OLDE TAVERN RD"	110	0	176216	921278
F_578158_3020084	"SLACK BROOK RD"	48	0	176223	920523
F_578200_3023806	"OLDE TAVERN RD"	161	0	176236	921658
F_578206_3017895	"FEDERAL CI"	38	0	176238	919856
F_578217_3025424	"WEST ST"	887	0	176241	922151
F_578220_3022366	"OLDE TAVERN RD"	102	0	176242	921219
F_578233_3019826	"SLACK BROOK RD"	40	0	176246	920445
F_578252_3018173	"FEDERAL CI"	48	0	176252	919941
F_578253_3017085	"EXCHANGE ST"	300	0	176252	919609
F_578253_3019303	"GRANITE ST"	267	0	176252	920285
F_578271_3024950	"WEST ST"	844	0	176257	922007
F_578282_3019669	"SLACK BROOK RD"	32	0	176261	920397
F_578315_3023566	"OLDE TAVERN RD"	155	0	176271	921585
F_578321_3017703	"FEDERAL CI"	26	0	176273	919798
F_578337_3023429	"OLDE TAVERN RD"	149	0	176277	921543
F_578350_3025260	"WEST ST"	861	0	176281	922101
F_578351_3018453	"CONSTITUTION DR"	96	0	176282	920026
F_578354_3023305	"OLDE TAVERN RD"	143	0	176283	921505
F_578355_3019548	"SLACK BROOK RD"	24	0	176283	920360
F_578355_3020142	"SLACK BROOK RD"	49	0	176283	920541
F_578383_3023179	"OLDE TAVERN RD"	137	0	176291	921467
F_578387_3019321	"GRANITE ST"	261	0	176293	920291
F_578411_3023052	"OLDE TAVERN RD"	129	0	176300	921428
F_578413_3014832	"ELM ST"	693	0	176301	918923
F_578416_3023955	"KENDALL HILL RD"	23	0	176302	921703
F_578441_3024772	"WEST ST"	826	0	176309	921952
F_578449_3023774	"KENDALL HILL RD"	29	0	176312	921648
F_578458_3021913	"ROYAL OAKS WY"	3	0	176314	921081
F_578463_3018225	"FEDERAL CI"	39	0	176316	919957
F_578468_3025080	"WEST ST"	845	0	176317	922046
F_578474_3022938	"OLDE TAVERN RD"	119	0	176319	921393
F_578484_3019881	"SLACK BROOK RD"	37	0	176322	920462
F_578487_3023636	"KENDALL HILL RD"	35	0	176323	921606
F_578490_3022417	"OLDE TAVERN RD"	96	0	176324	921235
F_578506_3018804	"CONSTITUTION DR"	112	0	176329	920133
F_578514_3024090	"KENDALL HILL RD"	17	0	176331	921744
F_578517_3023507	"KENDALL HILL RD"	43	0	176332	921567
F_578519_3019320	"GRANITE ST"	255	0	176333	920291
F_578523_3014021	"ELM ST"	696	0	176334	918675
F_578532_3024580	"WEST ST"	806	0	176337	921894
F_578541_3022758	"KENDALL HILL RD"	88	0	176340	921338
F_578543_3023374	"KENDALL HILL RD"	51	0	176340	921526
F_578551_3019073	"CONSTITUTION DR"	123	0	176343	920215
F_578556_3018692	"CONSTITUTION DR"	104	0	176344	920099
F_578561_3023241	"KENDALL HILL RD"	59	0	176346	921486
F_578575_3023086	"KENDALL HILL RD"	71	0	176350	921438
F_578584_3021773	"ROYAL OAKS WY"	11	0	176353	921038
F_578586_3018572	"CONSTITUTION DR"	90	0	176353	920063
F_578592_3024963	"WEST ST"	829	0	176355	922011
F_578597_3018441	"CONSTITUTION DR"	84	0	176357	920023
F_578598_3017703	"FEDERAL CI"	16	0	176357	919798
F_578599_3019535	"SLACK BROOK RD"	25	0	176357	920356
F_578621_3017948	"FEDERAL CI"	17	0	176364	919872
F_578624_3018125	"CONSTITUTION DR"	68	0	176365	919926
F_578627_3018299	"CONSTITUTION DR"	76	0	176366	919979
F_578640_3022630	"OLDE TAVERN RD"	97	0	176370	921299
F_578672_3019105	"GRANITE ST"	256	0	176380	920225
F_578675_3022847	"KENDALL HILL RD"	82	0	176380	921366
F_578685_3018943	"CONSTITUTION DR"	115	0	176384	920176
F_578690_3021444	"OLD FARM RD"	192	0	176385	920938
F_578710_3019999	"GRANITE ST"	247	0	176391	920498
F_578715_3014488	"ELM ST"	683	0	176393	918818
F_578723_3023781	"KENDALL HILL RD"	26	0	176395	921650
F_578724_3022174	"ROYAL OAKS WY"	4	0	176395	921160
F_578724_3022394	"OLDE TAVERN RD"	86	0	176395	921228
F_578725_3024243	"KENDALL HILL RD"	9	0	176396	921791
F_578740_3023652	"KENDALL HILL RD"	34	0	176400	921611
F_578753_3019378	"GRANITE ST"	249	0	176404	920308
F_578755_3021802	"ROYAL OAKS WY"	17	0	176405	921047
F_578757_3021569	"OLD FARM RD"	204	0	176405	920976
F_578758_3023914	"KENDALL HILL RD"	18	0	176406	921691
F_578765_3022682	"OLDE TAVERN RD"	79	0	176408	921315
F_578765_3023518	"KENDALL HILL RD"	44	0	176408	921570
F_578769_3017743	"CONSTITUTION DR"	52	0	176409	919810
F_578769_3022965	"KENDALL HILL RD"	74	0	176409	921402
F_578781_3024932	"WEST ST"	811	0	176413	922001
F_578782_3021314	"OLD FARM RD"	190	0	176413	920898
F_578783_3023385	"KENDALL HILL RD"	52	0	176413	921530
F_578790_3018828	"CONSTITUTION DR"	107	0	176416	920141
F_578793_3023257	"KENDALL HILL RD"	60	0	176416	921491
F_578795_3023117	"KENDALL HILL RD"	68	0	176417	921448
F_578822_3013661	"ELM ST"	670	0	176425	918566
F_578832_3022251	"ROYAL OAKS WY"	28	0	176428	921184
F_578855_3019604	"GRANITE ST"	245	0	176435	920377
F_578863_3022738	"OLDE TAVERN RD"	71	0	176438	921332
F_578880_3018720	"CONSTITUTION DR"	99	0	176443	920108
F_578880_3021658	"OLD FARM RD"	210	0	176443	921003
F_578881_3024641	"WEST ST"	777	0	176443	921912
F_578887_3017913	"CONSTITUTION DR"	53	0	176445	919862
F_578891_3022486	"OLDE TAVERN RD"	80	0	176446	921256
F_578892_3021153	"OLD FARM RD"	170	0	176447	920849
F_578902_3018062	"CONSTITUTION DR"	61	0	176450	919907
F_578908_3018189	"CONSTITUTION DR"	69	0	176452	919946
F_578913_3018595	"CONSTITUTION DR"	91	0	176453	920070
F_578921_3021911	"ROYAL OAKS WY"	25	0	176455	921080
F_578936_3018465	"CONSTITUTION DR"	83	0	176460	920030
F_578938_3021416	"OLD FARM RD"	193	0	176461	920929
F_578940_3017671	"CONSTITUTION DR"	44	0	176461	919788
F_578941_3022806	"OLDE TAVERN RD"	63	0	176462	921353
F_578943_3023700	"OLDE TAVERN RD"	15	0	176462	921626
F_578945_3023532	"OLDE TAVERN RD"	21	0	176463	921574
F_578956_3018336	"CONSTITUTION DR"	75	0	176466	919991
F_578964_3022356	"ROYAL OAKS WY"	40	0	176469	921216
F_578965_3020941	"OLD FARM RD"	160	0	176469	920785
