LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_718239_2988678	"MASSACHUSETTS AVE"	3115	0	218920	910951
F_718394_2987543	"MARRETT RD"	758	0	218967	910605
F_718505_2992170	"WOOD ST"	244	0	219001	912015
F_718794_2987271	"MARRETT RD"	756	0	219089	910522
F_718848_2993757	"HARTWELL AVE"	131	0	219105	912499
F_718951_2989925	"MARRETT ST"	25	0	219137	911331
F_719073_2987974	"MASSACHUSETTS AVE"	3058	0	219174	910736
F_719087_2989437	"WOODPARK CIR"	19	0	219178	911182
F_719104_2989579	"WOODPARK CIR"	17	0	219183	911226
F_719159_2982774	CAMBRIDGE/CONCORD	975	0	219200	909151
F_719169_2988173	"MASSACHUSETTS AVE"	3038	0	219203	910797
F_719187_2987300	"MASSACHUSETTS AVE"	3022	0	219209	910531
F_719193_2994213	"HARTWELL AVE"	121	0	219210	912638
F_719204_2989261	"WOODPARK CIR"	21	0	219214	911129
F_719240_2991453	"WOOD ST"	238	0	219225	911797
F_719244_2989698	"WOODPARK CIR"	15	0	219226	911262
F_719245_2993820	"HARTWELL AVE"	125	0	219226	912518
F_719344_2989828	"WOODPARK CIR"	13	0	219256	911301
F_719371_2989066	"WOODPARK CIR"	23	0	219265	911069
F_719434_2995034	"HARTWELL PL"	4	0	219284	912888
F_719443_2989342	"WOODPARK CIR"	20	0	219287	911153
F_719449_2990360	"MARRETT ST"	29	0	219288	911464
F_719451_2989943	"WOODPARK CIR"	11	0	219289	911336
F_719453_2994578	"HARTWELL AVE"	113	0	219290	912749
F_719471_2989450	"WOODPARK CIR"	18	0	219295	911186
F_719504_2982651	CAMBRIDGE/CONCORD	973	0	219305	909114
F_719526_2989243	"WOODPARK CIR"	22	0	219312	911123
F_719550_2993596	"HARTWELL AVE"	128	0	219319	912450
F_719552_2990066	"WOODPARK CIR"	9	0	219320	911374
F_719556_2984129	"LINCOLN ST"	443	0	219321	909564
F_719566_2988880	"WOODPARK CIR"	25	0	219324	911012
F_719570_2996410	"MAGUIRE RD"	20	0	219325	913308
F_719574_2989556	"WOODPARK CIR"	16	0	219327	911218
F_719592_2995574	"HARTWELL AVE"	91	0	219332	913053
F_719633_2989681	"WOODPARK CIR"	14	0	219345	911257
F_719634_2989171	"WOODPARK CIR"	26	0	219345	911101
F_719679_2990428	"SMITH FARM LN"	11	0	219359	911484
F_719687_2989804	"WOODPARK CIR"	12	0	219361	911294
F_719701_2990484	"SMITH FARM LN"	9	0	219365	911501
F_719707_2990196	"WOODPARK CIR"	7	0	219367	911414
F_719715_2989347	"WOODPARK CIR"	28	0	219370	911155
F_719721_2988863	"WOODPARK CIR"	27	0	219371	911007
F_719744_2989967	"WOODPARK CIR"	10	0	219378	911344
F_719750_2992925	"WOOD ST"	290	0	219380	912245
F_719779_2990534	"SMITH FARM LN"	7	0	219389	911517
F_719787_2989461	"WOODPARK CIR"	30	0	219392	911190
F_719813_2990578	"SMITH FARM LN"	5	0	219399	911530
F_719841_2984231	"LINCOLN ST"	439	0	219408	909595
F_719841_2987020	"MARRETT RD"	750	0	219408	910446
F_719843_2989585	"WOODPARK CIR"	32	0	219409	911227
F_719843_2990742	"CHESTNUT LN"	8	0	219409	911580
F_719843_2990794	"CHESTNUT LN"	10	0	219409	911596
F_719846_2989029	"WOODPARK CIR"	29	0	219409	911058
F_719849_2990849	"CHESTNUT LN"	9	0	219410	911613
F_719854_2990231	"WOODPARK CIR"	5	0	219412	911424
F_719873_2989898	"WOODPARK CIR"	6	0	219418	911323
F_719892_2994863	"HARTWELL AVE"	101	0	219424	912836
F_719893_2987669	"MARRETT RD"	760	0	219424	910643
F_719894_2993276	"WOOD ST"	291	0	219424	912352
F_719904_2990871	"CHESTNUT LN"	7	0	219427	911619
F_719909_2989704	"WOODPARK CIR"	34	0	219429	911264
F_719919_2990596	"SMITH FARM LN"	3	0	219432	911535
F_719920_2990361	"SMITH FARM LN"	10	0	219432	911464
F_719926_2990667	"CHESTNUT LN"	6	0	219434	911557
F_719934_2989183	"WOODPARK CIR"	31	0	219436	911105
