LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_357105_2845331	"DUNN RD"	176	0	108846	867259
F_357155_2845445	"DUNN RD"	168	0	108861	867293
F_357206_2845559	"DUNN RD"	150	0	108877	867328
F_357288_2845741	"DUNN RD"	138	0	108902	867384
F_357352_2845877	"DUNN RD"	122	0	108921	867425
F_357431_2846033	"DUNN RD"	100	0	108945	867473
F_357495_2846155	"DUNN RD"	90	0	108965	867510
F_357529_2846222	"DUNN RD"	82	0	108975	867530
F_357570_2846300	"DUNN RD"	74	0	108988	867554
F_357976_2846695	"WEST RD"	200	0	109111	867674
F_358012_2846790	"WEST RD"	186	0	109122	867703
F_358418_2847577	"WEST RD"	100	0	109246	867943
F_358464_2847664	"WEST RD"	94	0	109260	867970
F_358496_2847718	"WEST RD"	90	0	109270	867986
F_358533_2847787	"WEST RD"	82	0	109281	868007
F_358571_2847860	"WEST RD"	74	0	109293	868029
F_358624_2847953	"WEST RD"	58	0	109309	868058
F_358680_2848058	"WEST RD"	50	0	109326	868090
F_358748_2848173	"WEST RD"	30	0	109347	868125
F_358840_2848322	"WEST RD"	20	0	109375	868170
F_358900_2848094	"WEST RD"	40	0	109393	868101
F_359000_2848578	"EMERSON RD"	348	0	109423	868248
F_359016_2848405	"EMERSON RD"	378	0	109428	868196
F_359114_2848740	"EMERSON RD"	322	0	109458	868298
F_359310_2836345	"SUNSET LN"	69	0	109518	864520
F_359383_2848886	"ANTHONY RD"	50	0	109540	868342
F_359390_2847957	"EMERSON RD"	299	0	109542	868059
F_359509_2850134	"ANTHONY RD"	260	0	109579	868723
F_359512_2836220	"SUNSET LN"	59	0	109579	864482
F_359578_2836100	"SUNSET LN"	45	0	109600	864445
F_359653_2836531	"SUNSET LN"	70	0	109622	864576
F_359654_2850452	"ANTHONY RD"	294	0	109623	868820
F_359733_2836036	"SUNSET LN"	29	0	109647	864426
F_359795_2850772	"ANTHONY RD"	326	0	109666	868917
F_359803_2836340	"SUNSET LN"	50	0	109668	864518
F_359846_2836233	"SUNSET LN"	40	0	109681	864486
F_359993_2847384	"PONDSIDE RD"	31	0	109726	867884
F_360074_2847855	"EMERSON RD"	275	0	109751	868028
F_360198_2836589	"FAIRVIEW ST"	90	0	109789	864594
F_360224_2836775	"FAIRVIEW ST"	72	0	109796	864651
F_360251_2836992	"FAIRVIEW ST"	38	0	109805	864717
F_360265_2836293	"FAIRVIEW ST"	113	0	109809	864504
F_360273_2837177	"FAIRVIEW ST"	30	0	109811	864773
F_360281_2836371	"FAIRVIEW ST"	103	0	109814	864528
F_360293_2836133	"SOUTH AV"	141	0	109818	864455
F_360316_2837698	"MEADOW RD"	240	0	109825	864932
F_360327_2836519	"FAIRVIEW ST"	89	0	109828	864573
F_360327_2837337	"FAIRVIEW ST"	14	0	109828	864822
F_360335_2836653	"MASSACHUSETTS AV"	155	0	109830	864614
F_360379_2836313	"SOUTH AV"	140	0	109844	864510
F_360428_2836867	"MASSACHUSETTS AV"	152	0	109859	864679
F_360432_2836623	"MASSACHUSETTS AV"	145	0	109860	864604
F_360433_2837871	"HOMESTEAD BL"	190	0	109860	864985
F_360435_2836999	"LAWNWOOD AV"	161	0	109861	864719
F_360455_2836117	"SOUTH AV"	125	0	109867	864450
F_360457_2836479	"BRANCH ST"	92	0	109868	864561
F_360466_2836295	"SOUTH AV"	130	0	109870	864504
F_360508_2838323	"SHADY KNOLL DR"	83	0	109883	865123
F_360514_2838460	"SHADY KNOLL DR"	89	0	109885	865164
F_360518_2837591	"HOMESTEAD BL"	183	0	109886	864899
F_360522_2838205	"SHADY KNOLL DR"	75	0	109887	865087
F_360530_2836973	"LAWNWOOD AV"	147	0	109890	864711
F_360537_2836834	"MASSACHUSETTS AV"	140	0	109892	864669
F_360538_2836281	"SOUTH AV"	122	0	109892	864500
F_360541_2837236	"LAWNWOOD AV"	158	0	109893	864791
F_360552_2836108	"SOUTH AV"	115	0	109896	864447
F_360556_2836586	"MASSACHUSETTS AV"	133	0	109898	864593
F_360558_2838067	"SHADY KNOLL DR"	67	0	109898	865045
F_360580_2836442	"BRANCH ST"	78	0	109905	864549
F_360591_2838523	"SHADY KNOLL DR"	92	0	109908	865184
F_360591_2842957	"BIRNIE RD"	124	0	109908	866535
F_360596_2836269	"SOUTH AV"	114	0	109910	864497
F_360598_2843047	"BIRNIE RD"	114	0	109910	866562
F_360601_2837460	"CHESTNUT RD"	34	0	109911	864860
F_360612_2843106	"BIRNIE RD"	112	0	109915	866580
F_360620_2837135	"LAWNWOOD AV"	144	0	109917	864760
F_360623_2836946	"LAWNWOOD AV"	141	0	109918	864703
F_360624_2837558	"HOMESTEAD BL"	171	0	109918	864889
F_360631_2848106	"EMERSON RD"	198	0	109921	868104
F_360635_2836805	"MASSACHUSETTS AV"	132	0	109922	864660
F_360635_2843198	"BIRNIE RD"	102	0	109922	866608
F_360641_2838688	"MEADOW RD REAR"	260	0	109924	865234
F_360643_2837688	"HOMESTEAD BL"	170	0	109924	864929
F_360649_2836557	"MASSACHUSETTS AV"	123	0	109926	864584
F_360659_2837261	"MEADOW RD"	157	0	109929	864799
F_360669_2837545	"HOMESTEAD BL"	167	0	109932	864885
F_360682_2836095	"HERBERT ST"	116	0	109936	864443
F_360682_2837117	"LAWNWOOD AV"	132	0	109936	864755
F_360686_2843295	"BIRNIE RD"	96	0	109937	866638
F_360689_2836926	"LAWNWOOD AV"	133	0	109938	864697
F_360709_2836539	"MASSACHUSETTS AV"	117	0	109944	864579
F_360716_2836780	"MASSACHUSETTS AV"	124	0	109946	864652
F_360716_2845254	"ELY WY"	60	0	109946	867235
F_360719_2838083	"SHADY KNOLL DR"	57	0	109947	865049
F_360719_2840069	"BARK HAUL RD"	98	0	109947	865655
F_360721_2837243	"MEADOW RD"	151	0	109948	864793
F_360721_2848829	"RIVERVIEW AV"	162	0	109948	868325
F_360724_2848713	"RIVERVIEW AV"	172	0	109949	868289
F_360725_2845734	"ELY WY"	65	0	109949	867381
F_360726_2843445	"MAYFAIR DR"	45	0	109950	866684
F_360732_2848929	"RIVERVIEW AV"	150	0	109951	868355
F_360734_2837394	"MEADOW RD"	152	0	109952	864839
F_360734_2845942	"ELY WY"	31	0	109952	867445
F_360737_2849481	"RIVERVIEW AV"	92	0	109953	868524
F_360738_2843612	"MAYFAIR DR"	50	0	109953	866735
F_360741_2837497	"CHESTNUT RD"	35	0	109954	864871
F_360742_2849052	"RIVERVIEW AV"	138	0	109954	868393
F_360748_2847374	"WHEELMEADOW DR"	167	0	109956	867881
F_360750_2849105	"RIVERVIEW AV"	134	0	109957	868409
F_360752_2849619	"RIVERVIEW AV"	78	0	109957	868566
F_360754_2836906	"LAWNWOOD AV"	129	0	109958	864691
F_360754_2849667	"RIVERVIEW AV"	74	0	109958	868580
F_360755_2849159	"RIVERVIEW AV"	130	0	109958	868425
F_360755_2849552	"RIVERVIEW AV"	84	0	109958	868545
F_360756_2848139	"ESSEX CT"	44	0	109959	868115
F_360757_2838398	"SHADY KNOLL DR"	70	0	109959	865145
F_360759_2849732	"RIVERVIEW AV"	70	0	109960	868600
F_360760_2849208	"RIVERVIEW AV"	124	0	109960	868440
F_360763_2845498	"ELY WY"	70	0	109961	867310
F_360763_2849313	"RIVERVIEW AV"	114	0	109961	868472
F_360765_2849812	"RIVERVIEW AV"	62	0	109961	868624
F_360770_2847711	"ARLINGTON RD"	154	0	109963	867984
F_360771_2849891	"RIVERVIEW AV"	52	0	109963	868649
F_360773_2836520	"HERBERT ST"	74	0	109964	864573
F_360775_2837089	"LAWNWOOD AV"	130	0	109964	864746
F_360776_2846827	"WHEELMEADOW LN"	22	0	109965	867715
F_360777_2849970	"RIVERVIEW AV"	44	0	109965	868673
F_360779_2846145	"ELY WY"	11	0	109966	867507
F_360779_2847048	"WHEELMEADOW DR"	147	0	109966	867782
F_360779_2849442	"RIVERVIEW AV"	96	0	109966	868512
