LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_688022_3063419	"VARNUM AVE"	1614	0	209710	933732
F_688151_3063098	"VARNUM AVE"	1568	0	209749	933634
F_688151_3063725	"VARNUM AVE"	1619	0	209749	933825
F_688160_3062617	"PAWTUCKET BLVD"	1467	0	209752	933488
F_688180_3063793	"CONSTANCE DR"	14	0	209758	933846
F_688211_3063834	"CONSTANCE DR"	22	0	209767	933858
F_688219_3063342	"VARNUM AVE"	1582	0	209770	933709
F_688232_3063914	"CONSTANCE DR"	30	0	209774	933883
F_688248_3063989	"CONSTANCE DR"	40	0	209778	933906
F_688258_3064067	"CONSTANCE DR"	48	0	209781	933929
F_688268_3063440	"VARNUM AVE"	1600	0	209785	933738
F_688271_3064134	"CONSTANCE DR"	56	0	209785	933950
F_688299_3063633	"VARNUM AVE"	1595	0	209794	933797
F_688303_3064223	"CONSTANCE DR"	64	0	209795	933977
F_688306_3063269	"VARNUM AVE"	1578	0	209796	933686
F_688333_3062231	"PAWTUCKET BLVD"	1471	0	209804	933370
F_688334_3064296	"CONSTANCE DR"	74	0	209805	933999
F_688349_3063031	"VARNUM AVE"	1546	0	209809	933614
F_688365_3064361	"CONSTANCE DR"	84	0	209814	934019
F_688366_3063216	"VARNUM AVE"	1570	0	209814	933670
F_688378_3064412	"CONSTANCE DR"	90	0	209818	934035
F_688385_3063832	"CONSTANCE DR"	29	0	209820	933858
F_688405_3064089	"CONSTANCE DR"	53	0	209826	933936
F_688413_3063912	"CONSTANCE DR"	35	0	209829	933882
F_688416_3062456	"CRESTA DR"	41	0	209830	933438
F_688419_3063983	"CONSTANCE DR"	45	0	209831	933904
F_688420_3063143	"VARNUM AVE"	1558	0	209831	933648
F_688423_3064167	"CONSTANCE DR"	61	0	209832	933960
F_688425_3061864	"PAWTUCKET BLVD"	1462	0	209832	933258
F_688428_3062787	"VARNUM AVE"	1524	0	209833	933539
F_688428_3062971	"VARNUM AVE"	1544	0	209833	933595
F_688433_3062578	"CRESTA DR"	35	0	209835	933476
F_688436_3063421	"VARNUM AVE"	1577	0	209836	933733
F_688446_3064496	"CONSTANCE DR"	96	0	209839	934060
F_688450_3064233	"CONSTANCE DR"	71	0	209840	933980
F_688483_3064296	"CONSTANCE DR"	77	0	209850	933999
F_688493_3063373	"VARNUM AVE"	1571	0	209853	933718
F_688518_3064359	"CONSTANCE DR"	85	0	209861	934018
F_688526_3063024	"VARNUM AVE"	1530	0	209863	933612
F_688528_3062412	"CRESTA DR"	38	0	209864	933425
F_688533_3062298	"DOWLING DR"	59	0	209865	933390
F_688544_3063325	"VARNUM AVE"	1561	0	209869	933703
F_688550_3062619	"CRESTA DR"	29	0	209870	933488
F_688551_3064424	"CONSTANCE DR"	91	0	209871	934038
F_688561_3063649	"VARNUM AVE"	1581	0	209874	933802
F_688574_3062086	"DOWLING DR"	62	0	209878	933326
F_688590_3062744	"VARNUM AVE"	1522	0	209883	933526
F_688624_3062457	"CRESTA DR"	24	0	209893	933439
F_688627_3062323	"DOWLING DR"	45	0	209894	933398
F_688640_3063295	"VARNUM AVE"	1531	0	209898	933694
F_688646_3062128	"DOWLING DR"	58	0	209900	933338
F_688653_3061636	"PAWTUCKET BLVD"	1412	0	209902	933189
F_688671_3062795	"VARNUM AVE"	1512	0	209907	933542
F_688672_3063170	"ELJER DR"	8	0	209908	933656
F_688703_3062662	"VARNUM AVE"	1500	0	209917	933501
F_688705_3064892	"VARNUM AVE"	1619	0	209918	934181
F_688707_3062366	"CRESTA DR"	6	0	209918	933411
F_688708_3062589	"CRESTA DR"	21	0	209919	933479
F_688711_3063427	"ELJER DR"	40	0	209920	933734
