LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_115876_883996	"OREGON AVENUE"	23	0	115876	883996
M_115884_883861	"WYOMING STREET"	0	0	115884	883861
M_115914_883964	"WYOMING STREET"	0	0	115914	883964
M_115926_880258	"CADY STREET"	0	0	115926	880258
M_115934_885502	"WEST STREET"	0	0	115934	885502
M_115951_880216	"GRIMES STREET"	22	0	115951	880216
M_115952_880186	"GRIMES STREET"	32	0	115952	880186
M_115953_880158	"GRIMES STREET"	42	0	115953	880158
M_115953_880254	"CADY STREET"	305	0	115953	880254
M_115963_880055	"GRIMES STREET"	54	0	115963	880055
M_115995_884115	"WYOMING STREET"	58	0	115995	884115
M_115999_880327	"CADY STREET"	300	0	115999	880327
M_116006_880257	"CADY STREET"	297	0	116006	880257
M_116015_879814	"GRIMES STREET"	0	0	116015	879814
M_116016_880194	"GRIMES STREET"	25	0	116016	880194
M_116031_879655	"RUSSELL STREET"	0	0	116031	879655
M_116036_880251	"CADY STREET"	293	0	116036	880251
M_116038_879571	"RUSSELL STREET"	0	0	116038	879571
M_116062_879571	"RUSSELL STREET"	0	0	116062	879571
M_116066_879850	"PROSPECT GARDENS"	146	0	116066	879850
M_116070_880328	"CADY STREET"	290	0	116070	880328
M_116077_879571	"RUSSELL STREET"	0	0	116077	879571
M_116078_880204	"CADY STREET"	289	0	116078	880204
M_116082_880047	"CADY STREET"	279	0	116082	880047
M_116087_884250	"PERIMETER ROAD"	25	0	116087	884250
M_116089_884087	"WYOMING STREET"	0	0	116089	884087
M_116092_879572	"RUSSELL STREET"	0	0	116092	879572
M_116106_880297	"CADY STREET"	288	0	116106	880297
M_116108_880593	"WEST STREET"	155	0	116108	880593
M_116112_879799	"PROSPECT GARDENS"	0	0	116112	879799
M_116112_879852	"PROSPECT GARDENS"	132	0	116112	879852
M_116116_879664	"RUSSELL STREET"	0	0	116116	879664
M_116118_879574	"SHAWINIGAN DRIVE"	133	0	116118	879574
M_116125_880351	"CADY STREET"	0	0	116125	880351
M_116125_884349	"PERIMETER ROAD"	42	0	116125	884349
M_116136_881596	"HOLYOKE STREET"	0	0	116136	881596
M_116140_879503	"WEST STREET"	0	0	116140	879503
M_116140_880304	"CADY STREET"	0	0	116140	880304
M_116148_879853	"PROSPECT GARDENS"	128	0	116148	879853
M_116150_879573	"SHAWINIGAN DRIVE"	123	0	116150	879573
M_116150_881601	"HOLYOKE STREET"	0	0	116150	881601
M_116150_881785	"DANA WAY"	15	0	116150	881785
M_116151_884307	"PERIMETER ROAD"	824	0	116151	884307
M_116165_879573	"SHAWINIGAN DRIVE"	0	0	116165	879573
M_116168_879801	"PROSPECT GARDENS"	123	0	116168	879801
M_116172_882324	"LAWTON STREET"	0	0	116172	882324
M_116176_879572	"SHAWINIGAN DRIVE"	115	0	116176	879572
M_116176_884251	"PERIMETER ROAD"	10	0	116176	884251
M_116179_879854	"PROSPECT GARDENS"	124	0	116179	879854
M_116182_881294	"BARNA STREET"	0	0	116182	881294
M_116188_884354	"LETOURNEAU LANE"	37	0	116188	884354
M_116190_880015	"MARIANA LANE"	0	0	116190	880015
M_116192_881616	"HOLYOKE STREET"	0	0	116192	881616
M_116192_881955	"HOLYOKE STREET"	592	0	116192	881955
M_116196_879912	"PROSPECT GARDENS"	0	0	116196	879912
M_116198_881168	"COOLIDGE AVENUE"	0	0	116198	881168
M_116202_884277	"RANDALL ROAD"	730	0	116202	884277
M_116204_880081	"MARIANA LANE"	54	0	116204	880081
M_116207_881317	"BARNA STREET"	202	0	116207	881317
M_116209_879568	"SHAWINIGAN DRIVE"	103	0	116209	879568
M_116209_880113	"MARIANA LANE"	52	0	116209	880113
M_116209_881168	"COOLIDGE AVENUE"	0	0	116209	881168
M_116210_880141	"MARIANA LANE"	32	0	116210	880141
M_116212_880174	"MARIANA LANE"	0	0	116212	880174
M_116212_880217	"MARIANA LANE"	0	0	116212	880217
M_116213_881278	"BARNA STREET"	201	0	116213	881278
M_116224_881118	"COOLIDGE AVENUE"	145	0	116224	881118
M_116225_881170	"COOLIDGE AVENUE"	144	0	116225	881170
M_116228_881088	"MAIN BOULEVARD"	126	0	116228	881088
M_116229_879988	"MARIANA LANE"	0	0	116229	879988
M_116230_884439	"LETOURNEAU LANE"	0	0	116230	884439
M_116231_881042	"MAIN BOULEVARD"	125	0	116231	881042
M_116234_880965	"MCKINLEY AVENUE"	0	0	116234	880965
M_116236_881012	"MCKINLEY AVENUE"	96	0	116236	881012
M_116238_879565	"SHAWINIGAN DRIVE"	93	0	116238	879565
M_116246_881323	"BARNA STREET"	182	0	116246	881323
M_116248_881173	"COOLIDGE AVENUE"	134	0	116248	881173
M_116250_881090	"MAIN BOULEVARD"	0	0	116250	881090
M_116251_881284	"BARNA STREET"	181	0	116251	881284
M_116251_884264	"RANDALL ROAD"	0	0	116251	884264
M_116254_879563	"SHAWINIGAN DRIVE"	0	0	116254	879563
M_116254_881121	"COOLIDGE AVENUE"	135	0	116254	881121
M_116256_880962	"MCKINLEY AVENUE"	93	0	116256	880962
M_116257_879637	"SHAWINIGAN DRIVE"	0	0	116257	879637
M_116262_880213	"CADY STREET"	267	0	116262	880213
M_116263_879858	"PROSPECT GARDENS"	96	0	116263	879858
M_116263_881046	"MAIN BOULEVARD"	115	0	116263	881046
M_116264_880181	"MARIANA LANE"	0	0	116264	880181
M_116265_881092	"MAIN BOULEVARD"	116	0	116265	881092
M_116266_881016	"MCKINLEY AVENUE"	86	0	116266	881016
M_116269_879562	"SHAWINIGAN DRIVE"	0	0	116269	879562
M_116273_880159	"MARIANA LANE"	0	0	116273	880159
M_116277_881124	"COOLIDGE AVENUE"	125	0	116277	881124
M_116278_880040	"MARIANA LANE"	0	0	116278	880040
M_116278_880268	"CADY STREET"	0	0	116278	880268
M_116278_881178	"COOLIDGE AVENUE"	124	0	116278	881178
M_116281_881094	"MAIN BOULEVARD"	0	0	116281	881094
M_116282_880387	"WEST STREET"	0	0	116282	880387
M_116284_879560	"SHAWINIGAN DRIVE"	79	0	116284	879560
M_116284_880077	"MARIANA LANE"	0	0	116284	880077
M_116284_881328	"BARNA STREET"	172	0	116284	881328
M_116286_880964	"MCKINLEY AVENUE"	83	0	116286	880964
M_116287_880106	"MARIANA LANE"	0	0	116287	880106
