LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_241077_917436	"LYNNFIELD ST"	0	0	241077	917436
M_241293_917492	"LYNNFIELD ST"	0	0	241293	917492
M_241358_917382	"LYNNFIELD ST"	0	0	241358	917382
M_241423_917285	"NORTH RIDGE CIR"	14	0	241423	917285
M_241435_917200	"SOUTH RIDGE CIR"	0	0	241435	917200
M_241442_917256	"NORTH RIDGE CIR"	10	0	241442	917256
M_241444_917307	"NORTH RIDGE CIR"	17	0	241444	917307
M_241460_917237	"NORTH RIDGE CIR"	6	0	241460	917237
M_241473_917218	"NORTH RIDGE CIR"	2	0	241473	917218
M_241489_917199	"SOUTH RIDGE CIR"	1	0	241489	917199
M_241491_917339	"NORTH RIDGE CIR"	13	0	241491	917339
M_241492_917297	"NORTH RIDGE CIR"	9	0	241492	917297
M_241501_917264	"NORTH RIDGE CIR"	5	0	241501	917264
M_241506_917173	"SOUTH RIDGE CIR"	5	0	241506	917173
M_241519_917276	"JUDGE RD"	251	0	241519	917276
M_241533_917309	"JUDGE RD"	245	0	241533	917309
M_241537_917179	"SOUTH RIDGE CIR"	10	0	241537	917179
M_241540_917228	"SOUTH RIDGE CIR"	2	0	241540	917228
M_241554_913886	"WALNUT ST"	682	0	241554	913886
M_241558_917203	"SOUTH RIDGE CIR"	6	0	241558	917203
M_241562_913874	"WALNUT ST"	680	0	241562	913874
M_241565_917329	"JUDGE RD"	239	0	241565	917329
M_241567_913839	"NEWCOMB AVE"	0	0	241567	913839
M_241567_917246	"JUDGE RD"	236	0	241567	917246
M_241578_913823	"NEWCOMB AVE"	40	0	241578	913823
M_241581_913860	"WALNUT ST"	676	0	241581	913860
M_241582_917185	"JUDGE RD"	220	0	241582	917185
M_241582_917224	"JUDGE RD"	226	0	241582	917224
M_241589_913772	"NEWCOMB AVE"	4	0	241589	913772
M_241594_913813	"NEWCOMB AVE"	11	0	241594	913813
M_241594_917179	"JUDGE RD"	218	0	241594	917179
M_241598_917311	"JUDGE RD"	233	0	241598	917311
M_241605_913725	"WASHINGTON AVE"	42	0	241605	913725
M_241609_913807	"NEWCOMB AVE"	5	0	241609	913807
M_241612_913691	"GARFIELD TER"	6	0	241612	913691
M_241613_913849	"WALNUT ST"	666	0	241613	913849
M_241617_917083	"JUDGE RD"	0	0	241617	917083
M_241617_917183	"JUDGE RD"	214	0	241617	917183
M_241619_913740	"WASHINGTON AVE"	36	0	241619	913740
M_241620_917298	"JUDGE RD"	227	0	241620	917298
M_241623_913698	"GARFIELD TER"	10	0	241623	913698
M_241626_913794	"NEWCOMB AVE"	3	0	241626	913794
M_241632_913644	"GARFIELD AVE"	40	0	241632	913644
