LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_841708_3041316	"PINE ST"	0	0	256553	926995
F_842289_3039411	"PRESTON PLACE RD"	0	0	256730	926414
F_842500_3041407	WOODLAND	0	0	256795	927023
F_842645_3037593	"PRESTON PLACE RD"	0	0	256839	925860
F_842730_3042285	"PINE ST"	0	0	256865	927290
F_842747_3042378	"H + M LINE"	0	0	256870	927319
F_842817_3037372	"PRESTON PLACE RD"	0	0	256891	925793
F_842914_3038606	"PRESTON PLACE RD"	0	0	256921	926169
F_842946_3042419	"PINE ST"	0	0	256930	927331
F_843028_3040602	"PRESTON PLACE RD"	0	0	256955	926777
F_843088_3042401	"PINE ST"	0	0	256974	927326
F_843097_3039386	WOODLAND	0	0	256976	926407
F_843108_3042453	"PINE ST"	0	0	256980	927342
F_843182_3039190	"OFF CROOKED LN"	0	0	257002	926347
F_843260_3039014	WOODLAND	0	0	257026	926293
F_843362_3041758	WOODLAND	0	0	257057	927130
F_843450_3039244	WOODLAND	0	0	257084	926363
F_843495_3041333	"PINE ST"	0	0	257098	927000
F_843502_3041609	"PINE ST"	0	0	257100	927084
F_843796_3039641	WOODLAND	0	0	257190	926484
F_843983_3042201	"PINE ST"	201	0	257247	927265
F_844188_3040661	"PINE ST"	0	0	257309	926795
F_844237_3039855	WOODLAND	0	0	257324	926550
F_844324_3036375	"BROOKWOOD RD"	0	0	257350	925489
F_844340_3042708	"H + M LINE"	0	0	257355	927419
F_844374_3035838	"BROOKWOOD RD"	10	0	257366	925325
F_844734_3035198	WOODLAND	0	0	257475	925130
F_844761_3036809	WOODLAND	0	0	257484	925621
F_844794_3036617	WOODLAND	0	0	257494	925563
F_844825_3037466	WOODLAND	0	0	257503	925821
F_844826_3035395	WOODLAND	0	0	257503	925190
F_844888_3036900	WOODLAND	0	0	257522	925649
F_844925_3039786	"CROOKED LN"	0	0	257534	926529
F_844944_3037009	WOODLAND	0	0	257539	925682
F_845026_3036114	WOODLAND	0	0	257564	925409
F_845126_3035429	WOODLAND	0	0	257595	925201
F_845387_3041041	WOODLAND	0	0	257674	926911
F_845417_3034834	"BROOKWOOD RD"	4	0	257684	925019
F_845475_3039992	WOODLAND	0	0	257701	926591
F_845526_3039358	"CROOKED LN"	0	0	257717	926398
F_845537_3036643	WOODLAND	0	0	257720	925571
F_845640_3038998	"CROOKED LN"	0	0	257752	926288
F_845643_3034343	"BROOKWOOD RD"	0	0	257753	924870
F_845669_3035037	"BROOKWOOD RD"	6	0	257760	925081
F_845707_3042436	"PINE ST"	0	0	257772	927336
F_845728_3037745	"CROOKED LN"	0	0	257778	925907
F_845751_3038081	"CROOKED LN"	0	0	257785	926009
F_845821_3035654	WOODLAND	0	0	257807	925269
F_845856_3036066	"BROOKWOOD RD"	0	0	257817	925395
F_845858_3041707	"DUG HL"	0	0	257818	927114
F_845860_3040737	WOODLAND	0	0	257819	926818
