LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_918763_2694300	"HORSESHOE BEND WAY"	2	0	280040	821224
F_918835_2694397	"TRI-TOWN CIR"	3	0	280061	821254
F_918882_2694007	"HORSESHOE BEND WAY"	9	0	280076	821135
F_918903_2694246	"HORSESHOE BEND WAY"	14	0	280082	821208
F_918923_2694516	"TRI-TOWN CIR"	4	0	280088	821290
F_918945_2694353	"TRI-TOWN CIR"	9	0	280095	821240
F_918967_2694058	"HORSESHOE BEND WAY"	15	0	280102	821151
F_918981_2694598	"FALMOUTH-SANDWICH RD"	21	0	280106	821315
F_918996_2693936	"HORSESHOE BEND WAY"	21	0	280111	821113
F_919028_2694478	"TRI-TOWN CIR"	10	0	280120	821279
F_919039_2694679	"FALMOUTH-SANDWICH RD"	25	0	280124	821340
F_919044_2694190	"HORSESHOE BEND WAY"	18	0	280125	821191
F_919045_2694024	"HORSESHOE BEND WAY"	21	0	280125	821140
F_919062_2694301	"TRI-TOWN CIR"	15	0	280131	821225
F_919095_2694763	"FALMOUTH-SANDWICH RD"	31	0	280141	821365
F_919123_2693929	"HORSESHOE BEND WAY"	23	0	280149	821111
F_919134_2694432	"TRI-TOWN CIR"	16	0	280153	821265
F_919135_2694595	"TRI-TOWN CIR"	12	0	280153	821314
F_919139_2694154	"HORSESHOE BEND WAY"	24	0	280154	821180
F_919152_2694844	"TRI-TOWN CIR"	56	0	280158	821390
F_919176_2693974	"HORSESHOE BEND WAY"	27	0	280165	821125
F_919179_2694264	"TRI-TOWN CIR"	19	0	280166	821213
F_919228_2694456	"TRI-TOWN CIR"	24	0	280181	821272
F_919228_2694764	"TRI-TOWN CIR"	48	0	280181	821366
F_919235_2694130	"HORSESHOE BEND WAY"	30	0	280183	821172
F_919236_2694960	"TRI-TOWN CIR"	55	0	280184	821425
F_919247_2693958	"HORSESHOE BEND WAY"	29	0	280187	821120
F_919247_2694651	"TRI-TOWN CIR"	42	0	280187	821331
F_919276_2694548	"TRI-TOWN CIR"	36	0	280196	821300
F_919284_2694301	"TRI-TOWN CIR"	23	0	280198	821225
F_919295_2695042	"FALMOUTH-SANDWICH RD"	47	0	280202	821450
F_919318_2694181	"HORSESHOE BEND WAY"	38	0	280209	821188
F_919332_2694872	"TRI-TOWN CIR"	49	0	280213	821399
F_919346_2693996	"HORSESHOE BEND WAY"	33	0	280217	821132
F_919361_2695122	"FALMOUTH-SANDWICH RD"	53	0	280222	821475
F_919377_2694395	"TRI-TOWN CIR"	29	0	280227	821253
F_919384_2694734	"TRI-TOWN CIR"	43	0	280229	821357
F_919391_2694249	"HORSESHOE BEND WAY"	44	0	280231	821209
F_919414_2694611	"TRI-TOWN CIR"	37	0	280238	821319
F_919430_2695203	"FALMOUTH-SANDWICH RD"	57	0	280243	821500
F_919431_2694495	"TRI-TOWN CIR"	33	0	280243	821284
F_919437_2694043	"HORSESHOE BEND WAY"	37	0	280245	821146
F_919439_2694999	"TRI-TOWN CIR"	0	0	280246	821437
F_919460_2694323	"HORSESHOE BEND WAY"	50	0	280252	821231
F_919492_2694775	"HORSESHOE BEND WAY"	78	0	280262	821369
F_919492_2695288	"FALMOUTH-SANDWICH RD"	61	0	280262	821525
F_919506_2694878	"HORSESHOE BEND WAY"	82	0	280266	821400
F_919511_2694675	"HORSESHOE BEND WAY"	72	0	280268	821339
F_919525_2694098	"HORSESHOE BEND WAY"	43	0	280272	821163
F_919530_2694396	"HORSESHOE BEND WAY"	54	0	280273	821254
F_919535_2694578	"HORSESHOE BEND WAY"	68	0	280275	821309
F_919551_2695000	"HORSESHOE BEND WAY"	86	0	280280	821438
F_919566_2694482	"HORSESHOE BEND WAY"	60	0	280284	821280
F_919576_2695201	"HORSESHOE BEND WAY"	100	0	280287	821499
F_919586_2695104	"HORSESHOE BEND WAY"	92	0	280290	821469
F_919593_2694175	"HORSESHOE BEND WAY"	45	0	280293	821186
F_919642_2695441	"FALMOUTH-SANDWICH RD"	0	0	280307	821572
F_919661_2694248	"HORSESHOE BEND WAY"	51	0	280313	821208
F_919664_2695510	"FALMOUTH-SANDWICH RD"	75	0	280314	821593
F_919691_2694761	"HORSESHOE BEND WAY"	77	0	280322	821365
F_919694_2694840	"HORSESHOE BEND WAY"	81	0	280323	821389
F_919724_2694642	"HORSESHOE BEND WAY"	69	0	280332	821329
F_919726_2695246	"HORSESHOE BEND WAY"	99	0	280333	821513
F_919727_2694924	"HORSESHOE BEND WAY"	87	0	280333	821414
F_919739_2694331	"HORSESHOE BEND WAY"	55	0	280337	821234
F_919751_2694549	"HORSESHOE BEND WAY"	65	0	280341	821300
F_919761_2695619	"FALMOUTH-SANDWICH RD"	89	0	280344	821626
F_919766_2694446	"HORSESHOE BEND WAY"	59	0	280345	821269
F_919813_2694973	"HORSESHOE BEND WAY"	89	0	280360	821429
F_919831_2695407	"LAKEVIEW DR"	23	0	280365	821562
F_919855_2695732	"LAKEVIEW DR"	5	0	280372	821661
F_919885_2695514	"LAKEVIEW DR"	19	0	280382	821594
F_919897_2695300	"LAKEVIEW DR"	25	0	280385	821529
F_919925_2695000	"HORSESHOE BEND WAY"	95	0	280394	821438
F_919954_2695603	"LAKEVIEW DR"	15	0	280403	821621
F_919973_2695177	"LAKEVIEW DR"	29	0	280408	821492
F_920006_2695693	"LAKEVIEW DR"	9	0	280418	821649
F_920080_2695108	"LAKEVIEW DR"	31	0	280441	821471
F_920088_2695422	"LAKEVIEW DR"	28	0	280443	821566
F_920164_2695550	"LAKEVIEW DR"	18	0	280467	821605
F_920188_2695082	"LAKEVIEW DR"	33	0	280474	821463
F_920201_2695311	"LAKEVIEW DR"	36	0	280478	821532
F_920274_2695412	"LAKEVIEW DR"	56	0	280500	821563
F_920288_2695083	"LAKEVIEW DR"	37	0	280504	821463
F_920336_2696115	"FALMOUTH-SANDWICH RD"	137	0	280519	821777
F_920344_2695673	"LAKEVIEW DR"	69	0	280521	821643
F_920396_2695292	"LAKEVIEW DR"	48	0	280537	821527
F_920402_2695074	"LAKEVIEW DR"	41	0	280539	821460
F_920408_2695574	"LAKEVIEW DR"	65	0	280541	821613
F_920453_2696189	"FALMOUTH-SANDWICH RD"	139	0	280555	821800
F_920516_2691263	"WHEELER RD"	10	0	280574	820299
F_920537_2695090	"LAKEVIEW DR"	45	0	280580	821465
F_920557_2690913	"WHEELER RD"	12	0	280586	820192
F_920608_2696133	"FALMOUTH-SANDWICH RD"	133	0	280602	821783
F_920631_2695364	"LAKEVIEW DR"	53	0	280609	821549
F_920642_2695220	"LAKEVIEW DR"	49	0	280612	821505
F_920735_2689994	"WHEELER RD"	4	0	280641	819912
F_920759_2689285	"DOVE LN"	8	0	280648	819696
F_920786_2695642	"FALMOUTH-SANDWICH RD"	0	0	280656	821633
F_920799_2689172	"DOVE LN"	4	0	280660	819661
F_920821_2689082	"POND CIR"	125	0	280667	819634
F_920841_2689002	"POND CIR"	129	0	280673	819609
F_920848_2689396	"DOVE LN"	5	0	280675	819730
F_920852_2696356	"FALMOUTH-SANDWICH RD"	159	0	280676	821851
F_920881_2688777	"POND CIR"	135	0	280685	819541
F_920903_2690672	"WHEELER RD"	14	0	280692	820118
F_920909_2689513	"ROBIN LN"	6	0	280694	819765
F_920947_2689288	"DOVE LN"	3	0	280705	819697
F_920970_2689690	"ROBIN LN"	7	0	280712	819819
F_920981_2689384	"POND CIR"	111	0	280716	819726
F_920987_2690713	"WHEELER RD"	20	0	280717	820131
F_920999_2689038	"POND CIR"	130	0	280721	819620
F_921010_2688612	"POND CIR"	29	0	280724	819491
F_921012_2689813	"OWL LN"	10	0	280725	819857
F_921019_2689485	"ROBIN LN"	2	0	280727	819757
F_921032_2689136	"POND CIR"	122	0	280731	819650
F_921042_2688914	"POND CIR"	46	0	280734	819583
F_921056_2696652	"FALMOUTH-SANDWICH RD"	171	0	280738	821941
F_921065_2690756	"WHEELER RD"	26	0	280741	820144
F_921067_2688027	"JAMES CIR"	131	0	280742	819312
F_921068_2689223	"POND CIR"	118	0	280742	819677
