LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_752041_2983836	"NORWICH CR"	94	0	229223	909475
F_752046_2983761	"NORWICH CR"	90	0	229224	909452
F_752055_2983666	"NORWICH CR"	86	0	229227	909423
F_752057_2983945	"NORWICH CR"	98	0	229227	909508
F_752064_2983566	"NORWICH CR"	78	0	229230	909393
F_752070_2983498	"NORWICH CR"	74	0	229231	909372
F_752071_2982167	"PINE RIDGE RD"	158	0	229232	908966
F_752077_2983430	"NORWICH CR"	70	0	229234	909351
F_752083_2983365	"NORWICH CR"	66	0	229235	909331
F_752090_2983299	"NORWICH CR"	62	0	229237	909311
F_752097_2983233	"NORWICH CR"	58	0	229240	909291
F_752102_2982070	"PINE RIDGE RD"	146	0	229241	908937
F_752105_2983169	"NORWICH CR"	54	0	229242	909272
F_752116_2983102	"NORWICH CR"	50	0	229245	909251
F_752128_2981987	"PINE RIDGE RD"	138	0	229249	908911
F_752130_2983032	"NORWICH CR"	46	0	229250	909230
F_752139_2983959	"NORWICH CR"	102	0	229252	909513
F_752146_2982960	"NORWICH CR"	42	0	229255	909208
F_752159_2981910	"PINE RIDGE RD"	128	0	229259	908888
F_752161_2982272	"PINE RIDGE RD"	165	0	229259	908998
F_752163_2982876	"NORWICH CR"	38	0	229260	909182
F_752176_2983811	"NORWICH CR"	93	0	229264	909467
F_752182_2981819	"PINE RIDGE RD"	120	0	229266	908860
F_752188_2983702	"NORWICH CR"	87	0	229267	909434
F_752191_2981735	"PINE RIDGE RD"	108	0	229268	908835
F_752198_2981621	"PINE RIDGE RD"	96	0	229270	908800
F_752199_2982192	"PINE RIDGE RD"	159	0	229271	908974
F_752200_2982791	"NORWICH CR"	34	0	229271	909157
F_752202_2983547	"NORWICH CR"	77	0	229272	909387
F_752204_2980737	"PINE RIDGE RD"	4	0	229272	908530
F_752211_2983444	"NORWICH CR"	71	0	229274	909356
F_752213_2981311	"PINE RIDGE RD"	64	0	229275	908705
F_752213_2981385	"PINE RIDGE RD"	72	0	229275	908728
F_752213_2981461	"PINE RIDGE RD"	80	0	229275	908751
F_752217_2980837	"PINE RIDGE RD"	16	0	229276	908561
F_752219_2981208	"PINE RIDGE RD"	56	0	229277	908674
F_752228_2982138	"PINE RIDGE RD"	153	0	229280	908957
F_752229_2983961	"NORWICH CR"	106	0	229280	909513
F_752232_2981133	"PINE RIDGE RD"	0	0	229281	908651
F_752232_2983292	"NORWICH CR"	61	0	229281	909309
F_752241_2983194	"NORWICH CR"	55	0	229284	909279
F_752243_2980908	"PINE RIDGE RD"	24	0	229284	908583
F_752248_2983810	"NORWICH CR"	105	0	229286	909467
F_752253_2981061	"PINE RIDGE RD"	40	0	229287	908629
F_752255_2982668	"APACHE TL"	14	0	229288	909119
F_752258_2982084	"PINE RIDGE RD"	145	0	229289	908941
F_752262_2983050	"NORWICH CR"	47	0	229290	909235
F_752263_2980964	"PINE RIDGE RD"	30	0	229290	908600
F_752263_2983703	"JOSEPHINE RD"	11	0	229290	909434
F_752275_2982554	"APACHE TL"	12	0	229294	909084
F_752275_2983549	"JOSEPHINE RD"	12	0	229294	909388
F_752283_2982943	"NORWICH CR"	39	0	229296	909203
F_752287_2983447	"TERRIER RD"	11	0	229298	909356
F_752288_2982031	"PINE RIDGE RD"	139	0	229298	908925
F_752290_2983960	"NORWICH CR"	110	0	229298	909513
F_752309_2982799	"NORWICH CR"	30	0	229304	909159
F_752309_2983295	"TERRIER RD"	12	0	229304	909310
F_752310_2983810	"NORWICH CR"	109	0	229305	909467
F_752312_2982471	"APACHE TL"	10	0	229305	909059
F_752314_2983196	"ALAN DALE RD"	29	0	229306	909280
F_752320_2981974	"PINE RIDGE RD"	133	0	229308	908907
F_752324_2983705	"JOSEPHINE RD"	9	0	229309	909435
F_752333_2982717	"APACHE TL"	16	0	229312	909134
F_752338_2983056	"ALAN DALE RD"	26	0	229313	909237
F_752340_2982373	"APACHE TL"	8	0	229314	909029
F_752343_2983551	"JOSEPHINE RD"	10	0	229315	909388
F_752351_2982953	"NORWICH CR"	29	0	229317	909206
F_752352_2983959	"NORWICH CR"	114	0	229317	909513
F_752353_2983449	"TERRIER RD"	9	0	229318	909357
F_752354_2980704	"PINE RIDGE RD"	5	0	229318	908520
F_752363_2981464	"PINE RIDGE RD"	81	0	229321	908752
F_752363_2981920	"PINE RIDGE RD"	127	0	229321	908891
F_752368_2981298	"PINE RIDGE RD"	65	0	229322	908701
F_752368_2981784	"PINE RIDGE RD"	115	0	229322	908850
F_752369_2981729	"PINE RIDGE RD"	109	0	229323	908833
F_752372_2983810	"NORWICH CR"	113	0	229323	909467
F_752380_2983297	"TERRIER RD"	10	0	229326	909311
F_752381_2983198	"ALAN DALE RD"	25	0	229326	909281
F_752382_2982815	"NORWICH CR"	26	0	229326	909164
F_752384_2983706	"JOSEPHINE RD"	7	0	229327	909435
F_752385_2981214	"PINE RIDGE RD"	57	0	229327	908676
F_752387_2981847	"PINE RIDGE RD"	121	0	229328	908869
F_752390_2980637	"COOLIDGE RD"	46	0	229329	908500
F_752395_2981566	"PINE RIDGE RD"	91	0	229330	908783
F_752395_2981629	"PINE RIDGE RD"	99	0	229330	908802
F_752408_2980881	"PINE RIDGE RD"	27	0	229334	908574
F_752408_2982369	"APACHE TL"	6	0	229334	909028
F_752409_2982231	"COLLINGS CR"	11	0	229335	908986
F_752409_2983062	"ALAN DALE RD"	22	0	229335	909239
F_752409_2983554	"JOSEPHINE RD"	8	0	229335	909389
F_752410_2981153	"WELGATE RD"	6	0	229335	908657
