LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_208118_882021	"ORCHARD ST"	84	1	208118	882021
M_208028_881620	"ORCHARD ST"	84	1	208028	881620
M_208793_881841	"ORCHARD ST"	84	1	208793	881841
M_208238_881740	"ORCHARD ST"	84	1	208238	881740
M_208092_881395	"ORCHARD ST"	54	1	208092	881395
M_209279_882183	"BULLARD LN"	68	1	209279	882183
M_209566_882174	"BULLARD LN"	75	1	209566	882174
M_209270_882095	"BULLARD LN"	62	1	209270	882095
M_209287_881986	"BULLARD LN"	42	1	209287	881986
M_209289_882039	"BULLARD LN"	52	1	209289	882039
M_209373_882271	"BULLARD LN"	76	1	209373	882271
M_209437_882060	"BULLARD LN"	61	1	209437	882060
M_209396_882354	"BULLARD LN"	80	1	209396	882354
M_209441_882118	"BULLARD LN"	67	1	209441	882118
M_209449_882176	"BULLARD LN"	71	1	209449	882176
M_209479_882308	"BULLARD LN"	79	1	209479	882308
M_209515_882256	"WALNUT ST"	80	1	209515	882256
M_209526_882394	"WALNUT ST"	85	1	209526	882394
M_209536_882369	"WALNUT ST"	83	1	209536	882369
M_209556_882338	"WALNUT ST"	81	1	209556	882338
M_209748_882235	"WALNUT ST"	57	1	209748	882235
M_209861_882440	"MIDDLESEX ST"	127	1	209861	882440
M_210189_882548	"RIDGE ST"	280	1	210189	882548
M_210372_882588	"RIDGE ST"	287	1	210372	882588
M_210364_882512	"RIDGE ST"	279	1	210364	882512
M_210209_882482	"RIDGE ST"	278	1	210209	882482
M_210082_882453	"MIDDLESEX ST"	107	1	210082	882453
M_209988_882266	"MIDDLESEX ST"	94	1	209988	882266
M_209595_882210	"WALNUT ST"	60	1	209595	882210
M_209638_882170	"WALNUT ST"	58	1	209638	882170
M_209678_882151	"WALNUT ST"	56	1	209678	882151
M_209703_882125	"WALNUT ST"	54	1	209703	882125
M_209735_882081	"WALNUT ST"	52	1	209735	882081
M_209733_882181	"WALNUT ST"	55	1	209733	882181
M_209789_882199	"WALNUT HILL RD"	26	1	209789	882199
M_209920_882295	"MIDDLESEX ST"	96	1	209920	882295
M_209924_882203	"WALNUT HILL RD"	20	1	209924	882203
M_210291_882395	"RIDGE ST"	274	1	210291	882395
M_210349_882459	"RIDGE ST"	277	1	210349	882459
M_210350_882415	"RIDGE ST"	275	1	210350	882415
M_210222_882437	"RIDGE ST"	276	1	210222	882437
M_209976_882432	"MIDDLESEX ST"	119	1	209976	882432
M_209947_882436	"MIDDLESEX ST"	121	1	209947	882436
M_209919_882439	"MIDDLESEX ST"	123	1	209919	882439
M_209889_882442	"MIDDLESEX ST"	125	1	209889	882442
M_210034_882422	"MIDDLESEX ST"	115	1	210034	882422
M_209727_882455	"MIDDLESEX ST"	135	1	209727	882455
M_209775_882456	"MIDDLESEX ST"	133	1	209775	882456
M_209808_882453	"MIDDLESEX ST"	131	1	209808	882453
M_209834_882445	"MIDDLESEX ST"	129	1	209834	882445
M_210145_882338	"MIDDLESEX ST"	103	1	210145	882338
M_210235_882339	"MIDDLESEX ST"	83	1	210235	882339
M_209615_882403	"MIDDLESEX ST"	136	1	209615	882403
M_209573_882305	"WALNUT ST"	65	1	209573	882305
M_209663_882393	"MIDDLESEX ST"	134	1	209663	882393
M_209754_882159	"WALNUT ST"	53	1	209754	882159
M_209700_882363	"MIDDLESEX ST"	132	1	209700	882363
