LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_52124_882879	"MAIN RD"	6	0	52124	882879
M_52147_883330	"MAIN RD"	0	0	52147	883330
M_52178_884601	"BLUE HILL RD"	0	0	52178	884601
M_52179_882756	"MAIN RD"	8	0	52179	882756
M_52184_884411	"BLUE HILL RD"	0	0	52184	884411
M_52227_883246	"PIXLEY RD"	0	0	52227	883246
M_52240_882940	"MAIN RD"	0	0	52240	882940
M_52268_882850	"PIXLEY RD"	0	0	52268	882850
M_52278_884039	"BLUE HILL RD"	0	0	52278	884039
M_52278_884039	"BLUE HILL RD"	211	0	52278	884039
M_52278_884039	"BLUE HILL RD"	219	0	52278	884039
M_52291_882669	"PIXLEY RD"	4	0	52291	882669
M_52320_883159	"MAIN RD"	9	0	52320	883159
M_52325_881856	"DEERWOOD PARK DRIVE"	25	0	52325	881856
M_52341_882806	"PIXLEY RD"	0	0	52341	882806
M_52344_882059	"NORTHWEST COVE"	26	0	52344	882059
M_52349_882121	"NORTHWEST COVE"	28	0	52349	882121
M_52366_884572	"BLUE HILL RD"	212	0	52366	884572
M_52367_882425	"PIXLEY RD"	0	0	52367	882425
M_52391_882909	"MAIN RD"	18	0	52391	882909
M_52392_883077	"MAIN RD"	17	0	52392	883077
M_52435_884499	"BLUE HILL RD"	212	0	52435	884499
M_52447_884405	"BLUE HILL RD"	0	0	52447	884405
M_52448_883027	"MAIN RD"	21	0	52448	883027
M_52477_881618	"NORTHWEST COVE"	10	0	52477	881618
M_52489_881893	"NORTHWEST COVE"	20	0	52489	881893
M_52493_881574	"CAMP RD"	0	0	52493	881574
M_52500_882824	"PIXLEY RD"	0	0	52500	882824
M_52507_881664	"NORTHWEST COVE"	0	0	52507	881664
M_52511_882904	"MAIN RD"	0	0	52511	882904
M_52513_883334	"MAIN RD"	31	0	52513	883334
M_52515_881928	"NORTHWEST COVE"	22	0	52515	881928
M_52543_882016	"NORTHEAST COVE"	45	0	52543	882016
M_52555_884314	"BLUE HILL RD"	0	0	52555	884314
M_52558_884057	"BLUE HILL RD"	OFF	0	52558	884057
M_52578_882059	"NORTH COVE RD"	0	0	52578	882059
M_52583_882802	"ROCKWELL RD"	17	0	52583	882802
M_52594_882575	"NORTH COVE RD"	52	0	52594	882575
M_52600_882218	"NORTHEAST COVE"	36	0	52600	882218
M_52615_882932	"MAIN RD"	34	0	52615	882932
M_52620_882846	"ROCKWELL RD"	0	0	52620	882846
M_52628_882204	"NORTHEAST COVE"	34	0	52628	882204
M_52643_882800	"ROCKWELL RD"	15	0	52643	882800
M_52648_882526	"NORTH COVE RD"	51	0	52648	882526
M_52664_883184	"MAIN RD"	39	0	52664	883184
M_52665_882168	"NORTHEAST COVE"	33	0	52665	882168
M_52686_882213	"NORTHEAST COVE"	31	0	52686	882213
M_52687_882879	"MAIN RD"	OFF	0	52687	882879
M_52724_882724	"PIXLEY RD"	35	0	52724	882724
M_52731_882922	"MAIN RD"	OFF	0	52731	882922
M_52732_884036	"BLUE HILL RD"	0	0	52732	884036
M_52738_882994	"MAIN RD"	44	0	52738	882994
M_52739_882851	"MAIN RD"	OFF	0	52739	882851
M_52751_882555	"PIXLEY RD"	0	0	52751	882555
M_52764_883710	"BLUE HILL RD"	169	0	52764	883710
M_52768_882805	"ROCKWELL RD"	9	0	52768	882805
M_52791_884296	"BLUE HILL RD"	186	0	52791	884296
M_52796_883301	"MAIN RD"	51	0	52796	883301
M_52829_882698	"PIXLEY RD"	0	0	52829	882698
M_52834_883006	"MAIN RD"	50	0	52834	883006
M_52841_882331	"PIXLEY RD"	0	0	52841	882331
M_52848_882910	"PREYER FISKE WAY"	0	0	52848	882910
M_52852_882662	"PIXLEY RD"	39	0	52852	882662
M_52885_883685	"BLUE HILL RD"	0	0	52885	883685
M_52891_882612	"PIXLEY RD"	0	0	52891	882612
M_52917_883016	"MAIN RD"	0	0	52917	883016
M_52918_883247	"MAIN RD"	55	0	52918	883247
M_52925_882808	"PREYER FISKE WAY"	2	0	52925	882808
M_52954_882578	"PIXLEY RD"	51	0	52954	882578
M_52972_882912	"PREYER FISKE WAY"	0	0	52972	882912
M_52984_883690	"BLUE HILL RD"	159	0	52984	883690
M_52988_882013	"SEVEN ARTS ROAD RD"	28	0	52988	882013
M_52998_883009	"PREYER FISKE WAY"	1	0	52998	883009
M_53020_882803	"PREYER FISKE WAY"	0	0	53020	882803
M_53030_882014	"SEVEN ARTS RD"	26	0	53030	882014
M_53031_883292	"MAIN RD"	59	0	53031	883292
M_53036_882157	"PIXLEY RD"	70	0	53036	882157
M_53048_881995	"SEVEN ARTS RD"	24	0	53048	881995
M_53052_881764	"TIN CAN POINT"	"4 + 6"	0	53052	881764
M_53055_882060	"SEVEN ARTS RD"	30	0	53055	882060
M_53055_884248	"BLUE HILL RD"	186	0	53055	884248
M_53072_882991	"MAIN RD"	64	0	53072	882991
M_53076_881697	"TIN CAN POINT"	8	0	53076	881697
M_53083_882576	"STEVENS LAKE WAY"	129	0	53083	882576
M_53086_882904	"STEVENS LAKE"	10	0	53086	882904
M_53095_883667	"BLUE HILL RD"	149	0	53095	883667
M_53103_883178	"MAIN RD"	63	0	53103	883178
M_53111_882711	"STEVENS LAKE WAY"	105	0	53111	882711
M_53116_882876	"STEVENS LAKE"	12	0	53116	882876
M_53131_882054	"SEVEN ARTS RD"	0	0	53131	882054
M_53131_882054	"SEVEN ARTS RD"	11	0	53131	882054
M_53131_882054	"SEVEN ARTS RD"	16	0	53131	882054
M_53131_882054	"SEVEN ARTS RD"	23	0	53131	882054
M_53131_882054	"SEVEN ARTS RD"	7	0	53131	882054
M_53131_882054	"SEVEN ARTS RD"	8	0	53131	882054
M_53167_882310	"PIXLEY RD"	0	0	53167	882310
M_53170_883242	"MAIN RD"	67	0	53170	883242
M_53173_882930	"STEVENS WAY"	0	0	53173	882930
M_53187_881702	"CAMP HALF MOON RD"	36	0	53187	881702
M_53198_881753	"CAMP HALF MOON RD"	34	0	53198	881753
M_53200_881772	"CAMP HALF MOON RD"	32	0	53200	881772
M_53213_881643	"SACKMAN WAY"	20	0	53213	881643
M_53225_883738	"BLUE HILL RD"	0	0	53225	883738
M_53249_881598	"SACKMAN WAY"	30	0	53249	881598
M_53250_883207	"MAIN RD"	0	0	53250	883207
M_53254_882944	"STEVENS LAKE"	16	0	53254	882944
M_53261_882775	"STEVENS LAKE WAY"	117	0	53261	882775
M_53278_881656	"SACKMAN WAY"	19	0	53278	881656
M_53281_881566	"SACKMAN WAY"	31	0	53281	881566
M_53282_881849	"CAMP HALF MOON RD"	18	0	53282	881849
M_53299_882164	"PIXLEY RD"	85	0	53299	882164
M_53310_882959	"STEVENS LAKE"	17	0	53310	882959
M_53328_883926	"BLUE HILL RD"	138	0	53328	883926
M_53330_884334	"OLD BEARTOWN ROAD"	47	0	53330	884334
M_53331_882512	"STEVENS LAKE WAY"	141	0	53331	882512
M_53338_883177	"MAIN RD"	83	0	53338	883177
M_53346_884436	"OLD BEARTOWN ROAD"	55	0	53346	884436
M_53351_881565	"HEBERT`S COVE"	14	0	53351	881565
M_53354_882382	"STEVENS LAKE WAY"	148	0	53354	882382
M_53355_881599	"HEBERT`S COVE"	12	0	53355	881599
M_53359_884038	"BLUE HILL RD"	140	0	53359	884038
M_53363_882961	"STEVENS LAKE"	19	0	53363	882961
M_53368_884255	"BLUE HILL RD"	OFF	0	53368	884255
M_53372_881555	"HEBERT`S COVE"	16	0	53372	881555
M_53386_881550	"HEBERT`S COVE"	0	0	53386	881550
M_53392_881549	"HEBERT`S COVE"	0	0	53392	881549
M_53397_883766	"BLUE HILL RD"	139	0	53397	883766
M_53402_882074	"PIXLEY RD"	91	0	53402	882074
M_53409_881545	"HEBERT`S COVE"	20	0	53409	881545
M_53414_882965	"STEVENS LAKE"	23	0	53414	882965
M_53417_881596	"HEBERT`S COVE"	0	0	53417	881596
M_53425_883150	"MAIN RD"	85	0	53425	883150
M_53434_881664	"HEBERT`S COVE"	8	0	53434	881664
M_53435_881538	"HEBERT`S COVE"	22	0	53435	881538
M_53444_884163	"BLUE HILL RD"	OFF	0	53444	884163
M_53452_883874	"BLUE HILL RD"	134	0	53452	883874
M_53466_882958	"STEVENS LAKE"	27	0	53466	882958
M_53480_883958	"BLUE HILL RD"	136	0	53480	883958
M_53481_881546	"HEBERT`S COVE"	24	0	53481	881546
M_53514_881942	"PIXLEY RD"	101	0	53514	881942
M_53519_883103	"MAIN RD"	95	0	53519	883103
M_53524_881616	"HEBERT`S COVE"	3	0	53524	881616
M_53543_881521	"PIXLEY RD"	122	0	53543	881521
M_53547_882926	"STEVENS LAKE"	31	0	53547	882926
M_53552_881482	"PIXLEY RD"	124	0	53552	881482
M_53562_884577	"BLUE HILL RD"	OFF	0	53562	884577
M_53571_881463	"PIXLEY RD"	126	0	53571	881463
M_53575_881653	"PIXLEY RD"	118	0	53575	881653
M_53585_883320	"BRETT RD"	15	0	53585	883320
M_53586_883838	"BLUE HILL RD"	0	0	53586	883838
M_53587_881446	"PRESCOTT LANE"	30	0	53587	881446
M_53592_881616	"PIXLEY RD"	120	0	53592	881616
M_53598_881831	"PIXLEY RD"	109	0	53598	881831
M_53604_881528	"PIXLEY RD"	0	0	53604	881528
M_53604_881766	"PIXLEY RD"	113	0	53604	881766
M_53633_881576	"PIXLEY RD"	128	0	53633	881576
M_53651_881649	"PIXLEY RD"	121	0	53651	881649
M_53655_881474	"PRESCOTT LANE"	20	0	53655	881474
M_53656_882861	"STEVENS LAKE"	35	0	53656	882861
M_53662_882427	"STEVENS LAKE WAY"	155	0	53662	882427
M_53663_882079	"PIXLEY RD"	105	0	53663	882079
M_53676_883616	"BLUE HILL RD"	111	0	53676	883616
M_53681_881542	"PIXLEY RD"	130	0	53681	881542
M_53681_881624	"PIXLEY RD"	123	0	53681	881624
M_53687_881676	"PIXLEY RD"	129	0	53687	881676
M_53691_881766	"PIXLEY RD"	115	0	53691	881766
M_53699_881873	"LAKE AVE"	0	0	53699	881873
