LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_87151_886992	"THOMAS RD"	83	0	87151	886992
M_87237_887332	"THOMAS RD"	0	0	87237	887332
M_87250_886949	"THOMAS RD"	77	0	87250	886949
M_87276_886800	"THOMAS RD"	0	0	87276	886800
M_87331_887073	"THOMAS RD"	74	0	87331	887073
M_87334_886940	"THOMAS RD"	73	0	87334	886940
M_87410_886934	"THOMAS RD"	63	0	87410	886934
M_87424_887073	"THOMAS RD"	62	0	87424	887073
M_87490_886947	"THOMAS RD"	59	0	87490	886947
M_87515_887071	"THOMAS RD"	38	0	87515	887071
M_87606_887073	"THOMAS RD"	34	0	87606	887073
M_87630_886740	"WESTFIELD RIVERFRONT"	0	0	87630	886740
M_87660_887661	"CARRINGTON RD"	0	0	87660	887661
M_87696_887069	"THOMAS RD"	28	0	87696	887069
M_87852_887156	"CARRINGTON RD"	86	0	87852	887156
M_87853_886546	"WESTFIELD RIVER"	0	0	87853	886546
M_87920_888139	"CARRINGTON RD"	34	0	87920	888139
M_87920_888314	"CARRINGTON RD"	20	0	87920	888314
M_87951_887262	"CARRINGTON RD"	85	0	87951	887262
M_87963_886738	"CARRINGTON RD"	0	0	87963	886738
M_87981_887785	"CARRINGTON RD"	61	0	87981	887785
M_87981_888660	"MAIN RD"	0	0	87981	888660
M_87984_887136	"CARRINGTON RD"	93	0	87984	887136
M_87990_886657	"CARRINGTON RD"	0	0	87990	886657
M_87992_887989	"CARRINGTON RD"	39	0	87992	887989
M_88006_888392	"CARRINGTON RD"	14	0	88006	888392
M_88017_888081	"CARRINGTON RD"	0	0	88017	888081
M_88030_886859	"CARRINGTON RD"	110	0	88030	886859
M_88038_886961	"CARRINGTON RD"	102	0	88038	886961
M_88039_886305	"CARRINGTON RD"	0	0	88039	886305
M_88050_888191	"CARRINGTON RD"	27	0	88050	888191
M_88054_886553	"CARRINGTON RD"	0	0	88054	886553
M_88058_888588	"MAIN RD"	511	0	88058	888588
M_88059_886158	"CARRINGTON RD"	160	0	88059	886158
M_88068_885967	"CARRINGTON RD"	184	0	88068	885967
M_88072_888550	"MAIN RD"	509	0	88072	888550
M_88091_886827	"CARRINGTON RD"	114	0	88091	886827
M_88116_888228	"CARRINGTON RD"	11	0	88116	888228
M_88117_888306	"CARRINGTON RD"	9	0	88117	888306
M_88119_888629	"MAIN RD"	510	0	88119	888629
M_88128_888444	"CARRINGTON RD"	7	0	88128	888444
M_88131_886985	"POMEROY RD"	104	0	88131	886985
M_88133_886634	"CARRINGTON RD"	122	0	88133	886634
M_88153_886416	"CARRINGTON RD"	140	0	88153	886416
M_88153_886914	"CARRINGTON RD"	115	0	88153	886914
M_88164_888502	"MAIN RD"	506	0	88164	888502
M_88166_886505	"CARRINGTON RD"	132	0	88166	886505
M_88183_887423	"CARRINGTON RD"	0	0	88183	887423
M_88186_886827	"CARRINGTON RD"	119	0	88186	886827
M_88209_885779	"CARRINGTON RD"	190	0	88209	885779
M_88209_886740	"CARRINGTON RD"	123	0	88209	886740
M_88229_888444	"MAIN RD"	494	0	88229	888444
M_88242_886661	"CARRINGTON RD"	0	0	88242	886661
M_88249_888619	"LAMBSON HILL RD"	0	0	88249	888619
M_88250_888194	"MAIN RD"	477	0	88250	888194
M_88259_884580	"CARRINGTON RD"	0	0	88259	884580
M_88269_886563	"CARRINGTON RD"	131	0	88269	886563
M_88277_888495	"LAMBSON HILL RD"	23	0	88277	888495
M_88294_888252	"MAIN RD"	475	0	88294	888252
M_88300_888381	"MAIN RD"	0	0	88300	888381
M_88326_886783	"CARRINGTON RD"	0	0	88326	886783
M_88376_885418	"CARRINGTON RD"	218	0	88376	885418
M_88378_886107	"CARRINGTON RD"	177	0	88378	886107
M_88407_887310	"CARRINGTON RD"	0	0	88407	887310
M_88426_888352	"LAMBSON HILL RD"	24	0	88426	888352
M_88435_888576	"LAMBSON HILL RD"	0	0	88435	888576
M_88440_887627	"MAIN RD"	0	0	88440	887627
M_88449_884958	"CHAMBERLAIN RD"	20	0	88449	884958
M_88451_885923	"CARRINGTON RD"	185	0	88451	885923
M_88451_886484	"CARRINGTON RD"	137	0	88451	886484
M_88462_887410	"MAIN RD"	0	0	88462	887410
M_88482_888426	"LAMBSON HILL RD"	0	0	88482	888426
M_88484_885712	"CARRINGTON RD"	192	0	88484	885712
M_88489_888705	"LAMBSON HILL RD"	0	0	88489	888705
M_88512_885859	"CARRINGTON RD"	0	0	88512	885859
M_88576_888711	"LAMBSON HILL RD"	75	0	88576	888711
M_88594_888520	"LAMBSON HILL RD"	66	0	88594	888520
M_88602_887944	"MAIN RD"	0	0	88602	887944
M_88627_886617	"POMEROY RD"	171	0	88627	886617
M_88666_885764	"CARRINGTON RD"	0	0	88666	885764
M_88669_888649	"LAMBSON HILL RD"	0	0	88669	888649
M_88695_886093	"CARRINGTON RD"	197	0	88695	886093
M_88732_886586	"POMEROY RD"	141	0	88732	886586
M_88759_887470	"POMEROY RD"	0	0	88759	887470
M_88769_888719	"LAMBSON HILL RD"	0	0	88769	888719
M_88782_884567	"CHAMBERLAIN RD"	13	0	88782	884567
M_88787_888532	"MAIN RD"	0	0	88787	888532
M_88808_884851	"CARRINGTON RD"	262	0	88808	884851
M_88822_884727	"CHAMBERLAIN RD"	0	0	88822	884727
M_88823_884385	"CARRINGTON RD"	0	0	88823	884385
M_88830_885141	"CARRINGTON RD"	0	0	88830	885141
M_88861_888363	"MAIN RD"	0	0	88861	888363
M_88883_885013	"RUSSELL RD"	4	0	88883	885013
M_88885_888051	"CARRINGTON RD"	0	0	88885	888051
M_88937_886916	"POMEROY RD"	0	0	88937	886916
M_88970_884827	"CARRINGTON RD"	263	0	88970	884827
M_88973_884442	"CARRINGTON RD"	265	0	88973	884442
M_89000_886302	"POMEROY RD"	0	0	89000	886302
M_89040_888214	"MAIN RD"	403	0	89040	888214
M_89064_888390	"MAIN RD"	405	0	89064	888390
M_89138_886711	"POMEROY RD"	151	0	89138	886711
M_89187_886156	"HERRICK RD"	71	0	89187	886156
M_89261_888494	"NEW STATE RD"	0	0	89261	888494
M_89263_884971	"RUSSELL RD"	0	0	89263	884971
M_89269_888229	"MAIN RD"	391	0	89269	888229
M_89314_886860	"POMEROY RD"	0	0	89314	886860
M_89323_883844	"RUSSELL RD"	0	0	89323	883844
M_89363_887647	"AVERY RD"	62	0	89363	887647
M_89381_888450	"NEW STATE RD"	180	0	89381	888450
M_89384_888696	"NEW STATE RD"	172	0	89384	888696
M_89397_886529	"POMEROY RD"	0	0	89397	886529
M_89601_885428	"POMEROY RD"	87	0	89601	885428
M_89647_885101	"POMEROY RD"	83	0	89647	885101
M_89653_887118	"AVERY RD"	43	0	89653	887118
M_89703_885612	"POMEROY RD"	89	0	89703	885612
M_89709_888073	"NEW STATE RD"	135	0	89709	888073
M_89721_888713	"NEW STATE RD"	164	0	89721	888713
M_89731_888416	"NEW STATE RD"	151	0	89731	888416
M_89749_886973	"SUNSET LN"	11	0	89749	886973
M_89767_887972	"MAIN RD"	362	0	89767	887972
M_89776_887393	"AVERY RD"	49	0	89776	887393
M_89777_885705	"POMEROY RD"	93	0	89777	885705
M_89779_885523	"POMEROY RD"	91	0	89779	885523
M_89783_884913	"POMEROY RD"	0	0	89783	884913
M_89801_888346	"NEW STATE RD"	145	0	89801	888346
M_89826_887518	"AVERY RD"	54	0	89826	887518
M_89841_888484	"NEW STATE RD"	0	0	89841	888484
M_89857_887829	"MAIN RD"	0	0	89857	887829
M_89863_887637	"MAIN RD"	309	0	89863	887637
M_89894_887107	"SUNSET LN"	10	0	89894	887107
M_89897_886267	"MAIN RD"	255	0	89897	886267
M_89903_887563	"MAIN RD"	305	0	89903	887563
M_89914_888340	"NEW STATE RD"	143	0	89914	888340
M_89918_885384	"POMEROY RD"	85	0	89918	885384
M_89923_887265	"AVERY RD"	37	0	89923	887265
M_89934_887461	"AVERY RD"	0	0	89934	887461
M_89937_886723	"AVERY RD"	5	0	89937	886723
M_89938_888442	"NEW STATE RD"	142	0	89938	888442
M_89984_887156	"SUNSET LN"	6	0	89984	887156
M_89995_887378	"AVERY RD"	42	0	89995	887378
M_90019_888038	"NEW STATE RD"	107	0	90019	888038
M_90024_887180	"AVERY RD"	25	0	90024	887180
M_90027_887299	"AVERY RD"	32	0	90027	887299
M_90050_884783	"POMEROY RD"	0	0	90050	884783
M_90060_887094	"SUNSET LN"	1	0	90060	887094
M_90063_887248	"AVERY RD"	28	0	90063	887248
M_90072_887712	"MAIN RD"	332	0	90072	887712
M_90078_887330	"MAIN RD"	293	0	90078	887330
M_90088_887440	"MAIN RD"	301	0	90088	887440
